Date,Value
2024-10-15,6.03
2024-10-16,6.0295
2024-10-17,6.005
2024-10-18,6.0145
2024-10-22,5.9625
2024-10-23,5.9625
2024-10-25,5.9625
2024-10-29,5.9375
2024-10-30,5.925
2024-10-31,5.8875
2024-11-07,5.9125
2024-11-08,5.8875
2024-11-12,5.92
2024-11-13,5.8875
2024-11-14,5.92
2024-11-15,5.8875
2024-11-18,5.8625
2024-11-19,5.897
2024-11-20,5.89
2024-11-21,5.9
2024-11-22,5.8745
2024-11-26,5.875
2024-11-27,5.875
2024-11-28,5.875
2024-11-29,5.85
2024-12-02,5.85
2024-12-03,5.845
2024-12-04,5.8345
2024-12-05,5.825
2024-12-06,5.825
2024-12-10,5.8105
2024-12-11,5.8
2024-12-12,5.8
2024-12-13,5.8
2024-12-16,5.81
2024-12-17,5.8125
2024-12-18,5.8
2024-12-19,5.775
2024-12-20,5.775
2024-12-23,5.775
2024-12-26,5.7775
2024-12-27,5.78
2025-01-02,5.7765
2025-01-03,5.775
2025-01-07,5.7775
2025-01-08,5.78
2025-01-09,5.78
2025-01-10,5.775
2025-01-13,5.775
2025-01-14,5.775
2025-01-15,5.775
2025-01-16,5.7765
2025-01-17,5.775
2025-01-20,5.775
2025-01-21,5.78
2025-01-22,5.75
2025-01-23,5.745
2025-01-24,5.72
2025-01-27,5.755
2025-01-28,5.755
2025-01-29,5.755
2025-01-30,5.7565
2025-01-31,5.715
2025-02-03,5.745
2025-02-04,5.7
2025-02-05,5.68
2025-02-06,5.625
2025-02-07,5.625
2025-02-10,5.59
2025-02-11,5.5875
2025-02-12,5.575
2025-02-13,5.725
2025-02-14,5.7375
2025-02-17,5.7375
2025-02-18,5.7375
2025-02-19,5.7375
2025-02-20,5.7375
2025-02-21,5.7375
2025-02-24,5.7375
2025-02-25,5.715
2025-02-26,5.725
2025-02-27,5.715
2025-02-28,5.71
2025-03-03,5.72
2025-03-04,5.715
2025-03-05,5.705
2025-03-06,5.705
2025-03-07,5.7
2025-03-10,5.7
2025-03-11,5.69
2025-03-12,5.685
2025-03-13,5.68
2025-03-14,5.675
2025-03-17,5.67
2025-03-18,5.675
2025-03-19,5.665
2025-03-20,5.65
2025-03-21,5.645
2025-03-24,5.645
2025-03-25,5.64
2025-03-26,5.615
2025-03-27,5.66
2025-03-28,5.65
2025-03-31,5.605
2025-04-02,5.58
2025-04-03,5.59
2025-04-04,5.565
2025-04-07,5.55
2025-04-08,5.555
2025-04-09,5.555
2025-04-10,5.535
2025-04-11,5.535
2025-04-14,5.54
2025-04-15,5.525
2025-04-16,5.5125
2025-04-17,5.54
2025-04-21,5.54
2025-04-22,5.52
2025-04-23,5.515
2025-04-24,5.5375
2025-04-25,5.52
2025-04-28,5.535
2025-04-29,5.515
2025-04-30,5.515
2025-05-01,5.515
2025-05-02,5.52
2025-05-05,5.54
2025-05-06,5.53
2025-05-07,5.5105
2025-05-08,5.505
2025-05-09,5.5025
2025-05-13,5.525
2025-05-14,5.48
2025-05-15,5.48
2025-05-16,5.49
2025-05-19,5.475
2025-05-20,5.49
2025-05-21,5.47
2025-05-22,5.46
2025-05-23,5.45
2025-05-26,5.45
2025-05-27,5.45
2025-05-28,5.45
2025-05-29,5.45
2025-05-30,5.435
2025-06-02,5.425
2025-06-03,5.41
2025-06-04,5.405
2025-06-05,5.4
2025-06-06,5.385
2025-06-09,5.38
2025-06-10,5.375
2025-06-11,5.345
2025-06-12,5.345
2025-06-13,5.35
2025-06-16,5.325
2025-06-17,5.325
2025-06-18,5.325
2025-06-19,5.3125
2025-06-20,5.285
2025-06-23,5.28
2025-06-24,5.275
2025-06-25,5.275
2025-06-26,5.28
2025-06-27,5.2725
2025-06-30,5.28
2025-07-01,5.275
2025-07-02,5.279
2025-07-03,5.2375
2025-07-04,5.2375
2025-07-07,5.2495
2025-07-08,5.25
2025-07-09,5.2125
2025-07-10,5.215
2025-07-11,5.2125
2025-07-14,5.2125
2025-07-15,5.2125
2025-07-16,5.205
2025-07-17,5.2125
2025-07-18,5.21
2025-07-21,5.2125
2025-07-22,5.205
2025-07-23,5.205
2025-07-24,5.205
2025-07-25,5.1925
2025-07-28,5.2
2025-07-29,5.15
2025-07-30,5.1625
2025-07-31,5.1875
2025-08-01,5.1875
2025-08-04,5.1125
2025-08-05,5.125
2025-08-06,5.125
2025-08-07,5.125
2025-08-08,5.125
2025-08-11,5.125
2025-08-12,5.125
2025-08-13,5.125
2025-08-14,5.125
2025-08-15,5.125
2025-08-18,5.1125
2025-08-19,5.1125
2025-08-20,5.1
2025-08-21,5.125
2025-08-22,5.1
2025-08-26,5.0
2025-08-27,5.025
2025-08-28,5.0125
2025-08-29,5.0125
2025-09-01,5.0
2025-09-02,5.0
2025-09-03,5.0
2025-09-04,5.0
2025-09-05,5.0
2025-09-08,4.95
2025-09-09,4.975
2025-09-10,4.925
2025-09-11,4.9625
2025-09-12,4.96
2025-09-15,4.9275
2025-09-16,4.9375
2025-09-17,4.9375
2025-09-18,4.9125
2025-09-19,4.9125
2025-09-22,4.9375
2025-09-23,4.9
2025-09-24,4.905
2025-09-25,4.9125
2025-09-26,4.9125
2025-09-29,4.9125
2025-09-30,4.9125
2025-10-01,4.9125
2025-10-02,4.9125
2025-10-03,4.9125
2025-10-06,4.9075
2025-10-07,4.9125
2025-10-08,4.91
2025-10-09,4.825
2025-10-10,4.765
2025-10-13,4.75
2025-10-14,4.75
2025-10-15,4.75
2025-10-16,4.75
2025-10-17,4.725
2025-10-20,4.725
2025-10-21,4.725
2025-10-22,4.725
2025-10-23,4.7125
2025-10-24,4.7
2025-10-27,4.7
2025-10-28,4.685
2025-10-29,4.69
2025-10-30,4.7
2025-10-31,4.675
2025-11-03,4.675
2025-11-04,4.675
2025-11-05,4.675
2025-11-06,4.66
2025-11-07,4.64
2025-11-10,4.6125
2025-11-11,4.6175
2025-11-12,4.6
2025-11-13,4.6
2025-11-14,4.585
2025-11-17,4.58
2025-11-18,4.5865
2025-11-19,4.58
2025-11-20,4.58
2025-11-21,4.5875
2025-11-24,4.5875
2025-11-25,4.575
2025-11-26,4.575
2025-11-27,4.575
2025-11-28,4.575
2025-12-01,4.56
2025-12-02,4.555
2025-12-03,4.55
2025-12-04,4.555
2025-12-05,4.55
2025-12-09,4.5125
2025-12-10,4.505
2025-12-11,4.5
2025-12-12,4.505
2025-12-15,4.5025
2025-12-16,4.4975
2025-12-17,4.4875
2025-12-18,4.4975
2025-12-19,4.49
2025-12-22,4.495
2025-12-23,4.4875
2025-12-24,4.4725
2025-12-26,4.4875
2025-12-29,4.4525
2026-01-02,4.4625
2026-01-05,4.445
2026-01-06,4.45
2026-01-07,4.475
2026-01-08,4.4585
2026-01-09,4.45
2026-01-12,4.45
2026-01-13,4.4975
2026-01-14,4.4375
2026-01-15,4.4725
2026-01-16,4.4375
2026-01-19,4.4325
2026-01-20,4.4575
2026-01-21,4.45
2026-01-22,4.4465
2026-01-23,4.445
2026-01-26,4.4375
2026-01-27,4.44
2026-01-28,4.4375
2026-01-29,4.4375
2026-01-30,4.4325
2026-02-02,4.425
2026-02-03,4.425
2026-02-04,4.42
2026-02-05,4.42
2026-02-06,4.435
2026-02-09,4.43
2026-02-10,4.4125
2026-02-11,4.4575
2026-02-12,4.44
2026-02-13,4.415
2026-02-16,4.3925
2026-02-18,4.385
2026-02-19,4.3
2026-02-20,4.275
2026-02-23,4.255
2026-02-24,4.265
2026-02-25,4.2715
2026-02-26,4.26
2026-02-27,4.25
2026-03-02,4.25
2026-03-03,4.255
2026-03-04,4.2875
2026-03-05,4.27
2026-03-06,4.325
2026-03-09,4.4
2026-03-10,4.39
2026-03-11,4.39
2026-03-12,4.3725
2026-03-13,4.36
2026-03-16,4.35
2026-03-17,4.375
2026-03-18,4.395
2026-03-19,4.4095
2026-03-20,4.4
2026-03-23,4.45
2026-03-24,4.425
2026-03-25,4.45
2026-03-26,4.435
2026-03-27,4.45
2026-03-30,4.435
2026-03-31,4.4295
2026-04-01,4.45
2026-04-02,4.4
2026-04-06,4.45
2026-04-07,4.45
2026-04-08,4.45
2026-04-09,4.405
2026-04-10,4.45
2026-04-13,4.45
2026-04-14,4.45
2026-04-15,4.4125
2026-04-16,4.4125
2026-04-17,4.4375
2026-04-20,4.4
2026-04-21,4.4
2026-04-22,4.425
2026-04-23,4.525
2026-04-24,4.601
2026-04-27,4.6005
2026-04-28,4.575
2026-04-29,4.6
2026-04-30,4.775
2026-05-01,4.8
2026-05-04,4.75
2026-05-05,4.925
2026-05-06,4.925
2026-05-07,4.925
2026-05-08,4.95
2026-05-11,4.925
2026-05-12,4.9375
2026-05-13,4.95
2026-05-14,4.925
2026-05-15,4.975
