Date,Value
2024-10-15,5.9705
2024-10-16,5.965
2024-10-17,5.9595
2024-10-18,5.95
2024-10-22,5.89
2024-10-23,5.89
2024-10-25,5.8875
2024-10-29,5.88
2024-10-30,5.9
2024-10-31,5.8375
2024-11-08,5.8375
2024-11-12,5.888
2024-11-13,5.8375
2024-11-15,5.877
2024-11-18,5.8125
2024-11-19,5.87
2024-11-20,5.87
2024-11-21,5.85
2024-11-22,5.85
2024-11-26,5.85
2024-11-27,5.85
2024-11-28,5.8465
2024-11-29,5.8385
2024-12-03,5.83
2024-12-04,5.83
2024-12-05,5.827
2024-12-06,5.8225
2024-12-10,5.8125
2024-12-11,5.7925
2024-12-12,5.8075
2024-12-13,5.7875
2024-12-16,5.82
2024-12-17,5.81
2024-12-18,5.805
2024-12-19,5.7775
2024-12-20,5.775
2024-12-26,5.79
2024-12-27,5.79
2025-01-02,5.79
2025-01-03,5.78
2025-01-07,5.79
2025-01-08,5.785
2025-01-09,5.78
2025-01-10,5.78
2025-01-14,5.78
2025-01-15,5.78
2025-01-16,5.78
2025-01-17,5.77
2025-01-20,5.77
2025-01-21,5.77
2025-01-22,5.75
2025-01-23,5.75
2025-01-24,5.7
2025-01-27,5.75
2025-01-28,5.75
2025-01-29,5.74
2025-01-30,5.75
2025-01-31,5.715
2025-02-03,5.705
2025-02-04,5.67
2025-02-05,5.67
2025-02-06,5.6365
2025-02-07,5.615
2025-02-10,5.58
2025-02-11,5.5875
2025-02-12,5.555
2025-02-13,5.7
2025-02-14,5.7175
2025-02-17,5.7175
2025-02-18,5.7175
2025-02-19,5.7175
2025-02-20,5.7175
2025-02-21,5.71
2025-02-24,5.71
2025-02-25,5.705
2025-02-26,5.7145
2025-02-27,5.705
2025-02-28,5.705
2025-03-03,5.705
2025-03-04,5.71
2025-03-05,5.7
2025-03-06,5.7
2025-03-07,5.7
2025-03-10,5.698
2025-03-11,5.67
2025-03-12,5.665
2025-03-13,5.665
2025-03-14,5.665
2025-03-17,5.66
2025-03-18,5.66
2025-03-19,5.66
2025-03-20,5.635
2025-03-21,5.63
2025-03-24,5.63
2025-03-25,5.63
2025-03-26,5.61
2025-03-27,5.65
2025-03-28,5.65
2025-03-31,5.605
2025-04-02,5.5835
2025-04-03,5.595
2025-04-04,5.575
2025-04-07,5.55
2025-04-08,5.56
2025-04-09,5.56
2025-04-10,5.545
2025-04-11,5.5525
2025-04-14,5.555
2025-04-15,5.535
2025-04-16,5.49
2025-04-17,5.49
2025-04-21,5.525
2025-04-22,5.525
2025-04-23,5.525
2025-04-24,5.52
2025-04-25,5.525
2025-04-28,5.525
2025-04-29,5.525
2025-04-30,5.52
2025-05-01,5.525
2025-05-02,5.52
2025-05-05,5.5375
2025-05-06,5.495
2025-05-07,5.499
2025-05-08,5.495
2025-05-09,5.465
2025-05-13,5.465
2025-05-14,5.4605
2025-05-15,5.455
2025-05-16,5.455
2025-05-19,5.455
2025-05-20,5.465
2025-05-21,5.445
2025-05-22,5.447
2025-05-23,5.445
2025-05-26,5.445
2025-05-27,5.435
2025-05-28,5.435
2025-05-29,5.43
2025-05-30,5.42
2025-06-02,5.415
2025-06-03,5.4025
2025-06-04,5.385
2025-06-05,5.37
2025-06-06,5.37
2025-06-09,5.35
2025-06-10,5.35
2025-06-11,5.305
2025-06-12,5.305
2025-06-13,5.35
2025-06-16,5.3
2025-06-17,5.3
2025-06-18,5.265
2025-06-19,5.29
2025-06-20,5.265
2025-06-23,5.285
2025-06-24,5.255
2025-06-25,5.25
2025-06-26,5.2835
2025-06-27,5.25
2025-06-30,5.285
2025-07-01,5.281
2025-07-02,5.28
2025-07-03,5.22
2025-07-04,5.2
2025-07-07,5.2275
2025-07-08,5.23
2025-07-09,5.1875
2025-07-10,5.1875
2025-07-11,5.1875
2025-07-14,5.175
2025-07-15,5.175
2025-07-16,5.175
2025-07-17,5.175
2025-07-18,5.175
2025-07-21,5.2
