Date,Value
2016-01-01,0.695
2016-01-04,0.705
2016-01-05,0.7
2016-01-06,0.705
2016-01-07,0.705
2016-01-08,0.705
2016-01-11,0.705
2016-01-12,0.7
2016-01-13,0.705
2016-01-14,0.715
2016-01-15,0.74
2016-01-18,0.73
2016-01-19,0.7425
2016-01-20,0.725
2016-01-21,0.8025
2016-01-22,0.82
2016-01-25,0.805
2016-01-26,0.805
2016-01-27,0.76
2016-01-28,0.79
2016-01-29,0.77
2016-02-01,0.78
2016-02-02,0.765
2016-02-03,0.75
2016-02-04,0.7
2016-02-05,0.715
2016-02-08,0.715
2016-02-09,0.725
2016-02-10,0.69
2016-02-11,0.67
2016-02-12,0.7
2016-02-15,0.685
2016-02-16,0.67
2016-02-17,0.635
2016-02-18,0.635
2016-02-19,0.62
2016-02-22,0.615
2016-02-23,0.6
2016-02-24,0.615
2016-02-25,0.615
2016-02-26,0.645
2016-02-29,0.65
2016-03-01,0.65
2016-03-02,0.65
2016-03-03,0.66
2016-03-04,0.65
2016-03-07,0.66
2016-03-08,0.67
2016-03-09,0.68
2016-03-10,0.675
2016-03-11,0.685
2016-03-14,0.675
2016-03-15,0.7075
2016-03-16,0.695
2016-03-17,0.69
2016-03-18,0.695
2016-03-21,0.7
2016-03-22,0.695
2016-03-23,0.695
2016-03-24,0.695
2016-03-25,0.695
2016-03-28,0.695
2016-03-29,0.695
2016-03-30,0.685
2016-03-31,0.655
2016-04-01,0.66
2016-04-04,0.645
2016-04-05,0.675
2016-04-06,0.66
2016-04-07,0.69
2016-04-08,0.67
2016-04-11,0.6575
2016-04-12,0.6675
2016-04-13,0.66
2016-04-14,0.665
2016-04-15,0.665
2016-04-18,0.67
2016-04-19,0.675
2016-04-20,0.665
2016-04-21,0.685
2016-04-22,0.71
2016-04-25,0.685
2016-04-26,0.685
2016-04-27,0.7
2016-04-28,0.695
2016-04-29,0.685
2016-05-02,0.69
2016-05-03,0.6975
2016-05-04,0.71
2016-05-05,0.74
2016-05-06,0.72
2016-05-09,0.715
2016-05-10,0.715
2016-05-11,0.715
2016-05-12,0.735
2016-05-13,0.715
2016-05-16,0.695
2016-05-17,0.675
2016-05-18,0.69
2016-05-19,0.7
2016-05-20,0.7075
2016-05-23,0.7
2016-05-24,0.705
2016-05-25,0.7
2016-05-26,0.7
2016-05-27,0.69
2016-05-30,0.69
2016-05-31,0.695
2016-06-01,0.695
2016-06-02,0.69
2016-06-03,0.685
2016-06-06,0.6925
2016-06-07,0.68
2016-06-08,0.68
2016-06-09,0.66
2016-06-10,0.68
2016-06-13,0.67
2016-06-14,0.6825
2016-06-15,0.665
