Date,Value
2020-05-05,0.15
2020-05-06,0.15
2020-05-07,0.2
2020-05-08,0.13
2020-05-11,0.15
2020-05-12,0.15
2020-05-13,0.15
2020-05-14,0.2
2020-05-15,0.125
2020-05-18,0.125
2020-05-19,0.205
2020-05-20,0.2
2020-05-21,0.13
2020-05-22,0.13
2020-05-25,0.17
2020-05-26,0.17
2020-05-27,0.17
2020-05-28,0.155
2020-05-29,0.16
2020-06-01,0.2725
2020-06-02,0.185
2020-06-03,0.2
2020-06-04,0.17
2020-06-05,0.2275
2020-06-08,0.22
2020-06-09,0.2075
2020-06-10,0.2
2020-06-11,0.1813
2020-06-12,0.1975
2020-06-15,0.205
2020-06-16,0.23
2020-06-17,0.2
2020-06-18,0.2
2020-06-19,0.23
2020-06-22,0.2215
2020-06-23,0.21
2020-06-24,0.21
2020-06-25,0.205
2020-06-26,0.1825
2020-06-29,0.175
2020-06-30,0.2215
2020-07-01,0.2215
2020-07-02,0.2215
2020-07-03,0.18
2020-07-06,0.18
2020-07-07,0.16
2020-07-08,0.16
2020-07-09,0.165
2020-07-10,0.195
2020-07-13,0.195
2020-07-14,0.195
2020-07-15,0.195
2020-07-16,0.2
2020-07-17,0.195
2020-07-20,0.17
2020-07-21,0.19
2020-07-22,0.2
2020-07-23,0.19
2020-07-24,0.1725
2020-07-27,0.22
2020-07-28,0.22
2020-07-29,0.22
2020-07-30,0.22
2020-07-31,0.22
2020-08-03,0.155
2020-08-04,0.22
2020-08-05,0.16
2020-08-06,0.1363
2020-08-07,0.148
2020-08-10,0.1799
2020-08-11,0.18
2020-08-12,0.1887
2020-08-13,0.23
2020-08-14,0.1975
2020-08-17,0.195
2020-08-18,0.205
2020-08-19,0.1975
2020-08-20,0.2
2020-08-21,0.18
2020-08-24,0.2
2020-08-25,0.1675
2020-08-26,0.2
2020-08-27,0.19
2020-08-28,0.205
2020-08-31,0.2
2020-09-01,0.163
2020-09-02,0.1513
2020-09-03,0.1688
2020-09-04,0.17
2020-09-07,0.17
2020-09-08,0.17
2020-09-09,0.1625
2020-09-10,0.1625
2020-09-11,0.155
2020-09-14,0.1538
2020-09-15,0.133
2020-09-16,0.1313
2020-09-17,0.135
2020-09-18,0.1475
2020-09-21,0.1175
2020-09-22,0.115
2020-09-23,0.135
2020-09-24,0.17
2020-09-25,0.17
2020-09-28,0.125
2020-09-29,0.14
2020-09-30,0.135
2020-10-01,0.139
2020-10-02,0.13
2020-10-05,0.1225
2020-10-06,0.1213
2020-10-07,0.17
2020-10-08,0.17
2020-10-09,0.17
2020-10-12,0.115
2020-10-13,0.17
2020-10-14,0.17
2020-10-15,0.1138
2020-10-16,0.1075
2020-10-19,0.125
2020-10-20,0.125
2020-10-21,0.128
2020-10-22,0.16
2020-10-23,0.1
2020-10-26,0.115
2020-10-27,0.1275
2020-10-28,0.115
2020-10-29,0.134
2020-10-30,0.135
2020-11-02,0.125
2020-11-03,0.133
2020-11-04,0.12
2020-11-05,0.1087
2020-11-06,0.1127
2020-11-09,0.13
2020-11-10,0.143
2020-11-11,0.0962
2020-11-12,0.0969
2020-11-13,0.1075
2020-11-16,0.125
2020-11-17,0.1325
2020-11-18,0.145
2020-11-19,0.148
2020-11-20,0.145
2020-11-23,0.145
2020-11-24,0.145
2020-11-25,0.145
2020-11-26,0.158
2020-11-27,0.1488
2020-11-30,0.145
2020-12-01,0.145
2020-12-02,0.145
2020-12-03,0.145
2020-12-04,0.145
2020-12-07,0.145
2020-12-08,0.145
2020-12-09,0.145
2020-12-10,0.14
2020-12-11,0.14
2020-12-14,0.14
2020-12-15,0.133
2020-12-16,0.128
2020-12-17,0.1275
2020-12-18,0.14
2020-12-21,0.1425
2020-12-22,0.1325
2020-12-23,0.1465
2020-12-24,0.15
2020-12-25,0.135
2020-12-28,0.135
2020-12-29,0.1425
2020-12-30,0.135
2020-12-31,0.145
2021-01-01,0.145
2021-01-04,0.135
2021-01-05,0.125
2021-01-06,0.14
2021-01-07,0.14
2021-01-08,0.143
2021-01-11,0.14
2021-01-12,0.1612
2021-01-13,0.155
2021-01-14,0.155
2021-01-15,0.1538
2021-01-18,0.1515
2021-01-19,0.16
2021-01-20,0.17
2021-01-21,0.185
2021-01-22,0.183
2021-01-25,0.195
2021-01-26,0.203
2021-01-27,0.185
2021-01-28,0.1925
2021-01-29,0.203
2021-02-01,0.21
2021-02-02,0.2
2021-02-03,0.1912
2021-02-04,0.18
2021-02-05,0.195
2021-02-08,0.204
2021-02-09,0.21
2021-02-10,0.1962
2021-02-11,0.193
2021-02-12,0.189
2021-02-15,0.2
2021-02-16,0.204
2021-02-17,0.255
2021-02-18,0.243
2021-02-19,0.2525
2021-02-22,0.29
2021-02-23,0.258
2021-02-24,0.25
2021-02-25,0.27
2021-02-26,0.305
2021-03-01,0.265
2021-03-02,0.23
2021-03-03,0.22
2021-03-04,0.255
2021-03-05,0.26
2021-03-08,0.27
2021-03-09,0.31
2021-03-10,0.305
2021-03-11,0.2656
2021-03-12,0.3125
2021-03-15,0.315
2021-03-16,0.325
2021-03-17,0.343
2021-03-18,0.3475
2021-03-19,0.3225
2021-03-22,0.325
2021-03-23,0.345
2021-03-24,0.35
2021-03-25,0.345
2021-03-26,0.345
2021-03-29,0.34
2021-03-30,0.34
2021-03-31,0.33
2021-04-01,0.3
2021-04-02,0.3
2021-04-05,0.295
2021-04-06,0.275
2021-04-07,0.2555
2021-04-08,0.24
2021-04-09,0.25
2021-04-12,0.265
2021-04-13,0.2675
2021-04-14,0.265
2021-04-15,0.245
2021-04-16,0.2438
2021-04-19,0.2625
2021-04-20,0.2675
2021-04-21,0.2675
2021-04-22,0.2725
2021-04-23,0.275
2021-04-26,0.28
2021-04-27,0.29
2021-04-28,0.2925
2021-04-29,0.295
