Date,Value
2020-05-07,0.3
2020-05-08,0.165
2020-05-12,0.11
2020-05-13,0.15
2020-05-14,0.115
2020-05-15,0.125
2020-05-18,0.15
2020-05-19,0.13
2020-05-20,0.13
2020-05-21,0.11
2020-05-22,0.12
2020-05-25,0.15
2020-05-26,0.15
2020-05-27,0.15
2020-05-28,0.15
2020-05-29,0.1
2020-06-01,0.15
2020-06-02,0.15
2020-06-03,0.15
2020-06-04,0.15
2020-06-05,0.175
2020-06-08,0.17
2020-06-09,0.18
2020-06-10,0.18
2020-06-11,0.18
2020-06-12,0.18
2020-06-15,0.2
2020-06-16,0.2
2020-06-17,0.2
2020-06-18,0.2
2020-06-19,0.205
2020-06-22,0.2
2020-06-23,0.2
2020-06-24,0.2
2020-06-25,0.2
2020-06-26,0.2
2020-06-29,0.2
2020-06-30,0.2
2020-07-01,0.2
2020-07-02,0.2
2020-07-03,0.2
2020-07-06,0.2
2020-07-07,0.2
2020-07-08,0.185
2020-07-09,0.18
2020-07-10,0.185
2020-07-13,0.185
2020-07-14,0.18
2020-07-15,0.185
2020-07-16,0.18
2020-07-17,0.18
2020-07-20,0.15
2020-07-21,0.17
2020-07-22,0.17
2020-07-23,0.17
2020-07-24,0.17
2020-07-27,0.2
2020-07-28,0.2
2020-07-29,0.2
2020-07-30,0.2
2020-07-31,0.2
2020-08-03,0.2
2020-08-04,0.2
2020-08-05,0.16
2020-08-06,0.18
2020-08-07,0.18
2020-08-10,0.18
2020-08-11,0.18
2020-08-12,0.18
2020-08-13,0.18
2020-08-14,0.18
2020-08-17,0.185
2020-08-18,0.185
2020-08-19,0.18
2020-08-20,0.18
2020-08-21,0.18
2020-08-24,0.18
2020-08-25,0.18
2020-08-26,0.18
2020-08-27,0.18
2020-08-28,0.18
2020-08-31,0.18
2020-09-01,0.165
2020-09-02,0.165
2020-09-03,0.165
2020-09-04,0.125
2020-09-07,0.145
2020-09-08,0.125
2020-09-09,0.135
2020-09-10,0.135
2020-09-11,0.135
2020-09-14,0.13
2020-09-15,0.14
2020-09-16,0.14
2020-09-17,0.13
2020-09-18,0.125
2020-09-21,0.125
2020-09-22,0.125
2020-09-23,0.125
2020-09-24,0.13
2020-09-25,0.125
2020-09-28,0.125
2020-09-29,0.125
2020-09-30,0.125
2020-10-01,0.125
2020-10-02,0.125
2020-10-05,0.125
2020-10-06,0.125
2020-10-07,0.125
2020-10-08,0.125
2020-10-09,0.125
2020-10-12,0.125
2020-10-13,0.125
2020-10-14,0.125
2020-10-15,0.125
2020-10-16,0.125
2020-10-19,0.125
2020-10-20,0.125
2020-10-21,0.125
2020-10-22,0.125
2020-10-23,0.125
2020-10-26,0.125
2020-10-27,0.125
2020-10-28,0.125
2020-10-29,0.125
2020-10-30,0.125
