Date,Open,High,Low,Close
2016-01-01,8.4412,8.4679,8.4405,8.4594
2016-01-04,8.4513,8.5194,8.3938,8.4956
2016-01-05,8.4952,8.6346,8.4915,8.5981
2016-01-06,8.5981,8.6147,8.5757,8.5862
2016-01-07,8.5864,8.5964,8.4576,8.4645
2016-01-08,8.4645,8.5775,8.46,8.501
2016-01-11,8.4967,8.5428,8.4664,8.5388
2016-01-12,8.5388,8.5679,8.5093,8.5293
2016-01-13,8.5293,8.5685,8.5093,8.5286
2016-01-14,8.5287,8.5689,8.4939,8.5514
2016-01-15,8.5514,8.5971,8.5268,8.5819
2016-01-18,8.5839,8.6073,8.5609,8.5776
2016-01-19,8.5775,8.5994,8.5156,8.541
2016-01-20,8.541,8.6119,8.5125,8.5923
2016-01-21,8.5923,8.6562,8.5474,8.5605
2016-01-22,8.5605,8.6011,8.5304,8.5845
2016-01-25,8.5834,8.6081,8.5511,8.566
2016-01-26,8.566,8.5768,8.5381,8.5381
2016-01-27,8.5381,8.5608,8.4829,8.5112
2016-01-28,8.5112,8.5414,8.4954,8.5073
2016-01-29,8.5073,8.6179,8.4919,8.5789
2016-02-01,8.574,8.602,8.5114,8.5281
2016-02-02,8.5281,8.5877,8.5154,8.5563
2016-02-03,8.5563,8.5825,8.4158,8.4313
2016-02-04,8.4313,8.4582,8.3605,8.4005
2016-02-05,8.4004,8.489,8.3835,8.454
2016-02-08,8.4534,8.5033,8.4087,8.4454
2016-02-09,8.4454,8.4886,8.3842,8.4158
2016-02-10,8.4159,8.4908,8.3688,8.3769
2016-02-11,8.3769,8.477,8.3395,8.3759
2016-02-12,8.3761,8.4524,8.361,8.4017
2016-02-15,8.4133,8.5125,8.4086,8.4859
2016-02-16,8.4859,8.5207,8.4579,8.5055
2016-02-17,8.5055,8.5342,8.4623,8.5154
2016-02-18,8.5154,8.5203,8.4399,8.4441
2016-02-19,8.444,8.4862,8.4242,8.449
2016-02-22,8.4548,8.5104,8.4422,8.499
2016-02-23,8.4989,8.5091,8.4676,8.4884
2016-02-24,8.4884,8.5502,8.4644,8.4899
2016-02-25,8.4899,8.5404,8.4694,8.5022
2016-02-26,8.5019,8.5676,8.4629,8.5638
2016-02-29,8.556,8.595,8.5181,8.5672
2016-03-01,8.5673,8.6458,8.5535,8.6215
2016-03-02,8.6213,8.6476,8.5968,8.6092
2016-03-03,8.6102,8.6254,8.5183,8.5264
2016-03-04,8.5264,8.5531,8.4651,8.4843
2016-03-07,8.4822,8.5336,8.4699,8.4714
2016-03-08,8.4722,8.5212,8.4562,8.4849
2016-03-09,8.4853,8.5174,8.4128,8.4465
2016-03-10,8.4464,8.5463,8.3398,8.38
2016-03-11,8.38,8.4043,8.3287,8.3412
2016-03-14,8.3508,8.3671,8.3266,8.3429
2016-03-15,8.343,8.3651,8.3029,8.3149
2016-03-16,8.3149,8.3501,8.1985,8.2151
2016-03-17,8.2161,8.2444,8.1347,8.1792
2016-03-18,8.1792,8.2405,8.166,8.2316
2016-03-21,8.2338,8.2532,8.2059,8.236
2016-03-22,8.2362,8.2859,8.2096,8.2291
2016-03-23,8.2292,8.2838,8.2227,8.264
2016-03-24,8.264,8.3122,8.2613,8.2934
2016-03-25,8.2934,8.3128,8.2872,8.3044
2016-03-28,8.3057,8.3204,8.2627,8.2857
2016-03-29,8.2857,8.3062,8.1907,8.1982
2016-03-30,8.1982,8.2044,8.1259,8.1298
2016-03-31,8.1298,8.1632,8.0856,8.1178
2016-04-01,8.1178,8.154,8.0785,8.137
2016-04-04,8.1232,8.1457,8.1076,8.1281
2016-04-05,8.1281,8.1666,8.1147,8.1335
2016-04-06,8.1325,8.1797,8.1276,8.1498
2016-04-07,8.1498,8.1745,8.1143,8.1687
2016-04-08,8.1687,8.1793,8.1285,8.1539
2016-04-11,8.1462,8.1613,8.0927,8.1136
2016-04-12,8.1136,8.1208,8.0316,8.0807
2016-04-13,8.0807,8.1483,8.077,8.141
2016-04-14,8.141,8.1847,8.1125,8.1339
2016-04-15,8.1339,8.1597,8.1032,8.1317
2016-04-18,8.1214,8.1481,8.0988,8.1169
2016-04-19,8.1169,8.1229,8.0678,8.0853
2016-04-20,8.0853,8.1375,8.041,8.1296
2016-04-21,8.1296,8.1433,8.0582,8.1405
2016-04-22,8.1416,8.1647,8.0885,8.1621
2016-04-25,8.1541,8.1688,8.1215,8.1316
2016-04-26,8.1319,8.1483,8.0737,8.1198
2016-04-27,8.1198,8.1308,8.0618,8.0942
2016-04-28,8.0942,8.1038,8.0321,8.0691
2016-04-29,8.0691,8.0734,7.9869,8.0324
2016-05-02,8.0304,8.0389,7.9572,7.9599
2016-05-03,7.9597,8.0607,7.8937,8.0585
2016-05-04,8.0585,8.0831,8.0342,8.0689
2016-05-05,8.0693,8.1188,8.0588,8.1112
2016-05-06,8.1111,8.1565,8.083,8.139
2016-05-09,8.1369,8.169,8.1226,8.1649
2016-05-10,8.1649,8.1721,8.1359,8.1598
2016-05-11,8.1598,8.1638,8.1156,8.1405
2016-05-12,8.1408,8.1934,8.1298,8.1836
2016-05-13,8.1836,8.272,8.1825,8.2488
2016-05-16,8.2499,8.2659,8.2219,8.261
2016-05-17,8.261,8.2729,8.2241,8.2565
2016-05-18,8.2565,8.3558,8.2536,8.3534
2016-05-19,8.3536,8.3827,8.3282,8.3582
2016-05-20,8.3582,8.3603,8.3129,8.3153
2016-05-23,8.32,8.3655,8.3021,8.3403
2016-05-24,8.3403,8.3724,8.3059,8.3141
2016-05-25,8.3141,8.3205,8.2844,8.2954
2016-05-26,8.2954,8.3186,8.2604,8.2832
2016-05-27,8.2833,8.3546,8.2709,8.351
2016-05-30,8.3467,8.3653,8.3164,8.3346
2016-05-31,8.3346,8.3573,8.3072,8.3333
2016-06-01,8.3331,8.3433,8.2897,8.2959
2016-06-02,8.2959,8.343,8.2791,8.3286
2016-06-03,8.3286,8.3322,8.1339,8.1425
2016-06-06,8.1553,8.1747,8.1071,8.1246
2016-06-07,8.1246,8.1461,8.1068,8.1289
2016-06-08,8.1289,8.1321,8.0923,8.1097
2016-06-09,8.1097,8.1812,8.097,8.1762
2016-06-10,8.1762,8.3166,8.1734,8.3103
2016-06-13,8.2988,8.3202,8.2301,8.2354
2016-06-14,8.2354,8.3187,8.2354,8.3101
2016-06-15,8.3101,8.3519,8.2857,8.3107
2016-06-16,8.3107,8.4417,8.291,8.3394
2016-06-17,8.339,8.3547,8.3003,8.3314
2016-06-20,8.3256,8.3256,8.2188,8.2444
2016-06-21,8.2444,8.2867,8.2101,8.2792
2016-06-22,8.2792,8.2908,8.2314,8.2619
2016-06-23,8.2619,8.2631,8.1427,8.1621
2016-06-24,8.1621,8.7514,8.1048,8.4648
2016-06-27,8.5023,8.5978,8.4602,8.5559
2016-06-28,8.5559,8.5647,8.4817,8.5067
2016-06-29,8.5066,8.5378,8.4556,8.4569
2016-06-30,8.4569,8.5319,8.4419,8.4597
2016-07-01,8.4599,8.4873,8.4107,8.4361
2016-07-04,8.4338,8.4702,8.4134,8.4181
2016-07-05,8.4181,8.5388,8.4091,8.5237
2016-07-06,8.5237,8.5891,8.5054,8.5243
2016-07-07,8.5243,8.5907,8.5205,8.5792
2016-07-08,8.5792,8.6172,8.535,8.5814
2016-07-11,8.5832,8.6038,8.5555,8.5747
2016-07-12,8.5745,8.5844,8.4991,8.54
2016-07-13,8.54,8.5733,8.4721,8.4974
2016-07-14,8.4975,8.5054,8.4585,8.4973
2016-07-15,8.4973,8.5949,8.4757,8.588
2016-07-18,8.5795,8.58,8.5427,8.5489
2016-07-19,8.5489,8.6224,8.545,8.6118
2016-07-20,8.6118,8.639,8.5876,8.5992
2016-07-21,8.5992,8.6286,8.5737,8.5941
2016-07-22,8.594,8.6783,8.5887,8.6513
2016-07-25,8.6602,8.6718,8.6395,8.6407
2016-07-26,8.6407,8.6614,8.6176,8.6601
2016-07-27,8.6601,8.7016,8.6108,8.6287
2016-07-28,8.6287,8.6477,8.5702,8.6397
2016-07-29,8.6396,8.6456,8.5275,8.5569
2016-08-01,8.5554,8.602,8.5415,8.5954
2016-08-02,8.5954,8.5994,8.4984,8.5133
2016-08-03,8.5133,8.554,8.4898,8.5468
2016-08-04,8.5468,8.5691,8.5055,8.5204
2016-08-05,8.5204,8.5862,8.5103,8.5668
2016-08-08,8.5651,8.6038,8.5557,8.5805
2016-08-09,8.5805,8.5957,8.5206,8.533
2016-08-10,8.533,8.5409,8.4447,8.4643
2016-08-11,8.4643,8.4783,8.4171,8.4728
2016-08-12,8.4728,8.4806,8.4043,8.4536
2016-08-15,8.4508,8.4809,8.4398,8.4572
2016-08-16,8.4572,8.4626,8.3457,8.4148
2016-08-17,8.4148,8.4549,8.3991,8.4247
2016-08-18,8.4245,8.4249,8.3364,8.3467
2016-08-19,8.3467,8.4037,8.3415,8.3852
2016-08-22,8.392,8.4286,8.3639,8.3741
2016-08-23,8.3741,8.3855,8.3406,8.3787
2016-08-24,8.3787,8.4226,8.3622,8.3966
2016-08-25,8.3966,8.4175,8.3854,8.4064
2016-08-26,8.4064,8.5071,8.3623,8.4817
2016-08-29,8.4829,8.5068,8.4569,8.4667
2016-08-30,8.4667,8.5635,8.4647,8.5398
2016-08-31,8.5399,8.5833,8.5181,8.5605
2016-09-01,8.5605,8.6153,8.5473,8.5535
2016-09-02,8.5535,8.605,8.5171,8.5865
2016-09-05,8.585,8.5946,8.5446,8.5687
2016-09-06,8.5687,8.5701,8.4569,8.4675
2016-09-07,8.4675,8.4892,8.4251,8.4427
2016-09-08,8.4427,8.4636,8.378,8.4419
2016-09-09,8.4419,8.516,8.4254,8.4937
2016-09-12,8.4933,8.5386,8.4665,8.4773
2016-09-13,8.4773,8.546,8.4738,8.5259
2016-09-14,8.5259,8.5385,8.462,8.4867
2016-09-15,8.4862,8.5334,8.4653,8.4824
2016-09-16,8.4823,8.579,8.4779,8.5663
2016-09-19,8.5604,8.5768,8.5366,8.5652
2016-09-20,8.5651,8.5994,8.5352,8.5988
2016-09-21,8.5988,8.6161,8.5557,8.5567
2016-09-22,8.5567,8.5593,8.5086,8.5494
2016-09-23,8.5492,8.5633,8.5295,8.5421
2016-09-26,8.5391,8.5585,8.5149,8.5334
2016-09-27,8.5334,8.633,8.5135,8.5971
2016-09-28,8.5974,8.6154,8.5578,8.5638
2016-09-29,8.5638,8.5946,8.5389,8.5736
2016-09-30,8.5736,8.6294,8.5582,8.5739
2016-10-03,8.5738,8.5901,8.5255,8.5662
2016-10-04,8.5663,8.6347,8.5636,8.6012
2016-10-05,8.6012,8.6157,8.5563,8.5892
2016-10-06,8.5892,8.638,8.5855,8.6289
2016-10-07,8.629,8.6776,8.5997,8.6266
2016-10-10,8.6248,8.6689,8.6025,8.6532
2016-10-11,8.6532,8.8282,8.6492,8.8199
2016-10-12,8.8199,8.8518,8.8062,8.8475
2016-10-13,8.8469,8.872,8.7888,8.7901
2016-10-14,8.7902,8.846,8.7816,8.8424
2016-10-17,8.8424,8.849,8.8059,8.8119
2016-10-18,8.8119,8.8349,8.7872,8.827
2016-10-19,8.827,8.852,8.8052,8.8355
2016-10-20,8.8355,8.8866,8.8061,8.8718
2016-10-21,8.8717,8.9396,8.8631,8.9157
2016-10-24,8.9248,8.9342,8.8976,8.9103
2016-10-25,8.9104,8.9611,8.9014,8.9258
2016-10-26,8.9258,8.9368,8.897,8.9092
2016-10-27,8.9093,9.0907,8.8719,9.0805
2016-10-28,9.0808,9.0841,8.9942,9.0109
2016-10-31,9.0051,9.0417,8.9897,9.0321
2016-11-01,9.032,9.05,8.9391,8.9622
2016-11-02,8.9623,8.97,8.891,8.9219
2016-11-03,8.9219,8.9766,8.8872,8.9691
2016-11-04,8.9689,8.9967,8.9266,8.9462
2016-11-07,8.9532,9.0532,8.9488,9.0243
2016-11-08,9.0243,9.0289,8.975,8.9891
2016-11-09,8.9891,9.1199,8.9031,9.0636
2016-11-10,9.0632,9.1141,9.0262,9.0401
2016-11-11,9.0401,9.1148,9.0226,9.0958
2016-11-14,9.0461,9.1794,9.044,9.1559
2016-11-15,9.1559,9.1971,9.0653,9.1888
2016-11-16,9.1888,9.2228,9.1534,9.1991
2016-11-17,9.1988,9.2481,9.152,9.2434
2016-11-18,9.2429,9.2995,9.2252,9.2988
2016-11-21,9.2531,9.2739,9.205,9.2206
2016-11-22,9.2205,9.2621,9.1928,9.2179
2016-11-23,9.2179,9.2967,9.2034,9.2787
2016-11-24,9.2787,9.3098,9.2185,9.2484
2016-11-25,9.2484,9.2653,9.205,9.2497
2016-11-28,9.2261,9.2512,9.1703,9.1987
2016-11-29,9.1984,9.2453,9.1653,9.1766
2016-11-30,9.1766,9.2655,9.1382,9.2304
2016-12-01,9.2302,9.2622,9.1975,9.2213
2016-12-02,9.2213,9.2267,9.1382,9.2146
2016-12-05,9.2133,9.3108,9.0988,9.1152
2016-12-06,9.1152,9.1453,9.1094,9.1265
2016-12-07,9.1265,9.141,9.0589,9.0713
2016-12-08,9.0713,9.1663,8.9944,9.1274
2016-12-09,9.1274,9.2096,9.1215,9.1893
2016-12-12,9.2031,9.2193,9.1547,9.1671
2016-12-13,9.1672,9.1801,9.1279,9.1655
2016-12-14,9.1655,9.2946,9.1365,9.2594
2016-12-15,9.2594,9.4299,9.2577,9.4092
2016-12-16,9.4092,9.4482,9.3364,9.3392
2016-12-19,9.348,9.3949,9.3276,9.3846
2016-12-20,9.3846,9.4102,9.3417,9.3489
2016-12-21,9.349,9.3589,9.2141,9.2324
2016-12-22,9.2325,9.2333,9.1452,9.2242
2016-12-23,9.2241,9.2429,9.1873,9.2042
2016-12-26,9.2119,9.2462,9.1867,9.2066
2016-12-27,9.2066,9.2508,9.2013,9.2264
2016-12-28,9.2263,9.2304,9.1809,9.207
2016-12-29,9.207,9.207,9.1088,9.1211
2016-12-30,9.1211,9.1303,8.9961,9.1061
2017-01-02,9.1033,9.1485,9.085,9.1384
2017-01-03,9.138,9.2051,9.1024,9.1618
2017-01-04,9.1616,9.1764,9.0956,9.1047
2017-01-05,9.1047,9.1124,8.9908,8.9933
2017-01-06,8.9934,9.0763,8.9915,9.0574
