Date,Value
2016-01-01,-16.5
2016-01-04,-17.52
2016-01-05,-18.0
2016-01-06,-18.76
2016-01-07,-21.52
2016-01-08,-18.0
2016-01-11,-17.25
2016-01-12,-16.99
2016-01-13,-16.5
2016-01-14,-16.26
2016-01-15,-15.25
2016-01-18,-15.97
2016-01-19,-16.51
2016-01-20,-16.2
2016-01-21,-16.0
2016-01-22,-15.91
2016-01-25,-15.88
2016-01-26,-16.16
2016-01-27,-16.0
2016-01-28,-16.0
2016-01-29,-17.0
2016-02-01,-17.01
2016-02-02,-17.01
2016-02-03,-16.96
2016-02-04,-19.1
2016-02-05,-16.75
2016-02-08,-16.25
2016-02-09,-15.96
2016-02-10,-15.9
2016-02-11,-18.76
2016-02-12,-17.8
2016-02-15,-17.95
2016-02-16,-19.5
2016-02-17,-20.63
2016-02-18,-20.25
2016-02-19,-20.5
2016-02-22,-20.6
2016-02-23,-19.5
2016-02-24,-20.0
2016-02-25,-19.88
2016-02-26,-19.82
2016-02-29,-19.75
2016-03-01,-19.75
2016-03-02,-19.75
2016-03-03,-19.75
2016-03-04,-19.56
2016-03-07,-19.5
2016-03-08,-19.75
2016-03-09,-19.5
2016-03-10,-19.55
2016-03-11,-19.5
2016-03-14,-19.25
2016-03-15,-18.64
2016-03-16,-29.5
2016-03-17,-21.66
2016-03-18,-18.77
2016-03-21,-18.76
2016-03-22,-18.55
2016-03-23,-21.61
2016-03-24,-19.51
2016-03-25,-19.5
2016-03-28,-19.5
2016-03-29,-20.25
2016-03-30,-18.7
2016-03-31,-20.04
2016-04-01,-20.23
2016-04-04,-19.86
2016-04-05,-20.25
2016-04-06,-19.74
2016-04-07,-19.41
2016-04-08,-18.75
2016-04-11,-18.5
2016-04-12,-19.35
2016-04-13,-19.0
2016-04-14,-19.25
2016-04-15,-19.5
2016-04-18,-19.26
2016-04-19,-20.53
2016-04-20,-20.0
2016-04-21,-19.5
2016-04-22,-19.23
2016-04-25,-18.95
2016-04-26,-21.81
2016-04-27,-19.35
2016-04-28,-19.25
2016-04-29,-19.05
2016-05-02,-19.0
2016-05-03,-19.82
2016-05-04,-20.16
2016-05-05,-20.16
2016-05-06,-20.5
2016-05-09,-20.39
2016-05-10,-19.75
2016-05-11,-19.27
2016-05-12,-19.25
2016-05-13,-19.75
2016-05-16,-20.0
2016-05-17,-20.45
2016-05-18,-20.56
2016-05-19,-23.55
2016-05-20,-19.75
2016-05-23,-19.49
2016-05-24,-19.89
2016-05-25,-19.87
2016-05-26,-19.74
2016-05-27,-20.0
2016-05-30,-19.99
2016-05-31,-20.1
2016-06-01,-20.39
2016-06-02,-20.25
2016-06-03,-20.5
2016-06-06,-20.51
2016-06-07,-21.13
2016-06-08,-21.19
2016-06-09,-21.15
2016-06-10,-20.81
2016-06-13,-20.0
2016-06-14,-19.88
2016-06-15,-27.24
2016-06-16,-19.45
2016-06-17,-19.48
2016-06-20,-19.27
2016-06-21,-19.38
2016-06-22,-33.75
2016-06-23,-28.93
2016-06-24,-40.03
2016-06-27,-35.44
2016-06-28,-34.14
2016-06-29,-23.98
2016-06-30,-23.4
2016-07-01,-23.43
2016-07-04,-23.55
2016-07-05,-24.82
2016-07-06,-26.5
2016-07-07,-26.0
2016-07-08,-25.43
2016-07-11,-25.01
2016-07-12,-24.39
2016-07-13,-24.23
2016-07-14,-24.02
2016-07-15,-25.5
2016-07-18,-25.79
2016-07-19,-26.41
2016-07-20,-25.49
2016-07-21,-26.18
2016-07-22,-26.46
2016-07-25,-27.64
2016-07-26,-29.5
2016-07-27,-30.44
2016-07-28,-30.52
2016-07-29,-28.0
2016-08-01,-28.41
2016-08-02,-27.63
2016-08-03,-27.14
2016-08-04,-26.75
2016-08-05,-26.5
2016-08-08,-26.1
2016-08-09,-25.0
2016-08-10,-25.0
2016-08-11,-24.02
2016-08-12,-23.75
2016-08-15,-23.51
2016-08-16,-23.5
2016-08-17,-23.5
2016-08-18,-22.89
2016-08-19,-22.5
2016-08-22,-22.5
2016-08-23,-24.5
2016-08-24,-25.07
2016-08-25,-28.81
2016-08-26,-25.11
2016-08-29,-25.75
2016-08-30,-25.85
2016-08-31,-24.0
2016-09-01,-26.0
2016-09-02,-22.75
2016-09-05,-22.57
2016-09-06,-22.44
2016-09-07,-21.4
2016-09-08,-20.5
2016-09-09,-19.76
2016-09-12,-19.5
2016-09-13,-15.99
2016-09-14,-15.49
2016-09-15,-16.5
2016-09-16,-20.51
2016-09-19,-21.03
2016-09-20,-24.42
2016-09-21,-26.88
2016-09-22,-46.31
2016-09-23,-45.02
2016-09-26,-45.74
2016-09-27,-47.99
2016-09-28,-47.74
2016-09-29,-29.98
2016-09-30,-32.5
2016-10-03,-30.1
2016-10-04,-30.49
2016-10-05,-27.49
2016-10-06,-27.49
2016-10-07,-27.05
2016-10-10,-25.49
2016-10-11,-22.74
2016-10-12,-23.4
2016-10-13,-24.49
2016-10-14,-26.49
2016-10-17,-27.49
2016-10-18,-27.24
2016-10-19,-25.78
2016-10-20,-25.31
2016-10-21,-25.0
2016-10-24,-25.74
2016-10-25,-25.49
2016-10-26,-23.49
2016-10-27,-25.49
2016-10-28,-26.24
2016-10-31,-28.02
2016-11-01,-25.51
2016-11-02,-34.0
2016-11-03,-23.54
2016-11-04,-23.48
2016-11-07,-23.56
2016-11-08,-18.5
2016-11-09,-19.49
2016-11-10,-19.22
2016-11-11,-20.91
2016-11-14,-21.45
2016-11-15,-27.0
2016-11-16,-24.27
2016-11-17,-23.98
2016-11-18,-23.81
2016-11-21,-23.22
2016-11-22,-24.69
2016-11-23,-24.29
2016-11-24,-24.3
2016-11-25,-23.8
2016-11-28,-25.74
2016-11-29,-27.25
2016-11-30,-25.49
2016-12-01,-25.23
2016-12-02,-24.85
2016-12-05,-25.08
2016-12-06,-25.7
2016-12-07,-25.24
2016-12-08,-21.99
2016-12-09,-25.25
2016-12-12,-27.5
2016-12-13,-28.01
2016-12-14,-28.82
2016-12-15,-37.2
2016-12-16,-32.47
2016-12-19,-32.79
2016-12-20,-35.43
2016-12-21,-35.35
2016-12-22,-62.22
2016-12-23,-97.01
2016-12-26,-97.5
2016-12-27,-100.76
2016-12-28,-133.21
2016-12-29,-47.96
2016-12-30,-59.08
2017-01-02,-34.72
2017-01-03,-36.61
2017-01-04,-35.91
2017-01-05,-30.0
2017-01-06,-30.5
2017-01-09,-29.25
2017-01-10,-28.01
2017-01-11,-24.33
2017-01-12,-26.0
2017-01-13,-25.23
2017-01-16,-25.94
2017-01-17,-24.45
2017-01-18,-24.57
2017-01-19,-23.93
2017-01-20,-25.0
2017-01-23,-30.73
2017-01-24,-30.35
2017-01-25,-28.0
2017-01-26,-28.62
2017-01-27,-27.82
2017-01-30,-25.48
2017-01-31,-24.52
2017-02-01,-24.38
2017-02-02,-23.46
2017-02-03,-25.08
2017-02-06,-24.3
2017-02-07,-22.77
2017-02-08,-24.51
2017-02-09,-27.25
2017-02-10,-23.75
2017-02-13,-24.0
2017-02-14,-24.07
2017-02-15,-24.0
2017-02-16,-24.0
2017-02-17,-23.78
2017-02-20,-26.43
2017-02-21,-26.95
2017-02-22,-25.1
2017-02-23,-26.54
2017-02-24,-25.5
2017-02-27,-24.51
2017-02-28,-25.87
2017-03-01,-24.97
2017-03-02,-25.03
2017-03-03,-23.97
2017-03-06,-24.75
2017-03-07,-24.32
2017-03-08,-24.45
2017-03-09,-25.6
2017-03-10,-26.0
2017-03-13,-25.49
2017-03-14,-27.78
2017-03-15,-28.62
2017-03-16,-28.46
2017-03-17,-29.38
2017-03-20,-29.51
2017-03-21,-28.65
2017-03-22,-27.52
2017-03-23,-55.42
2017-03-24,-50.89
2017-03-27,-44.5
2017-03-28,-42.36
2017-03-29,-37.48
2017-03-30,-27.3
2017-03-31,-27.24
2017-04-03,-27.48
2017-04-04,-27.96
2017-04-05,-44.88
2017-04-06,-32.03
2017-04-07,-28.99
2017-04-10,-30.35
2017-04-11,-28.52
2017-04-12,-28.91
2017-04-13,-29.52
2017-04-14,-29.5
2017-04-17,-29.48
2017-04-18,-32.11
2017-04-19,-31.99
2017-04-20,-35.06
2017-04-21,-32.23
2017-04-24,-29.68
2017-04-25,-30.93
2017-04-26,-30.31
2017-04-27,-31.0
2017-04-28,-31.57
2017-05-01,-31.04
2017-05-02,-31.45
2017-05-03,-32.28
2017-05-04,-30.5
2017-05-05,-30.5
2017-05-08,-29.5
2017-05-09,-28.5
2017-05-10,-28.5
2017-05-11,-28.78
2017-05-12,-29.02
2017-05-15,-28.75
2017-05-16,-31.5
2017-05-17,-27.17
2017-05-18,-32.8
2017-05-19,-29.0
2017-05-22,-29.63
2017-05-23,-29.25
2017-05-24,-32.5
2017-05-25,-32.5
2017-05-26,-31.75
2017-05-29,-30.31
2017-05-30,-30.49
2017-05-31,-30.35
2017-06-01,-29.84
2017-06-02,-29.44
2017-06-05,-29.0
2017-06-06,-29.0
2017-06-07,-28.43
2017-06-08,-29.0
2017-06-09,-30.0
2017-06-12,-31.5
2017-06-13,-31.5
2017-06-14,-43.79
2017-06-15,-32.5
2017-06-16,-32.11
2017-06-19,-32.2
2017-06-20,-32.45
2017-06-21,-49.86
2017-06-22,-55.0
2017-06-23,-54.0
2017-06-26,-51.0
2017-06-27,-49.57
2017-06-28,-42.5
2017-06-29,-30.98
2017-06-30,-31.41
2017-07-03,-32.0
2017-07-04,-31.52
2017-07-05,-32.5
2017-07-06,-33.0
2017-07-07,-33.0
2017-07-10,-33.0
2017-07-11,-32.88
2017-07-12,-32.5
2017-07-13,-31.75
2017-07-14,-32.0
2017-07-17,-30.06
2017-07-18,-32.4
2017-07-19,-32.19
2017-07-20,-32.5
2017-07-21,-31.59
2017-07-24,-31.98
2017-07-25,-32.06
2017-07-26,-30.9
2017-07-27,-31.25
2017-07-28,-31.31
2017-07-31,-31.37
2017-08-01,-30.63
2017-08-02,-30.01
2017-08-03,-30.5
2017-08-04,-30.47
2017-08-07,-29.11
2017-08-08,-29.35
2017-08-09,-30.5
2017-08-10,-30.0
2017-08-11,-29.39
2017-08-14,-30.81
2017-08-15,-31.44
2017-08-16,-31.75
2017-08-17,-31.0
2017-08-18,-30.09
2017-08-21,-31.5
2017-08-22,-31.38
2017-08-23,-31.5
2017-08-24,-35.63
2017-08-25,-34.32
2017-08-28,-30.38
2017-08-29,-30.51
2017-08-30,-30.75
2017-08-31,-30.0
2017-09-01,-28.94
2017-09-04,-29.88
2017-09-05,-29.5
2017-09-06,-29.75
2017-09-07,-29.16
2017-09-08,-29.73
2017-09-11,-29.75
2017-09-12,-29.63
2017-09-13,-29.5
2017-09-14,-29.43
2017-09-15,-29.5
2017-09-18,-29.51
2017-09-19,-29.76
2017-09-20,-28.23
2017-09-21,-38.7
2017-09-22,-35.79
2017-09-25,-38.87
2017-09-26,-40.44
2017-09-27,-40.93
2017-09-28,-35.25
2017-09-29,-30.72
2017-10-02,-32.0
2017-10-03,-31.75
2017-10-04,-30.88
2017-10-05,-30.38
2017-10-06,-30.18
2017-10-09,-30.75
2017-10-10,-31.57
2017-10-11,-31.88
2017-10-12,-32.54
2017-10-13,-31.25
2017-10-16,-30.0
2017-10-17,-30.13
2017-10-18,-30.24
2017-10-19,-29.99
2017-10-20,-30.69
2017-10-23,-30.75
2017-10-24,-30.38
2017-10-25,-29.0
2017-10-26,-29.48
2017-10-27,-30.02
2017-10-30,-29.67
2017-10-31,-30.02
2017-11-01,-29.39
2017-11-02,-30.38
2017-11-03,-30.48
2017-11-06,-30.38
2017-11-07,-29.88
2017-11-08,-30.25
2017-11-09,-29.26
2017-11-10,-29.24
2017-11-13,-29.82
2017-11-14,-34.18
2017-11-15,-29.39
2017-11-16,-29.94
2017-11-17,-30.25
2017-11-20,-31.0
2017-11-21,-31.25
2017-11-22,-30.67
2017-11-23,-31.03
2017-11-24,-31.25
2017-11-27,-30.78
2017-11-28,-31.52
2017-11-29,-32.69
2017-11-30,-30.01
2017-12-01,-26.25
2017-12-04,-29.87
2017-12-05,-31.25
2017-12-06,-31.5
2017-12-07,-33.05
2017-12-08,-33.24
2017-12-11,-32.72
2017-12-12,-33.33
2017-12-13,-31.88
2017-12-14,-42.2
2017-12-15,-40.0
2017-12-18,-35.0
2017-12-19,-31.6
2017-12-20,-31.32
2017-12-21,-153.97
2017-12-22,-176.0
2017-12-25,-177.17
2017-12-26,-178.78
