Date,Value
2016-01-01,-803.5
2016-01-04,-805.0
2016-01-05,-843.5
2016-01-06,-832.5
2016-01-07,-823.5
2016-01-08,-812.0
2016-01-11,-820.5
2016-01-12,-817.5
2016-01-13,-825.5
2016-01-14,-805.5
2016-01-15,-824.5
2016-01-18,-826.0
2016-01-19,-820.5
2016-01-20,-812.0
2016-01-21,-811.35
2016-01-22,-814.5
2016-01-25,-817.5
2016-01-26,-810.5
2016-01-27,-827.5
2016-01-28,-829.0
2016-01-29,-833.5
2016-02-01,-835.5
2016-02-02,-829.5
2016-02-03,-831.0
2016-02-04,-807.5
2016-02-05,-841.5
2016-02-08,-839.5
2016-02-09,-855.5
2016-02-10,-859.5
2016-02-11,-885.5
2016-02-12,-890.5
2016-02-15,-900.2
2016-02-16,-900.5
2016-02-17,-909.5
2016-02-18,-897.7
2016-02-19,-907.5
2016-02-22,-911.5
2016-02-23,-906.5
2016-02-24,-923.5
2016-02-25,-937.5
2016-02-26,-971.5
2016-02-29,-960.5
2016-03-01,-974.5
2016-03-02,-978.3
2016-03-03,-970.58
2016-03-04,-961.5
2016-03-07,-977.5
2016-03-08,-977.5
2016-03-09,-972.5
2016-03-10,-962.5
2016-03-11,-959.0
2016-03-14,-953.9
2016-03-15,-956.5
2016-03-16,-960.5
2016-03-17,-895.5
2016-03-18,-887.5
2016-03-21,-893.5
2016-03-22,-905.25
2016-03-23,-895.5
2016-03-24,-902.5
2016-03-25,-902.5
2016-03-28,-899.5
2016-03-29,-864.5
2016-03-30,-878.5
2016-03-31,-867.5
2016-04-01,-870.5
2016-04-04,-868.5
2016-04-05,-866.35
2016-04-06,-862.5
2016-04-07,-846.5
2016-04-08,-860.75
2016-04-11,-847.5
2016-04-12,-843.75
2016-04-13,-836.5
2016-04-14,-839.5
2016-04-15,-833.5
2016-04-18,-829.17
2016-04-19,-842.72
2016-04-20,-837.5
2016-04-21,-852.22
2016-04-22,-858.5
2016-04-25,-855.5
2016-04-26,-856.5
2016-04-27,-866.0
2016-04-28,-861.45
2016-04-29,-849.5
2016-05-02,-860.5
2016-05-03,-845.5
2016-05-04,-849.5
2016-05-05,-854.5
2016-05-06,-857.5
2016-05-09,-849.5
2016-05-10,-848.0
2016-05-11,-846.75
2016-05-12,-856.5
2016-05-13,-867.5
2016-05-16,-884.5
2016-05-17,-899.5
2016-05-18,-912.5
2016-05-19,-943.03
2016-05-20,-950.75
2016-05-23,-963.5
2016-05-24,-965.5
2016-05-25,-973.5
2016-05-26,-962.5
2016-05-27,-967.5
2016-05-30,-965.5
2016-05-31,-977.5
2016-06-01,-978.15
2016-06-02,-994.0
2016-06-03,-932.47
2016-06-06,-939.5
2016-06-07,-945.5
2016-06-08,-924.5
2016-06-09,-921.5
2016-06-10,-931.5
2016-06-13,-934.9
2016-06-14,-955.5
2016-06-15,-951.5
2016-06-16,-949.65
2016-06-17,-948.5
2016-06-20,-941.0
2016-06-21,-943.5
2016-06-22,-959.0
2016-06-23,-942.5
2016-06-24,-986.5
2016-06-27,-974.5
2016-06-28,-967.5
2016-06-29,-989.5
2016-06-30,-978.5
2016-07-01,-981.5
2016-07-04,-986.3
2016-07-05,-1001.5
2016-07-06,-1014.5
2016-07-07,-1020.5
2016-07-08,-1022.5
2016-07-11,-1029.5
2016-07-12,-1054.5
2016-07-13,-1051.5
2016-07-14,-1039.5
2016-07-15,-1060.5
2016-07-18,-1066.5
2016-07-19,-1079.5
2016-07-20,-1092.5
2016-07-21,-1116.8
2016-07-22,-1121.25
2016-07-25,-1140.63
2016-07-26,-1183.5
2016-07-27,-1184.5
2016-07-28,-1177.5
2016-07-29,-1125.5
2016-08-01,-1158.5
2016-08-02,-1164.5
2016-08-03,-1167.5
2016-08-04,-1159.0
2016-08-05,-1182.5
2016-08-08,-1178.5
2016-08-09,-1180.0
2016-08-10,-1157.9
2016-08-11,-1145.97
2016-08-12,-1138.5
2016-08-15,-1136.0
2016-08-16,-1145.5
2016-08-17,-1145.92
2016-08-18,-1118.5
2016-08-19,-1122.5
2016-08-22,-1127.5
2016-08-23,-1138.5
2016-08-24,-1133.5
2016-08-25,-1147.5
