Date,Value
2016-01-01,-0.5125
2016-01-04,-0.5575
2016-01-05,-0.565
2016-01-06,-0.615
2016-01-07,-0.6
2016-01-08,-0.595
2016-01-11,-0.625
2016-01-12,-0.595
2016-01-13,-0.635
2016-01-14,-0.655
2016-01-15,-0.645
2016-01-18,-0.68
2016-01-19,-0.665
2016-01-20,-0.705
2016-01-21,-0.725
2016-01-22,-0.72
2016-01-25,-0.74
2016-01-26,-0.74
2016-01-27,-0.705
2016-01-28,-0.7
2016-01-29,-0.7525
2016-02-01,-0.725
2016-02-02,-0.73
2016-02-03,-0.755
2016-02-04,-0.715
2016-02-05,-0.71
2016-02-08,-0.775
2016-02-09,-0.785
2016-02-10,-0.775
2016-02-11,-0.825
2016-02-12,-0.7575
2016-02-15,-0.785
2016-02-16,-0.805
2016-02-17,-0.805
2016-02-18,-0.825
2016-02-19,-0.82
2016-02-22,-0.865
2016-02-23,-0.895
2016-02-24,-0.905
2016-02-25,-0.915
2016-02-26,-0.9
2016-02-29,-0.935
2016-03-01,-0.93
2016-03-02,-0.91
2016-03-03,-0.915
2016-03-04,-0.885
2016-03-07,-0.89
2016-03-08,-0.9
2016-03-09,-0.845
2016-03-10,-0.79
2016-03-11,-0.775
2016-03-14,-0.755
2016-03-15,-0.745
2016-03-16,-0.765
2016-03-17,-0.775
2016-03-18,-0.785
2016-03-21,-0.78
2016-03-22,-0.785
2016-03-23,-0.795
2016-03-24,-0.785
2016-03-25,-0.79
2016-03-28,-0.79
2016-03-29,-0.785
2016-03-30,-0.785
2016-03-31,-0.785
2016-04-01,-0.77
2016-04-04,-0.775
2016-04-05,-0.78
2016-04-06,-0.775
2016-04-07,-0.805
2016-04-08,-0.795
2016-04-11,-0.81
2016-04-12,-0.795
2016-04-13,-0.795
2016-04-14,-0.805
2016-04-15,-0.8175
2016-04-18,-0.805
2016-04-19,-0.8
2016-04-20,-0.805
2016-04-21,-0.775
2016-04-22,-0.755
2016-04-25,-0.755
2016-04-26,-0.7525
2016-04-27,-0.75
2016-04-28,-0.755
2016-04-29,-0.76
2016-05-02,-0.735
2016-05-03,-0.7725
2016-05-04,-0.755
2016-05-05,-0.7825
2016-05-06,-0.79
2016-05-09,-0.785
2016-05-10,-0.8
2016-05-11,-0.795
2016-05-12,-0.795
2016-05-13,-0.805
2016-05-16,-0.795
2016-05-17,-0.8
2016-05-18,-0.7975
2016-05-19,-0.785
2016-05-20,-0.795
2016-05-23,-0.765
2016-05-24,-0.765
2016-05-25,-0.76
2016-05-26,-0.7875
2016-05-27,-0.7625
2016-05-30,-0.775
2016-05-31,-0.77
2016-06-01,-0.785
2016-06-02,-0.7875
2016-06-03,-0.815
2016-06-06,-0.805
2016-06-07,-0.83
2016-06-08,-0.855
2016-06-09,-0.885
2016-06-10,-0.895
2016-06-13,-0.925
2016-06-14,-0.945
2016-06-15,-0.965
2016-06-16,-0.9725
2016-06-17,-0.94
2016-06-20,-0.915
2016-06-21,-0.895
2016-06-22,-0.875
2016-06-23,-0.8425
2016-06-24,-0.965
2016-06-27,-1.015
2016-06-28,-0.965
2016-06-29,-0.985
2016-06-30,-1.025
2016-07-01,-1.015
2016-07-04,-1.01
2016-07-05,-1.025
2016-07-06,-1.0
2016-07-07,-0.985
2016-07-08,-1.025
2016-07-11,-1.04
2016-07-12,-1.005
2016-07-13,-0.995
2016-07-14,-0.955
2016-07-15,-0.935
2016-07-18,-0.935
2016-07-19,-0.915
2016-07-20,-0.8925
2016-07-21,-0.885
2016-07-22,-0.8875
2016-07-25,-0.87
2016-07-26,-0.865
2016-07-27,-0.885
2016-07-28,-0.8875
2016-07-29,-0.915
2016-08-01,-0.885
2016-08-02,-0.855
2016-08-03,-0.84
2016-08-04,-0.865
2016-08-05,-0.845
2016-08-08,-0.84
2016-08-09,-0.84
2016-08-10,-0.855
2016-08-11,-0.84
2016-08-12,-0.845
2016-08-15,-0.815
2016-08-16,-0.795
2016-08-17,-0.79
2016-08-18,-0.8
2016-08-19,-0.7975
2016-08-22,-0.8
2016-08-23,-0.8175
2016-08-24,-0.815
2016-08-25,-0.825
2016-08-26,-0.815
2016-08-29,-0.8
2016-08-30,-0.795
2016-08-31,-0.775
2016-09-01,-0.7613
2016-09-02,-0.7625
2016-09-05,-0.755
2016-09-06,-0.775
2016-09-07,-0.78
2016-09-08,-0.7825
2016-09-09,-0.745
2016-09-12,-0.725
2016-09-13,-0.725
2016-09-14,-0.715
2016-09-15,-0.715
2016-09-16,-0.735
2016-09-19,-0.735
2016-09-20,-0.755
2016-09-21,-0.735
2016-09-22,-0.77
2016-09-23,-0.765
2016-09-26,-0.805
2016-09-27,-0.81
2016-09-28,-0.815
2016-09-29,-0.8075
2016-09-30,-0.795
2016-10-03,-0.81
2016-10-04,-0.785
2016-10-05,-0.765
2016-10-06,-0.755
2016-10-07,-0.7625
2016-10-10,-0.735
2016-10-11,-0.755
2016-10-12,-0.7313
2016-10-13,-0.7525
2016-10-14,-0.735
2016-10-17,-0.7375
2016-10-18,-0.745
2016-10-19,-0.735
2016-10-20,-0.7425
2016-10-21,-0.725
2016-10-24,-0.735
2016-10-25,-0.715
2016-10-26,-0.705
2016-10-27,-0.665
2016-10-28,-0.68
2016-10-31,-0.68
2016-11-01,-0.665
2016-11-02,-0.6925
2016-11-03,-0.66
2016-11-04,-0.68
2016-11-07,-0.665
2016-11-08,-0.665
2016-11-09,-0.655
2016-11-10,-0.575
2016-11-11,-0.55
2016-11-14,-0.53
2016-11-15,-0.525
2016-11-16,-0.5475
2016-11-17,-0.545
2016-11-18,-0.5463
2016-11-21,-0.5775
2016-11-22,-0.595
2016-11-23,-0.5975
2016-11-24,-0.6075
2016-11-25,-0.6075
2016-11-28,-0.605
2016-11-29,-0.6
2016-11-30,-0.57
2016-12-01,-0.5425
2016-12-02,-0.57
2016-12-05,-0.53
2016-12-06,-0.5263
2016-12-07,-0.525
2016-12-08,-0.545
2016-12-09,-0.515
2016-12-12,-0.495
2016-12-13,-0.54
2016-12-14,-0.54
2016-12-15,-0.515
2016-12-16,-0.5375
2016-12-19,-0.535
2016-12-20,-0.515
2016-12-21,-0.525
2016-12-22,-0.515
2016-12-23,-0.525
2016-12-26,-0.545
2016-12-27,-0.5475
2016-12-28,-0.55
2016-12-29,-0.5575
2016-12-30,-0.535
2017-01-02,-0.5625
2017-01-03,-0.56
2017-01-04,-0.545
2017-01-05,-0.575
2017-01-06,-0.555
2017-01-09,-0.59
2017-01-10,-0.565
2017-01-11,-0.605
2017-01-12,-0.595
2017-01-13,-0.585
2017-01-16,-0.615
2017-01-17,-0.585
2017-01-18,-0.565
2017-01-19,-0.525
2017-01-20,-0.51
2017-01-23,-0.545
2017-01-24,-0.5475
2017-01-25,-0.51
2017-01-26,-0.505
2017-01-27,-0.5375
2017-01-30,-0.5475
2017-01-31,-0.525
2017-02-01,-0.5325
2017-02-02,-0.53
2017-02-03,-0.535
2017-02-06,-0.565
2017-02-07,-0.565
2017-02-08,-0.595
2017-02-09,-0.585
2017-02-10,-0.6
2017-02-13,-0.58
2017-02-14,-0.5875
2017-02-15,-0.565
2017-02-16,-0.575
2017-02-17,-0.6225
2017-02-20,-0.59
2017-02-21,-0.59
2017-02-22,-0.615
2017-02-23,-0.635
2017-02-24,-0.665
2017-02-27,-0.68
2017-02-28,-0.665
2017-03-01,-0.635
2017-03-02,-0.605
2017-03-03,-0.565
2017-03-06,-0.56
2017-03-07,-0.56
2017-03-08,-0.545
2017-03-09,-0.505
2017-03-10,-0.455
2017-03-13,-0.445
2017-03-14,-0.455
2017-03-15,-0.475
2017-03-16,-0.465
2017-03-17,-0.475
2017-03-20,-0.465
2017-03-21,-0.445
2017-03-22,-0.475
2017-03-23,-0.495
2017-03-24,-0.485
2017-03-27,-0.4863
2017-03-28,-0.5325
2017-03-29,-0.565
2017-03-30,-0.535
2017-03-31,-0.525
2017-04-03,-0.555
2017-04-04,-0.5925
2017-04-05,-0.585
2017-04-06,-0.57
2017-04-07,-0.595
2017-04-10,-0.605
2017-04-11,-0.6325
2017-04-12,-0.605
2017-04-13,-0.605
2017-04-14,-0.645
2017-04-17,-0.645
2017-04-18,-0.625
2017-04-19,-0.6425
2017-04-20,-0.605
2017-04-21,-0.6225
2017-04-24,-0.515
2017-04-25,-0.495
2017-04-26,-0.505
2017-04-27,-0.5475
2017-04-28,-0.515
2017-05-01,-0.5475
2017-05-02,-0.505
