Date,Value
2016-01-01,-0.7412
2016-01-04,-0.7592
2016-01-05,-0.7662
2016-01-06,-0.7762
2016-01-07,-0.7712
2016-01-08,-0.7762
2016-01-11,-0.7842
2016-01-12,-0.7812
2016-01-13,-0.7937
2016-01-14,-0.8032
2016-01-15,-0.8137
2016-01-18,-0.8182
2016-01-19,-0.8107
2016-01-20,-0.8212
2016-01-21,-0.8387
2016-01-22,-0.8462
2016-01-25,-0.8622
2016-01-26,-0.8502
2016-01-27,-0.8212
2016-01-28,-0.8212
2016-01-29,-0.8542
2016-02-01,-0.8302
2016-02-02,-0.8237
2016-02-03,-0.8262
2016-02-04,-0.8112
2016-02-05,-0.8152
2016-02-08,-0.8437
2016-02-09,-0.8562
2016-02-10,-0.8487
2016-02-11,-0.8837
2016-02-12,-0.8562
2016-02-15,-0.8662
2016-02-16,-0.8687
2016-02-17,-0.8842
2016-02-18,-0.8932
2016-02-19,-0.8962
2016-02-22,-0.9302
2016-02-23,-0.9412
2016-02-24,-0.9562
2016-02-25,-0.9687
2016-02-26,-0.9692
2016-02-29,-0.9737
2016-03-01,-0.9587
2016-03-02,-0.9612
2016-03-03,-0.9637
2016-03-04,-0.9332
2016-03-07,-0.9312
2016-03-08,-0.9287
2016-03-09,-0.9062
2016-03-10,-0.8562
2016-03-11,-0.8187
2016-03-14,-0.8242
2016-03-15,-0.8087
2016-03-16,-0.8037
2016-03-17,-0.8037
2016-03-18,-0.8087
2016-03-21,-0.8087
2016-03-22,-0.8162
2016-03-23,-0.8142
2016-03-24,-0.8012
2016-03-25,-0.8062
2016-03-28,-0.8062
2016-03-29,-0.8132
2016-03-30,-0.8142
2016-03-31,-0.7972
2016-04-01,-0.7912
2016-04-04,-0.8062
2016-04-05,-0.7987
2016-04-06,-0.7912
2016-04-07,-0.8112
2016-04-08,-0.8052
2016-04-11,-0.8072
2016-04-12,-0.8052
2016-04-13,-0.8052
2016-04-14,-0.8062
2016-04-15,-0.8062
2016-04-18,-0.8012
2016-04-19,-0.8022
2016-04-20,-0.8037
2016-04-21,-0.7937
2016-04-22,-0.7837
2016-04-25,-0.7787
2016-04-26,-0.7867
2016-04-27,-0.7822
2016-04-28,-0.7782
2016-04-29,-0.7872
2016-05-02,-0.7717
2016-05-03,-0.7797
2016-05-04,-0.7772
2016-05-05,-0.7822
2016-05-06,-0.7787
2016-05-09,-0.7762
2016-05-10,-0.7877
2016-05-11,-0.7722
2016-05-12,-0.7802
2016-05-13,-0.7862
2016-05-16,-0.7837
2016-05-17,-0.7897
2016-05-18,-0.7912
2016-05-19,-0.7777
2016-05-20,-0.7692
2016-05-23,-0.7692
2016-05-24,-0.7687
2016-05-25,-0.7612
2016-05-26,-0.7642
2016-05-27,-0.7612
2016-05-30,-0.7637
2016-05-31,-0.7682
2016-06-01,-0.7787
2016-06-02,-0.7762
2016-06-03,-0.7892
2016-06-06,-0.7812
2016-06-07,-0.8042
2016-06-08,-0.8262
2016-06-09,-0.8437
2016-06-10,-0.8412
2016-06-13,-0.8687
2016-06-14,-0.8962
2016-06-15,-0.9037
2016-06-16,-0.9162
2016-06-17,-0.8987
2016-06-20,-0.8587
2016-06-21,-0.8707
2016-06-22,-0.8742
2016-06-23,-0.8412
2016-06-24,-0.9412
2016-06-27,-1.0372
2016-06-28,-0.9262
2016-06-29,-1.0022
2016-06-30,-0.9462
2016-07-01,-0.9487
2016-07-04,-0.9337
2016-07-05,-0.9602
2016-07-06,-0.9337
2016-07-07,-0.9262
2016-07-08,-0.9572
2016-07-11,-0.9592
2016-07-12,-0.9237
2016-07-13,-0.9112
2016-07-14,-0.8952
2016-07-15,-0.8792
2016-07-18,-0.8712
