Date,Open,High,Low,Close
2016-01-01,1.4185,1.4187,1.409,1.4122
2016-01-04,1.4188,1.428,1.4148,1.4242
2016-01-05,1.4242,1.4285,1.4226,1.4256
2016-01-06,1.4256,1.4391,1.4246,1.4362
2016-01-07,1.4362,1.4431,1.4292,1.4336
2016-01-08,1.4336,1.443,1.4274,1.4428
2016-01-11,1.4412,1.4444,1.432,1.4345
2016-01-12,1.4344,1.441,1.4313,1.4381
2016-01-13,1.4381,1.4387,1.4309,1.4367
2016-01-14,1.4367,1.441,1.4363,1.4368
2016-01-15,1.4368,1.4427,1.4363,1.4396
2016-01-18,1.441,1.4414,1.4381,1.4396
2016-01-19,1.4396,1.4402,1.4334,1.4368
2016-01-20,1.4368,1.4412,1.4355,1.4378
2016-01-21,1.4378,1.4396,1.4321,1.4323
2016-01-22,1.4323,1.4342,1.4254,1.4299
2016-01-25,1.4289,1.4317,1.4263,1.4302
2016-01-26,1.4302,1.4329,1.4242,1.4266
2016-01-27,1.4266,1.4326,1.4245,1.4324
2016-01-28,1.4324,1.4327,1.4234,1.4279
2016-01-29,1.4279,1.431,1.4204,1.4243
2016-02-01,1.4245,1.4278,1.4218,1.4226
2016-02-02,1.4226,1.4294,1.4218,1.4285
2016-02-03,1.4285,1.4336,1.4114,1.4136
2016-02-04,1.4136,1.4169,1.395,1.3974
2016-02-05,1.3974,1.4096,1.3935,1.4083
2016-02-08,1.4064,1.4105,1.4027,1.4047
2016-02-09,1.4047,1.4084,1.3951,1.3966
2016-02-10,1.3966,1.3978,1.3906,1.3917
2016-02-11,1.3917,1.3935,1.3861,1.3897
2016-02-12,1.3897,1.3997,1.3884,1.398
2016-02-15,1.3948,1.403,1.3945,1.4005
2016-02-16,1.4005,1.4067,1.3967,1.4056
2016-02-17,1.4056,1.4113,1.4025,1.4033
2016-02-18,1.4033,1.4057,1.401,1.403
2016-02-19,1.403,1.4094,1.4024,1.4053
2016-02-22,1.4046,1.4075,1.3983,1.3996
2016-02-23,1.3996,1.4092,1.3986,1.4074
2016-02-24,1.4074,1.411,1.4023,1.4054
2016-02-25,1.4054,1.4061,1.4002,1.4019
2016-02-26,1.4019,1.4099,1.3988,1.408
2016-02-29,1.409,1.4119,1.4039,1.4066
2016-03-01,1.4066,1.4072,1.3992,1.4006
2016-03-02,1.4006,1.4045,1.3968,1.3968
2016-03-03,1.3968,1.3989,1.3881,1.3889
2016-03-04,1.3889,1.3896,1.3734,1.3747
2016-03-07,1.3745,1.384,1.3742,1.3783
2016-03-08,1.3783,1.387,1.3782,1.3848
2016-03-09,1.3848,1.3884,1.3781,1.3825
2016-03-10,1.3825,1.3884,1.3785,1.3805
2016-03-11,1.3805,1.3837,1.3699,1.3733
2016-03-14,1.3735,1.3778,1.3722,1.3765
2016-03-15,1.3765,1.3827,1.3752,1.3818
2016-03-16,1.3818,1.3852,1.3647,1.3649
2016-03-17,1.3649,1.3673,1.3487,1.3499
2016-03-18,1.3499,1.3594,1.348,1.3581
2016-03-21,1.3573,1.3621,1.3569,1.3599
2016-03-22,1.3599,1.3643,1.3569,1.3597
2016-03-23,1.3597,1.3687,1.3581,1.3667
2016-03-24,1.3667,1.372,1.3663,1.3696
2016-03-25,1.3696,1.3737,1.3692,1.3717
2016-03-28,1.3713,1.3738,1.3681,1.3699
2016-03-29,1.3699,1.3709,1.3527,1.3544
2016-03-30,1.3543,1.3585,1.3463,1.3502
2016-03-31,1.3502,1.3525,1.3415,1.3484
2016-04-01,1.3484,1.3553,1.345,1.3508
2016-04-04,1.35,1.3538,1.3473,1.352
2016-04-05,1.352,1.3593,1.351,1.3567
2016-04-06,1.3567,1.3574,1.3453,1.3473
2016-04-07,1.3473,1.3536,1.3458,1.3527
2016-04-08,1.3527,1.3547,1.3462,1.3491
2016-04-11,1.3485,1.3498,1.3422,1.3437
2016-04-12,1.3437,1.3493,1.3432,1.3435
2016-04-13,1.3434,1.3533,1.3428,1.3507
2016-04-14,1.3507,1.3668,1.3491,1.3634
2016-04-15,1.3634,1.3658,1.3561,1.3575
2016-04-18,1.3569,1.3622,1.3502,1.3513
2016-04-19,1.3513,1.3522,1.3352,1.3373
2016-04-20,1.3373,1.3447,1.3362,1.3444
2016-04-21,1.3444,1.3509,1.3424,1.3494
