Date,Value
2016-01-01,15.13
2016-01-04,17.13
2016-01-05,16.38
2016-01-06,16.5
2016-01-07,16.5
2016-01-08,17.31
2016-01-11,18.75
2016-01-12,16.25
2016-01-13,13.75
2016-01-14,15.0
2016-01-15,14.25
2016-01-18,14.0
2016-01-19,12.5
2016-01-20,12.0
2016-01-21,11.5
2016-01-22,10.75
2016-01-25,11.5
2016-01-26,11.25
2016-01-27,10.0
2016-01-28,10.25
2016-01-29,8.0
2016-02-01,7.5
2016-02-02,9.0
2016-02-03,11.25
2016-02-04,8.0
2016-02-05,10.0
2016-02-08,9.5
2016-02-09,8.63
2016-02-10,7.75
2016-02-11,6.11
2016-02-12,5.5
2016-02-15,6.14
2016-02-16,6.38
2016-02-17,6.88
2016-02-18,6.25
2016-02-19,8.25
2016-02-22,7.88
2016-02-23,9.35
2016-02-24,8.5
2016-02-25,8.38
2016-02-26,8.06
2016-02-29,8.25
2016-03-01,7.75
2016-03-02,8.5
2016-03-03,7.75
2016-03-04,7.75
2016-03-07,6.75
2016-03-08,7.5
2016-03-09,6.5
2016-03-10,5.25
2016-03-11,6.0
2016-03-14,6.0
2016-03-15,6.75
2016-03-16,6.5
2016-03-17,4.91
2016-03-18,4.25
2016-03-21,4.75
2016-03-22,4.75
2016-03-23,4.5
2016-03-24,4.5
2016-03-25,4.5
2016-03-28,4.5
2016-03-29,3.73
2016-03-30,1.5
2016-03-31,1.25
2016-04-01,4.0
2016-04-04,5.0
2016-04-05,5.0
2016-04-06,4.5
2016-04-07,4.5
2016-04-08,3.75
2016-04-11,3.5
2016-04-12,3.0
2016-04-13,3.5
2016-04-14,5.5
2016-04-15,5.0
2016-04-18,5.0
2016-04-19,4.25
2016-04-20,8.63
2016-04-21,9.25
2016-04-22,9.0
2016-04-25,10.41
2016-04-26,11.25
2016-04-27,9.38
2016-04-28,8.5
2016-04-29,10.5
2016-05-02,10.5
2016-05-03,15.0
2016-05-04,13.0
2016-05-05,10.0
2016-05-06,9.25
2016-05-09,8.0
2016-05-10,7.0
2016-05-11,6.0
2016-05-12,5.5
2016-05-13,7.38
2016-05-16,6.85
2016-05-17,6.25
2016-05-18,7.5
2016-05-19,7.0
2016-05-20,11.88
2016-05-23,11.5
2016-05-24,8.5
2016-05-25,8.25
2016-05-26,8.0
2016-05-27,8.25
2016-05-30,7.63
2016-05-31,6.63
2016-06-01,6.0
2016-06-02,5.35
2016-06-03,5.0
2016-06-06,5.15
2016-06-07,4.5
2016-06-08,4.5
2016-06-09,4.5
2016-06-10,5.25
2016-06-13,4.75
2016-06-14,4.25
2016-06-15,4.38
2016-06-16,3.25
2016-06-17,3.25
2016-06-20,2.7
2016-06-21,1.5
