Date,Value
2016-01-01,3.75
2016-01-04,2.8
2016-01-05,2.8
2016-01-06,3.0
2016-01-07,4.1
2016-01-08,3.65
2016-01-11,4.5
2016-01-12,3.15
2016-01-13,2.2
2016-01-14,2.85
2016-01-15,2.65
2016-01-18,2.1
2016-01-19,2.25
2016-01-20,1.1
2016-01-21,0.8
2016-01-22,1.1
2016-01-25,1.1
2016-01-26,1.0
2016-01-27,0.6
2016-01-28,0.0
2016-01-29,0.7
2016-02-01,0.3
2016-02-02,0.8
2016-02-03,1.5
2016-02-04,1.1
2016-02-05,1.1
2016-02-08,1.1
2016-02-09,1.25
2016-02-10,1.0
2016-02-11,0.0
2016-02-12,0.5
2016-02-15,0.8
2016-02-16,0.88
2016-02-17,1.38
2016-02-18,0.8
2016-02-19,0.85
2016-02-22,1.03
2016-02-23,1.6
2016-02-24,1.63
2016-02-25,1.2
2016-02-26,1.06
2016-02-29,1.1
2016-03-01,1.35
2016-03-02,1.38
2016-03-03,1.0
2016-03-04,0.95
2016-03-07,0.85
2016-03-08,0.65
2016-03-09,0.6
2016-03-10,0.85
2016-03-11,0.75
2016-03-14,1.02
2016-03-15,0.55
2016-03-16,1.02
2016-03-17,0.23
2016-03-18,0.25
2016-03-21,0.2
2016-03-22,0.25
2016-03-23,0.55
2016-03-24,0.45
2016-03-25,0.73
2016-03-28,0.6
2016-03-29,0.2
2016-03-30,-0.3
2016-03-31,-0.1
2016-04-01,0.5
2016-04-04,0.85
2016-04-05,-0.2
2016-04-06,0.55
2016-04-07,0.4
2016-04-08,0.5
2016-04-11,0.65
2016-04-12,0.5
2016-04-13,0.65
2016-04-14,1.6
2016-04-15,0.9
2016-04-18,0.8
2016-04-19,0.83
2016-04-20,0.9
2016-04-21,2.5
2016-04-22,2.1
2016-04-25,3.5
2016-04-26,3.55
2016-04-27,2.65
2016-04-28,1.6
2016-04-29,1.6
2016-05-02,1.6
2016-05-03,4.0
2016-05-04,3.07
2016-05-05,1.5
2016-05-06,1.5
2016-05-09,1.0
2016-05-10,0.7
2016-05-11,0.3
2016-05-12,0.0
2016-05-13,0.43
2016-05-16,0.73
2016-05-17,0.65
2016-05-18,0.45
2016-05-19,1.05
2016-05-20,4.0
2016-05-23,1.8
2016-05-24,2.5
2016-05-25,1.15
2016-05-26,1.53
2016-05-27,1.45
2016-05-30,1.02
2016-05-31,0.7
2016-06-01,0.76
2016-06-02,0.45
2016-06-03,0.25
2016-06-06,0.0
2016-06-07,-0.1
2016-06-08,-0.1
2016-06-09,0.15
2016-06-10,0.2
2016-06-13,0.3
2016-06-14,-0.05
2016-06-15,0.2
2016-06-16,-0.2
2016-06-17,0.0
2016-06-20,-0.3
2016-06-21,-0.5
2016-06-22,-0.5
2016-06-23,-0.38
2016-06-24,-0.1
2016-06-27,0.48
2016-06-28,-0.55
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,-0.2
2016-07-04,-0.35
2016-07-05,-0.35
2016-07-06,-0.35
2016-07-07,-0.45
2016-07-08,-0.28
2016-07-11,-0.5
2016-07-12,-0.55
2016-07-13,-0.12
2016-07-14,-0.35
2016-07-15,-0.2
2016-07-18,-0.2
2016-07-19,-0.1
2016-07-20,0.25
2016-07-21,0.5
2016-07-22,0.5
2016-07-25,1.0
2016-07-26,2.0
2016-07-27,2.0
2016-07-28,1.0
