Date,Value
2016-01-04,0.415
2016-01-05,0.2071
2016-01-06,0.4788
2016-01-07,0.6187
2016-01-08,0.66
2016-01-11,0.9215
2016-01-12,0.6327
2016-01-13,0.54
2016-01-14,0.181
2016-01-15,0.1571
2016-01-18,0.3344
2016-01-19,0.2782
2016-01-20,0.2574
2016-01-21,0.1234
2016-01-22,0.1559
2016-01-25,0.1477
2016-01-26,0.1594
2016-01-27,0.1371
2016-01-28,0.1949
2016-01-29,0.1954
2016-02-01,0.1572
2016-02-02,0.2748
2016-02-03,0.2359
2016-02-04,0.264
2016-02-05,0.3061
2016-02-10,0.146
2016-02-11,0.0879
2016-02-12,0.1689
2016-02-15,0.1309
2016-02-16,0.2218
2016-02-17,0.353
2016-02-18,0.3423
2016-02-19,0.2776
2016-02-22,0.3736
2016-02-23,0.3094
2016-02-24,0.3774
2016-02-25,0.3362
2016-02-26,0.3476
2016-02-29,0.5059
2016-03-01,0.4915
2016-03-02,0.4329
2016-03-03,0.415
2016-03-04,0.2754
2016-03-07,0.2912
2016-03-08,0.3696
2016-03-09,0.2949
2016-03-10,0.3274
2016-03-11,0.3
2016-03-14,0.2973
2016-03-15,0.2826
2016-03-16,0.2754
2016-03-17,0.1751
2016-03-18,0.233
2016-03-21,0.2849
2016-03-22,0.2591
2016-03-23,0.2309
2016-03-24,0.2752
2016-03-28,0.3018
2016-03-29,0.1692
2016-03-30,0.1035
2016-03-31,0.1332
2016-04-01,0.2503
2016-04-04,0.2835
2016-04-05,0.2968
2016-04-06,0.2105
2016-04-07,0.2044
2016-04-08,0.1936
2016-04-11,0.2105
2016-04-12,0.1244
2016-04-13,0.1451
2016-04-14,0.3209
2016-04-15,0.3666
2016-04-18,0.2637
2016-04-19,0.3029
2016-04-20,0.354
2016-04-21,0.4835
2016-04-22,0.6771
2016-04-25,0.5986
2016-04-26,0.6649
2016-04-27,0.6359
2016-04-28,0.3292
2016-04-29,0.4125
2016-05-03,0.506
2016-05-04,0.2011
2016-05-05,0.1426
2016-05-06,0.2989
2016-05-09,0.2913
2016-05-10,0.1364
2016-05-11,0.0599
2016-05-12,0.1049
2016-05-13,0.095
2016-05-16,0.0765
2016-05-17,0.0805
2016-05-18,0.1209
2016-05-19,0.1827
2016-05-20,0.1496
2016-05-23,0.2659
2016-05-24,0.2268
2016-05-25,0.329
2016-05-26,0.2552
2016-05-27,0.229
2016-05-30,0.3567
2016-05-31,0.2297
2016-06-01,0.2393
2016-06-02,0.1044
2016-06-03,0.1153
2016-06-06,0.1614
2016-06-07,0.0581
2016-06-08,0.0565
2016-06-09,0.0574
2016-06-10,0.1128
2016-06-13,0.0921
2016-06-14,0.051
2016-06-15,0.0414
2016-06-16,0.0727
2016-06-17,0.0741
2016-06-20,0.0774
2016-06-21,0.0626
2016-06-22,0.0416
2016-06-23,0.043
2016-06-24,0.0825
2016-06-27,0.0846
2016-06-28,0.0831
2016-06-29,0.1845
2016-06-30,0.4412
2016-07-01,0.1478
2016-07-04,0.1342
2016-07-05,0.109
2016-07-07,0.0847
2016-07-08,0.0717
2016-07-11,0.0566
2016-07-12,0.064
2016-07-13,0.0563
2016-07-14,0.075
2016-07-15,0.1187
2016-07-18,0.0727
2016-07-19,0.0557
2016-07-20,0.1572
2016-07-21,0.4879
2016-07-22,0.3511
2016-07-25,0.6345
2016-07-26,0.7764
2016-07-27,0.8879
2016-07-28,0.7445
2016-07-29,0.3713
2016-08-01,0.1956
2016-08-02,0.0725
2016-08-03,0.0223
2016-08-04,0.0241
2016-08-05,0.0135
2016-08-08,0.0134
2016-08-10,0.0173
2016-08-11,0.0178
2016-08-12,0.021
2016-08-15,0.0486
2016-08-16,0.0696
2016-08-17,0.1219
2016-08-18,0.1091
2016-08-19,0.0737
2016-08-22,0.0612
2016-08-23,0.0743
2016-08-24,0.0402
2016-08-25,0.0876
2016-08-26,0.1857
2016-08-29,0.3628
2016-08-30,0.1422
2016-08-31,0.3781
2016-09-01,0.0919
2016-09-02,0.0808
2016-09-05,0.0855
2016-09-06,0.0467
2016-09-07,0.0294
2016-09-08,0.0184
2016-09-09,0.0282
2016-09-13,0.041
2016-09-14,0.0721
2016-09-15,0.0343
2016-09-16,0.0495
2016-09-19,0.0477
2016-09-20,0.0441
2016-09-21,0.0439
2016-09-22,0.0476
2016-09-23,0.0532
2016-09-26,0.0705
2016-09-27,0.0743
2016-09-28,0.1344
2016-09-29,0.1821
2016-09-30,0.1248
2016-10-03,0.0488
2016-10-04,0.0369
2016-10-05,0.0452
2016-10-06,0.0621
2016-10-07,0.1203
2016-10-10,0.0811
2016-10-11,0.1175
2016-10-12,0.1134
2016-10-13,0.038
2016-10-14,0.0842
2016-10-17,0.0289
2016-10-18,0.0305
2016-10-19,0.0475
2016-10-20,0.0586
2016-10-21,0.1608
2016-10-24,0.1838
2016-10-25,0.0858
2016-10-26,0.0658
2016-10-27,0.0655
2016-10-28,0.0964
2016-10-31,0.0731
2016-11-01,0.0734
2016-11-02,0.0796
2016-11-03,0.0413
2016-11-04,0.0768
2016-11-07,0.055
2016-11-08,0.0802
2016-11-09,0.0833
2016-11-10,0.0815
2016-11-11,0.0384
2016-11-14,0.0969
2016-11-15,0.0761
2016-11-16,0.0781
2016-11-17,0.0494
2016-11-18,0.0495
2016-11-21,0.1094
2016-11-22,0.0849
2016-11-23,0.0742
2016-11-24,0.07
2016-11-25,0.3243
2016-11-28,0.1918
2016-11-29,0.2422
2016-11-30,0.0649
2016-12-01,0.0459
2016-12-02,0.0498
2016-12-05,0.0963
2016-12-06,0.1152
2016-12-07,0.0639
2016-12-08,0.1106
2016-12-09,0.1152
2016-12-12,0.1602
2016-12-13,0.3858
2016-12-14,0.3725
2016-12-15,0.3876
2016-12-16,0.248
2016-12-19,0.3729
2016-12-20,0.2941
2016-12-21,0.2255
2016-12-22,0.109
2016-12-23,0.2062
2016-12-27,0.2848
2016-12-28,0.4048
2016-12-29,0.4114
2016-12-30,0.4595
2017-01-03,0.2354
2017-01-04,0.1257
2017-01-05,0.104
2017-01-06,0.1122
2017-01-09,0.0523
2017-01-10,0.0301
2017-01-11,0.0378
2017-01-12,0.0555
2017-01-13,0.1292
2017-01-16,0.1119
2017-01-17,0.1605
2017-01-18,0.1319
2017-01-19,0.0983
2017-01-20,0.0598
2017-01-23,0.0799
2017-01-24,0.0865
2017-01-25,0.0685
2017-01-26,0.1849
2017-01-27,0.5198
2017-01-31,0.1388
2017-02-01,0.1208
2017-02-02,0.2009
2017-02-03,0.4127
2017-02-06,0.3364
2017-02-07,0.1171
2017-02-08,0.1515
2017-02-09,0.338
2017-02-10,0.5471
2017-02-13,0.6944
2017-02-14,0.3852
2017-02-15,0.1524
2017-02-16,0.0975
2017-02-17,0.1687
2017-02-20,0.156
2017-02-21,0.5143
2017-02-22,0.6109
2017-02-23,0.5746
2017-02-24,0.2226
2017-02-27,0.3106
2017-02-28,0.4731
2017-03-01,0.305
2017-03-02,0.1629
2017-03-03,0.183
2017-03-06,0.2365
2017-03-07,0.1343
2017-03-08,0.0555
2017-03-09,0.1194
2017-03-10,0.1532
2017-03-13,0.1035
2017-03-14,0.1423
2017-03-15,0.1113
2017-03-16,0.3634
2017-03-17,0.4885
2017-03-20,0.6229
2017-03-21,0.343
2017-03-22,0.3168
2017-03-23,0.1248
2017-03-24,0.2633
2017-03-27,0.2306
2017-03-28,0.195
2017-03-29,0.4827
2017-03-30,0.4343
2017-03-31,0.5687
2017-04-03,0.6962
2017-04-04,0.3758
2017-04-05,0.3076
2017-04-06,0.2147
2017-04-07,0.1849
2017-04-10,0.2675
2017-04-11,0.3735
2017-04-12,0.4849
2017-04-13,0.7076
2017-04-17,0.4296
2017-04-18,0.3628
2017-04-19,0.247
2017-04-20,0.362
2017-04-21,0.4809
2017-04-24,0.4397
2017-04-25,0.4835
2017-04-26,0.5996
2017-04-27,0.3922
2017-04-28,0.4526
2017-05-02,0.446
2017-05-03,0.512
2017-05-04,0.3957
2017-05-05,0.469
2017-05-08,0.4946
2017-05-09,0.4974
2017-05-11,0.505
2017-05-12,0.5746
2017-05-15,0.5159
2017-05-16,0.7252
2017-05-17,0.582
2017-05-18,0.5199
2017-05-19,0.5588
2017-05-22,0.5613
2017-05-23,0.4187
2017-05-24,0.4127
2017-05-25,0.3323
2017-05-26,0.4495
2017-05-29,0.3589
2017-05-30,0.4404
2017-05-31,0.4503
2017-06-01,0.3647
2017-06-02,0.5698
2017-06-05,0.6237
2017-06-06,0.711
2017-06-07,0.8227
2017-06-08,0.4644
2017-06-09,0.2618
2017-06-12,0.2335
2017-06-13,0.0917
2017-06-14,0.1126
2017-06-15,0.1495
2017-06-16,0.1433
2017-06-19,0.1576
2017-06-20,0.1526
2017-06-21,0.276
2017-06-22,0.4513
2017-06-23,1.1334
2017-06-27,0.73
2017-06-28,0.9212
2017-06-29,1.1955
2017-06-30,0.8239
2017-07-03,0.8275
2017-07-04,1.214
2017-07-05,1.2275
2017-07-06,0.9298
2017-07-07,1.1808
2017-07-10,1.1877
2017-07-11,1.068
2017-07-12,0.9984
2017-07-13,0.5523
2017-07-14,0.3909
2017-07-17,0.3072
2017-07-18,0.2644
2017-07-19,0.4248
2017-07-20,0.5738
2017-07-21,0.6979
2017-07-24,0.7706
2017-07-25,0.78
2017-07-26,0.7354
2017-07-27,0.5795
2017-07-28,0.7337
2017-07-31,0.986
2017-08-01,0.8904
2017-08-02,0.9353
2017-08-03,0.6009
2017-08-04,0.6899
2017-08-07,0.4968
2017-08-08,0.4332
2017-08-10,0.3925
2017-08-11,0.4601
2017-08-14,0.6628
2017-08-15,0.7048
2017-08-16,0.7716
2017-08-17,0.6699
2017-08-18,0.8218
2017-08-21,0.8527
2017-08-22,0.9036
2017-08-23,0.9766
2017-08-24,1.0179
2017-08-25,1.2455
2017-08-28,1.137
2017-08-29,0.5851
2017-08-30,0.2874
2017-08-31,0.5189
2017-09-04,0.8749
2017-09-05,0.8973
2017-09-06,0.7411
2017-09-07,0.5901
2017-09-08,0.7084
2017-09-11,0.8189
2017-09-12,0.7175
2017-09-13,0.4524
2017-09-14,0.3192
2017-09-15,0.2772
2017-09-18,0.5204
2017-09-19,0.5091
2017-09-20,0.6871
2017-09-21,0.6471
2017-09-22,0.7077
2017-09-25,0.59
2017-09-26,0.5617
2017-09-27,0.6652
2017-09-28,0.5562
2017-09-29,0.5979
2017-10-02,0.5872
2017-10-03,0.5746
2017-10-04,0.3605
2017-10-05,0.4652
2017-10-06,0.6093
2017-10-09,0.6312
2017-10-10,0.5824
2017-10-11,0.6725
2017-10-12,0.6971
2017-10-13,0.6888
2017-10-16,0.6978
2017-10-17,0.6918
2017-10-19,1.011
2017-10-20,1.3715
2017-10-23,1.4066
2017-10-24,1.2133
2017-10-25,1.3334
2017-10-26,1.1275
2017-10-27,1.1225
2017-10-30,1.1744
2017-10-31,1.0968
2017-11-01,1.04
2017-11-02,0.7605
2017-11-03,0.8203
2017-11-06,0.7117
2017-11-07,0.7264
2017-11-08,0.8014
2017-11-09,0.8199
2017-11-10,1.0026
2017-11-13,0.6976
2017-11-14,0.6693
2017-11-15,0.5585
2017-11-16,0.543
2017-11-17,0.5547
2017-11-20,0.49
2017-11-21,0.2509
2017-11-22,0.1709
2017-11-23,0.3673
2017-11-24,0.5353
2017-11-27,0.6674
2017-11-28,0.7853
2017-11-29,1.1968
2017-11-30,1.2592
2017-12-01,1.2101
2017-12-04,0.992
2017-12-05,0.8293
2017-12-06,0.7437
2017-12-07,0.7247
2017-12-08,0.782
2017-12-11,0.8323
2017-12-12,0.9218
2017-12-13,0.8442
2017-12-14,0.755
2017-12-15,0.7399
2017-12-18,0.8309
2017-12-19,0.9375
2017-12-20,0.931
2017-12-21,1.0005
2017-12-22,1.2709
2017-12-26,1.196
2017-12-27,0.9589
2017-12-28,0.759
2017-12-29,0.8605
2018-01-02,0.7915
2018-01-03,1.0355
2018-01-04,0.6058
2018-01-05,0.3425
2018-01-08,0.0458
2018-01-09,0.056
2018-01-10,0.1294
2018-01-11,0.066
2018-01-12,0.4538
2018-01-15,0.1639
2018-01-16,0.0973
2018-01-17,0.138
2018-01-18,0.0868
2018-01-19,0.6715
2018-01-22,0.6374
2018-01-23,0.1786
2018-01-24,0.1183
2018-01-25,0.0602
2018-01-26,0.1977
2018-01-29,0.2863
2018-01-30,0.6653
2018-01-31,0.8294
2018-02-01,0.7742
2018-02-02,0.9899
2018-02-05,0.5491
2018-02-06,0.6143
2018-02-07,0.6509
2018-02-08,0.8123
2018-02-09,1.3314
2018-02-12,1.391
2018-02-13,1.1126
2018-02-14,0.6005
2018-02-15,0.5852
2018-02-19,0.7581
2018-02-20,0.916
2018-02-21,1.1141
2018-02-22,1.2325
2018-02-23,1.5934
2018-02-26,1.6497
2018-02-27,1.5178
2018-02-28,0.5943
2018-03-01,0.3726
2018-03-02,0.5802
2018-03-05,0.8453
2018-03-06,0.7439
2018-03-07,0.9541
2018-03-08,0.8161
2018-03-09,0.8321
2018-03-12,0.7758
2018-03-13,0.5956
2018-03-14,0.5853
2018-03-15,0.5777
2018-03-16,0.2856
2018-03-19,0.5764
2018-03-20,0.671
2018-03-21,0.9127
2018-03-22,0.7604
2018-03-23,0.7599
2018-03-26,0.6705
2018-03-27,0.7152
2018-03-28,0.5858
2018-03-29,0.7834
2018-04-02,0.6773
2018-04-03,0.5953
2018-04-04,0.4255
2018-04-05,0.1524
2018-04-06,0.1727
2018-04-09,0.1867
2018-04-10,0.2671
2018-04-11,0.2775
2018-04-12,0.2905
2018-04-13,0.3699
2018-04-16,0.3521
2018-04-17,0.3924
2018-04-18,0.4361
2018-04-19,1.0692
2018-04-20,1.3329
2018-04-23,1.1291
2018-04-24,0.8744
2018-04-25,0.8638
2018-04-26,0.9956
2018-04-27,1.756
2018-04-30,1.4725
2018-05-02,1.1115
2018-05-03,1.0984
2018-05-04,1.1747
2018-05-07,1.3977
2018-05-08,1.5624
2018-05-09,1.5366
2018-05-10,0.9983
2018-05-11,0.8759
2018-05-14,0.9905
2018-05-15,0.7019
2018-05-16,0.6264
2018-05-17,0.4188
2018-05-18,0.4564
2018-05-21,0.6761
2018-05-22,0.6852
2018-05-23,1.2815
2018-05-24,1.0365
2018-05-25,1.4118
2018-05-28,1.5135
2018-05-30,1.5544
2018-05-31,1.1205
2018-06-01,0.9958
2018-06-04,1.431
2018-06-05,1.5185
2018-06-06,1.4606
2018-06-07,1.0974
2018-06-08,1.1256
2018-06-11,1.0994
2018-06-12,0.789
2018-06-13,0.5849
2018-06-14,0.7504
2018-06-18,0.5232
2018-06-19,0.4036
2018-06-20,0.4929
2018-06-21,0.5651
2018-06-22,0.4658
2018-06-25,0.6866
2018-06-26,0.9323
2018-06-27,0.8223
2018-06-28,0.8296
2018-06-29,1.3426
2018-07-02,0.9918
2018-07-03,0.916
2018-07-04,0.8344
2018-07-05,0.8786
2018-07-06,1.4412
2018-07-09,1.4302
2018-07-10,1.4064
2018-07-11,1.3745
2018-07-12,1.2384
2018-07-13,1.1951
2018-07-16,1.1635
2018-07-17,0.7706
2018-07-18,0.8579
2018-07-19,0.9735
2018-07-20,1.0492
2018-07-23,1.4072
2018-07-24,1.4046
2018-07-25,0.9908
2018-07-26,1.1911
2018-07-27,1.4968
2018-07-30,1.5623
2018-07-31,1.7311
2018-08-01,1.8083
2018-08-02,1.6714
2018-08-03,1.8187
2018-08-06,1.8285
2018-08-07,1.4463
2018-08-08,1.3192
2018-08-10,1.4192
2018-08-13,1.7705
2018-08-14,1.4315
2018-08-15,1.6876
2018-08-16,1.0175
2018-08-17,0.8028
2018-08-20,0.7479
2018-08-21,1.224
2018-08-23,1.1864
2018-08-24,1.546
2018-08-27,1.5029
2018-08-28,1.3932
2018-08-29,1.358
2018-08-30,1.1073
2018-08-31,1.0628
2018-09-03,0.9531
2018-09-04,1.0603
2018-09-05,0.6039
2018-09-06,0.68
2018-09-07,0.7885
2018-09-10,0.6444
2018-09-11,0.6249
2018-09-12,0.8635
2018-09-13,0.8372
2018-09-14,1.0121
2018-09-17,1.2431
2018-09-18,1.2587
2018-09-19,1.3053
2018-09-20,1.3883
2018-09-21,1.4172
2018-09-24,1.1161
2018-09-25,1.2211
2018-09-26,1.0801
2018-09-27,1.011
2018-09-28,1.1084
2018-10-01,1.1854
2018-10-02,1.0854
2018-10-03,1.1103
2018-10-04,1.273
2018-10-05,1.2754
2018-10-08,1.0762
2018-10-09,1.1576
2018-10-10,1.0035
2018-10-11,1.1007
2018-10-12,1.1695
2018-10-15,1.1025
2018-10-16,0.941
2018-10-17,1.0147
2018-10-18,1.1154
2018-10-19,1.3026
2018-10-22,1.2159
2018-10-23,1.2068
2018-10-24,1.3389
2018-10-25,1.3532
2018-10-26,1.2862
2018-10-29,1.3056
2018-10-30,1.3336
2018-10-31,1.4498
2018-11-01,1.5274
2018-11-02,1.5642
2018-11-05,1.3473
2018-11-07,1.2537
2018-11-08,1.2862
2018-11-09,1.263
2018-11-12,1.2342
2018-11-13,1.2595
2018-11-14,1.1703
2018-11-15,1.4816
2018-11-16,1.8768
2018-11-19,1.9294
2018-11-20,1.5162
2018-11-21,1.7144
2018-11-22,1.5247
2018-11-23,1.5637
2018-11-26,1.462
2018-11-27,1.3705
2018-11-28,1.3427
2018-11-29,1.8059
2018-11-30,1.9655
2018-12-03,1.8987
2018-12-04,1.6113
2018-12-05,1.2463
2018-12-06,0.4604
2018-12-07,1.1288
2018-12-10,1.1137
2018-12-11,1.3151
2018-12-12,1.6167
2018-12-13,1.5868
2018-12-14,1.5526
2018-12-17,1.4564
2018-12-18,1.5719
2018-12-19,1.9044
2018-12-20,2.0203
2018-12-21,2.0633
2018-12-24,1.9447
2018-12-26,2.1772
2018-12-27,1.7089
2018-12-28,1.846
2018-12-31,1.7645
2019-01-02,1.2781
2019-01-03,0.9545
2019-01-04,1.264
2019-01-07,1.147
2019-01-08,1.1236
2019-01-09,1.1964
2019-01-10,1.0776
2019-01-11,1.1299
2019-01-14,1.1263
2019-01-15,1.0919
2019-01-16,1.3666
2019-01-17,1.5422
2019-01-18,1.6371
2019-01-21,1.4506
2019-01-22,1.7363
2019-01-23,1.8543
2019-01-24,1.9116
2019-01-25,1.7582
2019-01-28,1.8305
2019-01-29,1.89
2019-01-30,1.9188
2019-01-31,1.8978
2019-02-01,1.6472
2019-02-04,1.7538
2019-02-07,1.6384
2019-02-08,1.8156
2019-02-11,1.7735
2019-02-12,1.7882
2019-02-13,1.7162
2019-02-14,1.6528
2019-02-15,1.5548
2019-02-18,1.558
2019-02-19,1.7053
2019-02-20,1.5467
2019-02-21,1.5324
2019-02-22,1.707
2019-02-25,1.6459
2019-02-26,1.5746
2019-02-27,1.4256
2019-02-28,1.6556
2019-03-01,1.8033
2019-03-04,1.4282
2019-03-05,1.3116
2019-03-06,1.2044
2019-03-07,1.2488
2019-03-08,1.099
2019-03-11,1.1414
2019-03-12,1.0192
2019-03-13,1.0662
2019-03-14,1.0579
2019-03-15,1.2407
2019-03-18,1.2236
2019-03-19,1.4223
2019-03-20,1.5833
2019-03-21,1.6409
2019-03-22,1.6422
2019-03-25,1.5807
2019-03-26,1.6774
2019-03-27,1.8564
2019-03-28,1.8534
2019-03-29,2.2358
2019-04-01,1.5456
2019-04-02,1.5339
2019-04-03,1.4935
2019-04-04,1.4388
2019-04-05,1.7328
2019-04-08,1.787
2019-04-09,1.7875
2019-04-10,1.7077
