Date,Value
2022-10-21,3.13
2022-10-24,3.06
2022-10-25,2.983
2022-10-26,2.983
2022-10-27,2.866
2022-10-28,2.955
2022-10-31,2.99
2022-11-01,2.968
2022-11-02,2.937
2022-11-03,2.977
2022-11-04,2.994
2022-11-07,3.005
2022-11-08,2.974
2022-11-09,2.931
2022-11-10,2.778
2022-11-11,2.8137
2022-11-14,2.74
2022-11-15,2.7186
2022-11-16,2.6563
2022-11-17,2.698
2022-11-18,2.683
2022-11-21,2.6677
2022-11-22,2.643
2022-11-23,2.623
2022-11-24,2.545
2022-11-25,2.6492
2022-11-28,2.663
2022-11-29,2.605
2022-11-30,2.633
2022-12-01,2.491
2022-12-02,2.511
2022-12-05,2.538
2022-12-06,2.4778
2022-12-07,2.4678
2022-12-08,2.418
2022-12-09,2.425
2022-12-12,2.4444
2022-12-13,2.386
2022-12-14,2.405
2022-12-15,2.555
2022-12-16,2.6923
2022-12-19,2.718
2022-12-20,2.798
2022-12-21,2.87
2022-12-22,2.943
2022-12-23,2.968
2022-12-27,3.0378
2022-12-28,3.0376
2022-12-29,3.03
2022-12-30,3.0493
2023-01-02,2.9729
2023-01-03,2.918
2023-01-04,2.825
2023-01-05,2.826
2023-01-06,2.824
2023-01-09,2.754
2023-01-10,2.707
2023-01-11,2.552
2023-01-12,2.495
2023-01-13,2.502
2023-01-16,2.543
2023-01-17,2.412
2023-01-18,2.382
2023-01-19,2.485
2023-01-20,2.5775
2023-01-23,2.623
2023-01-24,2.607
2023-01-25,2.527
2023-01-26,2.5556
2023-01-27,2.605
2023-01-30,2.62
2023-01-31,2.5775
2023-02-01,2.559
2023-02-02,2.3399
2023-02-03,2.4417
2023-02-06,2.503
2023-02-07,2.5194
2023-02-08,2.5648
2023-02-09,2.61625
2023-02-10,2.7275
2023-02-13,2.74335
2023-02-14,2.7845
2023-02-15,2.8123
2023-02-16,2.8096
2023-02-17,2.8404
2023-02-20,2.97
2023-02-21,3.1248
2023-02-22,3.05555
2023-02-23,3.0312
2023-02-24,3.1359
2023-02-27,3.188
2023-02-28,3.1791
2023-03-01,3.208
2023-03-02,3.2014
2023-03-03,3.15
2023-03-06,3.126
2023-03-07,3.0881
2023-03-08,3.0649
2023-03-09,3.038
2023-03-10,2.9152
2023-03-13,2.7126
2023-03-14,2.74
2023-03-15,2.6928
2023-03-16,2.7559
2023-03-17,2.66
2023-03-20,2.6807
2023-03-21,2.7311
2023-03-22,2.7853
2023-03-23,2.713
2023-03-24,2.604
2023-03-27,2.7079
2023-03-28,2.7079
2023-03-29,2.678
2023-03-30,2.745
2023-03-31,2.7502
2023-04-03,2.6731
2023-04-04,2.6644
2023-04-05,2.5979
2023-04-06,2.6088
2023-04-11,2.6995
2023-04-12,2.7
2023-04-13,2.703
2023-04-14,2.77285
2023-04-17,2.8642
2023-04-18,2.8831
2023-04-19,2.94
2023-04-20,2.9086
2023-04-21,2.898
2023-04-24,2.9297
2023-04-25,2.8602
2023-04-26,2.765
2023-04-27,2.75
2023-04-28,2.691
2023-05-01,2.7145
2023-05-02,2.7177
2023-05-03,2.688
2023-05-04,2.6449
2023-05-05,2.6896
2023-05-08,2.7092
2023-05-09,2.7391
2023-05-10,2.701
2023-05-11,2.6269
2023-05-12,2.644
2023-05-15,2.6724
2023-05-16,2.6988
2023-05-17,2.7206
2023-05-18,2.6945
2023-05-19,2.8626
2023-05-22,2.825
2023-05-23,2.8886
2023-05-24,2.8861
2023-05-25,2.9
2023-05-26,2.9669
2023-05-29,2.9132
2023-05-30,2.854
