Date,Value
2022-10-24,1.641
2022-10-25,1.6599
2022-10-26,1.6599
2022-10-27,1.67
2022-10-28,1.67
2022-10-31,1.7005
2022-11-01,1.76
2022-11-02,1.77
2022-11-03,1.821
2022-11-04,1.839
2022-11-07,1.852
2022-11-08,1.8495
2022-11-09,1.9067
2022-11-10,1.9573
2022-11-11,1.9287
2022-11-14,1.9359
2022-11-15,1.9732
2022-11-16,2.0
2022-11-17,2.05
2022-11-18,2.1
2022-11-21,2.1
2022-11-22,2.1127
2022-11-23,2.1325
2022-11-24,2.23
2022-11-25,2.262
2022-11-28,2.2567
2022-11-29,2.28
2022-11-30,2.2569
2022-12-01,2.2571
2022-12-02,2.2572
2022-12-05,2.2574
2022-12-06,2.2574
2022-12-07,2.2574
2022-12-08,2.2576
2022-12-09,2.307
2022-12-12,2.33
2022-12-13,2.2579
2022-12-14,2.2579
2022-12-15,2.2581
2022-12-16,2.314
2022-12-19,2.294
2022-12-20,2.293
2022-12-21,2.337
2022-12-22,2.2586
2022-12-23,2.2587
2022-12-28,2.302
2022-12-29,2.337
2022-12-30,2.3791
2023-01-02,2.3793
2023-01-03,2.3793
2023-01-04,2.378
2023-01-05,2.3795
2023-01-06,2.3796
2023-01-09,2.3798
2023-01-10,2.3798
2023-01-11,2.3798
2023-01-12,2.406
2023-01-13,2.4204
2023-01-16,2.4792
2023-01-17,2.4774
2023-01-18,2.482
2023-01-19,2.5388
2023-01-20,2.5566
2023-01-23,2.6
2023-01-24,2.6085
2023-01-25,2.6098
2023-01-26,2.649
2023-01-27,2.661
2023-01-30,2.6651
2023-01-31,2.672
2023-02-01,2.697
2023-02-02,2.7311
2023-02-03,2.7492
2023-02-06,2.7711
2023-02-07,2.786
2023-02-08,2.8364
2023-02-09,2.8442
2023-02-10,2.862
2023-02-13,2.9441
2023-02-14,2.9552
2023-02-15,2.9294
2023-02-16,2.9148
2023-02-17,2.905
2023-02-20,2.9207
2023-02-21,2.9071
2023-02-22,2.898
2023-02-23,2.916
2023-02-24,2.916
2023-02-27,2.924
2023-02-28,2.9023
2023-03-01,2.9264
2023-03-02,2.9268
2023-03-03,2.9269
2023-03-06,2.91
2023-03-07,2.9109
2023-03-08,2.9114
2023-03-09,2.9131
2023-03-10,2.9138
2023-03-13,2.899
2023-03-14,2.9136
2023-03-15,2.8989
2023-03-16,2.903
2023-03-17,2.908
2023-03-20,2.9067
2023-03-21,2.899
2023-03-22,2.898
2023-03-23,2.8983
2023-03-24,2.8984
2023-03-27,2.8984
2023-03-28,2.8984
2023-03-29,2.8988
2023-03-30,2.899
2023-03-31,2.9153
2023-04-03,2.9316
2023-04-04,2.972
2023-04-05,2.9778
2023-04-06,3.013
2023-04-11,3.0821
2023-04-12,3.0879
2023-04-13,3.1265
2023-04-14,3.1427
2023-04-17,3.189
2023-04-18,3.196
2023-04-19,3.206
2023-04-20,3.2467
2023-04-21,3.2632
2023-04-24,3.2797
2023-04-25,3.29
2023-04-26,3.305
2023-04-27,3.369
2023-04-28,3.36
2023-05-02,3.397
2023-05-03,3.4
2023-05-04,3.388
2023-05-05,3.3958
2023-05-08,3.3963
2023-05-09,3.395
2023-05-10,3.3963
2023-05-11,3.389
2023-05-12,3.391
2023-05-15,3.3974
2023-05-16,3.3974
2023-05-17,3.3974
2023-05-18,3.405
2023-05-19,3.3981
2023-05-22,3.3986
2023-05-23,3.3986
2023-05-24,3.395
2023-05-25,3.399
2023-05-26,3.3992
2023-05-29,3.3997
2023-05-30,3.395
2023-05-31,3.395
