Date,Value
2022-10-21,1.935
2022-10-24,2.036
2022-10-25,1.975
2022-10-26,1.975
2022-10-27,2.005
2022-10-28,2.005
2022-10-31,2.0
2022-11-01,2.095
2022-11-02,2.06
2022-11-03,2.0472
2022-11-04,1.992
2022-11-07,2.06
2022-11-08,2.0898
2022-11-09,2.1003
2022-11-10,2.12
2022-11-11,2.069
2022-11-14,2.0602
2022-11-15,2.089
2022-11-16,2.093
2022-11-17,2.1394
2022-11-18,2.162
2022-11-21,2.157
2022-11-22,2.1641
2022-11-23,2.1733
2022-11-24,2.251
2022-11-25,2.2493
2022-11-28,2.2589
2022-11-29,2.297
2022-11-30,2.2591
2022-12-01,2.2594
2022-12-02,2.2594
2022-12-05,2.2594
2022-12-06,2.2595
2022-12-07,2.347
2022-12-08,2.2599
2022-12-09,2.354
2022-12-12,2.24
2022-12-13,2.323
2022-12-14,2.268
2022-12-15,2.3015
2022-12-16,2.372
2022-12-19,2.3221
2022-12-20,2.3325
2022-12-21,2.3454
2022-12-22,2.386
2022-12-23,2.455
2022-12-27,2.48
2022-12-28,2.47
2022-12-29,2.487
2022-12-30,2.502
2023-01-02,2.522
2023-01-03,2.531
2023-01-04,2.547
2023-01-05,2.575
2023-01-06,2.5829
2023-01-09,2.636
2023-01-10,2.628
2023-01-11,2.6445
2023-01-12,2.6651
2023-01-13,2.7003
2023-01-16,2.726
2023-01-17,2.7122
2023-01-18,2.711
2023-01-19,2.745
2023-01-20,2.7578
2023-01-23,2.7749
2023-01-24,2.7846
2023-01-25,2.776
2023-01-26,2.806
2023-01-27,2.8205
2023-01-30,2.818
2023-01-31,2.8111
2023-02-01,2.822
2023-02-02,2.8202
2023-02-03,2.844
2023-02-06,2.845
2023-02-07,2.861
2023-02-08,2.8913
2023-02-09,2.874
2023-02-10,2.883
2023-02-13,2.9481
2023-02-14,2.965
2023-02-15,2.9331
2023-02-16,2.9185
2023-02-17,2.9086
2023-02-20,2.9283
2023-02-21,2.9349
2023-02-22,2.912
2023-02-23,2.9445
2023-02-24,2.912
2023-02-27,2.925
2023-02-28,2.919
