Date,Value
2022-10-21,2.111
2022-10-24,2.214
2022-10-25,2.16
2022-10-26,2.16
2022-10-27,2.15
2022-10-28,2.15
2022-10-31,2.0857
2022-11-01,2.218
2022-11-02,2.1725
2022-11-03,2.155
2022-11-04,2.1255
2022-11-07,2.121
2022-11-08,2.1075
2022-11-09,2.1721
2022-11-10,2.19
2022-11-11,2.1132
2022-11-14,2.125
2022-11-15,2.254
2022-11-16,2.15
2022-11-17,2.253
2022-11-18,2.2101
2022-11-21,2.271
2022-11-22,2.285
2022-11-23,2.35
2022-11-24,2.3136
2022-11-25,2.3292
2022-11-28,2.3348
2022-11-29,2.401
2022-11-30,2.456
2022-12-01,2.383
2022-12-02,2.378
2022-12-05,2.3841
2022-12-06,2.3833
2022-12-07,2.512
2022-12-08,2.3765
2022-12-09,2.503
2022-12-12,2.378
2022-12-13,2.522
2022-12-14,2.505
2022-12-15,2.4665
2022-12-16,2.4729
2022-12-19,2.5037
2022-12-20,2.535
2022-12-21,2.538
2022-12-22,2.555
2022-12-23,2.595
2022-12-27,2.699
2022-12-28,2.7
2022-12-29,2.724
2022-12-30,2.5639
2023-01-02,2.5692
2023-01-03,2.7481
2023-01-04,2.805
2023-01-05,2.723
2023-01-06,2.6945
2023-01-09,2.7492
2023-01-10,2.7559
2023-01-11,2.778
2023-01-12,2.7714
2023-01-13,2.8095
2023-01-16,2.871
2023-01-17,2.804
2023-01-18,2.802
2023-01-19,2.816
2023-01-20,2.826
2023-01-23,2.8436
2023-01-24,2.8541
2023-01-25,2.845
2023-01-26,2.8526
2023-01-27,2.8711
2023-01-30,2.868
2023-01-31,2.832
2023-02-01,2.8499
2023-02-02,2.8672
2023-02-03,2.874
2023-02-06,2.886
2023-02-07,2.8994
2023-02-08,2.9359
2023-02-09,2.999
2023-02-10,2.976
2023-02-13,3.0219
2023-02-14,3.0642
2023-02-15,3.0212
2023-02-16,3.0365
2023-02-17,3.01
2023-02-20,3.038
2023-02-21,3.06
2023-02-22,3.057
2023-02-23,3.075
2023-02-24,3.075
2023-02-27,3.0833
2023-02-28,3.0893
2023-03-01,3.121
2023-03-02,3.1338
2023-03-03,3.134
2023-03-06,3.1388
2023-03-07,3.148
2023-03-08,3.1785
2023-03-09,3.203
2023-03-10,3.1669
2023-03-13,3.075
2023-03-14,3.138
2023-03-15,3.1305
2023-03-16,3.16
2023-03-17,3.174
2023-03-20,3.135
2023-03-21,3.18
2023-03-22,3.2038
2023-03-23,3.2224
2023-03-24,3.2032
2023-03-27,3.211
2023-03-28,3.228
2023-03-29,3.2172
2023-03-30,3.243
2023-03-31,3.254
2023-04-03,3.26
2023-04-04,3.271
2023-04-05,3.286
2023-04-06,3.2839
2023-04-11,3.325
2023-04-12,3.3285
2023-04-13,3.38
2023-04-14,3.362
2023-04-17,3.3697
2023-04-18,3.3852
2023-04-19,3.393
2023-04-20,3.4246
2023-04-21,3.414
2023-04-24,3.4496
2023-04-25,3.454
2023-04-26,3.4237
2023-04-27,3.439
2023-04-28,3.4552
2023-05-02,3.4647
2023-05-03,3.4472
2023-05-04,3.458
2023-05-05,3.465
2023-05-08,3.465
2023-05-09,3.47
2023-05-10,3.4889
2023-05-11,3.471
2023-05-12,3.493
2023-05-15,3.493
2023-05-16,3.5106
2023-05-17,3.497
2023-05-18,3.507
2023-05-19,3.516
2023-05-22,3.522
2023-05-23,3.5405
2023-05-24,3.535
2023-05-25,3.54
2023-05-26,3.5465
2023-05-29,3.553
2023-05-30,3.548
2023-05-31,3.551
2023-06-01,3.557
2023-06-02,3.5639
2023-06-05,3.572
2023-06-07,3.5559
2023-06-08,3.579
2023-06-09,3.5902
2023-06-12,3.5928
2023-06-13,3.5954
2023-06-14,3.612
2023-06-15,3.6677
2023-06-16,3.633
2023-06-19,3.6745
2023-06-20,3.667
2023-06-21,3.685
2023-06-22,3.736
2023-06-26,3.7388
2023-06-27,3.724
2023-06-28,3.725
2023-06-29,3.6674
2023-06-30,3.683
2023-07-03,3.708
2023-07-04,3.689
2023-07-05,3.712
2023-07-06,3.7022
2023-07-07,3.701
2023-07-10,3.7141
2023-07-11,3.712
2023-07-12,3.7317
2023-07-13,3.7306
2023-07-14,3.737
2023-07-17,3.7411
2023-07-18,3.7364
2023-07-19,3.7389
2023-07-20,3.754
2023-07-21,3.7494
2023-07-24,3.7525
2023-07-25,3.77
2023-07-26,3.776
2023-07-27,3.783
2023-07-28,3.786
2023-07-31,3.7784
2023-08-01,3.7816
2023-08-02,3.789
2023-08-03,3.7945
2023-08-04,3.811
2023-08-07,3.801
2023-08-08,3.8043
2023-08-09,3.8111
2023-08-10,3.8172
2023-08-11,3.8204
2023-08-14,3.834
2023-08-15,3.827
2023-08-16,3.844
2023-08-17,3.8399
2023-08-18,3.848
2023-08-21,3.849
2023-08-22,3.856
2023-08-23,3.8555
2023-08-24,3.8625
2023-08-25,3.8658
2023-08-28,3.876
2023-08-29,3.8726
2023-08-30,3.8775
2023-08-31,3.885
2023-09-01,3.8688
2023-09-04,3.8736
2023-09-05,3.871
2023-09-06,3.879
2023-09-07,3.895
2023-09-08,3.887
2023-09-11,3.898
2023-09-12,3.9098
2023-09-13,3.912
2023-09-14,3.9294
2023-09-15,3.939
2023-09-18,3.936
2023-09-19,3.939
2023-09-20,3.944
2023-09-21,3.951
2023-09-22,3.9522
2023-09-25,3.951
2023-09-26,3.972
2023-09-27,3.957
2023-09-28,3.777
2023-09-29,3.699
2023-10-02,3.948
2023-10-03,3.794
2023-10-04,3.702
2023-10-05,3.9728
2023-10-06,3.951
2023-10-09,3.94
2023-10-10,3.94
2023-10-11,3.94
2023-10-12,3.933
2023-10-13,3.939
2023-10-16,3.925
2023-10-17,3.9375
2023-10-18,3.9375
2023-10-19,3.932
2023-10-20,3.9375
2023-10-23,3.9375
2023-10-24,3.931
2023-10-25,3.9375
2023-10-26,3.9375
2023-10-27,3.9375
2023-10-30,3.9375
2023-10-31,3.9375
2023-11-01,3.9375
2023-11-02,3.983
2023-11-03,3.915
2023-11-06,3.765
2023-11-07,3.762
2023-11-08,3.78
2023-11-09,3.77
2023-11-10,3.772
2023-11-13,3.73
2023-11-14,3.798
2023-11-15,3.745
2023-11-16,3.75
2023-11-17,3.765
2023-11-20,3.636
2023-11-21,3.724
2023-11-22,3.816
2023-11-23,3.7525
2023-11-24,3.657
2023-11-27,3.633
2023-11-28,3.654
2023-11-29,3.654
2023-11-30,3.5454
2023-12-01,3.653
2023-12-04,3.646
2023-12-05,3.5271
2023-12-06,3.65
2023-12-07,3.654
2023-12-08,3.661
2023-12-11,3.661
2023-12-12,3.62
2023-12-13,3.649
2023-12-14,3.619
2023-12-15,3.677
2023-12-18,3.711
2023-12-19,3.5391
2023-12-20,3.599
2023-12-21,3.564
2023-12-22,3.562
2023-12-25,3.562
2023-12-26,3.54
2023-12-27,3.551
2023-12-28,3.912
2023-12-29,3.912
2024-01-01,3.906
2024-01-02,3.9111
2024-01-03,3.91
2024-01-04,3.909
2024-01-05,3.904
2024-01-08,3.8694
2024-01-09,3.897
2024-01-10,3.8989
2024-01-11,3.8965
2024-01-12,3.875
2024-01-15,3.8931
2024-01-16,3.8921
2024-01-17,3.8943
2024-01-18,3.8922
2024-01-19,3.8914
2024-01-22,3.8907
2024-01-23,3.89
2024-01-24,3.8893
2024-01-25,3.8871
2024-01-26,3.8864
2024-01-29,3.8859
2024-01-30,3.8852
2024-01-31,3.8845
2024-02-01,3.885
2024-02-02,3.8928
2024-02-05,3.8897
2024-02-06,3.8891
2024-02-07,3.892
2024-02-08,3.898
2024-02-09,3.8908
2024-02-12,3.8904
2024-02-13,3.8899
2024-02-14,3.894
2024-02-15,3.8809
2024-02-16,3.8809
2024-02-19,3.8856
2024-02-20,3.8839
2024-02-21,3.8823
2024-02-22,3.8762
2024-02-23,3.874
2024-02-26,3.893
2024-02-27,3.885
2024-02-28,3.879
2024-02-29,3.878
2024-03-01,3.873
2024-03-04,3.867
2024-03-05,3.866
2024-03-06,3.881
2024-03-07,3.874
2024-03-08,3.848
2024-03-11,3.86
2024-03-12,3.856
2024-03-13,3.848
2024-03-14,3.84
2024-03-15,3.835
2024-03-18,3.8706
2024-03-19,3.848
2024-03-20,3.852
2024-03-21,3.848
2024-03-22,3.84
2024-03-25,3.837
2024-03-26,3.8377
2024-03-27,3.822
2024-03-28,3.8161
2024-04-02,3.82
2024-04-03,3.826
2024-04-04,3.819
2024-04-05,3.803
2024-04-08,3.821
2024-04-09,3.8079
2024-04-10,3.815
2024-04-11,3.818
2024-04-12,3.765
2024-04-15,3.763
2024-04-16,3.7585
2024-04-17,3.746
2024-04-18,3.747
2024-04-19,3.7439
2024-04-22,3.7405
2024-04-23,3.737
2024-04-24,3.7337
2024-04-25,3.7235
2024-04-26,3.728
2024-04-29,3.7
2024-04-30,3.71
2024-05-02,3.709
2024-05-03,3.696
2024-05-06,3.6936
2024-05-07,3.6838
2024-05-08,3.6496
2024-05-09,3.647
2024-05-10,3.6421
2024-05-13,3.6359
2024-05-14,3.631
2024-05-15,3.6294
2024-05-16,3.6263
2024-05-17,3.626
2024-05-20,3.626
2024-05-21,3.6204
2024-05-22,3.6199
2024-05-23,3.62
2024-05-24,3.6206
2024-05-27,3.6165
2024-05-28,3.607
2024-05-29,3.611
2024-05-30,3.6016
2024-05-31,3.601
2024-06-03,3.601
2024-06-04,3.601
2024-06-05,3.596
2024-06-07,3.5947
2024-06-10,3.5924
2024-06-11,3.587
2024-06-12,3.575
2024-06-13,3.567
2024-06-14,3.566
2024-06-17,3.574
2024-06-18,3.576
2024-06-19,3.5729
2024-06-20,3.5702
2024-06-24,3.556
2024-06-25,3.559
2024-06-26,3.5593
2024-06-27,3.56
2024-06-28,3.5536
2024-07-01,3.5442
2024-07-02,3.5477
2024-07-03,3.5415
2024-07-04,3.537
2024-07-05,3.5313
2024-07-08,3.5302
2024-07-09,3.5265
2024-07-10,3.518
2024-07-11,3.504
2024-07-12,3.4787
2024-07-15,3.473
2024-07-16,3.468
2024-07-17,3.4572
2024-07-18,3.4475
2024-07-19,3.4426
2024-07-22,3.4377
2024-07-23,3.427
2024-07-24,3.42
2024-07-25,3.4071
2024-07-26,3.4019
2024-07-29,3.397
2024-07-30,3.3883
2024-07-31,3.3789
2024-08-01,3.3673
2024-08-02,3.3386
2024-08-05,3.3513
2024-08-06,3.339
2024-08-07,3.3165
2024-08-08,3.3078
2024-08-09,3.2976
2024-08-12,3.29
2024-08-13,3.25
2024-08-14,3.262
2024-08-15,3.2371
2024-08-16,3.2216
2024-08-19,3.207
2024-08-20,3.2276
2024-08-21,3.2152
2024-08-22,3.205
2024-08-23,3.196
2024-08-26,3.1937
2024-08-27,3.1881
2024-08-28,3.1556
2024-08-29,3.126
2024-08-30,3.125
2024-09-02,3.1182
2024-09-03,3.1115
2024-09-04,3.1254
2024-09-05,3.0845
2024-09-06,3.0777
2024-09-09,3.077
2024-09-10,3.076
2024-09-11,3.065
2024-09-12,3.0608
2024-09-13,3.071
2024-09-16,3.0469
2024-09-17,3.04
2024-09-18,3.033
2024-09-19,2.999
2024-09-20,2.987
2024-09-23,2.965
2024-09-24,2.9744
2024-09-25,2.9688
2024-09-26,2.9468
2024-09-27,2.7682
2024-09-30,2.6944
2024-10-01,2.6902
2024-10-02,2.6881
2024-10-03,2.6736
2024-10-04,2.6607
2024-10-07,2.6783
2024-10-08,2.751
2024-10-09,2.676
2024-10-10,2.671
2024-10-11,2.706
2024-10-14,2.663
2024-10-15,2.649
2024-10-16,2.6388
2024-10-17,2.616
2024-10-18,2.601
2024-10-21,2.61
2024-10-22,2.564
2024-10-23,2.5414
2024-10-24,2.528
2024-10-25,2.5185
2024-10-28,2.525
2024-10-29,2.4737
2024-10-30,2.454
2024-10-31,2.482
2024-11-01,2.419
2024-11-04,2.398
2024-11-05,2.381
2024-11-06,2.347
2024-11-07,2.302
2024-11-08,2.2916
2024-11-11,2.2817
2024-11-12,2.2767
2024-11-13,2.2702
2024-11-14,2.2467
2024-11-15,2.241
2024-11-18,2.2353
2024-11-19,2.48
2024-11-20,2.2222
2024-11-21,2.219
2024-11-22,2.2014
2024-11-25,2.1957
2024-11-26,2.19
2024-11-27,2.1849
2024-11-28,2.1677
2024-11-29,2.1623
2024-12-02,2.1565
2024-12-03,2.1507
2024-12-04,2.1449
2024-12-05,2.17
2024-12-06,2.128
2024-12-09,2.132
2024-12-10,2.126
2024-12-11,2.13
2024-12-12,2.141
2024-12-13,2.131
2024-12-16,2.09
2024-12-17,2.095
2024-12-18,2.132
2024-12-19,2.11
2024-12-20,2.09
2024-12-23,2.0962
2024-12-27,2.322
2024-12-30,2.3305
2025-01-02,2.308
2025-01-03,2.301
2025-01-07,2.29
2025-01-08,2.274
2025-01-09,2.2466
2025-01-10,2.252
2025-01-13,2.2427
2025-01-14,2.239
2025-01-15,2.2236
2025-01-16,2.217
2025-01-17,2.214
2025-01-20,2.2156
2025-01-21,2.21
2025-01-22,2.207
2025-01-23,2.2058
2025-01-24,2.2035
2025-01-27,2.196
2025-01-28,2.162
2025-01-29,2.142
2025-01-30,2.132
2025-01-31,2.1125
2025-02-03,2.1105
2025-02-04,2.107
2025-02-05,2.1069
2025-02-06,2.124
2025-02-07,2.129
2025-02-10,2.127
2025-02-11,2.126
2025-02-12,2.125
2025-02-13,2.116
2025-02-14,2.118
2025-02-17,2.117
2025-02-18,2.119
2025-02-19,2.1239
2025-02-20,2.1203
2025-02-21,2.1177
2025-02-24,2.121
2025-02-25,2.117
2025-02-26,2.119
2025-02-27,2.108
2025-02-28,2.113
2025-03-03,2.1086
2025-03-04,2.115
2025-03-05,2.1268
2025-03-06,2.148
2025-03-07,2.148
2025-03-10,2.144
2025-03-11,2.1458
2025-03-12,2.142
2025-03-13,2.135
2025-03-14,2.1458
2025-03-17,2.1375
2025-03-18,2.1375
2025-03-19,2.1502
