Date,Value
2022-10-21,2.4162
2022-10-24,2.4184
2022-10-25,2.4085
2022-10-26,2.486
2022-10-27,2.427
2022-10-28,2.448
2022-10-31,2.4572
2022-11-01,2.4592
2022-11-02,2.4452
2022-11-03,2.4575
2022-11-04,2.4439
2022-11-07,2.426
2022-11-08,2.484
2022-11-09,2.488
2022-11-10,2.4778
2022-11-11,2.524
2022-11-14,2.472
2022-11-15,2.505
2022-11-16,2.572
2022-11-17,2.634
2022-11-18,2.5712
2022-11-21,2.6
2022-11-22,2.6018
2022-11-23,2.6365
2022-11-24,2.675
2022-11-25,2.6933
2022-11-28,2.698
2022-11-29,2.675
2022-11-30,2.723
2022-12-01,2.707
2022-12-02,2.7262
2022-12-05,2.7385
2022-12-06,2.764
2022-12-07,2.7131
2022-12-08,2.7087
2022-12-09,2.696
2022-12-12,2.766
2022-12-13,2.749
2022-12-14,2.764
2022-12-15,2.782
2022-12-16,2.888
2022-12-19,2.796
2022-12-20,2.836
2022-12-21,2.876
2022-12-22,2.8367
2022-12-23,2.915
2022-12-27,2.8527
2022-12-28,2.917
2022-12-29,2.933
2022-12-30,2.9322
2023-01-02,2.954
2023-01-03,2.9274
2023-01-04,2.985
2023-01-05,2.9376
2023-01-06,2.9412
2023-01-09,2.9787
2023-01-10,3.024
2023-01-11,2.9852
2023-01-12,2.987
2023-01-13,3.007
2023-01-16,3.047
2023-01-17,3.0343
2023-01-18,3.0485
2023-01-19,3.0645
2023-01-20,3.044
2023-01-23,3.0738
2023-01-24,3.0849
2023-01-25,3.045
2023-01-26,3.062
2023-01-27,3.074
2023-01-30,3.0761
2023-01-31,3.056
2023-02-01,3.0493
2023-02-02,3.0265
2023-02-03,3.036
2023-02-06,3.0622
2023-02-07,3.091
2023-02-08,3.1277
2023-02-09,3.1817
2023-02-10,3.258
2023-02-13,3.295
2023-02-14,3.28
2023-02-15,3.2882
2023-02-16,3.2962
2023-02-17,3.2663
2023-02-20,3.322
2023-02-21,3.378
2023-02-22,3.36
2023-02-23,3.3874
2023-02-24,3.404
2023-02-27,3.416
2023-02-28,3.4385
2023-03-01,3.4539
2023-03-02,3.462
2023-03-03,3.451
2023-03-06,3.496
2023-03-07,3.5072
2023-03-08,3.5531
2023-03-09,3.5711
2023-03-10,3.516
2023-03-13,3.2853
2023-03-14,3.3774
2023-03-15,3.3631
2023-03-16,3.448
2023-03-17,3.4835
2023-03-20,3.4251
2023-03-21,3.4668
2023-03-22,3.514
2023-03-23,3.49
2023-03-24,3.4404
2023-03-27,3.4623
2023-03-28,3.455
2023-03-29,3.4415
2023-03-30,3.4591
2023-03-31,3.493
2023-04-03,3.484
2023-04-04,3.4707
2023-04-05,3.4521
2023-04-06,3.4714
2023-04-11,3.527
2023-04-12,3.544
2023-04-13,3.571
2023-04-14,3.5516
2023-04-17,3.5802
2023-04-18,3.567
2023-04-19,3.618
2023-04-20,3.616
2023-04-21,3.63
2023-04-24,3.645
2023-04-25,3.642
2023-04-26,3.564
2023-04-27,3.565
2023-04-28,3.562
2023-05-02,3.568
2023-05-03,3.57
2023-05-04,3.561
2023-05-05,3.55
2023-05-08,3.552
2023-05-09,3.578
2023-05-10,3.582
2023-05-11,3.5434
2023-05-12,3.57
2023-05-15,3.585
2023-05-16,3.603
2023-05-17,3.599
2023-05-19,3.65
2023-05-22,3.637
2023-05-23,3.66
2023-05-24,3.655
2023-05-25,3.6874
2023-05-26,3.7027
2023-05-29,3.6938
2023-05-30,3.689
2023-05-31,3.672
2023-06-01,3.679
2023-06-02,3.702
2023-06-05,3.696
2023-06-07,3.7109
2023-06-08,3.715
2023-06-09,3.707
2023-06-12,3.708
2023-06-13,3.717
2023-06-14,3.76
2023-06-15,3.814
2023-06-16,3.794
2023-06-19,3.8404
2023-06-20,3.84
2023-06-21,3.8851
2023-06-22,3.9376
2023-06-26,3.926
2023-06-27,3.929
2023-06-28,3.911
2023-06-29,3.8093
2023-06-30,3.8399
2023-07-03,3.8456
2023-07-04,3.836
2023-07-05,3.8482
2023-07-06,3.8605
2023-07-07,3.8625
2023-07-10,3.8802
2023-07-11,3.886
2023-07-12,3.8891
2023-07-13,3.8563
2023-07-14,3.8788
2023-07-17,3.8819
2023-07-18,3.8527
2023-07-19,3.8344
2023-07-20,3.8449
2023-07-21,3.7632
2023-07-24,3.781
2023-07-25,3.7754
2023-07-26,3.7758
2023-07-27,3.7678
2023-07-28,3.7699
2023-07-31,3.772
2023-08-01,3.8509
2023-08-02,3.7781
2023-08-03,3.806
2023-08-04,3.826
2023-08-07,3.823
2023-08-08,3.7925
2023-08-10,3.917
2023-08-11,3.914
2023-08-14,3.8184
2023-08-15,3.853
2023-08-16,3.836
2023-08-17,3.863
2023-08-18,3.847
2023-08-21,3.843
2023-08-22,3.845
2023-08-23,3.872
2023-08-24,3.848
2023-08-25,3.885
2023-08-28,3.884
2023-08-29,3.886
2023-08-30,3.887
2023-08-31,3.867
2023-09-01,3.943
2023-09-04,3.861
2023-09-05,3.8522
2023-09-06,3.862
2023-09-07,3.982
2023-09-08,3.881
2023-09-11,3.889
2023-09-12,3.897
2023-09-13,3.912
2023-09-14,3.916
2023-09-15,3.956
2023-09-18,3.942
2023-09-19,3.93
2023-09-20,3.933
2023-09-21,3.944
2023-09-22,3.945
2023-09-25,3.948
2023-09-26,3.899
2023-09-27,3.946
2023-09-28,3.953
2023-09-29,3.964
2023-10-02,3.994
2023-10-03,3.983
2023-10-04,3.985
2023-10-05,3.944
2023-10-06,3.94
2023-10-09,3.934
2023-10-10,3.924
2023-10-11,3.904
2023-10-12,3.893
2023-10-13,3.931
2023-10-16,3.99
2023-10-17,3.982
2023-10-18,3.954
2023-10-19,4.0175
2023-10-20,3.992
