Date,Value
2022-10-21,2.6825
2022-10-24,2.758
2022-10-25,2.6735
2022-10-26,2.6731
2022-10-27,2.6212
2022-10-28,2.69
2022-10-31,2.7075
2022-11-01,2.7058
2022-11-02,2.6888
2022-11-03,2.6896
2022-11-04,2.68
2022-11-07,2.7083
2022-11-08,2.7196
2022-11-09,2.7193
2022-11-10,2.6944
2022-11-11,2.747
2022-11-14,2.6749
2022-11-15,2.69
2022-11-16,2.756
2022-11-17,2.798
2022-11-18,2.7661
2022-11-21,2.7585
2022-11-22,2.7904
2022-11-23,2.8239
2022-11-24,2.843
2022-11-25,2.8803
2022-11-28,2.8903
2022-11-29,2.852
2022-11-30,2.9007
2022-12-01,2.8844
2022-12-02,2.871
2022-12-05,2.9166
2022-12-06,2.9041
2022-12-07,2.8896
2022-12-08,2.873
2022-12-09,2.8631
2022-12-12,2.915
2022-12-13,2.855
2022-12-14,2.881
2022-12-15,2.9418
2022-12-16,3.099
2022-12-19,2.943
2022-12-20,3.035
2022-12-21,3.082
2022-12-22,3.0902
2022-12-23,3.182
2022-12-27,3.226
2022-12-28,3.197
2022-12-29,3.21
2022-12-30,3.1504
2023-01-02,3.1357
2023-01-03,3.1986
2023-01-04,3.0826
2023-01-05,3.1599
2023-01-06,3.1737
2023-01-09,3.1353
2023-01-10,3.262
2023-01-11,3.1012
2023-01-12,3.087
2023-01-13,3.1643
2023-01-16,3.1776
2023-01-17,3.1328
2023-01-18,3.1328
2023-01-19,3.1559
2023-01-20,3.1732
2023-01-23,3.1786
2023-01-24,3.1815
2023-01-25,3.134
2023-01-26,3.125
2023-01-27,3.143
2023-01-30,3.138
2023-01-31,3.1265
2023-02-01,3.1192
2023-02-02,3.0557
2023-02-03,3.0742
2023-02-06,3.1246
2023-02-07,3.1531
2023-02-08,3.2003
2023-02-09,3.2726
2023-02-10,3.342
2023-02-13,3.4
2023-02-14,3.391
2023-02-15,3.404
2023-02-16,3.4074
2023-02-17,3.3952
2023-02-20,3.454
2023-02-21,3.54
2023-02-22,3.524
2023-02-23,3.534
2023-02-24,3.589
2023-02-27,3.603
2023-02-28,3.6306
2023-03-01,3.6394
2023-03-02,3.6354
2023-03-03,3.621
2023-03-06,3.6707
2023-03-07,3.7009
2023-03-08,3.738
2023-03-09,3.7752
2023-03-10,3.684
2023-03-13,3.3903
2023-03-14,3.486
2023-03-15,3.4625
2023-03-16,3.557
2023-03-17,3.581
2023-03-20,3.521
2023-03-21,3.557
2023-03-22,3.644
2023-03-23,3.5901
2023-03-24,3.5082
2023-03-27,3.542
2023-03-28,3.543
2023-03-29,3.5191
2023-03-30,3.555
2023-03-31,3.5509
2023-04-03,3.5526
2023-04-04,3.5463
2023-04-05,3.5004
2023-04-06,3.509
2023-04-11,3.5675
2023-04-12,3.5999
2023-04-13,3.667
2023-04-14,3.609
2023-04-17,3.671
2023-04-18,3.659
2023-04-19,3.7176
2023-04-20,3.703
2023-04-21,3.7201
2023-04-24,3.7338
2023-04-25,3.714
2023-04-26,3.6035
2023-04-27,3.604
2023-04-28,3.5749
2023-05-02,3.582
2023-05-03,3.574
2023-05-04,3.563
2023-05-05,3.547
2023-05-08,3.551
2023-05-09,3.573
2023-05-10,3.572
2023-05-11,3.5884
2023-05-12,3.562
2023-05-15,3.572
2023-05-16,3.594
2023-05-17,3.6177
2023-05-19,3.636
2023-05-22,3.6483
2023-05-23,3.667
2023-05-24,3.6781
2023-05-25,3.6804
2023-05-26,3.727
2023-05-29,3.72
2023-05-30,3.7034
2023-05-31,3.6886
2023-06-01,3.681
2023-06-02,3.7127
2023-06-05,3.709
2023-06-07,3.727
2023-06-08,3.718
2023-06-09,3.7142
2023-06-12,3.7157
2023-06-13,3.719
2023-06-14,3.764
2023-06-15,3.8168
2023-06-16,3.84
2023-06-19,3.857
2023-06-20,3.859
2023-06-21,3.8956
2023-06-22,3.9696
2023-06-26,3.9602
2023-06-27,3.9682
2023-06-28,3.9441
2023-06-29,3.906
2023-06-30,3.8877
2023-07-03,3.912
2023-07-04,3.915
2023-07-05,3.907
2023-07-06,3.937
2023-07-07,3.932
2023-07-10,3.954
2023-07-11,3.9673
2023-07-12,3.9576
2023-07-13,3.9072
2023-07-14,3.9611
2023-07-17,3.9359
2023-07-18,3.882
2023-07-19,3.866
2023-07-20,3.891
2023-07-21,3.905
2023-07-24,3.88
2023-07-25,3.8894
2023-07-26,3.8899
