Date,Value
2016-01-04,0.75178
2016-01-05,0.75167
2016-01-06,0.75044
2016-01-07,0.74878
2016-01-08,0.74856
2016-01-11,0.74756
2016-01-12,0.74756
2016-01-13,0.74744
2016-01-14,0.74667
2016-01-15,0.74656
2016-01-18,0.74644
2016-01-19,0.74589
2016-01-20,0.74578
2016-01-21,0.74567
2016-01-22,0.74556
2016-01-25,0.74522
2016-01-26,0.745
2016-01-27,0.74511
2016-01-28,0.74578
2016-01-29,0.746
2016-01-30,0.746
2016-02-01,0.74544
2016-02-02,0.74456
2016-02-03,0.74311
2016-02-04,0.74289
2016-02-05,0.74167
2016-02-15,0.73911
2016-02-16,0.73711
2016-02-17,0.737
2016-02-18,0.736
2016-02-19,0.73578
2016-02-22,0.73567
2016-02-23,0.73578
2016-02-24,0.73567
2016-02-25,0.73522
2016-02-26,0.735
2016-03-01,0.73511
2016-03-02,0.735
2016-03-03,0.73456
2016-03-04,0.73467
2016-03-07,0.73478
2016-03-08,0.73467
2016-03-09,0.73456
2016-03-10,0.73478
2016-03-11,0.73489
2016-03-14,0.73478
2016-03-15,0.73489
2016-03-16,0.73478
2016-03-17,0.73489
2016-03-18,0.73478
2016-03-21,0.73478
2016-03-22,0.73467
2016-03-23,0.73478
2016-03-24,0.73467
2016-03-25,0.69022
2016-03-28,0.68578
2016-03-29,0.68367
2016-03-30,0.687
2016-03-31,0.68744
2016-04-01,0.68733
2016-04-06,0.68722
2016-04-07,0.68678
2016-04-08,0.67733
2016-04-11,0.68244
2016-04-12,0.68289
2016-04-13,0.68289
2016-04-14,0.68278
2016-04-15,0.68289
2016-04-18,0.68278
2016-04-19,0.68289
2016-04-20,0.68267
2016-04-21,0.68289
2016-04-22,0.68278
2016-04-25,0.68289
2016-04-26,0.68278
2016-04-27,0.68267
2016-04-28,0.68278
2016-04-29,0.683
2016-05-03,0.68367
2016-05-04,0.68367
2016-05-05,0.68367
2016-05-06,0.68356
2016-05-09,0.68344
2016-05-10,0.68322
2016-05-11,0.68333
2016-05-12,0.68456
2016-05-13,0.68489
2016-05-16,0.68511
2016-05-17,0.685
2016-05-18,0.68456
2016-05-19,0.68522
2016-05-20,0.68456
2016-05-23,0.68389
2016-05-24,0.68389
2016-05-25,0.68378
2016-05-26,0.68311
2016-05-27,0.68289
2016-05-30,0.68289
2016-05-31,0.68278
2016-06-01,0.68267
2016-06-02,0.68233
2016-06-03,0.68233
2016-06-04,0.68222
2016-06-06,0.68233
2016-06-07,0.68222
2016-06-08,0.68511
2016-06-13,0.68533
2016-06-14,0.68556
2016-06-15,0.68567
2016-06-16,0.68556
2016-06-17,0.68556
2016-06-20,0.68544
2016-06-21,0.68522
2016-06-22,0.68511
2016-06-23,0.68522
2016-06-24,0.68544
2016-06-27,0.68533
2016-06-28,0.68544
2016-06-29,0.68533
2016-06-30,0.68544
2016-07-01,0.65689
2016-07-04,0.65811
2016-07-05,0.65711
2016-07-06,0.657
2016-07-07,0.65711
2016-07-11,0.65722
2016-07-12,0.65678
2016-07-13,0.65622
2016-07-14,0.65622
2016-07-15,0.65633
2016-07-18,0.65622
2016-07-19,0.65622
2016-07-20,0.65633
2016-07-21,0.65644
2016-07-22,0.65633
2016-07-25,0.65644
2016-07-26,0.65633
