Date,Value
2016-01-01,5.65
2016-01-04,5.35
2016-01-05,5.55
2016-01-06,5.75
2016-01-07,5.85
2016-01-08,5.85
2016-01-11,5.7
2016-01-12,5.77
2016-01-13,5.8
2016-01-14,6.13
2016-01-15,6.13
2016-01-18,5.9
2016-01-19,6.05
2016-01-20,5.85
2016-01-21,5.82
2016-01-22,5.7
2016-01-25,5.75
2016-01-26,5.66
2016-01-27,5.85
2016-01-28,5.8
2016-01-29,5.88
2016-02-01,5.75
2016-02-02,5.7
2016-02-03,5.85
2016-02-04,5.95
2016-02-05,6.2
2016-02-08,6.05
2016-02-09,5.85
2016-02-10,5.9
2016-02-11,6.25
2016-02-12,6.1
2016-02-15,6.0
2016-02-16,5.8
2016-02-17,5.77
2016-02-18,5.8
2016-02-19,5.75
2016-02-22,5.75
2016-02-23,5.55
2016-02-24,5.75
2016-02-25,5.7
2016-02-26,5.9
2016-02-29,5.9
2016-03-01,5.9
2016-03-02,5.45
2016-03-03,5.45
2016-03-04,5.4
2016-03-07,5.43
2016-03-08,5.6
2016-03-09,5.7
2016-03-10,5.75
2016-03-11,5.73
2016-03-14,5.65
2016-03-15,5.3
2016-03-16,5.36
2016-03-17,5.53
2016-03-18,5.68
2016-03-21,5.38
2016-03-22,5.47
2016-03-23,5.6
2016-03-24,5.7
2016-03-25,5.6
2016-03-28,5.45
2016-03-29,5.3
2016-03-30,4.71
2016-03-31,5.25
2016-04-01,5.25
2016-04-04,5.3
2016-04-05,5.26
2016-04-06,5.2
2016-04-07,5.32
2016-04-08,5.22
2016-04-11,5.25
2016-04-12,5.15
2016-04-13,5.18
2016-04-15,5.18
2016-04-18,5.2
2016-04-19,5.35
2016-04-20,5.48
2016-04-21,5.85
2016-04-22,5.78
2016-04-25,5.63
2016-04-26,5.43
2016-04-27,5.6
2016-04-28,5.36
2016-04-29,5.0
2016-05-03,4.5
2016-05-04,5.28
2016-05-05,5.28
2016-05-06,5.28
2016-05-09,5.5
2016-05-10,5.0
2016-05-11,4.75
2016-05-12,5.05
2016-05-13,4.6
2016-05-16,4.38
2016-05-17,4.45
2016-05-18,3.85
2016-05-19,3.13
2016-05-20,3.13
2016-05-23,3.5
2016-05-24,3.5
2016-05-25,3.88
2016-05-26,3.75
2016-05-27,3.45
2016-05-30,3.74
2016-05-31,3.6
2016-06-01,3.8
2016-06-02,3.88
2016-06-03,3.95
2016-06-06,4.22
2016-06-07,4.15
2016-06-08,4.15
2016-06-09,4.0
2016-06-10,4.01
2016-06-13,3.85
2016-06-14,3.88
2016-06-15,4.25
2016-06-16,4.7
2016-06-17,4.25
2016-06-20,3.75
2016-06-21,4.05
2016-06-22,4.03
2016-06-23,3.88
2016-06-24,3.7
2016-06-27,4.23
2016-06-28,3.8
2016-06-29,3.85
2016-06-30,3.88
2016-07-01,3.95
2016-07-04,3.82
2016-07-05,3.8
2016-07-06,3.85
2016-07-07,4.06
2016-07-08,4.05
2016-07-11,4.07
2016-07-12,4.2
2016-07-13,4.25
2016-07-14,4.23
2016-07-15,4.45
2016-07-18,4.45
2016-07-19,4.45
2016-07-20,4.5
2016-07-21,4.68
2016-07-22,4.55
2016-07-25,4.59
2016-07-26,4.25
2016-07-27,4.38
2016-07-28,4.3
2016-07-29,4.2
2016-08-01,3.85
2016-08-02,3.9
2016-08-03,3.95
2016-08-04,3.51
2016-08-05,3.25
2016-08-08,3.4
2016-08-09,3.55
2016-08-10,3.63
2016-08-11,3.35
2016-08-12,3.38
2016-08-15,3.25
2016-08-16,3.5
2016-08-17,3.55
2016-08-18,3.65
2016-08-19,3.7
2016-08-22,3.6
2016-08-23,3.58
2016-08-24,3.55
2016-08-25,3.62
2016-08-26,3.6
2016-08-29,3.5
2016-08-30,3.28
2016-08-31,3.25
2016-09-01,3.5
2016-09-02,3.2
2016-09-05,3.0
2016-09-06,3.0
2016-09-07,2.95
2016-09-08,3.05
2016-09-09,3.1
2016-09-12,3.0
2016-09-13,2.95
2016-09-14,2.9
2016-09-15,3.0
2016-09-16,2.7
2016-09-19,2.88
2016-09-20,2.75
2016-09-21,2.85
2016-09-22,3.0
2016-09-23,3.05
2016-09-26,3.15
2016-09-27,3.25
2016-09-28,3.0
2016-09-29,3.2
2016-09-30,3.1
2016-10-03,2.95
2016-10-04,2.5
2016-10-05,2.35
2016-10-06,2.63
2016-10-07,1.9
2016-10-10,1.7
2016-10-11,2.15
2016-10-12,2.05
2016-10-13,1.9
2016-10-14,2.5
2016-10-17,2.25
2016-10-18,2.88
2016-10-19,3.05
2016-10-20,3.05
2016-10-21,3.34
2016-10-24,3.6
2016-10-25,3.7
2016-10-26,3.75
2016-10-27,4.0
2016-10-28,4.0
2016-10-31,3.55
2016-11-01,3.5
2016-11-02,3.7
2016-11-03,3.5
2016-11-14,3.4
2016-11-15,2.85
2016-11-16,2.84
2016-11-17,2.91
2016-11-18,2.53
2016-11-21,2.38
2016-11-22,2.24
2016-11-23,2.19
2016-11-24,2.09
2016-11-25,1.41
2016-11-28,1.45
2016-11-29,1.5
2016-11-30,1.51
2016-12-01,1.05
2016-12-02,1.05
2016-12-05,0.9
2016-12-06,1.48
2016-12-07,1.47
2016-12-08,1.47
2016-12-09,1.51
2016-12-13,1.48
2016-12-14,1.2
2016-12-15,0.49
2016-12-16,0.43
2016-12-19,0.4
2016-12-20,-0.06
2016-12-21,0.26
2016-12-22,0.0
2016-12-23,0.15
2016-12-26,0.25
2016-12-27,0.68
2016-12-28,0.14
2016-12-29,0.95
2016-12-30,1.1
2017-01-04,1.5
2017-01-05,1.66
2017-01-06,2.28
2017-01-09,2.03
2017-01-10,1.94
2017-01-11,1.96
2017-01-12,2.07
2017-01-13,2.01
