Date,Value
2022-04-26,2.65
2022-04-27,2.655
2022-04-28,2.645
2022-04-29,2.725
2022-05-03,2.87
2022-05-04,2.87
2022-05-05,3.015
2022-05-06,3.175
2022-05-09,3.235
2022-05-10,3.14
2022-05-11,3.215
2022-05-12,3.145
2022-05-13,3.18
2022-05-17,3.16
2022-05-18,3.085
2022-05-19,2.995
2022-05-20,2.955
2022-05-23,2.855
2022-05-24,2.865
2022-05-25,2.67
2022-05-26,2.75
2022-05-27,2.72
2022-05-30,2.825
2022-05-31,2.9
2022-06-01,2.75
2022-06-02,2.83
2022-06-03,2.79
2022-06-06,2.79
2022-06-07,2.79
2022-06-08,2.755
2022-06-09,2.79
2022-06-10,2.85
2022-06-13,2.91
2022-06-14,2.8
2022-06-15,2.95
2022-06-16,3.015
2022-06-17,2.92
2022-06-20,2.885
2022-06-21,2.795
2022-06-22,2.685
2022-06-23,2.69
2022-06-24,2.745
2022-06-27,2.825
2022-06-28,2.9
2022-06-29,2.895
2022-06-30,2.895
2022-07-01,2.76
2022-07-04,2.725
2022-07-05,2.765
2022-07-06,2.685
2022-07-07,2.67
2022-07-08,2.575
2022-07-11,2.59
2022-07-12,2.51
2022-07-13,2.51
2022-07-14,2.525
2022-07-15,2.51
2022-07-18,2.555
2022-07-19,2.57
2022-07-20,2.635
2022-07-21,2.665
2022-07-22,2.6
2022-07-25,2.495
2022-07-26,2.435
2022-07-27,2.43
2022-07-28,2.43
2022-07-29,2.43
2022-08-01,2.325
2022-08-02,2.26
2022-08-03,2.33
2022-08-04,2.35
2022-08-05,2.275
2022-08-08,2.34
2022-08-09,2.315
2022-08-10,2.25
2022-08-11,2.22
2022-08-12,2.26
2022-08-15,2.235
2022-08-16,2.27
2022-08-17,2.285
2022-08-18,2.38
2022-08-19,2.48
2022-08-22,2.53
2022-08-23,2.535
2022-08-24,2.51
2022-08-25,2.57
2022-08-26,2.535
2022-08-29,2.59
2022-08-30,2.585
2022-08-31,2.715
2022-09-01,2.77
2022-09-02,2.775
2022-09-05,2.765
2022-09-06,2.83
2022-09-07,2.715
2022-09-08,2.66
2022-09-09,2.675
2022-09-12,2.72
2022-09-13,2.65
2022-09-14,2.74
2022-09-15,2.845
2022-09-16,2.9475
2022-09-19,2.95
2022-09-20,2.955
2022-09-21,2.91
2022-09-22,3.0
2022-09-23,3.09
2022-09-26,3.16
2022-09-27,3.16
2022-09-28,3.23
2022-09-29,3.265
2022-09-30,3.16
2022-10-03,3.17
2022-10-04,2.995
2022-10-05,3.055
2022-10-06,3.04
2022-10-07,3.08
2022-10-10,3.15
2022-10-11,3.185
2022-10-12,3.16
2022-10-13,3.16
2022-10-14,3.16
2022-10-17,3.17
2022-10-18,3.21
2022-10-19,3.225
2022-10-20,3.275
2022-10-21,3.245
2022-10-25,3.195
2022-10-26,3.095
2022-10-27,3.105
2022-10-28,3.05
2022-10-31,3.085
2022-11-01,3.025
2022-11-02,3.035
2022-11-03,3.115
2022-11-04,3.09
2022-11-07,3.035
2022-11-08,3.025
2022-11-09,2.965
2022-11-10,2.92
2022-11-11,2.76
2022-11-14,2.725
2022-11-15,2.6
2022-11-16,2.645
2022-11-17,2.675
2022-11-18,2.745
2022-11-21,2.755
2022-11-22,2.685
2022-11-23,2.67
2022-11-24,2.595
2022-11-25,2.49
2022-11-28,2.44
2022-11-29,2.45
2022-11-30,2.55
2022-12-01,2.5
2022-12-02,2.425
2022-12-06,2.47
2022-12-07,2.45
2022-12-08,2.465
2022-12-09,2.46
2022-12-13,2.48
2022-12-14,2.39
2022-12-15,2.44
2022-12-16,2.44
2022-12-19,2.45
2022-12-20,2.535
2022-12-21,2.5475
2022-12-22,2.5275
2022-12-23,2.5575
2022-12-26,2.5575
2022-12-27,2.57
2022-12-28,2.615
2022-12-29,2.555
2022-12-30,2.55
2023-01-03,2.58
2023-01-04,2.54
2023-01-05,2.525
2023-01-06,2.535
2023-01-09,2.485
2023-01-10,2.49
2023-01-11,2.485
2023-01-12,2.475
2023-01-13,2.42
2023-01-16,2.45
2023-01-17,2.475
2023-01-18,2.445
2023-01-19,2.375
2023-01-20,2.395
2023-01-23,2.42
2023-01-24,2.365
2023-01-25,2.38
2023-01-26,2.385
2023-01-27,2.465
2023-01-30,2.48
2023-01-31,2.5
2023-02-01,2.46
2023-02-02,2.46
2023-02-03,2.465
