Date,Value
2022-04-27,0.55
2022-04-28,0.545
2022-04-29,0.545
2022-05-02,0.545
2022-05-03,0.545
2022-05-04,0.545
2022-05-05,0.545
2022-05-06,0.58
2022-05-09,0.58
2022-05-10,0.545
2022-05-11,0.545
2022-05-12,0.545
2022-05-13,0.58
2022-05-16,0.545
2022-05-17,0.61
2022-05-18,0.61
2022-05-19,0.58
2022-05-20,0.58
2022-05-23,0.61
2022-05-24,0.61
2022-05-26,0.61
2022-05-27,0.61
2022-05-31,0.61
2022-06-01,0.61
2022-06-02,0.61
2022-06-03,0.61
2022-06-06,0.685
2022-06-07,0.61
2022-06-08,0.61
2022-06-09,0.67
2022-06-10,0.65
2022-06-14,0.65
2022-06-15,0.65
2022-06-16,0.65
2022-06-17,0.65
2022-06-20,0.7
2022-06-21,0.65
2022-06-22,0.74
2022-06-23,0.74
2022-06-24,0.74
2022-06-28,0.74
2022-06-29,0.74
2022-06-30,0.74
2022-07-01,0.79
2022-07-05,0.79
2022-07-06,0.79
2022-07-07,0.79
2022-07-08,0.79
2022-07-12,0.79
2022-07-13,0.79
2022-07-14,0.85
2022-07-15,0.85
2022-07-19,0.85
2022-07-20,0.85
2022-07-21,0.85
2022-07-22,0.85
2022-07-25,0.85
2022-07-26,0.85
2022-07-27,0.85
2022-07-28,0.85
2022-07-29,0.85
2022-08-01,0.86
2022-08-02,0.86
2022-08-03,0.86
2022-08-04,0.85
2022-08-05,0.85
2022-08-09,0.85
2022-08-10,0.85
2022-08-11,0.86
2022-08-12,0.86
2022-08-16,0.86
2022-08-17,0.86
2022-08-18,0.86
2022-08-19,0.86
2022-08-23,0.86
2022-08-24,0.86
2022-08-25,0.86
2022-08-26,0.94
2022-08-30,0.94
2022-08-31,0.94
2022-09-01,0.94
2022-09-02,0.94
2022-09-06,0.94
2022-09-07,0.94
2022-09-08,0.94
2022-09-09,0.94
2022-09-13,1.0
2022-09-14,1.0
2022-09-15,1.0
2022-09-16,1.03
2022-09-20,1.11
2022-09-21,1.11
2022-09-22,1.22
2022-09-23,1.275
2022-09-26,1.275
2022-09-27,1.29
2022-09-28,1.135
2022-09-29,1.135
2022-09-30,1.135
2022-10-03,1.16
2022-10-04,1.15
2022-10-05,1.15
2022-10-06,1.15
2022-10-07,1.15
2022-10-11,1.16
2022-10-12,1.175
2022-10-13,1.175
2022-10-14,1.175
2022-10-17,1.175
2022-10-18,1.175
2022-10-19,1.195
2022-10-20,1.195
2022-10-21,1.2
2022-10-25,1.2
2022-10-26,1.19
2022-10-27,1.21
2022-10-28,1.2
2022-10-31,1.2
2022-11-01,1.21
2022-11-02,1.21
2022-11-03,1.235
2022-11-04,1.245
2022-11-07,1.245
2022-11-08,1.27
2022-11-09,1.26
2022-11-10,1.255
2022-11-11,1.22
2022-11-14,1.25
2022-11-15,1.25
2022-11-16,1.31
2022-11-17,1.295
2022-11-18,1.285
2022-11-22,1.3
2022-11-23,1.285
2022-11-24,1.285
2022-11-25,1.285
2022-11-28,1.3
2022-11-29,1.3
2022-11-30,1.31
2022-12-01,1.335
2022-12-02,1.335
2022-12-06,1.325
2022-12-07,1.325
2022-12-08,1.33
2022-12-09,1.35
2022-12-13,1.35
2022-12-14,1.36
2022-12-15,1.36
2022-12-16,1.36
2022-12-20,1.36
2022-12-21,1.36
2022-12-22,1.4
2022-12-23,1.39
2022-12-27,1.39
2022-12-28,1.39
2022-12-29,1.39
2022-12-30,1.39
2023-01-03,1.45
2023-01-04,1.45
2023-01-05,1.45
2023-01-06,1.475
2023-01-09,1.47
2023-01-10,1.475
2023-01-11,1.47
2023-01-12,1.505
2023-01-13,1.505
2023-01-16,1.515
2023-01-17,1.515
2023-01-18,1.52
2023-01-19,1.52
2023-01-20,1.52
2023-01-23,1.52
2023-01-24,1.5
2023-01-25,1.545
2023-01-26,1.55
2023-01-27,1.565
2023-01-31,1.565
2023-02-01,1.565
2023-02-02,1.565
2023-02-03,1.565
2023-02-06,1.6
2023-02-07,1.6
2023-02-08,1.6
2023-02-09,1.6
2023-02-10,1.62
2023-02-13,1.625
2023-02-14,1.63
2023-02-15,1.62
2023-02-16,1.63
2023-02-17,1.63
2023-02-20,1.63
2023-02-21,1.63
2023-02-22,1.64
2023-02-23,1.645
2023-02-24,1.655
2023-02-27,1.67
2023-02-28,1.66
2023-03-01,1.675
2023-03-02,1.69
2023-03-03,1.685
2023-03-07,1.685
2023-03-08,1.685
2023-03-09,1.72
2023-03-10,1.72
2023-03-13,1.695
2023-03-14,1.67
2023-03-15,1.69
2023-03-16,1.67
2023-03-17,1.68
2023-03-20,1.66
2023-03-21,1.66
2023-03-22,1.69
2023-03-23,1.7
2023-03-24,1.7
2023-03-27,1.72
2023-03-28,1.745
2023-03-29,1.795
2023-03-30,1.8
