Date,Value
2016-01-01,0.8725
2016-01-04,0.875
2016-01-05,0.905
2016-01-06,0.885
2016-01-07,0.88
2016-01-08,0.88
2016-01-11,0.86
2016-01-12,0.855
2016-01-13,0.8475
2016-01-14,0.83
2016-01-15,0.83
2016-01-18,0.8375
2016-01-19,0.8425
2016-01-20,0.815
2016-01-21,0.82
2016-01-22,0.85
2016-01-25,0.8375
2016-01-26,0.835
2016-01-27,0.8475
2016-01-28,0.8575
2016-01-29,0.8375
2016-02-01,0.78
2016-02-02,0.7925
2016-02-03,0.785
2016-02-04,0.79
2016-02-05,0.79
2016-02-08,0.78
2016-02-09,0.79
2016-02-10,0.79
2016-02-11,0.79
2016-02-12,0.79
2016-02-15,0.78
2016-02-16,0.7975
2016-02-17,0.795
2016-02-18,0.785
2016-02-19,0.7825
2016-02-22,0.77
2016-02-23,0.77
2016-02-24,0.76
2016-02-25,0.7425
2016-02-26,0.74
2016-02-29,0.74
2016-03-01,0.7375
2016-03-02,0.74
2016-03-03,0.715
2016-03-04,0.7025
2016-03-07,0.705
2016-03-08,0.735
2016-03-09,0.725
2016-03-10,0.7425
2016-03-11,0.77
2016-03-14,0.785
2016-03-15,0.77
2016-03-16,0.7775
2016-03-17,0.7425
2016-03-18,0.725
2016-03-21,0.7425
2016-03-22,0.7575
2016-03-23,0.7775
2016-03-24,0.76
2016-03-25,0.795
2016-03-28,0.84
2016-03-29,0.8175
2016-03-30,0.8175
2016-03-31,0.8275
2016-04-01,0.805
2016-04-04,0.805
2016-04-05,0.8075
2016-04-06,0.8
2016-04-07,0.82
2016-04-08,0.82
2016-04-11,0.82
2016-04-12,0.8325
2016-04-13,0.8425
2016-04-14,0.8375
2016-04-15,0.85
2016-04-18,0.84
2016-04-19,0.84
2016-04-20,0.83
2016-04-21,0.84
2016-04-22,0.845
2016-04-25,0.85
2016-04-26,0.8475
2016-04-27,0.85
2016-04-28,0.8275
2016-04-29,0.8275
2016-05-02,0.83
2016-05-03,0.815
2016-05-04,0.8
2016-05-05,0.79
2016-05-06,0.7675
2016-05-09,0.7675
2016-05-10,0.74
2016-05-11,0.725
2016-05-12,0.725
2016-05-13,0.7375
2016-05-16,0.73
2016-05-17,0.77
2016-05-18,0.78
2016-05-19,0.7825
2016-05-20,0.775
2016-05-23,0.7625
2016-05-24,0.7525
2016-05-25,0.7725
2016-05-26,0.765
2016-05-27,0.7625
2016-05-30,0.775
2016-05-31,0.7875
2016-06-01,0.7775
2016-06-02,0.7725
2016-06-03,0.765
2016-06-06,0.755
2016-06-07,0.755
2016-06-08,0.75
2016-06-09,0.7475
2016-06-10,0.7475
2016-06-13,0.735
2016-06-14,0.73
2016-06-15,0.7325
2016-06-16,0.72
2016-06-17,0.73
2016-06-20,0.7325
2016-06-21,0.74
2016-06-22,0.74
2016-06-23,0.74
2016-06-24,0.71
2016-06-27,0.705
2016-06-28,0.695
2016-06-29,0.715
2016-06-30,0.715
2016-07-01,0.6975
2016-07-04,0.7125
2016-07-05,0.69
2016-07-06,0.685
2016-07-07,0.68
2016-07-08,0.68
2016-07-11,0.6725
2016-07-12,0.6825
2016-07-13,0.685
2016-07-14,0.69
2016-07-15,0.695
2016-07-18,0.69
2016-07-19,0.6775
2016-07-20,0.6825
2016-07-21,0.69
2016-07-22,0.685
2016-07-25,0.6925
2016-07-26,0.6925
2016-07-27,0.7075
2016-07-28,0.7075
2016-07-29,0.72
2016-08-01,0.7225
2016-08-02,0.735
2016-08-03,0.7325
2016-08-04,0.72
2016-08-05,0.715
2016-08-08,0.7275
2016-08-09,0.7275
2016-08-10,0.72
2016-08-11,0.715
2016-08-12,0.72
2016-08-15,0.71
2016-08-16,0.7175
2016-08-17,0.715
2016-08-18,0.71
2016-08-19,0.72
2016-08-22,0.72
2016-08-23,0.7225
2016-08-24,0.725
2016-08-25,0.7275
