Date,Open,High,Low,Close
2016-01-01,36.033,36.033,36.02,36.02
2016-01-04,36.057,36.19,36.033,36.14
2016-01-05,36.14,36.177,36.08,36.15
2016-01-06,36.135,36.257,36.103,36.22
2016-01-07,36.248,36.35,36.226,36.285
2016-01-08,36.255,36.327,36.17,36.307
2016-01-11,36.305,36.345,36.25,36.28
2016-01-12,36.265,36.375,36.235,36.33
2016-01-13,36.322,36.338,36.237,36.25
2016-01-14,36.268,36.345,36.256,36.313
2016-01-15,36.347,36.374,36.28,36.366
2016-01-18,36.362,36.382,36.29,36.32
2016-01-19,36.313,36.325,36.26,36.27
2016-01-20,36.31,36.327,36.272,36.3
2016-01-21,36.29,36.29,36.235,36.263
2016-01-22,36.213,36.253,36.026,36.037
2016-01-25,36.018,36.055,35.925,36.021
2016-01-26,35.917,36.045,35.89,35.908
2016-01-27,35.822,35.874,35.77,35.79
2016-01-28,35.83,35.885,35.775,35.825
2016-01-29,35.835,35.861,35.684,35.73
2016-02-01,35.7,35.77,35.591,35.605
2016-02-02,35.595,35.771,35.579,35.76
2016-02-03,35.796,35.87,35.77,35.841
2016-02-04,35.711,35.755,35.55,35.56
2016-02-05,35.61,35.651,35.48,35.497
2016-02-08,35.595,35.612,35.495,35.51
2016-02-09,35.52,35.539,35.388,35.489
2016-02-10,35.403,35.428,35.3,35.36
2016-02-11,35.315,35.325,35.228,35.245
2016-02-12,35.25,35.64,35.228,35.58
2016-02-15,35.57,35.69,35.552,35.65
2016-02-16,35.638,35.671,35.59,35.61
2016-02-17,35.65,35.68,35.6,35.61
2016-02-18,35.63,35.63,35.537,35.548
2016-02-19,35.58,35.75,35.54,35.745
2016-02-22,35.73,35.781,35.717,35.755
2016-02-23,35.75,35.776,35.715,35.74
2016-02-24,35.732,35.759,35.69,35.7
2016-02-25,35.68,35.714,35.65,35.68
2016-02-26,35.665,35.707,35.63,35.64
2016-02-29,35.722,35.763,35.618,35.64
2016-03-01,35.645,35.655,35.588,35.625
2016-03-02,35.59,35.656,35.54,35.57
2016-03-03,35.542,35.559,35.476,35.51
2016-03-04,35.43,35.46,35.385,35.403
2016-03-07,35.365,35.495,35.349,35.42
2016-03-08,35.41,35.47,35.365,35.425
2016-03-09,35.36,35.393,35.287,35.32
2016-03-10,35.29,35.31,35.239,35.25
2016-03-11,35.225,35.26,35.064,35.16
2016-03-14,35.114,35.151,35.05,35.08
2016-03-15,35.097,35.15,35.07,35.132
2016-03-16,35.127,35.145,34.99,35.02
2016-03-17,34.941,34.975,34.77,34.78
2016-03-18,34.763,34.925,34.745,34.85
2016-03-21,34.873,34.952,34.85,34.89
2016-03-22,34.915,34.963,34.88,34.91
2016-03-23,34.95,35.13,34.917,35.118
2016-03-24,35.191,35.395,35.188,35.35
2016-03-25,35.33,35.365,35.265,35.27
2016-03-28,35.292,35.408,35.274,35.36
2016-03-29,35.338,35.44,35.323,35.426
2016-03-30,35.338,35.365,35.189,35.235
2016-03-31,35.25,35.262,35.159,35.185
2016-04-01,35.125,35.175,35.09,35.105
2016-04-04,35.16,35.29,35.12,35.263
2016-04-05,35.25,35.39,35.237,35.32
2016-04-06,35.303,35.31,35.214,35.256
2016-04-07,35.247,35.253,35.15,35.205
2016-04-08,35.2,35.234,35.09,35.12
2016-04-11,35.083,35.112,35.04,35.07
