Date,Value
2016-01-01,13.0
2016-01-04,16.75
2016-01-05,15.75
2016-01-06,18.0
2016-01-07,19.0
2016-01-08,19.6
2016-01-11,20.75
2016-01-12,22.75
2016-01-13,21.0
2016-01-14,21.5
2016-01-15,21.0
2016-01-18,20.0
2016-01-19,18.0
2016-01-20,18.0
2016-01-21,18.12
2016-01-22,10.5
2016-01-25,9.75
2016-01-26,8.5
2016-01-27,6.0
2016-01-28,6.0
2016-01-29,6.0
2016-02-01,4.0
2016-02-02,8.0
2016-02-03,7.0
2016-02-04,5.0
2016-02-05,5.0
2016-02-08,5.0
2016-02-09,4.5
2016-02-10,2.0
2016-02-11,3.4
2016-02-12,5.5
2016-02-15,4.0
2016-02-16,3.75
2016-02-17,5.75
2016-02-18,6.25
2016-02-19,6.25
2016-02-22,5.88
2016-02-23,6.55
2016-02-24,5.75
2016-02-25,5.5
2016-02-26,4.0
2016-02-29,4.0
2016-03-01,4.25
2016-03-02,3.88
2016-03-03,3.75
2016-03-04,3.13
2016-03-07,1.25
2016-03-08,2.0
2016-03-09,1.0
2016-03-10,1.0
2016-03-11,0.75
2016-03-14,2.25
2016-03-15,3.5
2016-03-16,3.25
2016-03-17,0.25
2016-03-18,0.75
2016-03-21,1.2
2016-03-22,1.5
2016-03-23,3.25
2016-03-24,4.5
2016-03-25,4.5
2016-03-28,4.0
2016-03-29,2.75
2016-03-30,1.13
2016-03-31,0.0
2016-04-01,1.25
2016-04-04,1.0
2016-04-05,2.25
2016-04-06,3.0
2016-04-07,3.5
2016-04-08,2.5
2016-04-11,3.13
2016-04-12,3.13
2016-04-13,3.13
2016-04-14,3.75
2016-04-15,4.0
2016-04-18,4.0
2016-04-19,4.5
2016-04-20,4.0
2016-04-21,2.2
2016-04-22,3.0
2016-04-25,4.7
2016-04-26,6.0
2016-04-27,7.0
2016-04-28,6.0
2016-04-29,6.0
2016-05-02,6.0
2016-05-03,4.5
2016-05-04,2.5
2016-05-05,3.0
2016-05-06,3.0
2016-05-09,3.0
2016-05-10,4.0
2016-05-11,4.0
2016-05-12,3.5
2016-05-13,6.5
2016-05-16,6.0
2016-05-17,6.0
2016-05-18,6.5
2016-05-19,5.25
2016-05-20,5.25
2016-05-23,5.2
2016-05-24,5.5
2016-05-25,5.63
2016-05-26,5.0
2016-05-27,5.13
2016-05-30,5.5
2016-05-31,5.0
2016-06-01,5.0
2016-06-02,5.0
2016-06-03,4.25
2016-06-06,2.0
2016-06-07,1.5
2016-06-08,1.38
2016-06-09,1.38
2016-06-10,2.25
2016-06-13,2.5
2016-06-14,3.75
2016-06-15,3.0
2016-06-16,3.25
2016-06-17,2.5
2016-06-20,2.5
2016-06-21,2.5
2016-06-22,3.2
2016-06-23,3.0
2016-06-24,4.0
2016-06-27,3.0
2016-06-28,3.38
2016-06-29,1.5
2016-06-30,1.5
2016-07-01,0.75
2016-07-04,-0.35
2016-07-05,0.75
2016-07-06,0.5
2016-07-07,1.13
2016-07-08,0.88
2016-07-11,0.75
2016-07-12,1.0
2016-07-13,1.25
2016-07-14,1.25
2016-07-15,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-20,1.5
2016-07-21,1.75
2016-07-22,1.85
2016-07-25,3.25
2016-07-26,2.88
2016-07-27,3.15
2016-07-28,3.0
2016-07-29,2.38
2016-08-01,1.0
2016-08-02,1.5
2016-08-03,2.0
2016-08-04,2.5
2016-08-05,2.0
2016-08-08,2.2
2016-08-09,1.63
2016-08-10,1.35
2016-08-11,1.5
2016-08-12,1.85
2016-08-15,1.2
2016-08-16,0.5
2016-08-17,0.87
2016-08-18,0.9
2016-08-19,0.75
2016-08-22,1.25
2016-08-23,1.6
2016-08-24,1.65
2016-08-25,1.5
2016-08-26,1.45
2016-08-29,1.75
2016-08-30,1.85
2016-08-31,2.38
2016-09-01,2.5
2016-09-02,2.5
2016-09-05,2.5
2016-09-06,3.0
2016-09-07,2.75
2016-09-08,3.75
2016-09-09,5.25
2016-09-12,5.5
2016-09-13,5.2
2016-09-14,5.0
2016-09-15,5.0
2016-09-16,3.5
2016-09-19,3.2
2016-09-20,1.7
2016-09-21,1.25
2016-09-22,1.35
2016-09-23,1.35
2016-09-26,1.0
2016-09-27,-0.75
2016-09-28,0.65
2016-09-29,1.5
2016-09-30,1.5
2016-10-03,1.2
2016-10-04,1.13
2016-10-05,2.0
2016-10-06,3.0
2016-10-07,2.8
2016-10-10,7.0
2016-10-11,9.5
2016-10-12,15.0
2016-10-13,10.25
2016-10-14,6.38
2016-10-17,6.5
2016-10-18,3.13
2016-10-19,2.88
2016-10-20,3.5
2016-10-21,4.5
2016-10-24,4.25
2016-10-25,3.75
2016-10-26,3.75
2016-10-27,4.5
2016-10-28,4.5
2016-10-31,2.0
2016-11-01,1.75
2016-11-02,2.5
2016-11-03,3.2
2016-11-04,4.0
2016-11-07,2.75
2016-11-08,3.5
2016-11-09,5.0
2016-11-10,5.75
2016-11-11,8.5
2016-11-14,7.13
2016-11-15,4.5
2016-11-17,3.88
2016-11-18,4.0
2016-11-21,2.5
2016-11-22,2.75
2016-11-23,3.13
2016-11-24,3.75
2016-11-25,3.13
2016-11-28,3.5
2016-11-29,2.5
2016-11-30,2.0
2016-12-01,2.2
2016-12-02,1.5
2016-12-05,1.5
2016-12-06,1.0
2016-12-07,1.2
2016-12-08,1.41
2016-12-13,1.03
2016-12-14,0.7
2016-12-15,2.5
2016-12-16,2.3
2016-12-19,3.0
2016-12-20,4.75
2016-12-22,5.74
2016-12-23,6.03
2016-12-27,6.25
2016-12-28,4.38
2016-12-29,3.5
2017-01-03,3.2
2017-01-04,3.88
2017-01-05,2.5
2017-01-06,3.13
2017-01-10,3.5
2017-01-11,3.0
2017-01-12,2.1
2017-01-16,1.19
2017-01-17,1.2
2017-01-18,1.75
2017-01-19,1.88
2017-01-20,2.25
2017-01-23,2.78
2017-01-24,2.25
2017-01-25,1.75
2017-01-27,3.75
2017-01-31,3.31
2017-02-01,1.5
2017-02-02,1.22
2017-02-03,1.0
2017-02-06,1.0
2017-02-07,0.85
2017-02-08,1.0
2017-02-09,1.3
2017-02-14,0.85
2017-02-15,0.75
2017-02-16,1.5
2017-02-17,1.9
2017-02-20,2.25
2017-02-21,2.8
2017-02-23,1.9
2017-02-24,1.75
2017-02-27,2.0
2017-02-28,2.0
2017-03-02,2.5
2017-03-03,2.45
2017-03-07,2.51
2017-03-08,3.35
2017-03-09,3.4
2017-03-10,3.25
2017-03-14,3.85
2017-03-15,4.0
2017-03-16,3.0
2017-03-17,2.9
2017-03-20,2.05
2017-03-21,1.38
2017-03-22,0.65
2017-03-23,1.05
2017-03-24,1.0
2017-03-27,0.0
2017-03-28,0.5
2017-03-29,1.0
2017-03-30,1.0
2017-03-31,0.15
2017-04-03,0.25
2017-04-04,1.13
2017-04-05,1.3
2017-04-06,1.75
2017-04-07,2.1
2017-04-10,2.24
2017-04-11,2.13
2017-04-12,2.3
2017-04-13,1.7
2017-04-17,2.0
2017-04-18,1.75
2017-04-19,1.56
2017-04-20,1.4
2017-04-21,0.65
2017-04-24,0.7
2017-04-25,0.8
2017-04-26,1.55
2017-04-27,2.25
2017-04-28,2.41
2017-05-01,2.63
2017-05-02,2.38
2017-05-03,2.54
2017-05-04,2.9
2017-05-05,3.13
2017-05-08,3.15
2017-05-09,4.07
2017-05-10,3.91
2017-05-11,3.4
2017-05-12,3.18
2017-05-15,2.42
2017-05-16,2.61
2017-05-17,2.8
2017-05-18,3.22
2017-05-19,3.05
2017-05-22,2.6
2017-05-23,2.5
2017-05-24,2.23
2017-05-25,1.03
2017-05-26,-0.15
2017-05-29,-0.15
2017-05-30,1.13
2017-05-31,0.6
2017-06-01,1.3
2017-06-02,1.0
2017-06-05,0.5
2017-06-06,0.4
2017-06-07,0.58
2017-06-08,1.0
2017-06-09,1.1
2017-06-12,1.33
2017-06-13,1.08
2017-06-14,0.25
2017-06-15,0.48
2017-06-16,0.4
2017-06-19,0.3
2017-06-20,0.8
2017-06-21,1.15
2017-06-22,0.7
2017-06-23,-0.1
2017-06-26,-0.3
2017-06-27,-0.58
2017-06-28,-0.37
2017-06-29,-0.25
2017-06-30,-0.02
2017-07-03,0.07
2017-07-04,-0.08
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,-0.35
2017-07-10,-0.32
2017-07-11,-0.15
2017-07-12,-0.22
2017-07-13,0.0
2017-07-14,-0.05
2017-07-17,-0.42
2017-07-18,-0.68
2017-07-19,-0.33
2017-07-20,-0.1
2017-07-21,-0.43
2017-07-24,-0.45
2017-07-25,-1.35
2017-07-26,-1.33
2017-07-27,-2.5
2017-07-28,-6.75
2017-07-31,-4.81
2017-08-01,-3.75
2017-08-02,-2.81
2017-08-03,-2.0
2017-08-04,-2.94
2017-08-07,-3.0
2017-08-08,-3.08
2017-08-09,-3.0
2017-08-10,-2.21
2017-08-11,-1.97
2017-08-14,-1.96
2017-08-15,-1.69
2017-08-16,-0.59
2017-08-17,-3.04
2017-08-18,-2.38
2017-08-21,-2.02
2017-08-22,-2.2
2017-08-23,-0.38
2017-08-24,-1.44
2017-08-25,-1.06
2017-08-28,-1.2
2017-08-29,-1.09
2017-08-30,-0.68
2017-08-31,-1.37
2017-09-01,-1.26
2017-09-04,-2.15
2017-09-05,-3.0
2017-09-06,-2.54
2017-09-07,-2.85
2017-09-08,-6.44
2017-09-11,-5.95
2017-09-12,-5.01
2017-09-13,-4.22
2017-09-14,-4.29
2017-09-15,-4.46
2017-09-18,-3.97
2017-09-19,-3.63
2017-09-20,-2.5
2017-09-21,-2.75
2017-09-22,-2.5
2017-09-25,-2.25
2017-09-26,-1.0
2017-09-27,2.56
2017-09-28,2.88
2017-09-29,1.01
2017-10-02,1.42
2017-10-03,1.98
2017-10-04,1.3
2017-10-05,1.09
2017-10-06,1.0
2017-10-09,0.0
2017-10-10,-3.19
2017-10-11,-3.5
2017-10-12,-2.75
2017-10-13,-3.43
2017-10-16,-3.75
2017-10-17,-1.45
2017-10-18,-1.92
2017-10-19,-0.5
2017-10-20,-0.53
2017-10-23,-0.09
2017-10-24,-0.28
2017-10-25,-0.28
2017-10-26,-0.74
2017-10-27,0.44
2017-10-30,0.13
2017-10-31,0.05
2017-11-01,-0.69
2017-11-02,-1.38
2017-11-03,-2.0
2017-11-06,-2.2
2017-11-07,-2.3
2017-11-08,-2.75
2017-11-09,-4.5
2017-11-10,-3.63
2017-11-13,-3.45
2017-11-14,-2.78
2017-11-15,-3.88
2017-11-16,-5.38
2017-11-17,-10.25
2017-11-20,-9.49
2017-11-21,-8.44
2017-11-22,-8.56
2017-11-23,-7.0
2017-11-24,-7.0
2017-11-27,-6.43
2017-11-28,-6.81
2017-11-29,-7.0
2017-11-30,-6.0
2017-12-01,-5.88
2017-12-04,-5.3
2017-12-05,-6.0
2017-12-06,-6.63
2017-12-07,-7.19
2017-12-08,-8.6
2017-12-11,-10.0
2017-12-12,-8.13
2017-12-13,-8.31
2017-12-14,-9.13
2017-12-15,-9.8
2017-12-18,-11.0
2017-12-19,-9.56
2017-12-20,-11.5
2017-12-21,-10.0
