Date,Value
2016-01-01,0.935
2016-01-04,0.9
2016-01-05,0.915
2016-01-06,0.89
2016-01-07,0.8975
2016-01-08,0.91
2016-01-11,0.9275
2016-01-12,0.9175
2016-01-13,0.9825
2016-01-14,0.955
2016-01-15,1.02
2016-01-18,1.0125
2016-01-19,1.0075
2016-01-20,1.0425
2016-01-21,1.075
2016-01-22,1.0625
2016-01-25,1.06
2016-01-26,1.06
2016-01-27,1.035
2016-01-28,1.0325
2016-01-29,1.035
2016-02-01,1.035
2016-02-02,1.03
2016-02-03,1.0175
2016-02-04,1.06
2016-02-05,1.0375
2016-02-08,1.095
2016-02-09,1.1125
2016-02-10,1.125
2016-02-11,1.15
2016-02-12,1.115
2016-02-15,1.095
2016-02-16,1.1075
2016-02-17,1.115
2016-02-18,1.105
2016-02-19,1.1
2016-02-22,1.125
2016-02-23,1.1175
2016-02-24,1.13
2016-02-25,1.13
2016-02-26,1.085
2016-02-29,1.0725
2016-03-01,1.085
2016-03-02,1.055
2016-03-03,1.06
2016-03-04,1.0625
2016-03-07,1.055
2016-03-08,1.05
2016-03-09,1.0725
2016-03-10,1.04
2016-03-11,1.015
2016-03-14,1.035
2016-03-15,1.05
2016-03-16,1.0725
2016-03-17,1.0575
2016-03-18,1.05
2016-03-21,1.06
2016-03-22,1.05
2016-03-23,1.0625
2016-03-24,1.055
2016-03-25,1.065
2016-03-28,1.065
2016-03-29,1.05
2016-03-30,1.045
2016-03-31,1.04
2016-04-01,1.035
2016-04-04,1.0275
2016-04-05,1.035
2016-04-06,1.0325
2016-04-07,1.04
2016-04-08,1.07
2016-04-11,1.05
2016-04-12,1.05
2016-04-13,1.055
2016-04-14,1.035
2016-04-15,1.04
2016-04-18,1.04
2016-04-19,1.03
2016-04-20,1.005
2016-04-21,1.01
2016-04-22,0.995
2016-04-25,0.995
2016-04-26,0.995
2016-04-27,0.995
2016-04-28,0.995
2016-04-29,0.9725
2016-05-02,0.97
2016-05-03,0.995
2016-05-04,0.99
2016-05-05,0.98
2016-05-06,0.9925
2016-05-09,0.99
2016-05-10,1.0
2016-05-11,0.975
2016-05-12,0.975
2016-05-13,0.94
2016-05-16,0.9625
2016-05-17,0.945
2016-05-18,0.9275
2016-05-19,0.925
2016-05-20,0.9275
2016-05-23,0.9525
2016-05-24,0.9375
2016-05-25,0.9625
2016-05-26,0.9625
2016-05-27,0.955
2016-05-30,0.8825
2016-05-31,0.97
2016-06-01,0.9825
2016-06-02,0.9775
2016-06-03,0.9875
2016-06-06,0.98
2016-06-07,0.975
2016-06-08,0.9825
2016-06-09,0.975
2016-06-10,1.025
2016-06-13,1.025
2016-06-14,1.0575
2016-06-15,1.0525
2016-06-16,1.055
2016-06-17,1.07
2016-06-20,1.07
2016-06-21,1.07
2016-06-22,1.0525
2016-06-23,1.085
2016-06-24,1.085
2016-06-27,1.1875
2016-06-28,1.0625
2016-06-29,1.0625
2016-06-30,1.0325
2016-07-01,1.0625
2016-07-04,1.0725
2016-07-05,1.0375
2016-07-06,1.0225
2016-07-07,0.98
2016-07-08,0.9675
2016-07-11,0.9625
2016-07-12,0.9575
2016-07-13,0.9525
2016-07-14,0.9675
2016-07-15,0.965
2016-07-18,0.96
2016-07-19,0.97
