Date,Value
2016-01-01,1.2825
2016-01-04,1.25
2016-01-05,1.3
2016-01-06,1.4175
2016-01-07,1.29
2016-01-08,1.28
2016-01-11,1.295
2016-01-12,1.375
2016-01-13,1.52
2016-01-14,1.5625
2016-01-15,1.94
2016-01-18,1.9425
2016-01-19,1.8825
2016-01-20,1.88
2016-01-21,1.655
2016-01-22,1.525
2016-01-25,1.34
2016-01-26,1.24
2016-01-27,1.235
2016-01-28,1.205
2016-01-29,1.215
2016-02-01,1.21
2016-02-02,1.215
2016-02-03,1.21
2016-02-04,1.08
2016-02-05,1.18
2016-02-08,1.31
2016-02-09,1.4275
2016-02-10,1.49
2016-02-11,1.5875
2016-02-12,1.545
2016-02-15,1.5375
2016-02-16,1.5375
2016-02-17,1.505
2016-02-18,1.5
2016-02-19,1.55
2016-02-22,1.45
2016-02-23,1.4075
2016-02-24,1.45
2016-02-25,1.2975
2016-02-26,1.2
2016-02-29,1.19
2016-03-01,1.15
2016-03-02,1.1825
2016-03-03,1.175
2016-03-04,1.16
2016-03-07,1.175
2016-03-08,1.175
2016-03-09,1.2075
2016-03-10,1.205
2016-03-11,1.16
2016-03-14,1.185
2016-03-15,1.31
2016-03-16,1.2925
2016-03-17,1.1475
2016-03-18,1.05
2016-03-21,1.055
2016-03-22,1.12
2016-03-23,1.2775
2016-03-24,1.2775
2016-03-25,1.2725
2016-03-28,1.3275
2016-03-29,1.415
2016-03-30,1.3
2016-03-31,1.26
2016-04-01,1.285
2016-04-04,1.3325
2016-04-05,1.5
2016-04-06,1.515
2016-04-07,1.59
2016-04-08,1.59
2016-04-11,1.545
2016-04-12,1.465
2016-04-13,1.455
2016-04-14,1.4925
2016-04-15,1.495
2016-04-18,1.525
2016-04-19,1.415
2016-04-20,1.41
2016-04-21,1.435
2016-04-22,1.46
2016-04-25,1.41
2016-04-26,1.415
2016-04-27,1.41
2016-04-28,1.4075
2016-04-29,1.43
2016-05-02,1.41
2016-05-03,1.6375
2016-05-04,1.77
2016-05-05,1.815
2016-05-06,1.8725
2016-05-09,1.865
2016-05-10,1.71
2016-05-11,1.665
2016-05-12,1.66
2016-05-13,1.6575
2016-05-16,1.6575
2016-05-17,1.68
2016-05-18,1.575
