Date,Value
2016-01-01,8.9475
2016-01-04,9.1975
2016-01-05,9.14
2016-01-06,9.3575
2016-01-07,9.425
2016-01-08,9.255
2016-01-11,9.28
2016-01-12,9.5225
2016-01-13,9.925
2016-01-14,10.1025
2016-01-15,10.825
2016-01-18,10.6675
2016-01-19,10.7325
2016-01-20,10.075
2016-01-21,10.295
2016-01-22,10.25
2016-01-25,10.105
2016-01-26,10.2025
2016-01-27,10.26
2016-01-28,10.525
2016-01-29,10.535
2016-02-01,10.49
2016-02-02,10.755
2016-02-03,11.275
2016-02-04,11.1525
2016-02-05,10.9525
2016-02-08,11.375
2016-02-09,11.49
2016-02-10,11.5
2016-02-11,11.74
2016-02-12,11.3675
2016-02-15,11.1425
2016-02-16,11.3225
2016-02-17,11.125
2016-02-18,11.185
2016-02-19,11.2575
2016-02-22,11.015
2016-02-23,10.9575
2016-02-24,11.105
2016-02-25,11.1075
2016-02-26,10.905
2016-02-29,10.7525
2016-03-01,10.47
2016-03-02,10.3125
2016-03-03,10.095
2016-03-04,10.05
2016-03-07,10.075
2016-03-08,10.095
2016-03-09,10.1675
2016-03-10,10.1775
2016-03-11,10.2125
2016-03-14,10.24
2016-03-15,10.3775
2016-03-16,10.2
2016-03-17,10.34
2016-03-18,10.1325
2016-03-21,10.0175
2016-03-22,10.075
2016-03-23,10.405
2016-03-24,10.58
2016-03-25,10.555
2016-03-28,10.685
2016-03-29,10.565
2016-03-30,10.255
2016-03-31,10.15
2016-04-01,10.1325
2016-04-04,10.2725
2016-04-05,10.69
2016-04-06,10.75
2016-04-07,10.9
2016-04-08,10.7
2016-04-11,10.645
2016-04-12,10.735
2016-04-13,10.755
2016-04-14,10.8575
2016-04-15,10.76
2016-04-18,10.69
2016-04-19,10.38
2016-04-20,10.42
2016-04-21,10.48
2016-04-22,10.475
2016-04-25,10.465
2016-04-26,10.25
2016-04-27,10.245
2016-04-28,10.265
2016-04-29,10.27
2016-05-02,10.345
2016-05-03,10.6575
2016-05-04,11.205
2016-05-05,11.13
2016-05-06,10.975
2016-05-09,10.955
2016-05-10,10.535
2016-05-11,10.465
2016-05-12,10.5
2016-05-13,10.53
2016-05-16,10.56
2016-05-17,10.5075
2016-05-18,10.4525
2016-05-19,10.5025
2016-05-20,10.39
2016-05-23,10.3025
2016-05-24,10.115
2016-05-25,9.5675
2016-05-26,9.435
2016-05-27,9.5025
2016-05-30,9.57
2016-05-31,9.62
2016-06-01,9.61
2016-06-02,9.7
2016-06-03,9.4025
2016-06-06,9.4025
2016-06-07,9.345
2016-06-08,9.405
2016-06-09,9.665
2016-06-10,10.0625
2016-06-13,10.335
2016-06-14,10.38
2016-06-15,10.255
2016-06-16,10.355
2016-06-17,10.035
2016-06-20,9.735
2016-06-21,9.64
2016-06-22,9.7675
2016-06-23,9.59
2016-06-24,10.2475
2016-06-27,10.4825
2016-06-28,9.8875
2016-06-29,9.7125
2016-06-30,9.5375
2016-07-01,9.505
2016-07-04,9.51
2016-07-05,9.7025
2016-07-06,9.7325
2016-07-07,9.7075
2016-07-08,9.545
2016-07-11,9.66
2016-07-12,9.41
2016-07-13,9.285
2016-07-14,9.055
2016-07-15,9.0825
2016-07-18,9.06
2016-07-19,9.08
2016-07-20,9.0875
2016-07-21,8.99
2016-07-22,9.1625
2016-07-25,9.1825
2016-07-26,9.01
2016-07-27,8.84
2016-07-28,8.815
2016-07-29,8.6425
2016-08-01,8.795
2016-08-02,9.025
2016-08-03,9.05
2016-08-04,9.005
2016-08-05,9.03
2016-08-08,8.97
2016-08-09,8.7725
2016-08-10,8.9375
2016-08-11,8.97
2016-08-12,8.97
2016-08-15,8.935
2016-08-16,8.935
2016-08-17,8.815
2016-08-18,8.8175
2016-08-19,8.8225
2016-08-22,8.905
2016-08-23,8.82
2016-08-24,8.85
2016-08-25,8.84
2016-08-26,8.885
2016-08-29,9.0025
2016-08-30,8.985
2016-08-31,9.0875
2016-09-01,9.005
2016-09-02,8.895
2016-09-05,8.91
2016-09-06,8.63
2016-09-07,8.545
2016-09-08,8.52
2016-09-09,8.7075
2016-09-12,8.945
2016-09-13,9.2325
2016-09-14,9.355
2016-09-15,9.2025
2016-09-16,9.3675
2016-09-19,9.395
2016-09-20,9.295
2016-09-21,9.2075
2016-09-22,9.0575
2016-09-23,9.1975
2016-09-26,9.4025
2016-09-27,9.395
2016-09-28,9.2775
2016-09-29,9.4075
2016-09-30,9.3975
2016-10-03,9.185
2016-10-04,9.2175
2016-10-05,9.1525
2016-10-06,9.2
2016-10-07,9.2275
2016-10-10,9.15
2016-10-11,9.255
2016-10-12,9.2325
2016-10-13,9.13
2016-10-14,8.955
2016-10-17,8.7475
2016-10-18,8.6575
2016-10-19,8.6175
2016-10-20,8.64
2016-10-21,8.8375
2016-10-24,8.735
2016-10-25,8.785
2016-10-26,8.8775
2016-10-27,8.97
2016-10-28,9.055
2016-10-31,9.105
2016-11-01,9.17
2016-11-02,9.325
2016-11-03,9.2025
2016-11-04,9.25
2016-11-07,8.6975
2016-11-08,8.5025
2016-11-09,8.7
2016-11-10,9.015
2016-11-11,9.485
2016-11-14,9.5275
2016-11-15,9.19
2016-11-16,9.2425
2016-11-17,9.325
2016-11-18,9.275
2016-11-21,9.095
2016-11-22,8.97
2016-11-23,8.89
2016-11-24,8.9
2016-11-25,8.9125
2016-11-28,9.025
2016-11-29,9.0975
2016-11-30,8.98
2016-12-01,8.8075
2016-12-02,8.755
2016-12-05,8.635
2016-12-06,8.615
2016-12-07,8.395
2016-12-08,8.295
2016-12-09,8.48
2016-12-12,8.55
2016-12-13,8.49
2016-12-14,8.4975
2016-12-15,9.1
2016-12-16,9.12
2016-12-19,9.11
2016-12-20,9.06
2016-12-21,8.88
2016-12-22,9.135
2016-12-23,9.26
2016-12-26,9.3025
2016-12-27,9.32
2016-12-28,9.475
2016-12-29,9.525
2016-12-30,9.595
2017-01-02,9.64
2017-01-03,9.55
2017-01-04,9.23
2017-01-05,8.925
2017-01-06,8.83
2017-01-09,8.75
2017-01-10,8.7075
2017-01-11,8.89
2017-01-12,8.9475
2017-01-13,8.8175
2017-01-16,8.83
2017-01-17,8.715
2017-01-18,8.99
2017-01-19,9.065
2017-01-20,9.04
2017-01-23,8.845
2017-01-24,8.815
2017-01-25,8.7425
2017-01-26,8.785
2017-01-27,8.825
2017-01-30,8.8625
2017-01-31,8.87
2017-02-01,8.7975
2017-02-02,8.8275
2017-02-03,8.78
2017-02-06,8.8975
2017-02-07,8.8725
2017-02-08,8.9325
2017-02-09,8.975
2017-02-10,8.9
2017-02-13,8.8425
2017-02-14,8.75
2017-02-15,8.565
2017-02-16,8.395
2017-02-17,8.445
2017-02-20,8.42
2017-02-21,8.42
2017-02-22,8.415
2017-02-23,8.395
2017-02-24,8.4125
2017-02-27,8.355
2017-02-28,8.385
2017-03-01,8.395
2017-03-02,8.3675
2017-03-03,8.2225
2017-03-06,7.995
2017-03-07,7.58
2017-03-08,7.87
2017-03-09,7.9175
2017-03-10,7.585
2017-03-13,7.6025
2017-03-14,7.625
2017-03-15,7.345
2017-03-16,7.1075
2017-03-17,7.1425
2017-03-20,7.185
2017-03-21,7.23
2017-03-22,7.445
2017-03-23,7.275
2017-03-24,7.21
2017-03-27,7.1825
2017-03-28,7.155
2017-03-29,7.045
2017-03-30,6.925
2017-03-31,6.885
2017-04-03,6.88
2017-04-04,6.865
2017-04-05,6.83
2017-04-06,6.85
2017-04-07,6.86
2017-04-10,6.84
2017-04-11,6.845
2017-04-12,6.6775
2017-04-13,6.81
2017-04-14,6.805
2017-04-17,6.895
2017-04-18,7.01
2017-04-19,7.075
2017-04-20,7.005
2017-04-21,7.015
2017-04-24,6.7825
2017-04-25,7.095
2017-04-26,7.225
2017-04-27,7.28
2017-04-28,7.4225
2017-05-01,7.51
2017-05-02,7.485
2017-05-03,7.38
2017-05-04,7.335
2017-05-05,7.29
2017-05-08,7.15
2017-05-09,7.075
2017-05-10,7.06
2017-05-11,7.185
2017-05-12,7.07
2017-05-15,6.99
2017-05-16,6.965
2017-05-17,7.135
2017-05-18,7.1
2017-05-19,6.9125
2017-05-22,6.84
2017-05-23,6.875
2017-05-24,6.775
2017-05-25,6.79
2017-05-26,6.735
2017-05-29,6.71
2017-05-30,6.68
2017-05-31,6.7
2017-06-01,6.66
2017-06-02,6.6075
2017-06-05,6.5625
2017-06-06,6.5725
2017-06-07,6.605
2017-06-08,6.59
2017-06-09,6.38
2017-06-12,6.44
2017-06-13,6.715
2017-06-14,6.6925
2017-06-15,6.6225
2017-06-16,6.565
2017-06-19,6.5775
2017-06-20,6.59
2017-06-21,6.805
2017-06-22,6.805
2017-06-23,6.7925
2017-06-26,6.785
