Date,Value
2016-01-01,0.0975
2016-01-04,0.085
2016-01-05,0.105
2016-01-06,0.07
2016-01-07,0.025
2016-01-08,0.0225
2016-01-11,0.0375
2016-01-12,0.0025
2016-01-13,0.0725
2016-01-14,-0.0075
2016-01-15,-0.075
2016-01-18,-0.05
2016-01-19,-0.0425
2016-01-20,-0.0025
2016-01-21,0.0425
2016-01-22,0.0225
2016-01-25,0.03
2016-01-26,0.0225
2016-01-27,-0.005
2016-01-28,-0.0075
2016-01-29,0.0725
2016-02-01,0.0925
2016-02-02,0.06
2016-02-03,-0.04
2016-02-04,-0.0925
2016-02-05,0.0225
2016-02-08,-0.04
2016-02-09,-0.09
2016-02-10,0.01
2016-02-11,-0.04
2016-02-12,-0.0375
2016-02-15,-0.22
2016-02-16,-0.0625
2016-02-17,-0.1075
2016-02-18,-0.1325
2016-02-19,-0.0725
2016-02-22,-0.1
2016-02-23,-0.0175
2016-02-24,0.05
2016-02-25,-0.0225
2016-02-26,-0.1675
2016-02-29,-0.1575
2016-03-01,-0.2475
2016-03-02,-0.3275
2016-03-03,-0.3275
2016-03-04,-0.3175
2016-03-07,-0.3475
2016-03-08,-0.3525
2016-03-09,-0.3425
2016-03-10,-0.3825
2016-03-11,-0.3525
2016-03-14,-0.3575
2016-03-15,-0.3725
2016-03-16,-0.4125
2016-03-17,-0.5225
2016-03-18,-0.4975
2016-03-21,-0.4625
2016-03-22,-0.4525
2016-03-23,-0.47
2016-03-24,-0.435
2016-03-25,-0.49
2016-03-28,-0.4725
2016-03-29,-0.5325
2016-03-30,-0.5475
2016-03-31,-0.5825
2016-04-01,-0.565
2016-04-04,-0.7425
2016-04-05,-0.695
2016-04-06,-0.6825
2016-04-07,-0.6775
2016-04-08,-0.69
2016-04-11,-0.7375
2016-04-12,-0.8
2016-04-13,-0.73
2016-04-14,-0.7
2016-04-15,-0.76
2016-04-18,-0.7125
2016-04-19,-0.7675
2016-04-20,-0.7675
2016-04-21,-0.7825
2016-04-22,-0.8025
2016-04-25,-0.8225
2016-04-26,-0.8875
2016-04-27,-0.8775
2016-04-28,-0.875
2016-04-29,-0.895
2016-05-02,-0.8875
2016-05-03,-0.9175
2016-05-04,-0.9075
2016-05-05,-0.875
2016-05-06,-0.92
2016-05-09,-0.935
2016-05-10,-0.8875
2016-05-11,-0.8875
2016-05-12,-0.8975
2016-05-13,-0.92
2016-05-16,-0.95
2016-05-17,-0.8875
2016-05-18,-0.8975
2016-05-19,-0.88
2016-05-20,-0.955
2016-05-23,-0.8975
2016-05-24,-0.9125
2016-05-25,-0.9225
2016-05-26,-0.9275
2016-05-27,-0.9325
2016-05-30,-0.955
2016-05-31,-0.935
2016-06-01,-0.95
2016-06-02,-0.9375
2016-06-03,-0.96
2016-06-06,-0.9875
2016-06-07,-1.0225
2016-06-08,-0.99
2016-06-09,-0.925
2016-06-10,-0.9525
2016-06-13,-0.9475
2016-06-14,-0.885
2016-06-15,-0.9025
2016-06-16,-0.91
2016-06-17,-0.9125
2016-06-20,-0.96
2016-06-21,-1.0025
2016-06-22,-1.185
2016-06-23,-0.955
2016-06-24,-0.8425
2016-06-27,-1.075
2016-06-28,-1.1075
2016-06-29,-1.135
2016-06-30,-1.105
2016-07-01,-1.115
2016-07-04,-1.0725
2016-07-05,-1.01
2016-07-06,-1.0375
2016-07-07,-1.0475
2016-07-08,-1.04
2016-07-11,-1.06
2016-07-12,-0.99
2016-07-13,-1.0075
2016-07-14,-0.99
2016-07-15,-0.9925
2016-07-18,-0.9575
2016-07-19,-0.9875
2016-07-20,-0.9775
2016-07-21,-0.995
2016-07-22,-0.98
2016-07-25,-0.9675
2016-07-26,-0.98
2016-07-27,-0.965
2016-07-28,-1.0075
2016-07-29,-1.0
2016-08-01,-0.9825
2016-08-02,-0.97
2016-08-03,-0.97
2016-08-04,-0.97
2016-08-05,-0.97
2016-08-08,-0.97
2016-08-09,-0.97
2016-08-10,-0.94
2016-08-11,-0.945
2016-08-12,-0.955
2016-08-15,-0.96
2016-08-16,-0.9375
2016-08-17,-0.9975
2016-08-18,-0.9975
2016-08-19,-0.99
2016-08-22,-0.9975
2016-08-23,-1.01
2016-08-24,-0.965
2016-08-25,-0.945
2016-08-26,-0.9225
2016-08-29,-0.915
2016-08-30,-0.885
2016-08-31,-0.9075
2016-09-01,-0.9075
2016-09-02,-0.9175
2016-09-05,-0.905
2016-09-06,-0.89
2016-09-07,-0.9275
2016-09-08,-0.9425
2016-09-09,-0.93
2016-09-12,-0.9325
2016-09-13,-0.9425
2016-09-14,-0.9275
2016-09-15,-0.9275
2016-09-16,-0.885
2016-09-19,-0.895
2016-09-20,-0.915
2016-09-21,-0.9275
2016-09-22,-0.9875
2016-09-23,-0.9975
2016-09-26,-1.0075
2016-09-27,-0.9675
2016-09-28,-0.94
2016-09-29,-0.915
2016-09-30,-0.905
2016-10-03,-0.9475
2016-10-04,-0.9
2016-10-05,-0.94
2016-10-06,-0.925
2016-10-07,-0.895
2016-10-10,-0.93
2016-10-11,-0.9675
2016-10-12,-0.915
2016-10-13,-0.935
2016-10-14,-0.96
2016-10-17,-0.915
2016-10-18,-0.915
2016-10-19,-0.9075
2016-10-20,-0.9175
2016-10-21,-0.9175
2016-10-24,-0.9375
2016-10-25,-0.9625
2016-10-26,-0.9575
2016-10-27,-0.9675
2016-10-28,-1.0075
2016-10-31,-1.0075
2016-11-01,-1.0275
2016-11-02,-1.09
2016-11-03,-1.1025
2016-11-04,-1.1
2016-11-07,-1.095
2016-11-08,-1.0825
2016-11-09,-0.98
2016-11-10,-0.98
2016-11-11,-0.9575
2016-11-14,-0.9
2016-11-15,-0.895
2016-11-16,-0.89
2016-11-17,-0.86
2016-11-18,-0.945
2016-11-21,-0.9875
2016-11-22,-0.945
2016-11-23,-0.93
2016-11-24,-0.9275
2016-11-25,-0.92
2016-11-28,-0.94
2016-11-29,-0.8975
2016-11-30,-0.8275
2016-12-01,-0.82
2016-12-02,-0.7925
2016-12-05,-0.87
2016-12-06,-0.885
2016-12-07,-0.83
2016-12-08,-0.855
2016-12-09,-0.8
2016-12-12,-0.795
2016-12-13,-0.8125
2016-12-14,-0.78
2016-12-15,-0.725
2016-12-16,-0.575
2016-12-19,-0.62
2016-12-20,-0.745
2016-12-21,-0.6075
2016-12-22,-0.6075
2016-12-23,-0.5775
2016-12-26,-0.535
2016-12-27,-0.55
2016-12-28,-0.5525
2016-12-29,-0.55
2016-12-30,-0.55
2017-01-02,-0.56
2017-01-03,-0.5375
2017-01-04,-0.55
2017-01-05,-0.555
2017-01-06,-0.575
2017-01-09,-0.5475
2017-01-10,-0.555
2017-01-11,-0.5575
2017-01-12,-0.54
2017-01-13,-0.56
2017-01-16,-0.5675
2017-01-17,-0.5825
2017-01-18,-0.575
2017-01-19,-0.585
2017-01-20,-0.5675
2017-01-23,-0.575
2017-01-24,-0.575
2017-01-25,-0.565
2017-01-26,-0.555
2017-01-27,-0.5225
2017-01-30,-0.4475
2017-01-31,-0.6725
2017-02-01,-0.6775
2017-02-02,-0.7475
2017-02-03,-0.7325
2017-02-06,-0.7075
2017-02-07,-0.7175
2017-02-08,-0.84
2017-02-09,-0.8625
2017-02-10,-0.7775
2017-02-13,-0.775
2017-02-14,-0.8
2017-02-15,-0.795
2017-02-16,-0.775
2017-02-17,-0.765
2017-02-20,-0.8
2017-02-21,-0.725
2017-02-22,-0.69
2017-02-23,-0.7875
2017-02-24,-0.755
2017-02-27,-0.735
2017-02-28,-0.83
2017-03-01,-0.825
2017-03-02,-0.845
2017-03-03,-0.8875
2017-03-06,-0.92
2017-03-07,-0.94
2017-03-08,-0.91
2017-03-09,-0.8625
2017-03-10,-0.8625
2017-03-13,-0.83
2017-03-14,-0.765
2017-03-15,-0.7725
2017-03-16,-0.775
2017-03-17,-0.72
2017-03-20,-0.735
2017-03-21,-0.775
2017-03-22,-0.77
2017-03-23,-0.765
2017-03-24,-0.77
2017-03-27,-0.765
2017-03-28,-0.735
2017-03-29,-0.74
2017-03-30,-0.735
2017-03-31,-0.755
2017-04-03,-0.7275
2017-04-04,-0.735
2017-04-05,-0.7275
2017-04-06,-0.6975
2017-04-07,-0.665
2017-04-10,-0.65
2017-04-11,-0.6575
2017-04-12,-0.6875
2017-04-13,-0.6925
2017-04-14,-0.6925
2017-04-17,-0.6625
2017-04-18,-0.7
2017-04-19,-0.7125
2017-04-20,-0.6925
2017-04-21,-0.6675
2017-04-24,-0.665
2017-04-25,-0.665
2017-04-26,-0.615
2017-04-27,-0.6
2017-04-28,-0.59
2017-05-01,-0.6175
2017-05-02,-0.63
2017-05-03,-0.6275
2017-05-04,-0.6775
2017-05-05,-0.6225
2017-05-08,-0.63
2017-05-09,-0.615
2017-05-10,-0.605
2017-05-11,-0.615
2017-05-12,-0.595
2017-05-15,-0.59
2017-05-16,-0.6225
2017-05-17,-0.6825
2017-05-18,-0.695
2017-05-19,-0.735
2017-05-22,-0.7525
2017-05-23,-0.7275
2017-05-24,-0.64
2017-05-25,-0.6375
2017-05-26,-0.7125
2017-05-29,-0.665
2017-05-30,-0.6625
2017-05-31,-0.68
2017-06-01,-0.7075
2017-06-02,-0.735
2017-06-05,-0.725
2017-06-06,-0.7525
2017-06-07,-0.76
2017-06-08,-0.75
2017-06-09,-0.7175
2017-06-12,-0.74
2017-06-13,-0.745
2017-06-14,-0.7925
2017-06-15,-0.7675
2017-06-16,-0.76
2017-06-19,-0.7575
2017-06-20,-0.76
2017-06-21,-0.7625
2017-06-22,-0.765
2017-06-23,-0.78
2017-06-26,-0.7625
2017-06-27,-0.785
2017-06-28,-0.8025
2017-06-29,-0.7725
2017-06-30,-0.7625
2017-07-03,-0.75
2017-07-04,-0.7725
2017-07-05,-0.7525
2017-07-06,-0.7775
2017-07-07,-0.7925
2017-07-10,-0.8025
2017-07-11,-0.7925
2017-07-12,-0.79
2017-07-13,-0.735
2017-07-14,-0.7825
2017-07-17,-0.7625
2017-07-18,-0.8225
2017-07-19,-0.8225
2017-07-20,-0.8475
2017-07-21,-0.9275
2017-07-24,-0.9
2017-07-25,-0.9125
2017-07-26,-0.7975
2017-07-27,-0.8375
2017-07-28,-0.6925
2017-07-31,-0.5875
2017-08-01,-0.58
2017-08-02,-0.5625
2017-08-03,-0.575
2017-08-04,-0.59
2017-08-07,-0.585
2017-08-08,-0.575
2017-08-09,-0.5675
2017-08-10,-0.6
2017-08-11,-0.635
2017-08-14,-0.705
2017-08-15,-0.6725
2017-08-16,-0.685
2017-08-17,-0.6875
2017-08-18,-0.6975
2017-08-21,-0.725
2017-08-22,-0.7425
2017-08-23,-0.74
2017-08-24,-0.7525
2017-08-25,-0.76
