Date,Value
2016-01-01,10.1475
2016-01-04,10.0475
2016-01-05,10.0975
2016-01-06,10.0575
2016-01-07,10.1725
2016-01-08,10.2425
2016-01-11,10.2125
2016-01-12,10.0725
2016-01-13,9.9125
2016-01-14,10.025
2016-01-15,10.235
2016-01-18,10.115
2016-01-19,10.0025
2016-01-20,10.1125
2016-01-21,10.1725
2016-01-22,10.1375
2016-01-25,10.1525
2016-01-26,10.1875
2016-01-27,10.1675
2016-01-28,10.2525
2016-01-29,10.4775
2016-02-01,10.3275
2016-02-02,10.3425
2016-02-03,10.6575
2016-02-04,10.5725
2016-02-05,10.4325
2016-02-08,11.0875
2016-02-09,11.0175
2016-02-10,11.0575
2016-02-11,11.2625
2016-02-12,11.0525
2016-02-15,10.855
2016-02-16,10.9175
2016-02-17,10.8275
2016-02-18,10.7775
2016-02-19,10.9625
2016-02-22,11.1475
2016-02-23,11.16
2016-02-24,11.5975
2016-02-25,11.27
2016-02-26,11.405
2016-02-29,11.5675
2016-03-01,11.495
2016-03-02,11.3025
2016-03-03,11.275
2016-03-04,11.105
2016-03-07,11.095
2016-03-08,10.8025
2016-03-09,10.88
2016-03-10,10.725
2016-03-11,10.425
2016-03-14,9.9875
2016-03-15,10.2275
2016-03-16,9.8825
2016-03-17,9.8775
2016-03-18,9.72
2016-03-21,9.6
2016-03-22,9.695
2016-03-23,10.0825
2016-03-24,10.1475
2016-03-25,10.1375
2016-03-28,10.16
2016-03-29,9.96
2016-03-30,9.5525
2016-03-31,9.75
2016-04-01,9.83
2016-04-04,9.7975
2016-04-05,10.05
2016-04-06,10.4
2016-04-07,10.555
2016-04-08,10.325
2016-04-11,10.2525
2016-04-12,10.1875
2016-04-13,10.185
2016-04-14,10.18
2016-04-15,10.06
2016-04-18,9.9675
2016-04-19,9.66
2016-04-20,9.6725
2016-04-21,9.585
2016-04-22,9.73
2016-04-25,9.5525
2016-04-26,9.1975
2016-04-27,9.4125
2016-04-28,9.1975
2016-04-29,9.355
2016-05-02,9.6
2016-05-03,9.775
2016-05-04,9.7675
2016-05-05,9.965
2016-05-06,9.8675
2016-05-09,9.86
2016-05-10,9.715
2016-05-11,9.61
2016-05-12,9.615
2016-05-13,9.885
2016-05-16,9.96
2016-05-17,9.815
2016-05-18,9.905
2016-05-19,9.9825
2016-05-20,9.81
2016-05-23,9.6575
2016-05-24,9.585
2016-05-25,9.3
2016-05-26,9.01
2016-05-27,9.015
2016-05-30,9.1225
2016-05-31,9.16
2016-06-01,9.3425
2016-06-02,9.0875
2016-06-03,8.66
2016-06-06,8.985
2016-06-07,8.9875
2016-06-08,9.2375
2016-06-09,9.7325
2016-06-10,10.4775
2016-06-13,10.6575
2016-06-14,11.075
2016-06-15,10.2575
2016-06-16,10.355
2016-06-17,10.22
2016-06-20,9.6725
2016-06-21,9.6875
2016-06-22,9.8325
2016-06-23,9.51
2016-06-24,11.2175
2016-06-27,10.71
2016-06-28,9.725
2016-06-29,9.0525
2016-06-30,9.06
2016-07-01,8.89
2016-07-04,8.5375
2016-07-05,8.895
2016-07-06,8.95
2016-07-07,8.875
2016-07-08,8.7625
2016-07-11,8.66
2016-07-12,8.46
2016-07-13,8.345
2016-07-14,8.3375
2016-07-15,8.4725
2016-07-18,8.4925
2016-07-19,8.7425
2016-07-20,8.805
2016-07-21,8.905
2016-07-22,8.915
2016-07-25,8.905
2016-07-26,8.7275
2016-07-27,8.5325
2016-07-28,8.145
2016-07-29,8.32
2016-08-01,8.045
2016-08-02,8.215
2016-08-03,8.205
2016-08-04,8.33
2016-08-05,8.3925
2016-08-08,8.315
2016-08-09,8.28
2016-08-10,8.255
2016-08-11,8.2175
2016-08-12,8.225
2016-08-15,8.225
2016-08-16,8.385
2016-08-17,8.4825
2016-08-18,8.34
2016-08-19,8.4125
2016-08-22,8.43
2016-08-23,8.395
2016-08-24,8.665
2016-08-25,8.715
2016-08-26,8.8025
2016-08-29,9.02
2016-08-30,8.9325
2016-08-31,9.0575
2016-09-01,8.9625
2016-09-02,8.7825
2016-09-05,8.7175
2016-09-06,8.6
2016-09-07,8.4925
2016-09-08,8.455
2016-09-09,8.6125
2016-09-12,8.6625
2016-09-13,8.6975
2016-09-14,8.795
2016-09-15,8.6575
2016-09-16,8.72
2016-09-19,8.7375
2016-09-20,8.745
2016-09-21,8.62
2016-09-22,8.4725
2016-09-23,8.5625
2016-09-26,8.7675
2016-09-27,8.68
2016-09-28,8.785
2016-09-29,8.7975
2016-09-30,8.82
2016-10-03,8.695
2016-10-04,8.835
2016-10-05,8.6925
2016-10-06,8.92
2016-10-07,8.9225
2016-10-10,8.755
2016-10-11,9.185
2016-10-12,9.04
2016-10-13,8.755
2016-10-14,8.64
2016-10-17,8.715
2016-10-18,8.61
2016-10-19,8.54
2016-10-20,8.52
2016-10-21,8.76
2016-10-24,8.54
2016-10-25,8.505
2016-10-26,8.475
2016-10-27,8.405
2016-10-28,8.415
2016-10-31,8.44
2016-11-01,8.8925
2016-11-02,9.24
2016-11-03,9.165
2016-11-04,9.335
2016-11-07,8.665
2016-11-08,8.5475
2016-11-09,8.845
2016-11-10,9.255
2016-11-11,9.695
2016-11-14,10.01
2016-11-15,9.765
2016-11-16,9.9925
2016-11-17,10.495
2016-11-18,10.305
2016-11-21,9.805
2016-11-22,9.5725
2016-11-23,9.9075
2016-11-24,9.87
2016-11-25,9.8
2016-11-28,9.77
2016-11-29,9.96
2016-11-30,10.2
2016-12-01,10.115
2016-12-02,10.1675
2016-12-05,9.8475
2016-12-06,9.8575
2016-12-07,9.97
2016-12-08,10.1025
2016-12-09,10.2325
2016-12-12,10.32
2016-12-13,10.1675
2016-12-14,10.47
2016-12-15,10.9375
2016-12-16,10.9375
2016-12-19,10.7925
2016-12-20,10.645
2016-12-21,10.3075
2016-12-22,10.175
2016-12-23,10.215
2016-12-26,10.2675
2016-12-27,10.3325
2016-12-28,10.36
2016-12-29,10.135
2016-12-30,10.0725
2017-01-02,10.15
2017-01-03,10.145
2017-01-04,9.815
2017-01-05,9.7275
2017-01-06,9.36
2017-01-09,9.72
2017-01-10,9.4675
2017-01-11,9.715
2017-01-12,9.3325
2017-01-13,9.1525
2017-01-16,9.3825
2017-01-17,9.0375
2017-01-18,9.125
2017-01-19,9.35
2017-01-20,9.285
2017-01-23,9.1175
2017-01-24,8.9725
2017-01-25,8.93
2017-01-26,9.1575
2017-01-27,9.1875
2017-01-30,9.5
2017-01-31,9.31
2017-02-01,9.2275
2017-02-02,9.08
2017-02-03,9.1275
2017-02-06,9.3225
2017-02-07,9.2525
2017-02-08,9.3025
2017-02-09,9.22
2017-02-10,9.245
2017-02-13,9.155
2017-02-14,8.9925
2017-02-15,8.9325
2017-02-16,8.7175
2017-02-17,8.8025
2017-02-20,8.855
2017-02-21,9.02
2017-02-22,9.0575
2017-02-23,8.95
2017-02-24,8.75
2017-02-27,8.6
2017-02-28,8.3375
2017-03-01,8.3575
2017-03-02,8.3425
2017-03-03,8.115
2017-03-06,8.0775
2017-03-07,8.0525
2017-03-08,8.0475
2017-03-09,8.0875
2017-03-10,8.1075
2017-03-13,8.0575
2017-03-14,8.0125
2017-03-15,7.855
2017-03-16,7.2675
2017-03-17,7.56
2017-03-20,7.895
2017-03-21,7.705
2017-03-22,7.8175
2017-03-23,7.9
2017-03-24,7.8225
2017-03-27,7.705
2017-03-28,7.76
2017-03-29,7.8625
2017-03-30,7.855
2017-03-31,7.645
2017-04-03,7.5225
2017-04-04,7.5575
2017-04-05,7.5825
2017-04-06,7.73
2017-04-07,7.7875
2017-04-10,7.65
2017-04-11,7.5925
2017-04-12,7.6775
2017-04-13,7.6375
2017-04-14,7.7125
2017-04-17,7.685
2017-04-18,7.705
2017-04-19,7.72
2017-04-20,7.65
2017-04-21,7.715
2017-04-24,7.1625
2017-04-25,7.21
2017-04-26,7.2
2017-04-27,6.9475
2017-04-28,6.9
2017-05-01,6.9
2017-05-02,6.8975
2017-05-03,6.7875
2017-05-04,6.89
2017-05-05,6.885
2017-05-08,6.5425
2017-05-09,6.4025
2017-05-10,6.6575
2017-05-11,6.68
2017-05-12,6.6825
2017-05-15,6.8775
2017-05-16,7.1925
2017-05-17,7.4375
2017-05-18,7.455
2017-05-19,7.4875
2017-05-22,7.44
2017-05-23,7.4975
2017-05-24,7.47
2017-05-25,7.2825
2017-05-26,7.27
2017-05-29,7.2825
2017-05-30,7.485
2017-05-31,7.38
2017-06-01,7.3225
2017-06-02,7.2675
2017-06-05,7.2825
2017-06-06,7.2775
2017-06-07,7.395
2017-06-08,7.27
2017-06-09,7.0725
2017-06-12,6.8275
2017-06-13,6.85
2017-06-14,7.035
2017-06-15,7.055
2017-06-16,6.9075
2017-06-19,6.7825
2017-06-20,6.8175
2017-06-21,6.995
2017-06-22,6.925
2017-06-23,6.9075
2017-06-26,6.8725
2017-06-27,7.135
2017-06-28,7.39
2017-06-29,7.215
2017-06-30,6.96
2017-07-03,6.815
2017-07-04,6.855
2017-07-05,6.9475
2017-07-06,6.9775
2017-07-07,6.8175
2017-07-10,6.745
2017-07-11,6.8625
2017-07-12,6.8575
2017-07-13,6.8175
2017-07-14,6.7825
2017-07-17,6.8875
2017-07-18,7.335
2017-07-19,7.1675
2017-07-20,7.305
2017-07-21,7.275
2017-07-24,7.2675
2017-07-25,7.4925
2017-07-26,7.4525
2017-07-27,7.6
2017-07-28,8.07
2017-07-31,8.03
2017-08-01,7.925
2017-08-02,8.12
2017-08-03,8.045
2017-08-04,7.94
2017-08-07,7.71
2017-08-08,7.715
2017-08-09,7.9825
2017-08-10,8.075
2017-08-11,8.2025
2017-08-14,7.985
2017-08-15,7.945
2017-08-16,7.885
2017-08-17,7.875
2017-08-18,7.91
2017-08-21,7.935
2017-08-22,7.9625
2017-08-23,7.995
2017-08-24,7.935
2017-08-25,7.99
2017-08-28,7.9775
2017-08-29,8.155
2017-08-30,8.24
2017-08-31,8.1975
2017-09-01,8.1975
2017-09-04,8.395
2017-09-05,8.4625
2017-09-06,8.59
2017-09-07,8.63
2017-09-08,8.75
2017-09-11,8.53
2017-09-12,8.435
2017-09-13,8.39
2017-09-14,8.26
2017-09-15,8.2425
2017-09-18,8.265
2017-09-19,8.225
2017-09-20,8.1
2017-09-21,8.155
2017-09-22,8.36
2017-09-25,8.3475
2017-09-26,8.11
2017-09-27,7.93
2017-09-28,7.945
2017-09-29,7.8425
2017-10-02,7.785
2017-10-03,7.5675
2017-10-04,7.6
2017-10-05,7.63
2017-10-06,7.57
2017-10-09,7.51
2017-10-10,7.655
2017-10-11,7.75
2017-10-12,7.735
2017-10-13,7.65
2017-10-16,7.605
2017-10-17,7.4575
2017-10-18,7.26
2017-10-19,7.39
2017-10-20,7.43
2017-10-23,7.3525
2017-10-24,7.2525
2017-10-25,7.31
2017-10-26,7.42
2017-10-27,7.415
2017-10-30,7.42
2017-10-31,7.1925
2017-11-01,7.085
2017-11-02,7.205
2017-11-03,7.13
2017-11-06,6.95
2017-11-07,6.9225
2017-11-08,6.8875
2017-11-09,7.0325
2017-11-10,7.0225
2017-11-13,7.05
2017-11-14,7.1825
2017-11-15,7.37
2017-11-16,7.1225
2017-11-17,7.1825
2017-11-20,7.1275
2017-11-21,7.03
2017-11-22,6.98
2017-11-23,7.0425
2017-11-24,7.315
2017-11-27,7.1925
2017-11-28,7.135
2017-11-29,7.17
2017-11-30,7.14
2017-12-01,7.275
2017-12-04,7.19
2017-12-05,7.12
2017-12-06,7.13
2017-12-07,7.095
2017-12-08,7.005
2017-12-11,7.02
2017-12-12,7.04
2017-12-13,7.045
