Date,Value
2016-01-01,1.325
2016-01-04,1.33
2016-01-05,1.33
2016-01-06,1.29
2016-01-07,1.325
2016-01-08,1.4
2016-01-11,1.42
2016-01-12,1.41
2016-01-13,1.405
2016-01-14,1.48
2016-01-15,1.495
2016-01-18,1.48
2016-01-19,1.52
2016-01-20,1.52
2016-01-21,1.505
2016-01-22,1.625
2016-01-25,1.605
2016-01-26,1.67
2016-01-27,1.67
2016-01-28,1.815
2016-01-29,2.28
2016-02-01,2.195
2016-02-02,2.2975
2016-02-03,2.485
2016-02-04,2.3
2016-02-05,2.25
2016-02-08,2.245
2016-02-09,2.29
2016-02-10,2.22
2016-02-11,2.245
2016-02-12,2.3
2016-02-15,2.15
2016-02-16,1.755
2016-02-17,1.785
2016-02-18,1.8025
2016-02-19,1.77
2016-02-22,1.785
2016-02-23,1.8375
2016-02-24,1.82
2016-02-25,1.82
2016-02-26,1.855
2016-02-29,1.86
2016-03-01,1.755
2016-03-02,1.755
2016-03-03,1.76
2016-03-04,1.77
2016-03-07,1.765
2016-03-08,1.765
2016-03-09,1.74
2016-03-10,1.75
2016-03-11,1.79
2016-03-14,1.795
2016-03-15,1.76
2016-03-16,1.745
2016-03-17,1.83
2016-03-18,1.79
2016-03-21,1.795
2016-03-22,1.795
2016-03-23,1.795
2016-03-24,1.865
2016-03-25,1.785
2016-03-28,1.79
2016-03-29,1.745
2016-03-30,1.77
2016-03-31,1.81
2016-04-01,1.84
2016-04-04,1.79
2016-04-05,1.83
2016-04-06,1.84
2016-04-07,1.85
2016-04-08,1.785
2016-04-11,1.855
2016-04-12,1.84
2016-04-13,1.865
2016-04-14,1.78
2016-04-15,1.755
2016-04-18,1.76
2016-04-19,1.67
2016-04-20,1.6775
2016-04-21,1.675
2016-04-22,1.675
2016-04-25,1.67
2016-04-26,1.67
2016-04-27,1.685
2016-04-28,1.72
2016-04-29,1.61
2016-05-02,1.625
2016-05-03,1.75
2016-05-04,1.705
2016-05-05,1.855
2016-05-06,1.88
2016-05-09,1.895
2016-05-10,1.9475
2016-05-11,1.935
2016-05-12,1.93
2016-05-13,1.98
2016-05-16,1.9
2016-05-17,1.95
2016-05-18,1.955
2016-05-19,1.975
2016-05-20,1.99
2016-05-23,1.945
2016-05-24,1.945
2016-05-25,1.77
2016-05-26,1.72
2016-05-27,1.72
2016-05-30,1.67
2016-05-31,1.65
2016-06-01,1.635
2016-06-02,1.63
2016-06-03,1.555
2016-06-06,1.485
2016-06-07,1.335
2016-06-08,1.295
2016-06-09,1.295
2016-06-10,1.2925
2016-06-13,1.27
2016-06-14,1.31
2016-06-15,1.45
2016-06-16,1.445
2016-06-17,1.445
2016-06-20,1.445
2016-06-21,1.455
