Date,Value
2016-01-01,1.8375
2016-01-04,1.6125
2016-01-05,1.5775
2016-01-06,1.6025
2016-01-07,1.7825
2016-01-08,1.8775
2016-01-11,1.6575
2016-01-12,1.675
2016-01-13,1.545
2016-01-14,1.5
2016-01-15,1.51
2016-01-18,1.5225
2016-01-19,1.3475
2016-01-20,1.2725
2016-01-21,1.535
2016-01-22,1.605
2016-01-25,1.6025
2016-01-26,1.5275
2016-01-27,1.6
2016-01-28,1.7225
2016-01-29,2.0875
2016-02-01,3.725
2016-02-02,3.8475
2016-02-03,4.8
2016-02-04,4.7575
2016-02-05,4.8475
2016-02-08,4.8275
2016-02-09,4.78
2016-02-10,4.8
2016-02-11,4.0275
2016-02-12,3.5275
2016-02-15,3.195
2016-02-16,2.6
2016-02-17,2.6125
2016-02-18,2.8175
2016-02-19,2.34
2016-02-22,3.315
2016-02-23,4.015
2016-02-24,4.0725
2016-02-25,4.37
2016-02-26,4.5325
2016-02-29,4.315
2016-03-01,3.0025
2016-03-02,2.9675
2016-03-03,2.6075
2016-03-04,1.9925
2016-03-07,1.535
2016-03-08,1.305
2016-03-09,1.2525
2016-03-10,1.4625
2016-03-11,1.215
2016-03-14,1.375
2016-03-15,1.41
2016-03-16,2.0925
2016-03-17,2.1475
2016-03-18,2.095
2016-03-21,2.255
2016-03-22,2.5525
2016-03-23,2.27
2016-03-24,2.775
2016-03-25,2.77
2016-03-28,2.695
2016-03-29,1.97
2016-03-30,2.415
2016-03-31,2.36
2016-04-01,1.87
2016-04-04,1.4725
2016-04-05,1.33
2016-04-06,1.4075
2016-04-07,0.8325
2016-04-08,0.955
2016-04-11,0.89
2016-04-12,0.9025
2016-04-13,0.955
2016-04-14,1.1325
2016-04-15,1.1525
2016-04-18,1.29
2016-04-19,0.99
2016-04-20,1.17
2016-04-21,1.095
2016-04-22,1.2825
2016-04-25,1.885
2016-04-26,1.8375
2016-04-27,1.765
2016-04-28,1.27
2016-04-29,1.2275
2016-05-02,1.2075
2016-05-03,1.0775
2016-05-04,1.8075
2016-05-05,2.1375
2016-05-06,2.12
2016-05-09,2.1325
2016-05-10,2.28
2016-05-11,2.1875
2016-05-12,1.9075
2016-05-13,1.9025
2016-05-16,2.1
2016-05-17,1.695
2016-05-18,1.5125
2016-05-19,1.7425
2016-05-20,1.355
2016-05-23,1.2075
2016-05-24,1.1575
2016-05-25,1.1575
2016-05-26,1.0575
2016-05-27,0.945
2016-05-30,1.2675
2016-05-31,0.7625
2016-06-01,0.64
2016-06-02,0.67
2016-06-03,0.645
2016-06-06,0.625
2016-06-07,0.595
2016-06-08,0.5725
2016-06-09,0.585
2016-06-10,0.7875
2016-06-13,0.9675
2016-06-14,0.9575
