Date,Value
2016-01-01,2.765
2016-01-04,2.7275
2016-01-05,2.6825
2016-01-06,2.705
2016-01-07,2.6325
2016-01-08,3.05
2016-01-11,3.235
2016-01-12,3.285
2016-01-13,3.235
2016-01-14,3.375
2016-01-15,3.45
2016-01-18,3.4425
2016-01-19,3.5325
2016-01-20,3.6175
2016-01-21,3.6625
2016-01-22,3.8475
2016-01-25,3.835
2016-01-26,3.9475
2016-01-27,3.9625
2016-01-28,4.3825
2016-01-29,4.7125
2016-02-01,5.18
2016-02-02,5.075
2016-02-03,5.025
2016-02-04,4.5825
2016-02-05,4.5125
2016-02-08,4.44
2016-02-09,4.4325
2016-02-10,4.4225
2016-02-11,4.4425
2016-02-12,4.56
2016-02-15,4.38
2016-02-16,3.8675
2016-02-17,3.8875
2016-02-18,3.8525
2016-02-19,3.8775
2016-02-22,3.8625
2016-02-23,4.0225
2016-02-24,4.0775
2016-02-25,4.0575
2016-02-26,4.0225
2016-02-29,3.9675
2016-03-01,3.7125
2016-03-02,3.6625
2016-03-03,3.665
2016-03-04,3.66
2016-03-07,3.605
2016-03-08,3.605
2016-03-09,3.605
2016-03-10,3.61
2016-03-11,3.4075
2016-03-14,3.31
2016-03-15,3.2825
2016-03-16,3.3775
2016-03-17,3.3675
2016-03-18,3.3625
2016-03-21,3.5075
2016-03-22,3.5075
2016-03-23,3.5375
2016-03-24,3.5825
2016-03-25,3.6175
2016-03-28,3.6175
2016-03-29,3.6525
2016-03-30,3.4775
2016-03-31,3.4275
2016-04-01,3.4625
2016-04-04,3.4875
2016-04-05,3.5325
2016-04-06,3.5525
2016-04-07,3.6575
2016-04-08,3.6375
2016-04-11,3.5425
2016-04-12,3.38
2016-04-13,3.3425
2016-04-14,3.315
2016-04-15,3.315
2016-04-18,3.315
2016-04-19,3.29
2016-04-20,3.285
2016-04-21,3.285
2016-04-22,3.3525
2016-04-25,3.445
2016-04-26,3.42
2016-04-27,3.435
2016-04-28,3.4125
2016-04-29,3.335
2016-05-02,3.315
2016-05-03,3.265
2016-05-04,3.295
2016-05-05,3.32
2016-05-06,3.37
2016-05-09,3.37
2016-05-10,3.52
2016-05-11,3.42
2016-05-12,3.38
2016-05-13,3.44
2016-05-16,3.49
2016-05-17,3.45
2016-05-18,3.47
2016-05-19,3.545
2016-05-20,3.485
2016-05-23,3.45
2016-05-24,3.45
2016-05-25,3.2675
2016-05-26,3.065
2016-05-27,3.015
2016-05-30,3.01
2016-05-31,2.815
2016-06-01,2.8
2016-06-02,2.79
2016-06-03,2.75
2016-06-06,2.675
2016-06-07,2.53
2016-06-08,2.305
2016-06-09,2.34
2016-06-10,2.4675
2016-06-13,2.5875
2016-06-14,2.685
2016-06-15,2.725
2016-06-16,2.7
2016-06-17,2.7
2016-06-20,2.665
2016-06-21,2.605
2016-06-22,2.61
2016-06-23,2.625
2016-06-24,2.94
2016-06-27,3.0925
2016-06-28,2.845
2016-06-29,2.69
2016-06-30,2.7825
2016-07-01,2.69
2016-07-04,2.575
2016-07-05,2.35
2016-07-06,2.405
2016-07-07,2.425
2016-07-08,2.425
2016-07-11,2.3475
2016-07-12,2.3275
2016-07-13,2.265
2016-07-14,2.23
2016-07-15,2.225
2016-07-18,2.2475
2016-07-19,2.245
2016-07-20,2.235
2016-07-21,2.175
2016-07-22,2.095
2016-07-25,2.115
2016-07-26,2.085
2016-07-27,1.8
2016-07-28,1.795
2016-07-29,1.7575
2016-08-01,1.8475
2016-08-02,1.925
2016-08-03,1.865
2016-08-04,1.8875
2016-08-05,1.8875
2016-08-08,1.8975
2016-08-09,1.96
2016-08-10,2.03
2016-08-11,2.0625
2016-08-12,2.07
2016-08-15,2.095
2016-08-16,2.065
2016-08-17,2.01
2016-08-18,2.055
2016-08-19,2.145
2016-08-22,2.17
2016-08-23,2.17
2016-08-24,2.165
2016-08-25,2.1625
2016-08-26,2.1625
2016-08-29,2.2025
2016-08-30,2.18
2016-08-31,2.1825
2016-09-01,2.1775
2016-09-02,2.135
2016-09-05,2.12
2016-09-06,2.105
2016-09-07,2.1075
2016-09-08,2.1025
2016-09-09,2.1575
2016-09-12,2.27
2016-09-13,2.2675
2016-09-14,2.3775
2016-09-15,2.3125
2016-09-16,2.3075
2016-09-19,2.2275
2016-09-20,2.1225
2016-09-21,2.0075
2016-09-22,1.9225
2016-09-23,1.97
2016-09-26,2.005
2016-09-27,1.9625
2016-09-28,1.96
2016-09-29,1.9825
2016-09-30,1.9825
2016-10-03,2.0025
2016-10-04,1.995
2016-10-05,2.065
2016-10-06,2.1175
2016-10-07,2.1675
2016-10-10,2.16
2016-10-11,2.0825
2016-10-12,2.035
2016-10-13,1.95
2016-10-14,1.86
2016-10-17,1.875
2016-10-18,1.87
2016-10-19,1.8025
2016-10-20,1.795
2016-10-21,1.8325
2016-10-24,1.8175
2016-10-25,1.7825
2016-10-26,1.7525
2016-10-27,1.7325
2016-10-28,1.74
2016-10-31,1.745
2016-11-01,1.7275
2016-11-02,1.7475
2016-11-03,1.8025
2016-11-04,1.8675
2016-11-07,1.9
2016-11-08,1.8725
2016-11-09,1.8875
2016-11-10,1.8975
2016-11-11,2.08
2016-11-14,2.1125
2016-11-15,2.205
2016-11-16,2.175
2016-11-17,2.1875
2016-11-18,2.445
2016-11-21,2.5275
2016-11-22,2.62
2016-11-23,2.56
2016-11-24,2.6
2016-11-25,2.5925
2016-11-28,2.5875
2016-11-29,2.525
2016-11-30,2.3425
2016-12-01,2.285
2016-12-02,2.34
2016-12-05,2.36
2016-12-06,2.3625
2016-12-07,2.3775
2016-12-08,2.3725
2016-12-09,2.455
2016-12-12,2.69
2016-12-13,2.705
2016-12-14,2.6775
2016-12-15,2.735
2016-12-16,2.8175
2016-12-19,3.045
2016-12-20,3.065
2016-12-21,3.07
2016-12-22,3.17
2016-12-23,3.1725
2016-12-26,3.175
2016-12-27,3.195
2016-12-28,3.2125
2016-12-29,3.175
2016-12-30,3.2025
2017-01-02,3.1925
2017-01-03,3.05
2017-01-04,2.735
2017-01-05,2.545
2017-01-06,2.5125
2017-01-09,2.5275
2017-01-10,2.3675
2017-01-11,2.3825
2017-01-12,2.2775
2017-01-13,2.2475
2017-01-16,2.2375
2017-01-17,2.255
2017-01-18,2.3025
2017-01-19,2.5475
2017-01-20,2.5575
2017-01-23,2.4975
2017-01-24,2.435
2017-01-25,2.46
2017-01-26,2.485
2017-01-27,2.575
2017-01-30,2.59
2017-01-31,2.58
2017-02-01,2.545
2017-02-02,2.51
2017-02-03,2.575
2017-02-06,2.5425
2017-02-07,2.495
2017-02-08,2.55
2017-02-09,2.5125
2017-02-10,2.5
2017-02-13,2.4775
2017-02-14,2.37
2017-02-15,2.3525
2017-02-16,2.165
2017-02-17,2.145
2017-02-20,2.1275
2017-02-21,2.1225
2017-02-22,2.1175
2017-02-23,2.145
2017-02-24,2.11
2017-02-27,2.085
2017-02-28,2.08
2017-03-01,2.085
2017-03-02,2.0375
2017-03-03,2.0575
2017-03-06,2.04
2017-03-07,1.94
2017-03-08,1.965
2017-03-09,2.0125
2017-03-10,2.0075
2017-03-13,1.965
2017-03-14,1.9125
2017-03-15,1.89
2017-03-16,1.7475
2017-03-17,1.695
2017-03-20,1.645
2017-03-21,1.63
2017-03-22,1.6425
2017-03-23,1.615
2017-03-24,1.5875
2017-03-27,1.495
2017-03-28,1.3975
2017-03-29,1.4125
2017-03-30,1.435
2017-03-31,1.4425
2017-04-03,1.44
2017-04-04,1.455
2017-04-05,1.4625
2017-04-06,1.5225
2017-04-07,1.605
2017-04-10,1.6425
2017-04-11,1.5325
2017-04-12,1.5075
2017-04-13,1.525
2017-04-14,1.5325
2017-04-17,1.4925
2017-04-18,1.485
2017-04-19,1.5125
2017-04-20,1.47
2017-04-21,1.4125
2017-04-24,1.3575
2017-04-25,1.3625
2017-04-26,1.35
2017-04-27,1.345
2017-04-28,1.315
2017-05-01,1.3275
2017-05-02,1.3175
2017-05-03,1.3275
2017-05-04,1.3925
2017-05-05,1.445
2017-05-08,1.58
2017-05-09,1.6625
2017-05-10,1.67
2017-05-11,1.785
2017-05-12,1.8025
2017-05-15,1.8825
2017-05-16,1.85
2017-05-17,1.8075
2017-05-18,1.815
2017-05-19,1.965
2017-05-22,1.995
2017-05-23,1.97
2017-05-24,1.9525
2017-05-25,1.875
2017-05-26,1.7925
2017-05-29,1.72
2017-05-30,1.7625
2017-05-31,1.6625
2017-06-01,1.57
2017-06-02,1.545
2017-06-05,1.57
2017-06-06,1.56
2017-06-07,1.545
2017-06-08,1.5375
2017-06-09,1.53
2017-06-12,1.5375
2017-06-13,1.54
2017-06-14,1.51
2017-06-15,1.545
2017-06-16,1.5175
2017-06-19,1.5225
2017-06-20,1.56
2017-06-21,1.5075
2017-06-22,1.5225
2017-06-23,1.54
2017-06-26,1.5075
2017-06-27,1.4625
2017-06-28,1.44
2017-06-29,1.42
2017-06-30,1.45
2017-07-03,1.4525
2017-07-04,1.4475
2017-07-05,1.4625
2017-07-06,1.475
2017-07-07,1.47
2017-07-10,1.455
2017-07-11,1.325
2017-07-12,1.38
2017-07-13,1.4
2017-07-14,1.4075
2017-07-17,1.3725
2017-07-18,1.3675
2017-07-19,1.2475
2017-07-20,1.2225
2017-07-21,1.2025
2017-07-24,1.1825
2017-07-25,1.295
2017-07-26,1.3275
2017-07-27,1.2925
2017-07-28,1.2525
2017-07-31,1.3175
2017-08-01,1.2025
2017-08-02,1.2175
2017-08-03,1.2525
2017-08-04,1.255
2017-08-07,1.295
2017-08-08,1.305
2017-08-09,1.3575
2017-08-10,1.37
2017-08-11,1.41
2017-08-14,1.45
2017-08-15,1.465
2017-08-16,1.525
2017-08-17,1.525
2017-08-18,1.545
2017-08-21,1.5625
2017-08-22,1.565
2017-08-23,1.5525
2017-08-24,1.48
2017-08-25,1.4175
2017-08-28,1.385
2017-08-29,1.34
2017-08-30,1.28
2017-08-31,1.28
2017-09-01,1.285
2017-09-04,1.19
2017-09-05,1.14
2017-09-06,1.145
2017-09-07,1.11
2017-09-08,1.02
2017-09-11,1.03
2017-09-12,1.02
2017-09-13,0.9875
2017-09-14,0.985
2017-09-15,0.935
2017-09-18,0.925
2017-09-19,0.8425
2017-09-20,0.845
2017-09-21,0.78
2017-09-22,0.795
2017-09-25,0.8
2017-09-26,0.8375
2017-09-27,0.83
2017-09-28,0.875
2017-09-29,0.87
2017-10-02,0.885
2017-10-03,0.8125
2017-10-04,0.745
2017-10-05,0.72
2017-10-06,0.7225
2017-10-09,0.725
2017-10-10,0.7325
2017-10-11,0.7225
2017-10-12,0.73
2017-10-13,0.745
2017-10-16,0.7425
2017-10-17,0.7475
2017-10-18,0.7525
2017-10-19,0.75
2017-10-20,0.685
2017-10-23,0.6825
2017-10-24,0.67
2017-10-25,0.6125
2017-10-26,0.5925
2017-10-27,0.67
2017-10-30,0.58
2017-10-31,0.5875
2017-11-01,0.5975
2017-11-02,0.6875
2017-11-03,0.6925
2017-11-06,0.6825
2017-11-07,0.665
2017-11-08,0.6625
2017-11-09,0.625
2017-11-10,0.635
2017-11-13,0.6425
2017-11-14,0.645
2017-11-15,0.6475
2017-11-16,0.6675
2017-11-17,0.6825
2017-11-20,0.6825
2017-11-21,0.645
2017-11-22,0.6075
2017-11-23,0.6
2017-11-24,0.5825
2017-11-27,0.5975
2017-11-28,0.59
2017-11-29,0.6425
2017-11-30,0.6475
2017-12-01,0.6575
2017-12-04,0.655
2017-12-05,0.6575
2017-12-06,0.665
2017-12-07,0.6675
2017-12-08,0.6575
2017-12-11,0.6475
2017-12-12,0.605
2017-12-13,0.6075
2017-12-14,0.6
2017-12-15,0.555
2017-12-18,0.4875
2017-12-19,0.475
2017-12-20,0.4625
2017-12-21,0.39
2017-12-22,0.3825
2017-12-25,0.3825
2017-12-26,0.3825
2017-12-27,0.3725
2017-12-28,0.38
2017-12-29,0.35
2018-01-01,0.345
2018-01-02,0.3275
2018-01-03,0.37
2018-01-04,0.3725
2018-01-05,0.335
2018-01-08,0.3275
2018-01-09,0.4725
2018-01-10,0.4675
2018-01-11,0.4325
2018-01-12,0.425
2018-01-15,0.4
2018-01-16,0.3925
2018-01-17,0.4825
2018-01-18,0.49
2018-01-19,0.4825
2018-01-22,0.4625
2018-01-23,0.4975
2018-01-24,0.4975
2018-01-25,0.49
2018-01-26,0.49
2018-01-29,0.515
2018-01-30,0.5875
2018-01-31,0.565
2018-02-01,0.6525
2018-02-02,0.6775
2018-02-05,0.685
2018-02-06,0.75
2018-02-07,0.705
2018-02-08,1.06
2018-02-09,0.9925
2018-02-12,1.09
2018-02-13,1.035
2018-02-14,0.98
2018-02-15,0.87
2018-02-16,0.8675
2018-02-19,0.855
2018-02-20,0.87
2018-02-21,0.8725
2018-02-22,0.94
2018-02-23,0.88
2018-02-26,0.865
2018-02-27,0.845
2018-02-28,0.825
2018-03-01,0.905
2018-03-02,0.9975
2018-03-05,0.955
2018-03-06,0.95
2018-03-07,0.9075
2018-03-08,0.89
2018-03-09,0.88
2018-03-12,0.8825
2018-03-13,0.865
2018-03-14,0.8025
2018-03-15,0.7925
2018-03-16,0.795
2018-03-19,0.7875
2018-03-20,0.7725
2018-03-21,0.7775
2018-03-22,0.77
2018-03-23,0.8175
2018-03-26,0.775
2018-03-27,0.665
2018-03-28,0.67
2018-03-29,0.68
2018-03-30,0.68
2018-04-02,0.675
2018-04-03,0.6775
2018-04-04,0.7175
2018-04-05,0.6775
2018-04-06,0.76
2018-04-09,0.8025
2018-04-10,0.7675
2018-04-11,0.7225
2018-04-12,0.7425
2018-04-13,0.725
2018-04-16,0.7
2018-04-17,0.705
2018-04-18,0.6775
2018-04-19,0.6425
2018-04-20,0.6725
2018-04-23,0.7175
2018-04-24,0.7175
2018-04-25,0.7
2018-04-26,0.695
2018-04-27,0.7025
2018-04-30,0.685
2018-05-01,0.685
2018-05-02,0.735
2018-05-03,0.7275
2018-05-04,0.7275
2018-05-07,0.725
2018-05-08,0.7375
2018-05-09,0.7575
2018-05-10,0.7125
2018-05-11,0.715
2018-05-14,0.61
2018-05-15,0.6225
2018-05-16,0.6775
2018-05-17,0.6725
2018-05-18,0.685
2018-05-21,0.6925
2018-05-22,0.6775
2018-05-23,0.6825
2018-05-24,0.675
2018-05-25,0.6825
2018-05-28,0.675
2018-05-29,0.7325
2018-05-30,0.7475
2018-05-31,0.7075
2018-06-01,0.73
2018-06-04,0.6925
2018-06-05,0.675
2018-06-06,0.675
2018-06-07,0.6325
2018-06-08,0.645
2018-06-11,0.65
2018-06-12,0.64
2018-06-13,0.6375
2018-06-14,0.6225
2018-06-15,0.6925
2018-06-18,0.805
2018-06-19,0.8725
2018-06-20,0.8275
2018-06-21,1.05
2018-06-22,0.98
2018-06-25,1.0725
2018-06-26,1.0475
2018-06-27,1.15
2018-06-28,1.285
2018-06-29,1.1975
2018-07-02,1.23
2018-07-03,1.35
2018-07-04,1.375
2018-07-05,1.385
2018-07-06,1.385
2018-07-09,1.2
2018-07-10,1.19
2018-07-11,1.295
2018-07-12,1.29
2018-07-13,1.33
2018-07-16,1.35
2018-07-17,1.2525
2018-07-18,1.325
2018-07-19,1.4225
2018-07-20,1.5075
2018-07-23,1.495
2018-07-24,1.5375
2018-07-25,1.36
2018-07-26,1.3825
2018-07-27,1.3825
2018-07-30,1.45
2018-07-31,1.735
2018-08-01,1.5225
2018-08-02,1.55
2018-08-03,1.4875
2018-08-06,1.415
2018-08-07,1.35
2018-08-08,1.335
2018-08-09,1.31
2018-08-10,1.35
2018-08-13,1.385
2018-08-14,1.3825
2018-08-15,1.43
2018-08-16,1.46
2018-08-17,1.3725
2018-08-20,1.33
2018-08-21,1.32
2018-08-22,1.3125
2018-08-23,1.3425
2018-08-24,1.285
2018-08-27,1.2475
2018-08-28,1.2125
2018-08-29,1.24
2018-08-30,1.2925
2018-08-31,1.355
2018-09-03,1.42
2018-09-04,1.4225
2018-09-05,1.5
2018-09-06,1.5075
2018-09-07,1.555
2018-09-10,1.5925
2018-09-11,1.5725
2018-09-12,1.6
2018-09-13,1.4125
2018-09-14,1.415
2018-09-17,1.445
2018-09-18,1.465
2018-09-19,1.425
2018-09-20,1.3875
