Date,Value
2016-01-01,7.43
2016-01-04,7.5475
2016-01-05,7.485
2016-01-06,7.72
2016-01-07,7.9025
2016-01-08,8.88
2016-01-11,8.645
2016-01-12,8.765
2016-01-13,8.5
2016-01-14,8.85
2016-01-15,9.21
2016-01-18,9.42
2016-01-19,9.185
2016-01-20,8.985
2016-01-21,9.18
2016-01-22,9.16
2016-01-25,8.75
2016-01-26,8.845
2016-01-27,8.755
2016-01-28,9.25
2016-01-29,9.675
2016-02-01,10.0675
2016-02-02,10.5
2016-02-03,10.59
2016-02-04,9.9725
2016-02-05,9.9525
2016-02-08,9.955
2016-02-09,9.9575
2016-02-10,9.9725
2016-02-11,10.0375
2016-02-12,10.5675
2016-02-15,10.195
2016-02-16,9.7375
2016-02-17,9.3675
2016-02-18,9.2425
2016-02-19,9.3275
2016-02-22,9.2875
2016-02-23,9.415
2016-02-24,9.38
2016-02-25,9.38
2016-02-26,9.235
2016-02-29,9.135
2016-03-01,8.425
2016-03-02,8.255
2016-03-03,8.17
2016-03-04,8.12
2016-03-07,8.05
2016-03-08,7.9175
2016-03-09,7.925
2016-03-10,7.86
2016-03-11,7.655
2016-03-14,7.43
2016-03-15,7.24
2016-03-16,7.4425
2016-03-17,7.385
2016-03-18,7.365
2016-03-21,7.615
2016-03-22,8.065
2016-03-23,8.385
2016-03-24,8.4875
2016-03-25,8.495
2016-03-28,8.495
2016-03-29,8.21
2016-03-30,7.475
2016-03-31,7.48
2016-04-01,7.625
2016-04-04,7.61
2016-04-05,7.675
2016-04-06,7.94
2016-04-07,8.06
2016-04-08,7.955
2016-04-11,7.79
2016-04-12,7.495
2016-04-13,7.45
2016-04-14,7.615
2016-04-15,7.63
2016-04-18,7.59
2016-04-19,7.205
2016-04-20,7.225
2016-04-21,7.185
2016-04-22,7.145
2016-04-25,7.55
2016-04-26,7.475
2016-04-27,7.48
2016-04-28,7.565
2016-04-29,7.505
2016-05-02,7.49
2016-05-03,7.2975
2016-05-04,7.55
2016-05-05,7.575
2016-05-06,7.745
2016-05-09,7.735
2016-05-10,7.935
2016-05-11,7.925
2016-05-12,7.94
2016-05-13,8.115
2016-05-16,8.1225
2016-05-17,8.055
2016-05-18,8.18
2016-05-19,8.3
2016-05-20,8.055
2016-05-23,7.885
2016-05-24,7.8675
2016-05-25,7.855
2016-05-26,7.705
2016-05-27,7.675
2016-05-30,7.83
2016-05-31,7.77
2016-06-01,7.775
2016-06-02,7.67
2016-06-03,7.5875
2016-06-06,7.505
2016-06-07,7.1
2016-06-08,7.06
2016-06-09,7.025
2016-06-10,7.36
2016-06-13,7.45
2016-06-14,7.75
2016-06-15,7.665
2016-06-16,7.615
2016-06-17,7.595
2016-06-20,7.3325
2016-06-21,7.195
2016-06-22,7.17
2016-06-23,7.14
2016-06-24,7.6
2016-06-27,7.835
2016-06-28,7.62
2016-06-29,7.37
2016-06-30,7.5425
2016-07-01,7.405
2016-07-04,7.32
2016-07-05,7.255
2016-07-06,7.415
2016-07-07,7.475
2016-07-08,7.595
2016-07-11,7.595
2016-07-12,7.625
2016-07-13,7.7625
2016-07-14,7.675
2016-07-15,7.675
2016-07-18,7.6625
2016-07-19,7.66
2016-07-20,7.62
2016-07-21,7.74
2016-07-22,7.775
2016-07-25,7.795
2016-07-26,7.76
2016-07-27,7.5125
2016-07-28,7.355
2016-07-29,7.115
2016-08-01,7.0975
2016-08-02,6.9225
2016-08-03,6.835
2016-08-04,6.73
2016-08-05,6.61
2016-08-08,6.66
2016-08-09,6.745
2016-08-10,6.56
2016-08-11,6.745
2016-08-12,6.72
2016-08-15,6.695
2016-08-16,6.33
2016-08-17,6.4725
2016-08-18,6.485
2016-08-19,6.63
2016-08-22,6.8225
2016-08-23,6.72
2016-08-24,6.8425
2016-08-25,6.9025
2016-08-26,7.02
2016-08-29,7.06
2016-08-30,6.88
2016-08-31,6.83
2016-09-01,6.745
2016-09-02,6.655
2016-09-05,6.515
2016-09-06,6.435
2016-09-07,6.385
2016-09-08,6.355
2016-09-09,6.655
2016-09-12,6.9
2016-09-13,6.89
2016-09-14,7.005
2016-09-15,6.9675
2016-09-16,6.995
2016-09-19,6.97
2016-09-20,6.75
2016-09-21,6.62
2016-09-22,6.45
2016-09-23,6.495
2016-09-26,6.575
2016-09-27,6.48
2016-09-28,6.41
2016-09-29,6.6075
2016-09-30,6.5775
2016-10-03,6.5675
2016-10-04,6.49
2016-10-05,6.55
2016-10-06,6.7075
2016-10-07,6.785
2016-10-10,6.74
2016-10-11,6.8375
2016-10-12,6.76
2016-10-13,6.795
2016-10-14,6.66
2016-10-17,6.57
2016-10-18,6.345
2016-10-19,6.3475
2016-10-20,6.4025
2016-10-21,6.5725
2016-10-24,6.55
2016-10-25,6.55
2016-10-26,6.4375
2016-10-27,6.335
2016-10-28,6.66
2016-10-31,6.58
2016-11-01,6.5325
2016-11-02,6.79
2016-11-03,6.945
2016-11-04,6.97
2016-11-07,6.69
2016-11-08,6.49
2016-11-09,6.7375
2016-11-10,6.6925
2016-11-11,7.3875
2016-11-14,7.6125
2016-11-15,7.3825
2016-11-16,7.33
2016-11-17,7.3125
2016-11-18,7.855
2016-11-21,7.9
2016-11-22,7.87
2016-11-23,7.88
2016-11-24,8.1625
2016-11-25,8.0525
2016-11-28,7.96
2016-11-29,7.815
2016-11-30,7.45
2016-12-01,7.41
2016-12-02,7.46
2016-12-05,7.54
2016-12-06,7.6075
2016-12-07,7.8
2016-12-08,7.9775
2016-12-09,8.4075
2016-12-12,8.6575
2016-12-13,8.4625
2016-12-14,8.42
2016-12-15,8.54
2016-12-16,8.385
2016-12-19,8.475
2016-12-20,8.445
2016-12-21,8.48
2016-12-22,8.4825
2016-12-23,8.46
2016-12-26,8.445
2016-12-27,8.435
2016-12-28,8.3275
2016-12-29,8.34
2016-12-30,8.085
2017-01-02,8.085
2017-01-03,7.62
2017-01-04,7.4175
2017-01-05,7.475
2017-01-06,7.6325
2017-01-09,7.4475
2017-01-10,7.175
2017-01-11,7.3325
2017-01-12,7.4675
2017-01-13,7.53
2017-01-16,7.44
2017-01-17,7.4025
2017-01-18,7.3125
2017-01-19,7.385
2017-01-20,7.3975
2017-01-23,7.335
2017-01-24,7.315
2017-01-25,7.375
2017-01-26,7.275
2017-01-27,7.355
2017-01-30,7.3825
2017-01-31,7.4575
2017-02-01,7.4675
2017-02-02,7.5025
2017-02-03,7.6375
2017-02-06,7.51
2017-02-07,7.455
2017-02-08,7.54
2017-02-09,7.3425
2017-02-10,7.3525
2017-02-13,7.295
2017-02-14,7.0175
2017-02-15,6.8275
2017-02-16,6.7125
2017-02-17,6.765
2017-02-20,6.7825
2017-02-21,6.7975
2017-02-22,6.785
2017-02-23,6.6075
2017-02-24,6.4775
