Date,Value
2016-01-01,7.215
2016-01-04,7.5
2016-01-05,7.4925
2016-01-06,7.9975
2016-01-07,8.235
2016-01-08,8.83
2016-01-11,8.6025
2016-01-12,8.9
2016-01-13,8.33
2016-01-14,8.68
2016-01-15,9.1225
2016-01-18,9.1625
2016-01-19,8.88
2016-01-20,8.64
2016-01-21,8.9125
2016-01-22,8.89
2016-01-25,8.1175
2016-01-26,8.1475
2016-01-27,8.045
2016-01-28,8.5225
2016-01-29,8.9725
2016-02-01,9.1775
2016-02-02,9.9
2016-02-03,10.3025
2016-02-04,9.69
2016-02-05,9.7125
2016-02-08,9.7825
2016-02-09,9.745
2016-02-10,9.765
2016-02-11,9.8325
2016-02-12,10.54
2016-02-15,9.965
2016-02-16,9.1425
2016-02-17,8.7675
2016-02-18,8.62
2016-02-19,8.7825
2016-02-22,8.695
2016-02-23,8.735
2016-02-24,8.785
2016-02-25,8.81
2016-02-26,8.55
2016-02-29,8.27
2016-03-01,7.56
2016-03-02,7.29
2016-03-03,7.2025
2016-03-04,7.165
2016-03-07,6.9925
2016-03-08,6.9375
2016-03-09,6.9375
2016-03-10,6.925
2016-03-11,6.785
2016-03-14,6.3225
2016-03-15,6.07
2016-03-16,6.435
2016-03-17,6.3125
2016-03-18,6.39
2016-03-21,6.53
2016-03-22,6.955
2016-03-23,7.2825
2016-03-24,7.255
2016-03-25,7.3025
2016-03-28,7.3
2016-03-29,7.02
2016-03-30,6.465
2016-03-31,6.49
2016-04-01,6.59
2016-04-04,6.635
2016-04-05,6.625
2016-04-06,6.825
2016-04-07,6.715
2016-04-08,6.58
2016-04-11,6.46
2016-04-12,6.0
2016-04-13,5.8825
2016-04-14,6.085
2016-04-15,6.05
2016-04-18,5.9175
2016-04-19,5.51
2016-04-20,5.57
2016-04-21,5.545
2016-04-22,5.3725
2016-04-25,5.845
2016-04-26,5.785
2016-04-27,5.675
2016-04-28,5.63
2016-04-29,5.56
2016-05-02,5.5575
2016-05-03,5.325
2016-05-04,5.62
2016-05-05,5.71
2016-05-06,5.845
2016-05-09,5.695
2016-05-10,5.955
2016-05-11,5.925
2016-05-12,5.85
2016-05-13,6.115
2016-05-16,6.18
2016-05-17,6.1
2016-05-18,6.22
2016-05-19,6.325
2016-05-20,5.995
2016-05-23,5.815
2016-05-24,5.71
2016-05-25,5.615
2016-05-26,5.495
2016-05-27,5.415
2016-05-30,5.605
2016-05-31,5.595
2016-06-01,5.615
2016-06-02,5.575
2016-06-03,5.525
2016-06-06,5.46
2016-06-07,5.13
2016-06-08,5.04
2016-06-09,5.035
2016-06-10,5.435
2016-06-13,5.71
2016-06-14,6.01
2016-06-15,6.195
2016-06-16,6.055
2016-06-17,6.055
2016-06-20,5.82
2016-06-21,5.61
2016-06-22,5.63
2016-06-23,5.64
2016-06-24,6.22
2016-06-27,6.5625
2016-06-28,6.215
2016-06-29,5.705
2016-06-30,5.795
2016-07-01,5.59
2016-07-04,5.565
2016-07-05,5.32
2016-07-06,5.48
2016-07-07,5.4975
2016-07-08,5.7
2016-07-11,5.59
2016-07-12,5.64
2016-07-13,5.74
2016-07-14,5.7
2016-07-15,5.595
2016-07-18,5.63
2016-07-19,5.6025
2016-07-20,5.6275
2016-07-21,5.775
2016-07-22,5.87
2016-07-25,5.9075
2016-07-26,5.92
2016-07-27,5.67
2016-07-28,5.5775
2016-07-29,5.245
2016-08-01,5.33
2016-08-02,5.23
2016-08-03,5.26
2016-08-04,5.1925
2016-08-05,5.0975
2016-08-08,5.195
2016-08-09,5.42
2016-08-10,5.375
2016-08-11,5.7325
2016-08-12,5.695
2016-08-15,5.51
2016-08-16,5.2
2016-08-17,5.3
2016-08-18,5.3575
2016-08-19,5.41
2016-08-22,5.675
2016-08-23,5.6
2016-08-24,5.76
2016-08-25,5.7925
2016-08-26,5.875
2016-08-29,5.86
2016-08-30,5.605
2016-08-31,5.565
2016-09-01,5.45
2016-09-02,5.38
2016-09-05,5.3475
2016-09-06,5.1525
2016-09-07,5.1275
2016-09-08,5.045
2016-09-09,5.34
2016-09-12,5.64
2016-09-13,5.74
2016-09-14,6.0075
2016-09-15,5.97
2016-09-16,6.015
2016-09-19,6.0025
2016-09-20,5.6075
2016-09-21,5.4225
2016-09-22,5.17
2016-09-23,5.24
2016-09-26,5.28
2016-09-27,5.1
2016-09-28,5.085
2016-09-29,5.2525
2016-09-30,5.2425
2016-10-03,5.235
2016-10-04,5.16
2016-10-05,5.22
2016-10-06,5.3575
2016-10-07,5.5025
2016-10-10,5.37
2016-10-11,5.4175
2016-10-12,5.255
2016-10-13,5.305
2016-10-14,5.12
2016-10-17,4.985
2016-10-18,4.655
2016-10-19,4.63
2016-10-20,4.6425
2016-10-21,4.8725
2016-10-24,4.9175
2016-10-25,4.79
2016-10-26,4.6675
2016-10-27,4.455
2016-10-28,4.7425
2016-10-31,4.6975
2016-11-01,4.6275
2016-11-02,4.85
2016-11-03,5.0825
2016-11-04,5.07
2016-11-07,4.785
2016-11-08,4.6375
2016-11-09,4.9225
2016-11-10,5.0
2016-11-11,5.7025
2016-11-14,5.95
2016-11-15,5.665
2016-11-16,5.66
2016-11-17,5.635
2016-11-18,6.22
2016-11-21,6.2525
2016-11-22,6.1625
2016-11-23,6.255
2016-11-24,6.565
2016-11-25,6.5375
2016-11-28,6.435
2016-11-29,6.18
2016-11-30,5.915
2016-12-01,5.9475
2016-12-02,6.0025
2016-12-05,6.1225
2016-12-06,6.2075
2016-12-07,6.4375
2016-12-08,6.665
2016-12-09,7.15
2016-12-12,7.5675
2016-12-13,7.195
2016-12-14,7.125
2016-12-15,7.455
2016-12-16,7.2525
2016-12-19,7.385
2016-12-20,7.3125
2016-12-21,7.365
2016-12-22,7.535
2016-12-23,7.405
2016-12-26,7.4475
2016-12-27,7.4575
2016-12-28,7.4175
2016-12-29,7.435
2016-12-30,7.3375
2017-01-02,7.345
2017-01-03,6.8
2017-01-04,6.4425
2017-01-05,7.3275
2017-01-06,7.315
2017-01-09,6.885
2017-01-10,6.2275
2017-01-11,6.335
2017-01-12,6.6275
2017-01-13,6.575
2017-01-16,6.5225
2017-01-17,6.525
2017-01-18,6.445
2017-01-19,6.5375
2017-01-20,6.5025
2017-01-23,6.39
2017-01-24,6.1975
2017-01-25,6.2725
2017-01-26,6.165
2017-01-27,6.33
2017-01-30,6.425
2017-01-31,6.5125
2017-02-01,6.4525
2017-02-02,6.455
2017-02-03,6.675
2017-02-06,6.4775
2017-02-07,6.235
2017-02-08,6.4625
2017-02-09,6.3125
2017-02-10,6.3125
