Date,Value
2016-01-01,3.9
2016-01-04,3.925
2016-01-05,3.745
2016-01-06,3.745
2016-01-07,3.8625
2016-01-08,4.375
2016-01-11,4.4175
2016-01-12,4.51
2016-01-13,4.215
2016-01-14,4.365
2016-01-15,4.36
2016-01-18,4.405
2016-01-19,4.48
2016-01-20,4.4175
2016-01-21,4.79
2016-01-25,4.7
2016-01-26,4.83
2016-01-27,4.7475
2016-01-28,5.3725
2016-01-29,6.0425
2016-02-01,7.1125
2016-02-02,8.58
2016-02-03,9.3025
2016-02-04,8.6625
2016-02-05,8.295
2016-02-08,8.33
2016-02-09,8.47
2016-02-10,8.38
2016-02-11,8.19
2016-02-12,8.405
2016-02-15,8.025
2016-02-16,7.255
2016-02-17,7.155
2016-02-18,7.005
2016-02-19,7.13
2016-02-22,7.1475
2016-02-23,7.3575
2016-02-24,7.6225
2016-02-25,7.655
2016-02-26,7.51
2016-02-29,7.4425
2016-03-01,6.21
2016-03-02,5.9775
2016-03-03,5.775
2016-03-04,5.67
2016-03-07,5.615
2016-03-08,5.64
2016-03-09,5.735
2016-03-10,5.715
2016-03-11,5.505
2016-03-14,5.415
2016-03-15,5.39
2016-03-16,5.58
2016-03-17,5.59
2016-03-18,5.15
2016-03-21,5.2925
2016-03-22,5.41
2016-03-23,5.47
2016-03-24,5.705
2016-03-25,5.69
2016-03-28,5.73
2016-03-29,5.7075
2016-03-30,5.295
2016-03-31,5.37
2016-04-01,5.4025
2016-04-04,5.5325
2016-04-05,5.5175
2016-04-06,5.65
2016-04-07,5.755
2016-04-08,5.72
2016-04-11,5.6725
2016-04-12,5.305
2016-04-13,5.23
2016-04-14,5.3
2016-04-15,5.285
2016-04-18,5.23
2016-04-19,5.265
2016-04-20,5.195
2016-04-21,5.18
2016-04-22,5.125
2016-04-25,5.28
2016-04-26,5.26
2016-04-27,5.29
2016-04-28,5.0425
2016-04-29,4.995
2016-05-02,4.965
2016-05-03,4.92
2016-05-04,4.955
2016-05-05,5.015
2016-05-06,5.0475
2016-05-09,5.07
2016-05-10,5.225
2016-05-11,5.2025
2016-05-12,5.1
2016-05-13,5.2525
2016-05-16,5.3925
2016-05-17,5.3175
2016-05-18,5.31
2016-05-19,5.51
2016-05-20,5.395
2016-05-23,5.3
2016-05-24,5.0625
2016-05-25,4.6275
2016-05-26,4.2225
2016-05-27,4.1725
2016-05-30,4.1175
2016-05-31,3.8425
2016-06-01,3.825
2016-06-02,3.61
2016-06-03,3.5175
2016-06-06,3.3175
2016-06-07,3.2225
2016-06-08,2.4975
2016-06-09,2.4475
2016-06-10,2.5375
2016-06-13,2.73
2016-06-14,2.9175
2016-06-15,3.4925
2016-06-16,3.5125
