Date,Value
2016-01-01,1.06
2016-01-04,1.0175
2016-01-05,0.99
2016-01-06,0.9775
2016-01-07,1.02
2016-01-08,1.1125
2016-01-11,1.0625
2016-01-12,1.025
2016-01-13,0.96
2016-01-14,0.955
2016-01-15,0.8875
2016-01-18,0.94
2016-01-19,0.975
2016-01-20,0.9025
2016-01-21,0.98
2016-01-25,1.065
2016-01-26,1.025
2016-01-27,1.035
2016-01-28,1.36
2016-01-29,1.5325
2016-02-01,1.5825
2016-02-02,2.055
2016-02-03,2.635
2016-02-04,1.9625
2016-02-05,2.21
2016-02-08,2.0675
2016-02-09,2.2525
2016-02-10,2.08
2016-02-11,1.96
2016-02-12,2.02
2016-02-15,1.84
2016-02-16,1.5625
2016-02-17,1.5875
2016-02-18,1.5375
2016-02-19,1.625
2016-02-22,1.5375
2016-02-23,1.945
2016-02-24,1.925
2016-02-25,1.95
2016-02-26,2.0
2016-02-29,1.9525
2016-03-01,1.55
2016-03-02,1.485
2016-03-03,1.1925
2016-03-04,0.97
2016-03-07,0.88
2016-03-08,0.92
2016-03-09,0.77
2016-03-10,0.87
2016-03-11,0.675
2016-03-14,0.6
2016-03-15,0.5875
2016-03-16,0.7275
2016-03-17,0.6875
2016-03-18,0.675
2016-03-21,0.7975
2016-03-22,0.89
2016-03-23,0.8925
2016-03-24,1.375
2016-03-25,1.4
2016-03-28,1.4225
2016-03-29,1.3425
2016-03-30,1.3125
2016-03-31,1.2225
2016-04-01,1.245
2016-04-04,1.1575
2016-04-05,1.13
2016-04-06,1.1025
2016-04-07,0.6225
2016-04-08,0.6075
2016-04-11,0.58
2016-04-12,0.6575
2016-04-13,0.51
2016-04-14,0.48
2016-04-15,0.49
2016-04-18,0.5
2016-04-19,0.5
2016-04-20,0.51
2016-04-21,0.515
2016-04-22,1.2525
2016-04-25,0.855
2016-04-26,0.855
2016-04-27,0.7425
2016-04-28,0.6025
2016-04-29,0.6075
2016-05-02,0.53
2016-05-03,0.5575
2016-05-04,0.7325
2016-05-05,0.8625
2016-05-06,0.8575
2016-05-09,0.85
2016-05-10,1.0
2016-05-11,0.9975
2016-05-12,0.9275
2016-05-13,0.935
2016-05-16,0.9425
2016-05-17,0.945
2016-05-18,0.8175
2016-05-19,0.8125
2016-05-20,0.8375
2016-05-23,0.765
2016-05-24,0.705
2016-05-25,0.6675
2016-05-26,0.63
2016-05-27,0.625
2016-05-30,0.6175
2016-05-31,0.6275
2016-06-01,0.6475
2016-06-02,0.6
2016-06-03,0.66
2016-06-06,0.5275
2016-06-07,0.53
2016-06-08,0.49
2016-06-09,0.5175
2016-06-10,0.52
2016-06-13,0.4925
2016-06-14,0.4975
2016-06-15,0.7725
2016-06-16,0.7475
2016-06-17,1.04
2016-06-20,0.98
2016-06-21,0.98
2016-06-22,1.005
2016-06-23,1.29
2016-06-24,1.37
2016-06-27,1.36
2016-06-28,1.155
2016-06-29,0.8025
2016-06-30,0.8175
2016-07-01,0.54
2016-07-04,0.5625
2016-07-05,0.42
2016-07-06,0.465
2016-07-07,0.485
2016-07-08,0.465
2016-07-11,0.3725
2016-07-12,0.35
2016-07-13,0.325
2016-07-14,0.305
2016-07-15,0.3375
2016-07-18,0.275
2016-07-19,0.255
2016-07-20,0.1825
2016-07-21,0.17
2016-07-22,0.18
2016-07-25,0.1875
2016-07-26,0.6825
2016-07-27,0.075
2016-07-28,0.0075
2016-07-29,0.0175
2016-08-01,0.005
2016-08-02,0.0075
2016-08-03,-0.0225
2016-08-04,-0.0175
2016-08-05,0.0175
2016-08-08,-0.005
2016-08-09,-0.005
2016-08-10,-0.0125
2016-08-11,0.005
2016-08-12,0.005
2016-08-15,0.01
2016-08-16,0.03
2016-08-17,0.0275
2016-08-18,0.0275
2016-08-19,0.1625
2016-08-22,0.255
2016-08-23,0.2775
2016-08-24,0.2625
2016-08-25,0.235
2016-08-26,0.34
2016-08-29,0.41
2016-08-30,0.3725
2016-08-31,0.375
2016-09-01,0.3775
2016-09-02,0.365
2016-09-05,0.2925
2016-09-06,0.2875
2016-09-07,0.2825
2016-09-08,0.28
2016-09-09,0.32
2016-09-12,0.2525
2016-09-13,0.315
2016-09-14,0.36
2016-09-15,0.3475
2016-09-16,0.335
2016-09-19,0.3875
2016-09-20,0.3175
2016-09-21,0.3025
2016-09-22,0.29
2016-09-23,0.3925
2016-09-26,0.3375
2016-09-27,0.3375
2016-09-28,0.375
2016-09-29,0.305
2016-09-30,0.3075
2016-10-03,0.2975
2016-10-04,0.3175
2016-10-05,0.46
2016-10-06,0.475
2016-10-07,0.5275
2016-10-10,0.465
2016-10-11,0.445
2016-10-12,0.4675
2016-10-13,0.45
2016-10-14,0.4025
2016-10-17,0.3875
2016-10-18,0.3975
2016-10-19,0.3225
2016-10-20,0.3625
2016-10-21,0.41
2016-10-24,0.4175
2016-10-25,0.3825
2016-10-26,0.2525
2016-10-27,0.225
2016-10-28,0.2125
2016-10-31,0.19
2016-11-01,0.1725
2016-11-02,0.1925
2016-11-03,0.055
2016-11-04,0.1675
2016-11-07,0.19
2016-11-08,0.1775
2016-11-09,0.1725
2016-11-10,0.215
2016-11-11,0.46
2016-11-14,0.7125
2016-11-15,0.8025
2016-11-16,0.76
2016-11-17,0.82
2016-11-18,1.0475
2016-11-21,1.16
2016-11-22,1.2075
2016-11-23,1.13
2016-11-24,1.1925
2016-11-25,1.1375
2016-11-28,1.1425
2016-11-29,0.9225
2016-11-30,0.7675
2016-12-01,0.5525
2016-12-02,0.535
2016-12-05,0.51
2016-12-06,0.52
2016-12-07,0.59
2016-12-08,0.555
2016-12-09,0.7525
2016-12-12,0.9475
2016-12-13,0.95
2016-12-14,0.75
2016-12-15,0.345
2016-12-16,0.32
2016-12-19,0.2675
2016-12-20,0.25
2016-12-21,0.225
2016-12-22,0.295
2016-12-23,0.2825
2016-12-26,0.3
2016-12-27,0.39
2016-12-28,0.32
2016-12-29,0.33
2016-12-30,0.335
2017-01-02,0.32
2017-01-03,0.4175
2017-01-04,0.185
2017-01-05,0.11
2017-01-06,-0.09
2017-01-09,-0.0875
2017-01-10,-0.0475
2017-01-11,-0.0625
2017-01-12,0.065
2017-01-13,-0.265
2017-01-16,-0.3075
2017-01-17,-0.3975
2017-01-18,-0.005
2017-01-19,0.015
2017-01-20,0.0275
2017-01-23,0.045
2017-01-24,0.0075
2017-01-25,0.0275
2017-01-26,-0.025
2017-01-27,-0.005
2017-01-30,0.0175
2017-01-31,0.245
2017-02-01,0.2
2017-02-02,0.1825
2017-02-03,0.18
2017-02-06,0.1375
2017-02-07,0.22
2017-02-08,0.2125
2017-02-09,0.195
2017-02-10,0.2
2017-02-13,0.195
2017-02-14,0.1975
2017-02-15,0.18
2017-02-16,0.085
2017-02-17,0.085
2017-02-20,0.065
2017-02-21,0.0525
2017-02-22,0.045
2017-02-23,0.0425
2017-02-24,0.0975
2017-02-27,0.1275
2017-02-28,0.1225
2017-03-01,0.1275
2017-03-02,0.1225
2017-03-03,0.135
2017-03-06,0.135
2017-03-07,0.13
2017-03-08,0.0025
2017-03-09,0.245
2017-03-10,0.2175
2017-03-13,0.2125
2017-03-14,0.2025
2017-03-15,0.1975
2017-03-16,0.0175
2017-03-17,-0.005
2017-03-20,-0.0075
2017-03-21,-0.0025
2017-03-22,-0.0175
2017-03-23,-0.045
2017-03-24,-0.04
2017-03-27,-0.0425
2017-03-28,-0.03
2017-03-29,-0.035
2017-03-30,-0.05
2017-03-31,-0.035
2017-04-03,-0.0325
2017-04-04,-0.05
2017-04-05,-0.05
2017-04-06,0.02
2017-04-07,0.1
2017-04-10,0.1225
2017-04-11,0.12
2017-04-12,0.12
2017-04-13,0.0725
2017-04-14,0.0775
2017-04-17,0.165
2017-04-18,0.1275
2017-04-19,0.1625
2017-04-20,0.1575
2017-04-21,0.1325
2017-04-24,0.1325
2017-04-25,0.11
2017-04-26,0.1425
2017-04-27,0.145
2017-04-28,0.1675
2017-05-01,0.0675
2017-05-02,0.0625
2017-05-03,0.05
2017-05-04,0.0925
2017-05-05,0.12
2017-05-08,0.085
2017-05-09,0.095
2017-05-10,0.095
2017-05-11,0.1125
2017-05-12,0.105
2017-05-15,0.105
2017-05-16,0.0975
2017-05-17,0.0975
2017-05-18,0.095
2017-05-19,0.27
2017-05-22,0.205
2017-05-23,0.295
2017-05-24,0.26
2017-05-25,0.105
2017-05-26,-0.0625
2017-05-29,-0.29
2017-05-30,-0.28
2017-05-31,-0.345
2017-06-01,-0.285
2017-06-02,-0.285
2017-06-05,-0.26
2017-06-06,-0.245
2017-06-07,0.1
2017-06-08,0.105
2017-06-09,0.135
2017-06-12,0.165
2017-06-13,0.125
2017-06-14,0.12
2017-06-15,0.15
2017-06-16,0.17
2017-06-19,0.2125
2017-06-20,0.1925
2017-06-21,0.1825
2017-06-22,0.1775
2017-06-23,0.1775
2017-06-26,0.15
2017-06-27,0.08
2017-06-28,-0.115
2017-06-29,-0.185
2017-06-30,-0.07
2017-07-03,0.0625
2017-07-04,0.0875
2017-07-05,0.0975
2017-07-06,0.0925
2017-07-07,0.0875
2017-07-10,0.0625
2017-07-11,0.0575
2017-07-12,0.06
2017-07-13,0.06
2017-07-14,0.06
2017-07-17,0.03
2017-07-18,0.03
2017-07-19,0.03
2017-07-20,0.045
2017-07-21,0.045
2017-07-24,0.025
2017-07-25,0.04
2017-07-26,0.045
2017-07-27,0.075
2017-07-28,0.07
2017-07-31,0.15
2017-08-01,0.145
2017-08-02,0.15
2017-08-03,0.17
2017-08-04,0.165
2017-08-07,0.185
2017-08-08,0.17
2017-08-09,0.14
2017-08-10,0.19
2017-08-11,0.405
2017-08-14,0.4
2017-08-15,0.43
2017-08-16,0.4425
2017-08-17,0.425
2017-08-18,0.445
2017-08-21,0.46
2017-08-22,0.415
2017-08-23,0.41
2017-08-24,0.38
2017-08-25,0.365
2017-08-28,0.205
2017-08-29,0.195
2017-08-30,0.205
2017-08-31,0.255
2017-09-01,0.24
2017-09-04,0.145
2017-09-05,0.185
2017-09-06,0.185
2017-09-07,0.195
2017-09-08,0.16
2017-09-11,0.09
2017-09-12,0.05
2017-09-13,0.05
2017-09-14,0.085
2017-09-15,0.1
2017-09-18,0.1
2017-09-19,0.06
2017-09-20,0.06
2017-09-21,0.05
2017-09-22,0.055
2017-09-25,0.05
2017-09-26,0.11
2017-09-27,0.0425
2017-09-28,0.21
2017-09-29,0.215
2017-10-02,0.16
2017-10-03,0.1575
2017-10-04,0.0175
2017-10-05,-0.08
2017-10-06,-0.0925
2017-10-09,-0.075
2017-10-10,-0.085
2017-10-11,-0.065
2017-10-12,0.11
2017-10-13,0.11
2017-10-16,0.125
2017-10-17,0.16
2017-10-18,0.16
2017-10-19,0.15
2017-10-20,0.14
2017-10-23,0.17
2017-10-24,0.175
2017-10-25,0.12
2017-10-26,0.09
2017-10-27,0.07
2017-10-30,0.085
2017-10-31,0.08
2017-11-01,0.07
2017-11-02,0.055
2017-11-03,0.12
2017-11-06,0.12
2017-11-07,0.1175
2017-11-08,0.115
2017-11-09,0.115
2017-11-10,0.115
2017-11-13,0.12
2017-11-14,0.13
2017-11-15,0.0925
2017-11-16,0.09
2017-11-17,0.095
2017-11-20,0.09
2017-11-21,0.085
2017-11-22,0.05
2017-11-23,0.035
2017-11-24,-0.045
2017-11-27,-0.04
2017-11-28,-0.03
2017-11-29,0.04
2017-11-30,0.045
2017-12-01,0.05
2017-12-04,0.04
2017-12-05,0.05
2017-12-06,0.05
2017-12-07,0.065
2017-12-08,0.065
2017-12-11,0.055
2017-12-12,0.04
2017-12-13,0.025
2017-12-14,0.03
2017-12-15,0.0275
2017-12-18,0.02
2017-12-19,0.025
2017-12-20,-0.03
2017-12-21,-0.025
2017-12-22,-0.045
2017-12-25,-0.07
2017-12-26,-0.09
2017-12-27,-0.085
2017-12-28,-0.085
2017-12-29,-0.09
2018-01-01,-0.09
2018-01-02,-0.01
2018-01-03,-0.015
2018-01-04,-0.02
2018-01-05,-0.02
2018-01-08,-0.035
2018-01-09,0.21
2018-01-10,0.295
2018-01-11,0.225
2018-01-12,0.12
2018-01-15,0.07
2018-01-16,0.09
2018-01-17,0.08
2018-01-18,0.085
2018-01-19,0.04
2018-01-22,0.065
2018-01-23,0.1
2018-01-24,0.065
2018-01-25,0.035
2018-01-26,0.035
2018-01-29,0.06
2018-01-30,0.125
2018-01-31,0.07
2018-02-01,0.24
2018-02-02,0.2
2018-02-05,0.25
2018-02-06,0.3575
2018-02-07,0.32
2018-02-08,1.415
2018-02-09,0.88
2018-02-12,0.0475
2018-02-13,0.76
2018-02-14,0.7
2018-02-15,0.525
2018-02-16,0.525
2018-02-19,0.52
2018-02-20,0.515
2018-02-21,0.51
2018-02-22,0.565
2018-02-23,0.52
2018-02-26,0.45
2018-02-27,0.475
2018-02-28,0.495
2018-03-01,0.625
2018-03-02,0.675
2018-03-05,0.64
2018-03-06,0.52
2018-03-07,0.485
2018-03-08,0.485
2018-03-09,0.48
2018-03-12,0.475
2018-03-13,0.435
2018-03-14,0.385
2018-03-15,0.325
2018-03-16,0.325
2018-03-19,0.32
2018-03-20,0.32
2018-03-21,0.31
2018-03-22,0.31
2018-03-23,0.31
2018-03-26,0.285
2018-03-27,0.11
2018-03-28,0.16
2018-03-29,0.15
2018-03-30,0.14
2018-04-02,0.155
2018-04-03,0.155
2018-04-04,0.19
2018-04-05,0.19
2018-04-06,0.215
2018-04-09,0.38
2018-04-10,0.34
2018-04-11,0.22
2018-04-12,0.23
2018-04-13,0.22
2018-04-16,0.195
2018-04-17,0.195
2018-04-18,0.195
2018-04-19,0.15
2018-04-20,0.155
2018-04-23,0.235
2018-04-24,0.28
2018-04-25,0.235
2018-04-26,0.235
2018-04-27,0.24
2018-04-30,0.245
2018-05-01,0.245
2018-05-02,0.42
2018-05-03,0.345
2018-05-04,0.355
2018-05-07,0.36
2018-05-08,0.36
2018-05-09,0.365
2018-05-10,0.295
2018-05-11,0.295
2018-05-14,0.235
2018-05-15,0.28
2018-05-16,0.385
2018-05-17,0.4
2018-05-18,0.37
2018-05-21,0.33
2018-05-22,0.32
2018-05-23,0.3
2018-05-24,0.3
2018-05-25,0.31
2018-05-28,0.31
2018-05-29,0.51
2018-05-30,0.45
2018-05-31,0.425
2018-06-01,0.4375
2018-06-04,0.4
2018-06-05,0.29
2018-06-06,0.26
2018-06-07,0.22
2018-06-08,0.24
2018-06-11,0.2375
2018-06-12,0.235
2018-06-13,0.235
2018-06-14,0.235
2018-06-15,0.4125
2018-06-18,0.545
2018-06-19,0.58
2018-06-20,0.47
2018-06-21,0.605
2018-06-22,0.495
2018-06-25,0.66
2018-06-26,0.68
2018-06-27,0.815
2018-06-28,1.04
2018-06-29,0.795
2018-07-02,0.935
2018-07-03,0.855
2018-07-04,0.605
2018-07-05,0.6
2018-07-06,0.64
2018-07-09,0.38
2018-07-10,0.4
2018-07-11,0.615
2018-07-12,0.625
2018-07-13,0.655
2018-07-16,0.485
2018-07-17,0.48
2018-07-18,0.595
2018-07-19,0.66
2018-07-20,0.735
2018-07-23,0.765
2018-07-24,0.66
2018-07-25,0.5425
2018-07-26,0.59
2018-07-27,0.61
2018-07-30,0.62
2018-07-31,0.46
2018-08-01,0.515
2018-08-02,0.555
2018-08-03,0.48
2018-08-06,0.455
2018-08-07,0.175
2018-08-08,0.15
2018-08-09,0.125
2018-08-10,0.105
2018-08-13,0.35
2018-08-14,0.35
2018-08-15,0.41
2018-08-16,0.24
2018-08-17,0.265
2018-08-20,0.14
2018-08-21,0.18
2018-08-22,0.19
2018-08-23,0.61
2018-08-24,0.48
2018-08-27,0.17
2018-08-28,0.375
2018-08-29,0.685
2018-08-30,0.535
2018-08-31,1.2975
2018-09-03,0.9325
2018-09-04,1.16
2018-09-05,1.42
2018-09-06,1.44
2018-09-07,0.545
2018-09-10,0.59
2018-09-11,0.5875
2018-09-12,0.5975
2018-09-13,0.475
2018-09-14,0.52
2018-09-17,0.525
2018-09-18,0.615
2018-09-19,0.57
2018-09-20,0.455
2018-09-21,0.51
2018-09-24,0.52
2018-09-25,0.525
2018-09-26,0.205
2018-09-27,0.49
2018-09-28,0.395
2018-10-01,0.45
2018-10-02,0.6225
2018-10-03,0.5625
2018-10-04,0.675
2018-10-05,0.61
2018-10-08,0.84
2018-10-09,0.85
2018-10-10,0.805
2018-10-11,0.825
2018-10-12,0.825
2018-10-15,0.82
2018-10-16,0.7
2018-10-17,0.63
2018-10-18,0.715
2018-10-19,0.79
2018-10-22,0.78
2018-10-23,0.725
2018-10-24,0.665
2018-10-25,0.76
2018-10-26,0.83
2018-10-29,0.83
2018-10-30,0.82
2018-10-31,0.75
2018-11-01,0.665
2018-11-02,0.465
2018-11-05,0.425
2018-11-06,-0.055
2018-11-07,-0.0575
2018-11-08,-0.055
2018-11-09,-0.06
2018-11-12,0.075
2018-11-13,-0.07
2018-11-14,-0.075
2018-11-15,-0.12
2018-11-16,-0.06
2018-11-19,-0.065
2018-11-20,-0.065
2018-11-21,-0.01
2018-11-22,-0.01
2018-11-23,-0.055
2018-11-26,-0.185
2018-11-27,-0.185
2018-11-28,-0.1825
2018-11-29,-0.09
2018-11-30,-0.0625
2018-12-03,-0.0525
2018-12-04,-0.0925
2018-12-05,-0.0325
2018-12-06,0.0425
2018-12-07,0.24
2018-12-10,0.6175
2018-12-11,0.8725
2018-12-12,0.885
2018-12-13,1.375
2018-12-14,1.5225
2018-12-17,0.9025
2018-12-18,0.905
2018-12-19,-0.1225
2018-12-20,0.015
2018-12-21,-0.105
2018-12-24,-0.115
2018-12-25,-0.11
2018-12-26,-0.11
2018-12-27,-0.335
2018-12-28,-0.3225
2018-12-31,-0.3225
2019-01-01,-0.325
2019-01-02,-0.3725
2019-01-03,-0.2225
2019-01-04,-0.2225
2019-01-07,-0.3525
2019-01-08,-0.2775
2019-01-09,-0.3375
2019-01-10,-0.265
2019-01-11,-0.14
2019-01-14,-0.065
2019-01-15,-0.0875
2019-01-16,-0.0475
2019-01-17,-0.0325
2019-01-18,-0.0375
2019-01-21,-0.0325
2019-01-22,-0.0625
2019-01-23,-0.1175
2019-01-24,-0.0275
2019-01-25,-0.2
2019-01-28,-0.225
2019-01-29,-0.225
2019-01-30,0.045
2019-01-31,-0.2
2019-02-01,-0.0275
2019-02-04,0.0125
2019-02-05,0.0125
2019-02-06,0.0125
2019-02-07,-0.0075
2019-02-08,-0.0525
2019-02-11,-0.0475
2019-02-12,-0.0825
2019-02-13,-0.08
2019-02-14,-0.0775
2019-02-15,-0.04
2019-02-18,-0.0725
2019-02-19,-0.085
2019-02-20,-0.1975
2019-02-21,-0.2
2019-02-22,-0.1825
2019-02-25,-0.2325
2019-02-26,-0.2325
2019-02-27,-0.2175
2019-02-28,-0.2175
2019-03-01,-0.1825
2019-03-04,-0.1825
2019-03-05,-0.1825
2019-03-06,-0.1825
2019-03-07,-0.1825
2019-03-08,-0.1625
2019-03-11,-0.1675
2019-03-12,-0.1675
2019-03-13,-0.1675
2019-03-14,-0.1575
2019-03-15,-0.1575
2019-03-18,-0.1575
2019-03-19,-0.1575
2019-03-20,-0.115
2019-03-21,-0.2625
2019-03-22,-0.1775
2019-03-25,-0.1325
2019-03-26,-0.1675
2019-03-27,-0.1675
2019-03-28,-0.1075
2019-03-29,-0.0975
2019-04-01,-0.075
2019-04-02,-0.1325
2019-04-03,-0.04
2019-04-04,0.0125
2019-04-05,-0.0075
2019-04-08,-0.0075
2019-04-09,-0.02
2019-04-10,-0.0425
2019-04-11,-0.0425
2019-04-12,-0.0625
2019-04-15,-0.1575
2019-04-16,-0.1575
2019-04-17,-0.2
2019-04-18,-0.1925
2019-04-19,-0.1925
2019-04-22,-0.19
2019-04-23,-0.1925
2019-04-24,-0.19
2019-04-25,0.02
2019-04-26,0.1975
2019-04-29,-0.045
2019-04-30,0.1
2019-05-01,0.1
2019-05-02,-0.045
2019-05-03,-0.085
2019-05-06,0.145
2019-05-07,0.21
2019-05-08,1.14
2019-05-09,1.31
2019-05-10,1.1
2019-05-13,1.225
2019-05-14,1.12
2019-05-15,1.02
2019-05-16,1.0625
2019-05-17,1.085
2019-05-20,1.105
2019-05-21,1.0
2019-05-22,0.955
2019-05-23,0.9575
2019-05-24,0.5975
2019-05-27,0.5575
2019-05-28,0.5575
2019-05-29,0.5575
2019-05-30,0.5575
2019-05-31,0.5575
2019-06-03,0.4525
2019-06-04,0.4525
2019-06-05,0.1575
2019-06-06,0.1575
2019-06-07,0.4525
2019-06-10,0.4975
2019-06-11,0.4125
2019-06-12,0.3075
2019-06-13,0.305
2019-06-14,0.3075
2019-06-17,0.3075
2019-06-18,0.22
2019-06-19,0.095
2019-06-20,0.115
2019-06-21,0.115
2019-06-24,0.2225
2019-06-25,0.2225
2019-06-26,0.2225
2019-06-27,0.2625
2019-06-28,0.2625
2019-07-01,0.1575
2019-07-02,0.325
2019-07-03,0.325
2019-07-04,0.24
2019-07-05,0.2425
2019-07-08,0.22
2019-07-09,0.115
2019-07-10,0.115
2019-07-11,0.115
2019-07-12,0.12
2019-07-15,0.1175
2019-07-16,0.115
2019-07-17,0.115
2019-07-18,0.045
2019-07-19,0.045
2019-07-22,0.045
2019-07-23,0.06
2019-07-24,0.06
2019-07-25,0.06
2019-07-26,0.06
2019-07-29,0.075
2019-07-30,0.06
2019-07-31,0.06
2019-08-01,0.2675
2019-08-02,0.865
2019-08-05,1.1025
2019-08-06,1.9975
2019-08-07,1.7275
2019-08-08,1.6425
2019-08-09,0.7075
2019-08-12,0.7075
2019-08-13,0.6025
2019-08-14,0.5625
2019-08-15,0.5625
2019-08-16,0.5625
2019-08-19,0.56
2019-08-20,0.56
2019-08-21,0.56
2019-08-22,0.56
2019-08-23,0.325
2019-08-26,0.535
2019-08-27,0.67
2019-08-28,0.46
2019-08-29,0.14
2019-08-30,0.015
2019-09-02,0.015
2019-09-03,0.015
2019-09-04,0.045
2019-09-05,0.055
2019-09-06,-0.165
2019-09-09,-0.165
2019-09-10,-0.165
2019-09-11,-0.1625
2019-09-12,0.025
2019-09-13,0.0025
2019-09-16,-0.05
2019-09-17,-0.045
2019-09-18,-0.045
2019-09-19,-0.045
2019-09-20,0.145
2019-09-23,-0.15
2019-09-24,-0.045
2019-09-25,-0.15
2019-09-27,-0.15
2019-10-03,-0.15
2019-10-04,-0.03
