Date,Value
2016-01-04,5.245
2016-01-05,5.435
2016-01-06,5.605
2016-01-07,5.765
2016-01-08,5.4775
2016-01-11,5.595
2016-01-12,5.825
2016-01-13,5.43
2016-01-14,5.565
2016-01-15,5.505
2016-01-18,5.3925
2016-01-19,5.095
2016-01-20,5.0825
2016-01-21,5.12
2016-01-22,5.08
2016-01-25,4.82
2016-01-26,4.615
2016-01-27,4.74
2016-01-28,4.765
2016-01-29,5.035
2016-02-01,5.02
2016-02-02,5.16
2016-02-03,5.065
2016-02-04,5.315
2016-02-05,5.2825
2016-02-15,5.255
2016-02-16,5.27
2016-02-17,5.205
2016-02-18,5.2225
2016-02-19,5.355
2016-02-22,5.3125
2016-02-23,5.345
2016-02-24,5.3475
2016-02-25,5.3825
2016-02-26,5.405
2016-02-29,5.405
2016-03-01,5.19
2016-03-02,5.15
2016-03-03,5.05
2016-03-04,5.02
2016-03-07,4.98
2016-03-08,4.93
2016-03-09,4.87
2016-03-10,4.85
2016-03-11,4.925
2016-03-14,4.88
2016-03-15,4.775
2016-03-16,4.585
2016-03-17,4.58
2016-03-18,4.66
2016-03-21,4.62
2016-03-22,4.61
2016-03-23,4.63
2016-03-24,4.64
2016-03-25,4.6625
2016-03-28,4.655
2016-03-29,4.7075
2016-03-30,4.67
2016-03-31,4.7975
2016-04-01,4.735
2016-04-05,4.66
2016-04-06,4.7825
2016-04-07,4.6825
2016-04-08,4.6625
2016-04-11,4.745
2016-04-12,4.68
2016-04-13,4.625
2016-04-14,4.705
2016-04-15,4.6875
2016-04-18,4.635
2016-04-19,4.67
2016-04-20,4.64
2016-04-21,4.6625
2016-04-22,4.575
2016-04-25,4.6425
2016-04-26,4.64
2016-04-27,4.695
2016-04-28,4.665
2016-04-29,4.625
2016-05-03,4.6275
2016-05-04,4.61
2016-05-05,4.61
2016-05-06,4.615
2016-05-09,4.655
2016-05-10,4.655
2016-05-11,4.645
2016-05-12,4.67
2016-05-13,4.68
2016-05-16,4.705
2016-05-17,4.695
2016-05-18,4.625
2016-05-19,4.67
2016-05-20,4.71
2016-05-23,4.725
2016-05-24,4.635
2016-05-25,4.68
2016-05-26,4.595
2016-05-27,4.63
2016-05-30,4.455
2016-05-31,4.345
2016-06-01,4.305
2016-06-02,4.35
2016-06-03,4.155
2016-06-06,4.06
2016-06-07,4.105
2016-06-08,4.16
2016-06-13,4.125
2016-06-14,4.195
2016-06-15,4.245
2016-06-16,4.23
2016-06-17,4.23
2016-06-20,4.215
2016-06-21,4.195
2016-06-22,4.195
2016-06-23,4.155
2016-06-24,4.145
2016-06-27,4.235
2016-06-28,4.195
2016-06-29,4.055
2016-06-30,4.115
2016-07-01,4.0
2016-07-04,4.005
2016-07-05,4.005
2016-07-06,4.0
2016-07-07,3.965
2016-07-08,3.995
2016-07-11,4.025
2016-07-12,3.99
2016-07-13,4.0075
2016-07-14,4.025
2016-07-15,4.0
2016-07-18,4.04
2016-07-19,4.03
2016-07-20,4.075
2016-07-21,4.03
2016-07-22,4.04
2016-07-25,4.07
2016-07-26,4.05
2016-07-27,4.08
2016-07-28,4.125
2016-07-29,4.1
2016-08-01,4.075
2016-08-02,4.095
2016-08-03,4.115
2016-08-04,4.145
2016-08-05,4.1475
2016-08-08,4.18
2016-08-09,4.225
2016-08-10,4.21
2016-08-11,4.215
2016-08-12,4.21
2016-08-15,4.225
2016-08-16,4.225
2016-08-17,4.22
2016-08-18,4.235
2016-08-19,4.2475
2016-08-22,4.23
