Date,Value
2016-01-01,6.81
2016-01-04,6.995
2016-01-05,6.9475
2016-01-06,7.2975
2016-01-07,8.0075
2016-01-08,8.98
2016-01-11,8.685
2016-01-12,8.66
2016-01-13,8.0825
2016-01-14,8.38
2016-01-15,8.725
2016-01-18,8.825
2016-01-19,8.57
2016-01-20,8.3775
2016-01-21,8.4925
2016-01-22,8.565
2016-01-25,8.085
2016-01-26,8.0625
2016-01-27,7.9875
2016-01-28,8.485
2016-01-29,8.8975
2016-02-01,9.315
2016-02-02,10.0125
2016-02-03,10.13
2016-02-04,9.3875
2016-02-05,9.3475
2016-02-08,9.4225
2016-02-09,9.4775
2016-02-10,9.47
2016-02-11,9.475
2016-02-12,10.055
2016-02-15,9.6225
2016-02-16,9.0475
2016-02-17,8.8175
2016-02-18,8.65
2016-02-19,8.87
2016-02-22,8.7025
2016-02-23,9.01
2016-02-24,9.015
2016-02-25,8.9425
2016-02-26,8.805
2016-02-29,8.515
2016-03-01,7.8675
2016-03-02,7.53
2016-03-03,7.445
2016-03-04,7.45
2016-03-07,7.4
2016-03-08,7.31
2016-03-09,7.245
2016-03-10,7.09
2016-03-11,7.005
2016-03-14,6.685
2016-03-15,6.405
2016-03-16,6.86
2016-03-17,6.685
2016-03-18,6.62
2016-03-21,6.9
2016-03-22,7.23
2016-03-23,7.585
2016-03-24,7.65
2016-03-25,7.7525
2016-03-28,7.755
2016-03-29,7.425
2016-03-30,6.91
2016-03-31,6.8675
2016-04-01,6.9475
2016-04-04,6.965
2016-04-05,7.0025
2016-04-06,7.2275
2016-04-07,7.3025
2016-04-08,7.1275
2016-04-11,6.97
2016-04-12,6.6375
2016-04-13,6.5125
2016-04-14,6.675
2016-04-15,6.73
2016-04-18,6.655
2016-04-19,6.43
2016-04-20,6.41
2016-04-21,6.38
2016-04-22,6.315
2016-04-25,6.7275
2016-04-26,6.7025
2016-04-27,6.575
2016-04-28,6.6
2016-04-29,6.56
2016-05-02,6.57
2016-05-03,6.295
2016-05-04,6.505
2016-05-05,6.665
2016-05-06,6.785
2016-05-09,6.76
2016-05-10,6.97
2016-05-11,6.955
2016-05-12,6.85
2016-05-13,7.095
2016-05-16,7.135
2016-05-17,7.085
2016-05-18,7.135
2016-05-19,7.305
2016-05-20,7.045
2016-05-23,6.785
2016-05-24,6.76
2016-05-25,6.655
2016-05-26,6.415
2016-05-27,6.36
2016-05-30,6.46
2016-05-31,6.46
2016-06-01,6.48
2016-06-02,6.45
2016-06-03,6.43
2016-06-06,6.355
2016-06-07,6.22
2016-06-08,5.9
2016-06-09,5.895
2016-06-10,6.08
2016-06-13,6.29
2016-06-14,6.505
2016-06-15,6.6075
2016-06-16,6.5875
2016-06-17,6.6025
2016-06-20,6.3225
2016-06-21,6.1475
2016-06-22,6.13
2016-06-23,6.145
2016-06-24,6.5875
2016-06-27,6.885
2016-06-28,6.6175
2016-06-29,6.275
2016-06-30,6.4725
2016-07-01,6.195
2016-07-04,6.16
2016-07-05,6.12
2016-07-06,6.145
2016-07-07,6.22
2016-07-08,6.37
2016-07-11,6.37
2016-07-12,6.38
2016-07-13,6.525
2016-07-14,6.48
2016-07-15,6.495
2016-07-18,6.42
2016-07-19,6.45
2016-07-20,6.46
2016-07-21,6.535
2016-07-22,6.61
2016-07-25,6.61
2016-07-26,6.615
2016-07-27,6.185
2016-07-28,6.0675
2016-07-29,5.82
2016-08-01,5.8225
2016-08-02,5.7725
2016-08-03,5.6
2016-08-04,5.52
2016-08-05,5.45
2016-08-08,5.5875
2016-08-09,5.6175
2016-08-10,5.5525
2016-08-11,5.7125
2016-08-12,5.7125
2016-08-15,5.6825
2016-08-16,5.5175
2016-08-17,5.5825
2016-08-18,5.6475
2016-08-19,5.6625
2016-08-22,5.7725
2016-08-23,5.7725
2016-08-24,5.8025
2016-08-25,5.8725
2016-08-26,5.9025
2016-08-29,5.985
2016-08-30,5.9275
2016-08-31,5.8925
2016-09-01,5.795
2016-09-02,5.785
2016-09-05,5.535
2016-09-06,5.4575
2016-09-07,5.3875
2016-09-08,5.375
2016-09-09,5.655
2016-09-12,5.8775
2016-09-13,5.8875
2016-09-14,5.985
2016-09-15,6.145
2016-09-16,6.07
2016-09-19,6.1725
2016-09-20,5.9675
2016-09-21,5.8325
2016-09-22,5.545
2016-09-23,5.5975
2016-09-26,5.6725
2016-09-27,5.4475
2016-09-28,5.4325
2016-09-29,5.61
2016-09-30,5.61
2016-10-03,5.62
2016-10-04,5.55
2016-10-05,5.575
2016-10-06,5.665
2016-10-07,5.88
2016-10-10,5.78
2016-10-11,5.825
2016-10-12,5.76
2016-10-13,5.74
2016-10-14,5.7
2016-10-17,5.61
2016-10-18,5.3075
2016-10-19,5.295
2016-10-20,5.2725
2016-10-21,5.365
2016-10-24,5.4575
2016-10-25,5.425
2016-10-26,5.3425
2016-10-27,5.265
2016-10-28,5.415
2016-10-31,5.46
2016-11-01,5.42
2016-11-02,5.56
2016-11-03,5.73
2016-11-04,5.72
2016-11-07,5.635
2016-11-08,5.2775
2016-11-09,5.6375
2016-11-10,5.6075
2016-11-11,6.2875
2016-11-14,6.52
2016-11-15,6.365
2016-11-16,6.235
2016-11-17,6.275
2016-11-18,6.725
2016-11-21,6.965
2016-11-22,6.9425
2016-11-23,6.86
2016-11-24,7.1725
2016-11-25,7.19
2016-11-28,7.165
2016-11-29,6.945
2016-11-30,6.71
2016-12-01,6.705
2016-12-02,6.695
2016-12-05,6.77
2016-12-06,6.825
2016-12-07,7.065
2016-12-08,7.205
