Date,Value
2016-01-01,1.85
2016-01-04,1.795
2016-01-05,1.78
2016-01-06,1.775
2016-01-07,1.775
2016-01-08,2.325
2016-01-11,2.47
2016-01-12,2.395
2016-01-13,2.245
2016-01-14,2.68
2016-01-15,4.535
2016-01-18,4.315
2016-01-19,3.625
2016-01-20,3.775
2016-01-21,3.165
2016-01-22,2.95
2016-01-25,2.945
2016-01-26,2.765
2016-01-27,2.63
2016-01-28,2.565
2016-01-29,2.525
2016-02-01,2.515
2016-02-02,2.555
2016-02-03,2.695
2016-02-04,3.175
2016-02-05,2.705
2016-02-08,2.685
2016-02-09,2.685
2016-02-10,2.695
2016-02-11,3.315
2016-02-12,3.475
2016-02-15,2.695
2016-02-16,2.7025
2016-02-17,2.71
2016-02-18,2.605
2016-02-19,2.595
2016-02-22,2.835
2016-02-23,2.5925
2016-02-24,2.025
2016-02-25,2.445
2016-02-26,2.78
2016-02-29,2.815
2016-03-01,2.845
2016-03-02,2.66
2016-03-03,3.23
2016-03-04,2.63
2016-03-07,2.505
2016-03-08,2.575
2016-03-09,2.615
2016-03-10,2.615
2016-03-11,2.275
2016-03-14,2.195
2016-03-15,1.855
2016-03-16,1.855
2016-03-17,1.86
2016-03-18,1.985
2016-03-21,1.865
2016-03-22,1.675
2016-03-23,1.725
2016-03-24,1.675
2016-03-25,1.685
2016-03-28,1.675
2016-03-29,1.675
2016-03-30,2.0575
2016-03-31,2.1
2016-04-01,2.135
2016-04-04,1.875
2016-04-05,1.915
2016-04-06,2.03
2016-04-07,2.02
2016-04-08,1.75
2016-04-11,2.01
2016-04-12,1.93
2016-04-13,2.06
2016-04-14,2.04
2016-04-15,2.015
2016-04-18,1.955
2016-04-19,1.985
2016-04-20,2.06
2016-04-21,2.025
2016-04-22,1.805
2016-04-25,1.9325
2016-04-26,1.96
2016-04-27,1.825
2016-04-28,1.8275
2016-04-29,1.6275
2016-05-02,1.52
2016-05-03,1.7
2016-05-04,1.7975
2016-05-05,1.865
2016-05-06,1.805
2016-05-09,1.755
2016-05-10,1.98
2016-05-11,1.74
2016-05-12,1.97
2016-05-13,1.75
2016-05-16,2.195
2016-05-17,2.215
2016-05-18,2.24
2016-05-19,2.205
2016-05-20,2.1925
2016-05-23,2.12
2016-05-24,2.155
2016-05-25,2.025
2016-05-26,1.9325
2016-05-27,1.8925
2016-05-30,1.98
2016-05-31,1.84
2016-06-01,1.7975
2016-06-02,1.805
2016-06-03,1.795
2016-06-06,1.93
2016-06-07,1.775
2016-06-08,1.6425
2016-06-09,1.725
2016-06-10,1.735
2016-06-13,1.75
2016-06-14,1.765
2016-06-15,1.77
2016-06-16,1.765
2016-06-17,1.71
2016-06-20,1.755
2016-06-21,1.535
2016-06-22,1.68
2016-06-23,1.675
2016-06-24,1.655
2016-06-27,1.655
2016-06-28,1.685
2016-06-29,1.565
2016-06-30,1.745
2016-07-01,1.745
2016-07-04,1.7225
2016-07-05,1.7425
2016-07-06,1.7425
2016-07-07,1.7425
2016-07-08,1.7425
2016-07-11,1.7225
2016-07-12,1.7625
2016-07-13,1.7625
2016-07-14,1.765
2016-07-15,1.76
2016-07-18,1.7625
2016-07-19,1.6625
2016-07-20,1.63
2016-07-21,1.63
2016-07-22,1.63
2016-07-25,1.63
2016-07-26,1.635
2016-07-27,1.63
2016-07-28,1.6325
2016-07-29,1.635
2016-08-01,1.6325
2016-08-02,1.63
2016-08-03,1.6
2016-08-04,1.63
2016-08-05,1.6
2016-08-08,1.63
2016-08-09,1.63
2016-08-10,1.63
2016-08-11,1.6325
2016-08-12,1.64
2016-08-15,1.6125
2016-08-16,1.7025
2016-08-17,1.6675
2016-08-18,1.51
2016-08-19,1.515
2016-08-22,1.46
2016-08-23,1.51
2016-08-24,1.635
2016-08-25,1.585
2016-08-26,1.585
2016-08-29,1.555
2016-08-30,1.555
2016-08-31,1.5375
2016-09-01,1.56
2016-09-02,1.535
2016-09-05,1.495
2016-09-06,1.495
2016-09-07,1.59
2016-09-08,1.605
2016-09-09,1.585
2016-09-12,1.58
2016-09-13,1.5825
2016-09-14,1.5875
2016-09-15,1.59
2016-09-16,1.58
2016-09-19,1.5825
2016-09-20,1.5875
2016-09-21,1.54
2016-09-22,1.6
2016-09-23,1.6
2016-09-26,1.59
2016-09-27,1.595
2016-09-28,1.425
2016-09-29,1.48
2016-09-30,1.48
2016-10-03,1.495
2016-10-04,1.475
2016-10-05,1.495
2016-10-06,1.48
2016-10-07,1.48
2016-10-10,1.48
2016-10-11,1.475
2016-10-12,1.48
2016-10-13,1.48
2016-10-14,1.485
2016-10-17,1.48
2016-10-18,1.48
2016-10-19,1.48
2016-10-20,1.48
2016-10-21,1.49
2016-10-24,1.48
2016-10-25,1.485
2016-10-26,1.485
2016-10-27,1.485
2016-10-28,1.485
2016-10-31,1.46
2016-11-01,1.485
2016-11-02,1.505
2016-11-03,1.46
2016-11-04,1.485
2016-11-07,1.49
2016-11-08,1.475
2016-11-09,1.485
2016-11-10,1.49
2016-11-11,1.465
2016-11-14,1.485
2016-11-15,1.565
2016-11-16,1.565
2016-11-17,1.645
2016-11-18,1.78
2016-11-21,1.855
2016-11-22,1.91
2016-11-23,1.905
2016-11-24,1.9
2016-11-25,1.9
2016-11-28,1.9
2016-11-29,1.9
2016-11-30,1.905
2016-12-01,1.9175
2016-12-02,1.905
2016-12-05,1.905
2016-12-06,1.905
2016-12-07,1.905
2016-12-08,1.92
2016-12-09,1.925
2016-12-12,1.935
2016-12-13,1.935
2016-12-14,1.93
2016-12-15,2.17
2016-12-16,2.45
2016-12-19,2.43
2016-12-20,2.34
2016-12-21,2.53
2016-12-22,2.39
2016-12-23,2.345
2016-12-26,2.38
2016-12-27,2.195
2016-12-28,2.405
2016-12-29,2.395
2016-12-30,2.475
2017-01-02,2.45
2017-01-03,2.12
2017-01-04,2.095
2017-01-05,1.975
2017-01-06,1.98
2017-01-09,1.9925
2017-01-10,1.9
2017-01-11,1.945
2017-01-12,1.9225
2017-01-13,1.9
2017-01-16,1.9525
2017-01-17,1.94
2017-01-18,1.965
2017-01-19,2.025
2017-01-20,2.23
2017-01-23,2.21
2017-01-24,2.21
2017-01-25,2.345
2017-01-26,2.345
2017-01-27,2.34
2017-01-30,2.3475
2017-01-31,2.3475
2017-02-01,2.345
2017-02-02,2.345
2017-02-03,2.35
2017-02-06,2.34
2017-02-07,2.2725
2017-02-08,2.35
2017-02-09,2.35
2017-02-10,2.35
2017-02-13,2.345
2017-02-14,2.345
2017-02-15,2.3525
2017-02-16,2.3
2017-02-17,2.25
2017-02-20,2.2575
2017-02-21,2.2625
2017-02-22,2.26
2017-02-23,2.175
2017-02-24,2.18
2017-02-27,2.155
2017-02-28,2.165
2017-03-01,2.165
2017-03-02,2.165
2017-03-03,2.15
2017-03-06,2.16
2017-03-07,2.0
2017-03-08,2.0
2017-03-09,2.0
2017-03-10,2.0
2017-03-13,2.01
2017-03-14,1.985
2017-03-15,2.195
2017-03-16,2.185
2017-03-17,2.175
2017-03-20,1.845
2017-03-21,2.025
2017-03-22,2.025
2017-03-23,1.965
2017-03-24,1.96
2017-03-27,1.94
2017-03-28,1.83
2017-03-29,1.94
2017-03-30,1.87
2017-03-31,1.535
2017-04-03,1.545
2017-04-04,1.5775
2017-04-05,1.5475
2017-04-06,1.53
2017-04-07,1.885
2017-04-10,1.865
2017-04-11,1.85
2017-04-12,1.86
2017-04-13,1.85
2017-04-14,1.835
2017-04-17,1.835
2017-04-18,1.875
2017-04-19,1.87
2017-04-20,1.87
2017-04-21,1.755
2017-04-24,1.85
2017-04-25,1.295
2017-04-26,1.3
2017-04-27,1.3
2017-04-28,1.755
2017-05-01,1.755
2017-05-02,1.755
2017-05-03,1.26
2017-05-04,1.735
2017-05-05,1.38
2017-05-08,1.34
2017-05-09,1.335
2017-05-10,1.325
2017-05-11,1.37
2017-05-12,1.735
2017-05-15,1.35
2017-05-16,1.34
2017-05-17,1.325
2017-05-18,1.35
2017-05-19,1.35
2017-05-22,1.19
2017-05-23,1.17
2017-05-24,1.02
2017-05-25,1.05
2017-05-26,1.495
2017-05-29,1.09
2017-05-30,1.045
2017-05-31,1.045
2017-06-01,1.175
2017-06-02,1.155
2017-06-05,1.175
2017-06-06,1.16
2017-06-07,1.175
2017-06-08,1.155
2017-06-09,1.17
2017-06-12,1.18
2017-06-13,1.18
2017-06-14,1.01
2017-06-15,1.105
2017-06-16,1.11
2017-06-19,1.105
