Date,Value
2016-01-01,-0.32
2016-01-04,-0.4975
2016-01-05,-0.5325
2016-01-06,-0.53
2016-01-07,-0.53
2016-01-08,-0.215
2016-01-11,0.02
2016-01-12,0.0625
2016-01-13,0.015
2016-01-14,0.2775
2016-01-15,1.025
2016-01-18,1.625
2016-01-19,1.87
2016-01-20,2.77
2016-01-21,2.785
2016-01-22,2.505
2016-01-25,2.53
2016-01-26,2.535
2016-01-27,2.4775
2016-01-28,2.5
2016-01-29,2.4425
2016-02-01,2.37
2016-02-02,2.3025
2016-02-03,2.3625
2016-02-04,2.42
2016-02-05,2.33
2016-02-08,2.37
2016-02-09,2.3725
2016-02-10,2.3725
2016-02-11,2.395
2016-02-12,2.44
2016-02-15,2.4
2016-02-16,2.39
2016-02-17,2.39
2016-02-18,2.3825
2016-02-19,2.3875
2016-02-22,2.265
2016-02-23,2.285
2016-02-24,2.2975
2016-02-25,2.1875
2016-02-26,1.8125
2016-02-29,1.82
2016-03-01,1.675
2016-03-02,1.7725
2016-03-03,1.8975
2016-03-04,1.6025
2016-03-07,1.82
2016-03-08,1.61
2016-03-09,1.6925
2016-03-10,1.69
2016-03-11,1.585
2016-03-14,1.5075
2016-03-15,1.3775
2016-03-16,1.38
2016-03-17,1.3275
2016-03-18,1.025
2016-03-21,1.0925
2016-03-22,1.0575
2016-03-23,0.9675
2016-03-24,1.1625
2016-03-25,1.1475
2016-03-28,1.1825
2016-03-29,1.15
2016-03-30,0.995
2016-03-31,0.9025
2016-04-01,0.9025
2016-04-04,0.8975
2016-04-05,0.885
2016-04-06,0.885
2016-04-07,0.885
2016-04-08,0.9025
2016-04-11,0.875
2016-04-12,0.88
2016-04-13,0.9
2016-04-14,0.905
2016-04-15,0.9025
2016-04-18,0.875
2016-04-19,0.85
2016-04-20,0.865
2016-04-21,0.825
2016-04-22,0.865
2016-04-25,0.79
2016-04-26,0.78
2016-04-27,0.735
2016-04-28,0.7075
2016-04-29,0.7
2016-05-02,0.73
2016-05-03,0.72
2016-05-04,0.7
2016-05-05,0.715
2016-05-06,0.7325
2016-05-09,0.735
2016-05-10,0.7375
2016-05-11,0.7325
2016-05-12,0.6925
2016-05-13,0.745
2016-05-16,0.76
2016-05-17,0.7775
2016-05-18,0.96
2016-05-19,1.0025
2016-05-20,1.01
2016-05-23,0.9925
2016-05-24,0.955
2016-05-25,0.9075
2016-05-26,0.8825
2016-05-27,0.865
2016-05-30,0.855
2016-05-31,0.775
2016-06-01,0.73
2016-06-02,0.715
2016-06-03,0.685
2016-06-06,0.68
2016-06-07,0.685
2016-06-08,0.7975
2016-06-09,0.615
2016-06-10,0.575
2016-06-13,0.5775
2016-06-14,0.57
2016-06-15,0.565
2016-06-16,0.56
2016-06-17,0.5375
2016-06-20,0.52
2016-06-21,0.3175
2016-06-22,0.085
2016-06-23,0.09
2016-06-24,0.0675
2016-06-27,0.0575
2016-06-28,0.1075
2016-06-29,0.0725
2016-06-30,0.085
2016-07-01,0.085
2016-07-04,0.105
2016-07-05,0.0625
2016-07-06,0.0575
2016-07-07,0.0575
2016-07-08,0.0575
2016-07-11,0.1
2016-07-12,0.0825
2016-07-13,0.0675
2016-07-14,0.0675
2016-07-15,0.04
2016-07-18,0.0425
2016-07-19,-0.0475
2016-07-20,-0.055
2016-07-21,-0.0575
2016-07-22,-0.0975
2016-07-25,-0.0975
2016-07-26,-0.09
2016-07-27,-0.0975
2016-07-28,-0.0975
2016-07-29,-0.1975
2016-08-01,-0.1975
2016-08-02,-0.2
2016-08-03,-0.17
2016-08-04,-0.2
2016-08-05,-0.175
2016-08-08,-0.2
2016-08-09,-0.2
2016-08-10,-0.2525
2016-08-11,-0.235
2016-08-12,-0.32
2016-08-15,-0.37
2016-08-16,-0.57
2016-08-17,-0.74
2016-08-18,-0.9975
2016-08-19,-0.9925
2016-08-22,-0.9375
2016-08-23,-0.9425
2016-08-24,-0.905
2016-08-25,-0.9575
2016-08-26,-0.9675
2016-08-29,-0.9625
2016-08-30,-0.9975
2016-08-31,-0.845
2016-09-01,-1.0925
2016-09-02,-1.0225
2016-09-05,-1.1825
2016-09-06,-1.1775
2016-09-07,-1.1125
2016-09-08,-1.0575
2016-09-09,-1.065
2016-09-12,-1.0825
2016-09-13,-1.0775
2016-09-14,-1.0525
2016-09-15,-1.0575
2016-09-16,-1.065
2016-09-19,-1.025
2016-09-20,-1.0375
2016-09-21,-0.99
2016-09-22,-1.0525
2016-09-23,-1.0625
2016-09-26,-1.0675
2016-09-27,-1.0225
2016-09-28,-0.9675
2016-09-29,-1.0275
2016-09-30,-0.9975
2016-10-03,-1.015
2016-10-04,-0.9925
2016-10-05,-0.9975
2016-10-06,-1.005
2016-10-07,-0.9975
2016-10-10,-1.01
2016-10-11,-1.0125
2016-10-12,-1.015
2016-10-13,-1.0125
2016-10-14,-1.0025
2016-10-17,-0.9925
2016-10-18,-0.9725
2016-10-19,-0.9775
2016-10-20,-0.985
2016-10-21,-1.0025
2016-10-24,-1.02
2016-10-25,-1.0325
2016-10-26,-1.0725
2016-10-27,-1.0975
2016-10-28,-1.1175
2016-10-31,-1.045
2016-11-01,-1.09
2016-11-02,-1.1125
2016-11-03,-1.0275
