Date,Value
2016-01-01,1.7
2016-01-04,1.615
2016-01-05,1.615
2016-01-06,1.67
2016-01-07,1.77
2016-01-08,2.745
2016-01-11,2.71
2016-01-12,3.26
2016-01-13,2.9
2016-01-14,3.6025
2016-01-15,4.415
2016-01-18,4.405
2016-01-19,3.6675
2016-01-20,4.325
2016-01-21,4.265
2016-01-22,3.7
2016-01-25,3.635
2016-01-26,3.555
2016-01-27,3.36
2016-01-28,3.435
2016-01-29,3.3725
2016-02-01,3.105
2016-02-02,3.03
2016-02-03,3.745
2016-02-04,3.615
2016-02-05,3.68
2016-02-08,3.7
2016-02-09,3.825
2016-02-10,3.675
2016-02-11,3.685
2016-02-12,3.855
2016-02-15,3.615
2016-02-16,3.585
2016-02-17,3.61
2016-02-18,3.41
2016-02-19,3.35
2016-02-22,3.19
2016-02-23,2.985
2016-02-24,2.895
2016-02-25,2.7775
2016-02-26,2.6675
2016-02-29,2.7175
2016-03-01,2.495
2016-03-02,2.37
2016-03-03,2.975
2016-03-04,2.2975
2016-03-07,2.6225
2016-03-08,2.305
2016-03-09,2.2825
2016-03-10,2.3475
2016-03-11,2.165
2016-03-14,2.1825
2016-03-15,2.085
2016-03-16,2.085
2016-03-17,2.215
2016-03-18,1.85
2016-03-21,1.7875
2016-03-22,1.6425
2016-03-23,1.6825
2016-03-24,1.75
2016-03-25,1.75
2016-03-28,1.9675
2016-03-29,1.85
2016-03-30,1.755
2016-03-31,1.7725
2016-04-01,1.75
2016-04-04,1.735
2016-04-05,1.765
2016-04-06,1.815
2016-04-07,1.825
2016-04-08,1.835
2016-04-11,1.855
2016-04-12,1.855
2016-04-13,1.865
2016-04-14,1.96
2016-04-15,1.825
2016-04-18,1.815
2016-04-19,1.815
2016-04-20,1.81
2016-04-21,1.875
2016-04-22,1.845
2016-04-25,1.8
2016-04-26,1.81
2016-04-27,1.855
2016-04-28,1.82
2016-04-29,1.785
2016-05-02,1.775
2016-05-03,1.8
2016-05-04,1.8
2016-05-05,1.8
2016-05-06,1.84
2016-05-09,1.805
2016-05-10,1.83
2016-05-11,1.82
2016-05-12,1.84
2016-05-13,1.9
2016-05-16,1.96
2016-05-17,1.965
2016-05-18,2.385
2016-05-19,2.4525
2016-05-20,2.4475
2016-05-23,2.4425
2016-05-24,2.1675
2016-05-25,2.0825
2016-05-26,2.0325
2016-05-27,2.0125
2016-05-30,2.0275
2016-05-31,2.005
2016-06-01,2.035
2016-06-02,2.0125
2016-06-03,1.9675
2016-06-06,1.955
2016-06-07,1.9125
2016-06-08,1.795
2016-06-09,1.7775
2016-06-10,1.8275
2016-06-13,1.91
2016-06-14,1.995
2016-06-15,2.0
2016-06-16,1.9075
2016-06-17,1.935
2016-06-20,1.8725
2016-06-21,1.62
2016-06-22,1.6725
2016-06-23,1.5825
2016-06-24,1.67
2016-06-27,1.72
2016-06-28,1.7775
2016-06-29,1.74
2016-06-30,1.705
2016-07-01,1.705
2016-07-04,1.76
2016-07-05,1.67
2016-07-06,1.69
2016-07-07,1.67
2016-07-08,1.67
2016-07-11,1.715
2016-07-12,1.66
2016-07-13,1.6
2016-07-14,1.57
2016-07-15,1.81
2016-07-18,1.83
2016-07-19,1.825
2016-07-20,1.805
2016-07-21,1.805
2016-07-22,1.805
2016-07-25,1.81
2016-07-26,1.81
2016-07-27,1.8
2016-07-28,1.795
2016-07-29,1.78
2016-08-01,1.775
2016-08-02,1.775
2016-08-03,1.765
2016-08-04,1.76
2016-08-05,1.715
2016-08-08,1.7
2016-08-09,1.7
2016-08-10,1.59
2016-08-11,1.61
2016-08-12,1.615
2016-08-15,1.595
2016-08-16,1.55
2016-08-17,1.555
