Date,Value
2016-01-01,1.295
2016-01-04,1.24
2016-01-05,1.24
2016-01-06,1.275
2016-01-07,1.355
2016-01-08,2.245
2016-01-11,2.1375
2016-01-12,2.5625
2016-01-13,2.2075
2016-01-14,2.835
2016-01-15,3.37
2016-01-18,3.465
2016-01-19,3.035
2016-01-20,3.58
2016-01-21,3.54
2016-01-22,2.955
2016-01-25,3.01
2016-01-26,2.92
2016-01-27,2.765
2016-01-28,2.74
2016-01-29,2.515
2016-02-01,2.37
2016-02-02,2.285
2016-02-03,3.2
2016-02-04,2.775
2016-02-05,2.9375
2016-02-08,2.95
2016-02-09,3.105
2016-02-10,2.95
2016-02-11,2.845
2016-02-12,2.94
2016-02-15,2.895
2016-02-16,2.87
2016-02-17,2.895
2016-02-18,2.59
2016-02-19,2.64
2016-02-22,2.3725
2016-02-23,2.305
2016-02-24,2.245
2016-02-25,2.1375
2016-02-26,2.0175
2016-02-29,2.115
2016-03-01,1.935
2016-03-02,1.8025
2016-03-03,2.285
2016-03-04,1.765
2016-03-07,2.05
2016-03-08,1.77
2016-03-09,1.8
2016-03-10,1.815
2016-03-11,1.615
2016-03-14,1.615
2016-03-15,1.6
2016-03-16,1.635
2016-03-17,1.59
2016-03-18,1.43
2016-03-21,1.365
2016-03-22,1.365
2016-03-23,1.35
2016-03-24,1.4
2016-03-25,1.4
2016-03-28,1.55
2016-03-29,1.45
2016-03-30,1.3775
2016-03-31,1.3875
2016-04-01,1.375
2016-04-04,1.3875
2016-04-05,1.39
2016-04-06,1.41
2016-04-07,1.385
2016-04-08,1.4575
2016-04-11,1.4225
2016-04-12,1.435
2016-04-13,1.42
2016-04-14,1.455
2016-04-15,1.3825
2016-04-18,1.385
2016-04-19,1.355
2016-04-20,1.295
2016-04-21,1.3
2016-04-22,1.3425
2016-04-25,1.295
2016-04-26,1.2675
2016-04-27,1.3225
2016-04-28,1.2825
2016-04-29,1.265
2016-05-02,1.2475
2016-05-03,1.2575
2016-05-04,1.2325
2016-05-05,1.245
2016-05-06,1.26
2016-05-09,1.19
2016-05-10,1.195
2016-05-11,1.1675
2016-05-12,1.13
2016-05-13,1.3
2016-05-16,1.31
2016-05-17,1.355
2016-05-18,1.72
2016-05-19,1.7675
2016-05-20,1.735
2016-05-23,1.6675
2016-05-24,1.4025
2016-05-25,1.38
2016-05-26,1.3525
2016-05-27,1.345
2016-05-30,1.355
2016-05-31,1.325
2016-06-01,1.37
2016-06-02,1.38
2016-06-03,1.365
2016-06-06,1.37
2016-06-07,1.33
2016-06-08,1.13
2016-06-09,1.095
2016-06-10,1.21
2016-06-13,1.3575
2016-06-14,1.45
2016-06-15,1.4825
2016-06-16,1.4175
