Date,Value
2016-01-01,6.7525
2016-01-04,6.72
2016-01-05,6.7125
2016-01-06,6.6275
2016-01-07,6.835
2016-01-08,6.8775
2016-01-11,6.84
2016-01-12,6.8325
2016-01-13,6.8275
2016-01-14,6.845
2016-01-15,6.5075
2016-01-18,6.8275
2016-01-19,6.2825
2016-01-20,6.1975
2016-01-21,5.9575
2016-01-22,5.985
2016-01-25,6.175
2016-01-26,6.17
2016-01-27,6.165
2016-01-28,6.39
2016-01-29,6.0775
2016-02-01,5.95
2016-02-02,5.94
2016-02-03,6.145
2016-02-04,6.04
2016-02-05,6.225
2016-02-08,5.83
2016-02-09,5.65
2016-02-10,5.7725
2016-02-11,6.0425
2016-02-12,5.9925
2016-02-15,6.355
2016-02-16,6.4675
2016-02-17,6.2825
2016-02-18,6.16
2016-02-19,6.225
2016-02-22,6.25
2016-02-23,5.965
2016-02-24,5.89
2016-02-25,5.805
2016-02-26,5.8625
2016-02-29,5.8125
2016-03-01,5.8375
2016-03-02,5.9125
2016-03-03,5.885
2016-03-04,5.735
2016-03-07,5.94
2016-03-08,5.7925
2016-03-09,5.8925
2016-03-10,5.705
2016-03-11,5.7075
2016-03-14,5.7525
2016-03-15,5.7325
2016-03-16,5.635
2016-03-17,5.8625
2016-03-18,5.8325
2016-03-21,5.9375
2016-03-22,5.8675
2016-03-23,5.8525
2016-03-24,5.6875
2016-03-25,5.8175
2016-03-28,5.5875
2016-03-29,5.5775
2016-03-30,5.6725
2016-03-31,5.5675
2016-04-01,5.715
2016-04-04,5.6975
2016-04-05,5.8725
2016-04-06,5.8575
2016-04-07,5.8825
2016-04-08,5.935
2016-04-11,5.9225
2016-04-12,5.93
2016-04-13,5.8525
2016-04-14,5.755
2016-04-15,5.865
2016-04-18,5.975
2016-04-19,6.0675
2016-04-20,5.9275
2016-04-21,5.9425
2016-04-22,5.8825
2016-04-25,5.89
2016-04-26,5.86
2016-04-27,5.78
2016-04-28,5.8775
2016-04-29,5.6525
2016-05-02,5.66
2016-05-03,5.6275
2016-05-04,5.6325
2016-05-05,5.58
2016-05-06,5.595
2016-05-09,5.58
2016-05-10,5.585
2016-05-11,5.5775
2016-05-12,5.605
2016-05-13,5.5775
2016-05-16,5.61
2016-05-17,5.6
2016-05-18,5.595
2016-05-19,5.635
2016-05-20,5.6525
2016-05-23,5.6025
2016-05-24,5.6075
2016-05-25,5.6025
2016-05-26,5.625
2016-05-27,5.6225
2016-05-30,5.6175
2016-05-31,5.645
2016-06-01,5.635
2016-06-02,5.6225
2016-06-03,5.6425
2016-06-06,5.6475
2016-06-07,5.6525
2016-06-08,5.2925
2016-06-09,5.2225
2016-06-10,5.15
2016-06-13,5.145
2016-06-14,5.14
2016-06-15,5.1475
2016-06-16,5.1575
2016-06-17,5.1475
2016-06-20,5.22
2016-06-21,5.2475
2016-06-22,5.22
2016-06-23,5.2175
2016-06-24,5.33
2016-06-27,5.6825
2016-06-28,5.7175
2016-06-29,5.735
2016-06-30,5.6275
2016-07-01,5.615
2016-07-04,5.6625
2016-07-05,5.6525
2016-07-06,5.6475
2016-07-07,5.64
2016-07-08,5.6025
2016-07-11,5.635
2016-07-12,5.625
2016-07-13,5.6175
2016-07-14,5.635
2016-07-15,5.48
2016-07-18,5.5725
2016-07-19,5.5775
2016-07-20,5.56
2016-07-21,5.58
2016-07-22,5.5425
2016-07-25,5.59
2016-07-26,5.615
2016-07-27,5.5575
2016-07-28,5.5825
2016-07-29,5.4675
2016-08-01,5.48
2016-08-02,5.15
2016-08-03,5.1725
2016-08-04,5.195
2016-08-05,5.13
2016-08-08,4.9075
2016-08-09,4.935
2016-08-10,4.9425
2016-08-11,4.9625
2016-08-12,5.05
2016-08-15,5.205
2016-08-16,5.21
2016-08-17,5.235
2016-08-18,5.2375
2016-08-19,5.12
2016-08-22,5.2775
2016-08-23,5.2225
2016-08-24,5.2775
2016-08-25,5.2925
2016-08-26,5.23
2016-08-29,5.2475
2016-08-30,5.0175
2016-08-31,5.1325
2016-09-01,5.1725
