Date,Value
2016-01-01,5.1025
2016-01-04,5.0225
2016-01-05,4.9975
2016-01-06,5.035
2016-01-07,5.1275
2016-01-08,5.1375
2016-01-11,5.1125
2016-01-12,5.1525
2016-01-13,5.1425
2016-01-14,5.145
2016-01-15,4.9425
2016-01-18,5.1325
2016-01-19,4.9575
2016-01-20,4.935
2016-01-21,4.665
2016-01-22,4.7725
2016-01-25,4.94
2016-01-26,4.9225
2016-01-27,4.93
2016-01-28,4.9125
2016-01-29,4.8175
2016-02-01,4.8025
2016-02-02,4.78
2016-02-03,4.77
2016-02-04,4.7925
2016-02-05,4.94
2016-02-08,4.6925
2016-02-09,4.5125
2016-02-10,4.7125
2016-02-11,4.79
2016-02-12,4.7375
2016-02-15,4.9175
2016-02-16,4.85
2016-02-17,4.8975
2016-02-18,4.88
2016-02-19,4.6275
2016-02-22,4.91
2016-02-23,4.79
2016-02-24,4.77
2016-02-25,4.705
2016-02-26,4.7425
2016-02-29,4.67
2016-03-01,4.6475
2016-03-02,4.745
2016-03-03,4.66
2016-03-04,4.7175
2016-03-07,4.485
2016-03-08,4.63
2016-03-09,4.69
2016-03-10,4.72
2016-03-11,4.7925
2016-03-14,4.79
2016-03-15,4.6425
2016-03-16,4.71
2016-03-17,4.645
2016-03-18,4.635
2016-03-21,4.745
2016-03-22,4.665
2016-03-23,4.665
2016-03-24,4.51
2016-03-25,4.625
2016-03-28,4.605
2016-03-29,4.435
2016-03-30,4.585
2016-03-31,4.495
2016-04-01,4.6075
2016-04-04,4.635
2016-04-05,4.705
2016-04-06,4.69
2016-04-07,4.705
2016-04-08,4.45
2016-04-11,4.555
2016-04-12,4.57
2016-04-13,4.67
2016-04-14,4.42
2016-04-15,4.4275
2016-04-18,4.72
2016-04-19,4.9025
2016-04-20,4.81
2016-04-21,4.75
2016-04-22,4.38
2016-04-25,4.3925
2016-04-26,4.3875
2016-04-27,4.4075
2016-04-28,4.47
2016-04-29,4.4175
2016-05-02,4.34
2016-05-03,4.195
2016-05-04,4.3175
2016-05-05,4.2
2016-05-06,4.2325
2016-05-09,4.2125
2016-05-10,4.2575
2016-05-11,4.2375
2016-05-12,4.1325
2016-05-13,4.045
2016-05-16,4.275
2016-05-17,4.12
2016-05-18,4.1475
2016-05-19,4.2775
2016-05-20,4.245
2016-05-23,4.3525
2016-05-24,4.4125
2016-05-25,4.23
2016-05-26,4.37
2016-05-27,4.3475
2016-05-30,4.325
2016-05-31,4.4175
2016-06-01,4.295
2016-06-02,4.355
2016-06-03,4.32
2016-06-06,4.335
2016-06-07,4.225
2016-06-08,4.05
2016-06-09,4.0
2016-06-10,4.14
2016-06-13,4.05
2016-06-14,4.065
2016-06-15,3.9175
2016-06-16,3.91
2016-06-17,4.11
2016-06-20,4.0525
2016-06-21,4.055
2016-06-22,4.06
2016-06-23,4.045
2016-06-24,4.185
2016-06-27,4.1675
2016-06-28,4.155
2016-06-29,4.005
2016-06-30,4.02
2016-07-01,4.0375
2016-07-04,4.03
2016-07-05,4.035
2016-07-06,4.0575
2016-07-07,4.02
2016-07-08,4.1475
2016-07-11,4.085
2016-07-12,4.0725
2016-07-13,4.0725
2016-07-14,4.0875
2016-07-15,4.1175
2016-07-18,4.0225
