Date,Value
2016-01-01,10.995
2016-01-04,10.92
2016-01-05,11.0625
2016-01-06,11.2875
2016-01-07,11.205
2016-01-08,11.725
2016-01-11,10.72
2016-01-12,10.965
2016-01-13,10.745
2016-01-14,10.93
2016-01-15,11.07
2016-01-18,11.04
2016-01-19,10.2
2016-01-20,9.6875
2016-01-21,10.745
2016-01-22,10.1075
2016-01-25,9.96
2016-01-26,9.9075
2016-01-27,9.8925
2016-01-28,9.7975
2016-01-29,9.135
2016-02-01,9.515
2016-02-02,9.51
2016-02-03,9.995
2016-02-04,10.165
2016-02-05,10.82
2016-02-08,10.0175
2016-02-09,10.2975
2016-02-10,10.3725
2016-02-11,10.07
2016-02-12,11.28
2016-02-15,11.255
2016-02-16,10.8825
2016-02-17,11.0725
2016-02-18,11.065
2016-02-19,10.915
2016-02-22,11.1375
2016-02-23,10.025
2016-02-24,10.045
2016-02-25,10.12
2016-02-26,9.995
2016-02-29,10.52
2016-03-01,10.0375
2016-03-02,9.695
2016-03-03,9.605
2016-03-04,9.36
2016-03-07,9.5225
2016-03-08,9.94
2016-03-09,10.27
2016-03-10,10.235
2016-03-11,11.86
2016-03-14,11.7575
2016-03-15,10.975
2016-03-16,11.6675
2016-03-17,10.475
2016-03-18,11.285
2016-03-21,11.4175
2016-03-22,10.7
2016-03-23,10.8075
2016-03-24,10.4925
2016-03-25,11.385
2016-03-28,11.025
2016-03-29,10.92
2016-03-30,10.91
2016-03-31,10.62
2016-04-01,10.7625
2016-04-04,10.54
2016-04-05,10.755
2016-04-06,10.695
2016-04-07,10.755
2016-04-08,11.015
2016-04-11,10.34
2016-04-12,10.53
2016-04-13,9.79
2016-04-14,9.6625
2016-04-15,9.505
2016-04-18,9.3975
2016-04-19,9.9
2016-04-20,9.86
2016-04-21,10.13
2016-04-22,10.105
2016-04-25,9.1875
2016-04-26,8.9775
2016-04-27,9.01
2016-04-28,8.77
2016-04-29,9.29
2016-05-02,9.1275
2016-05-03,8.535
2016-05-04,8.9375
2016-05-05,9.3525
2016-05-06,9.905
2016-05-09,9.4175
2016-05-10,9.6425
2016-05-11,9.4275
2016-05-12,9.475
2016-05-13,9.3575
2016-05-16,9.665
2016-05-17,9.135
2016-05-18,9.255
2016-05-19,9.3475
2016-05-20,9.895
2016-05-23,9.405
