Date,Value
2016-01-01,14.0575
2016-01-04,13.8825
2016-01-05,14.0075
2016-01-06,13.9425
2016-01-07,13.9575
2016-01-08,13.9825
2016-01-11,13.9375
2016-01-12,13.94
2016-01-13,13.9525
2016-01-14,13.9225
2016-01-15,13.93
2016-01-18,13.9475
2016-01-19,13.7725
2016-01-20,13.76
2016-01-21,13.7775
2016-01-22,13.6275
2016-01-25,13.4875
2016-01-26,13.555
2016-01-27,13.5475
2016-01-28,13.4975
2016-01-29,13.425
2016-02-01,13.4475
2016-02-02,13.4775
2016-02-03,13.5975
2016-02-04,13.5825
2016-02-05,13.54
2016-02-08,13.5
2016-02-09,13.5575
2016-02-10,13.6525
2016-02-11,13.7125
2016-02-12,14.1275
2016-02-15,14.455
2016-02-16,14.4775
2016-02-17,14.455
2016-02-18,14.4475
2016-02-19,14.3825
2016-02-22,14.4175
2016-02-23,14.42
2016-02-24,14.41
2016-02-25,14.3825
2016-02-26,14.405
2016-02-29,14.365
2016-03-01,14.075
2016-03-02,13.7775
2016-03-03,13.675
2016-03-04,13.6475
2016-03-07,13.385
2016-03-08,13.55
2016-03-09,13.5975
2016-03-10,13.7125
2016-03-11,13.7425
2016-03-14,13.615
2016-03-15,13.625
2016-03-16,13.74
2016-03-17,13.54
2016-03-18,13.5575
2016-03-21,13.55
2016-03-22,13.545
2016-03-23,13.54
2016-03-24,13.555
2016-03-25,13.5775
2016-03-28,13.555
2016-03-29,13.525
2016-03-30,13.46
2016-03-31,13.3375
2016-04-01,13.3475
2016-04-04,13.3675
2016-04-05,13.405
2016-04-06,13.38
2016-04-07,13.38
2016-04-08,13.375
2016-04-11,13.37
2016-04-12,13.36
2016-04-13,13.295
2016-04-14,13.255
2016-04-15,13.29
2016-04-18,13.26
2016-04-19,13.2625
2016-04-20,13.18
2016-04-21,13.195
2016-04-22,12.835
2016-04-25,12.8
2016-04-26,12.7525
2016-04-27,12.76
2016-04-28,12.5625
2016-04-29,12.4275
2016-05-02,12.4025
2016-05-03,12.3475
2016-05-04,12.42
2016-05-05,12.7275
2016-05-06,12.7475
2016-05-09,12.77
2016-05-10,12.7825
2016-05-11,12.76
2016-05-12,12.765
2016-05-13,12.7675
2016-05-16,12.7825
2016-05-17,12.745
2016-05-18,12.8
2016-05-19,12.8925
2016-05-20,12.9
2016-05-23,13.0
2016-05-24,12.9875
2016-05-25,12.985
2016-05-26,13.0475
2016-05-27,12.885
2016-05-30,12.905
2016-05-31,12.86
2016-06-01,12.8525
2016-06-02,12.7675
2016-06-03,12.6675
2016-06-06,12.595
2016-06-07,12.33
2016-06-08,12.06
2016-06-09,12.09
2016-06-10,12.175
2016-06-13,12.3475
2016-06-14,12.64
2016-06-15,12.465
2016-06-16,12.4025
2016-06-17,12.215
2016-06-20,12.2
2016-06-21,12.125
2016-06-22,12.14
2016-06-23,12.14
2016-06-24,13.265
2016-06-27,12.5875
2016-06-28,12.585
2016-06-29,12.165
2016-06-30,12.0975
2016-07-01,12.02
2016-07-04,11.915
2016-07-05,11.97
2016-07-06,11.92
2016-07-07,11.9275
2016-07-08,11.9175
2016-07-11,11.91
2016-07-12,11.865
2016-07-13,11.825
2016-07-14,11.7875
2016-07-15,11.6375
2016-07-18,11.5575
