Date,Value
2016-01-01,13.83
2016-01-04,13.735
2016-01-05,13.7325
2016-01-06,13.695
2016-01-07,13.7675
2016-01-08,13.7725
2016-01-11,13.62
2016-01-12,13.62
2016-01-13,13.6
2016-01-14,13.5425
2016-01-15,13.5675
2016-01-18,13.6175
2016-01-19,13.455
2016-01-20,13.445
2016-01-21,13.5275
2016-01-22,13.2425
2016-01-25,13.125
2016-01-26,13.1575
2016-01-27,13.1575
2016-01-28,13.105
2016-01-29,13.0625
2016-02-01,13.09
2016-02-02,13.055
2016-02-03,13.2225
2016-02-04,13.15
2016-02-05,13.1525
2016-02-08,13.115
2016-02-09,13.16
2016-02-10,13.2525
2016-02-11,13.33
2016-02-12,13.885
2016-02-15,14.09
2016-02-16,14.1025
2016-02-17,14.135
2016-02-18,14.1075
2016-02-19,14.1
2016-02-22,14.095
2016-02-23,14.0025
2016-02-24,13.9925
2016-02-25,14.0425
2016-02-26,13.9875
2016-02-29,13.9475
2016-03-01,13.775
2016-03-02,13.5175
2016-03-03,13.35
2016-03-04,13.3125
2016-03-07,13.005
2016-03-08,13.125
2016-03-09,13.225
2016-03-10,13.2725
2016-03-11,13.275
2016-03-14,13.195
2016-03-15,13.23
2016-03-16,12.92
2016-03-17,13.1375
2016-03-18,13.2075
2016-03-21,13.21
2016-03-22,13.23
2016-03-23,13.18
2016-03-24,13.18
2016-03-25,13.24
2016-03-28,13.22
2016-03-29,13.0675
2016-03-30,13.0875
2016-03-31,12.955
2016-04-01,12.93
2016-04-04,12.9525
2016-04-05,13.01
2016-04-06,13.0425
2016-04-07,13.0275
2016-04-08,12.8875
2016-04-11,12.98
2016-04-12,12.985
2016-04-13,12.95
2016-04-14,12.8975
2016-04-15,12.835
2016-04-18,12.88
2016-04-19,12.78
2016-04-20,12.74
2016-04-21,12.485
2016-04-22,12.35
2016-04-25,12.345
2016-04-26,12.315
2016-04-27,12.275
2016-04-28,12.12
2016-04-29,12.0125
2016-05-02,12.0425
2016-05-03,11.91
2016-05-04,11.9775
2016-05-05,12.28
2016-05-06,12.3075
2016-05-09,12.3875
2016-05-10,12.49
2016-05-11,12.4175
2016-05-12,12.39
2016-05-13,12.35
2016-05-16,12.405
2016-05-17,12.325
2016-05-18,12.4475
2016-05-19,12.47
2016-05-20,12.5675
2016-05-23,12.57
2016-05-24,12.6675
2016-05-25,12.6425
2016-05-26,12.6075
2016-05-27,12.5525
2016-05-30,12.45
2016-05-31,12.45
2016-06-01,12.44
2016-06-02,12.43
2016-06-03,12.385
2016-06-06,12.285
2016-06-07,11.9575
2016-06-08,11.6475
2016-06-09,11.6275
2016-06-10,11.625
2016-06-13,11.8625
2016-06-14,12.0175
2016-06-15,12.0475
2016-06-16,11.9725
2016-06-17,11.92
2016-06-20,11.7975
2016-06-21,11.7975
2016-06-22,11.7725
2016-06-23,11.84
2016-06-24,13.06
2016-06-27,12.335
2016-06-28,12.235
2016-06-29,11.9425
2016-06-30,11.8225
2016-07-01,11.7575
2016-07-04,11.71
2016-07-05,11.6125
2016-07-06,11.5225
2016-07-07,11.52
2016-07-08,11.5425
2016-07-11,11.5325
2016-07-12,11.5275
2016-07-13,11.45
2016-07-14,11.4125
2016-07-15,11.255
2016-07-18,11.215
2016-07-19,11.175
2016-07-20,11.185
2016-07-21,11.19
2016-07-22,11.2225
2016-07-25,11.22
2016-07-26,11.2225
2016-07-27,11.18
2016-07-28,11.1575
2016-07-29,11.0275
2016-08-01,10.96
2016-08-02,10.98
2016-08-03,11.0325
2016-08-04,11.0325
2016-08-05,10.9775
2016-08-08,10.905
2016-08-09,10.9025
2016-08-10,10.9025
2016-08-11,10.8875
2016-08-12,10.82
2016-08-15,10.5875
2016-08-16,10.66
2016-08-17,10.4025
2016-08-18,10.4225
2016-08-19,10.2875
2016-08-22,10.2275
2016-08-23,10.2925
2016-08-24,10.2725
2016-08-25,10.2675
2016-08-26,10.32
2016-08-29,10.3875
2016-08-30,10.4575
2016-08-31,10.36
2016-09-01,10.3775
2016-09-02,10.375
2016-09-05,10.43
2016-09-06,10.3
2016-09-07,10.295
2016-09-08,10.3325
2016-09-09,10.245
2016-09-12,10.3275
2016-09-13,10.4075
2016-09-14,10.635
2016-09-15,10.9725
2016-09-16,10.9025
2016-09-19,10.93
2016-09-20,10.855
2016-09-21,10.78
2016-09-22,10.4475
2016-09-23,10.4625
2016-09-26,10.5425
2016-09-27,10.54
2016-09-28,10.6125
2016-09-29,10.4825
2016-09-30,10.61
2016-10-03,10.6475
2016-10-04,10.62
2016-10-05,10.625
2016-10-06,10.42
2016-10-07,10.465
2016-10-10,10.31
2016-10-11,10.2675
2016-10-12,10.2575
2016-10-13,10.27
2016-10-14,10.32
2016-10-17,10.265
2016-10-18,10.2475
2016-10-19,10.1725
2016-10-20,9.9975
2016-10-21,9.97
2016-10-24,9.9475
2016-10-25,9.95
2016-10-26,9.925
2016-10-27,9.8
2016-10-28,9.7875
2016-10-31,9.7675
2016-11-01,9.7775
2016-11-02,9.775
2016-11-03,9.74
2016-11-04,9.755
2016-11-07,9.7275
2016-11-08,9.7275
2016-11-09,9.75
2016-11-10,9.9375
2016-11-11,12.6725
2016-11-14,12.9825
2016-11-15,13.0925
2016-11-16,12.9725
2016-11-17,12.9075
2016-11-18,12.9325
2016-11-21,13.04
2016-11-22,12.9125
2016-11-23,12.8725
2016-11-24,12.9525
2016-11-25,13.025
2016-11-28,13.235
2016-11-29,13.0425
2016-11-30,12.65
2016-12-01,12.56
2016-12-02,12.385
2016-12-05,12.37
2016-12-06,12.385
2016-12-07,12.3425
2016-12-08,12.075
2016-12-09,11.9075
2016-12-12,11.8975
2016-12-13,11.8325
2016-12-14,11.89
2016-12-15,11.8825
2016-12-16,11.4125
2016-12-19,11.365
2016-12-20,11.3575
2016-12-21,11.3925
2016-12-22,11.39
2016-12-23,11.405
2016-12-26,11.4225
2016-12-27,11.455
2016-12-28,11.425
2016-12-29,11.43
2016-12-30,11.4375
2017-01-02,11.41
2017-01-03,11.35
2017-01-04,11.26
2017-01-05,11.225
2017-01-06,11.2325
2017-01-09,11.225
2017-01-10,11.165
2017-01-11,11.1625
2017-01-12,11.14
2017-01-13,10.73
2017-01-16,10.735
2017-01-17,10.7325
2017-01-18,10.7
2017-01-19,10.645
2017-01-20,10.6525
2017-01-23,10.5825
2017-01-24,10.5425
2017-01-25,10.5125
2017-01-26,10.45
2017-01-27,10.415
2017-01-30,10.4275
2017-01-31,10.4275
2017-02-01,10.4125
2017-02-02,10.395
2017-02-03,10.33
2017-02-06,10.36
2017-02-07,10.32
2017-02-08,10.3525
2017-02-09,10.3375
2017-02-10,10.355
2017-02-13,10.35
2017-02-14,10.3425
2017-02-15,10.1075
2017-02-16,9.7225
2017-02-17,9.71
2017-02-20,9.655
2017-02-21,9.68
2017-02-22,9.61
2017-02-23,9.585
2017-02-24,9.5875
2017-02-27,9.5525
2017-02-28,8.9675
2017-03-01,8.9425
2017-03-02,8.9125
2017-03-03,8.885
2017-03-06,8.8075
2017-03-07,8.7525
2017-03-08,8.745
2017-03-09,8.78
2017-03-10,8.77
2017-03-13,8.7275
2017-03-14,8.7825
2017-03-15,8.7
2017-03-16,8.7525
2017-03-17,8.725
2017-03-20,8.5375
2017-03-21,8.5175
2017-03-22,8.5175
2017-03-23,8.565
2017-03-24,8.5325
2017-03-27,8.5075
2017-03-28,8.5025
2017-03-29,8.46
2017-03-30,8.4675
2017-03-31,8.1625
2017-04-03,8.11
2017-04-04,8.095
2017-04-05,8.085
2017-04-06,8.095
2017-04-07,8.11
2017-04-10,8.135
2017-04-11,8.15
2017-04-12,8.135
2017-04-13,8.1275
2017-04-14,8.125
2017-04-17,8.1325
2017-04-18,8.1425
2017-04-19,8.1375
2017-04-20,8.1375
2017-04-21,8.13
2017-04-24,8.1325
2017-04-25,8.1125
2017-04-26,8.1075
2017-04-27,8.09
2017-04-28,8.07
2017-05-01,8.0925
2017-05-02,8.0925
2017-05-03,8.0875
2017-05-04,8.0625
2017-05-05,8.0425
2017-05-08,8.0225
2017-05-09,8.0175
2017-05-10,8.0025
2017-05-11,7.995
2017-05-12,7.9875
2017-05-15,7.9525
2017-05-16,7.885
2017-05-17,7.61
2017-05-18,7.52
2017-05-19,7.935
2017-05-22,7.705
2017-05-23,7.6875
2017-05-24,7.68
2017-05-25,7.67
2017-05-26,7.64
2017-05-29,7.6325
2017-05-30,7.63
2017-05-31,7.5975
2017-06-01,7.5925
2017-06-02,7.5975
2017-06-05,7.595
2017-06-06,7.6375
2017-06-07,7.5975
2017-06-08,7.5825
2017-06-09,7.5375
2017-06-12,7.5375
2017-06-13,7.5775
2017-06-14,7.5275
2017-06-15,7.375
2017-06-16,7.3675
2017-06-19,7.3975
2017-06-20,7.3775
2017-06-21,7.3175
2017-06-22,7.335
2017-06-23,7.3225
2017-06-26,7.275
2017-06-27,7.2725
2017-06-28,7.2375
2017-06-29,7.21
2017-06-30,7.1975
2017-07-03,7.265
2017-07-04,7.38
2017-07-05,7.39
2017-07-06,7.3875
2017-07-07,7.4675
2017-07-10,7.4275
2017-07-11,7.3225
2017-07-12,7.3225
2017-07-13,7.3225
2017-07-14,7.325
2017-07-17,7.2925
2017-07-18,7.2925
2017-07-19,7.2775
2017-07-20,7.205
2017-07-21,7.145
2017-07-24,7.1475
2017-07-25,7.1025
2017-07-26,7.1
2017-07-27,7.0525
2017-07-28,7.1125
2017-07-31,7.1075
2017-08-01,7.1475
2017-08-02,7.18
2017-08-03,7.185
2017-08-04,7.215
2017-08-07,7.195
2017-08-08,7.24
2017-08-09,7.305
2017-08-10,7.44
2017-08-11,7.5475
2017-08-14,7.65
2017-08-15,7.51
2017-08-16,7.4725
2017-08-17,7.505
2017-08-18,7.49
2017-08-21,7.445
2017-08-22,7.45
2017-08-23,7.46
2017-08-24,7.3175
2017-08-25,7.2225
2017-08-28,7.2225
2017-08-29,7.225
2017-08-30,7.2025
2017-08-31,7.1675
2017-09-01,7.17
2017-09-04,7.19
2017-09-05,7.15
2017-09-06,7.175
2017-09-07,7.1875
2017-09-08,7.4525
2017-09-11,7.665
2017-09-12,7.7275
2017-09-13,7.5925
2017-09-14,7.4975
2017-09-15,7.5275
2017-09-18,7.51
2017-09-19,7.5125
