Date,Value
2016-01-01,4.855
2016-01-04,4.595
2016-01-05,4.5525
2016-01-06,4.5425
2016-01-07,4.56
2016-01-08,4.6125
2016-01-11,4.4975
2016-01-12,4.4925
2016-01-13,4.67
2016-01-14,4.94
2016-01-15,5.0875
2016-01-18,5.3275
2016-01-19,5.3125
2016-01-20,5.3425
2016-01-21,5.365
2016-01-22,5.3775
2016-01-25,5.3925
2016-01-26,5.3925
2016-01-27,5.3025
2016-01-28,5.6925
2016-01-29,5.6425
2016-02-01,5.6825
2016-02-02,5.6875
2016-02-03,5.8825
2016-02-04,5.8875
2016-02-05,5.9225
2016-02-08,5.9475
2016-02-09,5.93
2016-02-10,5.7775
2016-02-11,5.8475
2016-02-12,6.0575
2016-02-15,6.0925
2016-02-16,6.1025
2016-02-17,6.1075
2016-02-18,6.0325
2016-02-19,6.0825
2016-02-22,6.0325
2016-02-23,5.8175
2016-02-24,5.8025
2016-02-25,5.7425
2016-02-26,5.8125
2016-02-29,5.7975
2016-03-01,5.5825
2016-03-02,5.5025
2016-03-03,5.4375
2016-03-04,5.4275
2016-03-07,5.3575
2016-03-08,5.0575
2016-03-09,5.0475
2016-03-10,4.9625
2016-03-11,5.02
2016-03-14,4.9325
2016-03-15,4.8825
2016-03-16,4.8675
2016-03-17,4.905
2016-03-18,4.7175
2016-03-21,4.73
2016-03-22,4.7
2016-03-23,4.695
2016-03-24,4.6825
2016-03-25,4.74
2016-03-28,4.79
2016-03-29,4.6725
2016-03-30,4.6875
2016-03-31,4.6475
2016-04-01,4.66
2016-04-04,4.6525
2016-04-05,4.6375
2016-04-06,4.6025
2016-04-07,4.535
2016-04-08,4.5375
2016-04-11,4.5425
2016-04-12,4.525
2016-04-13,4.4975
2016-04-14,4.505
2016-04-15,4.5075
2016-04-18,4.505
2016-04-19,4.415
2016-04-20,4.3725
2016-04-21,4.3825
2016-04-22,4.43
2016-04-25,4.415
2016-04-26,4.4275
2016-04-27,4.405
2016-04-28,4.4625
2016-04-29,4.53
2016-05-02,4.4875
2016-05-03,4.4925
2016-05-04,4.4525
2016-05-05,4.5425
2016-05-06,4.5675
2016-05-09,4.4725
2016-05-10,4.4875
2016-05-11,4.4725
2016-05-12,4.4825
2016-05-13,4.4175
2016-05-16,4.4475
2016-05-17,4.2675
2016-05-18,4.2675
2016-05-19,4.4525
2016-05-20,4.49
2016-05-23,4.4675
2016-05-24,4.4825
2016-05-25,4.47
2016-05-26,4.4575
2016-05-27,4.4875
2016-05-30,4.4775
2016-05-31,4.4675
2016-06-01,4.4775
2016-06-02,4.4675
2016-06-03,4.485
2016-06-06,4.4775
2016-06-07,4.4725
2016-06-08,4.4425
2016-06-09,4.4475
2016-06-10,4.4725
2016-06-13,4.4275
2016-06-14,4.4375
2016-06-15,4.5075
2016-06-16,4.5175
2016-06-17,4.5225
2016-06-20,4.6375
2016-06-21,4.63
2016-06-22,4.525
2016-06-23,4.4525
2016-06-24,4.705
2016-06-27,4.4975
2016-06-28,4.3625
2016-06-29,4.075
2016-06-30,4.125
2016-07-01,4.075
2016-07-04,4.0725
2016-07-05,3.9975
2016-07-06,3.9975
2016-07-07,4.0075
2016-07-08,3.7675
2016-07-11,3.5475
2016-07-12,3.5725
2016-07-13,3.5575
2016-07-14,3.4125
2016-07-15,3.41
2016-07-18,3.3775
2016-07-19,3.38
2016-07-20,3.465
2016-07-21,3.4825
2016-07-22,3.5275
2016-07-25,3.515
2016-07-26,3.595
2016-07-27,3.51
2016-07-28,3.5625
2016-07-29,3.6025
2016-08-01,3.4725
2016-08-02,3.38
2016-08-03,3.375
2016-08-04,3.38
2016-08-05,3.3725
2016-08-08,3.375
2016-08-09,3.3775
2016-08-10,3.3975
2016-08-11,3.3725
2016-08-12,3.4025
2016-08-15,3.37
2016-08-16,3.37
2016-08-17,3.3675
2016-08-18,3.3875
2016-08-19,3.395
2016-08-22,3.3725
2016-08-23,3.3675
2016-08-24,3.365
2016-08-25,3.3625
2016-08-26,3.355
2016-08-29,3.3925
2016-08-30,3.36
2016-08-31,3.1775
2016-09-01,3.1625
2016-09-02,3.145
2016-09-05,3.1025
2016-09-06,3.1075
2016-09-07,3.0975
2016-09-08,3.0925
2016-09-09,3.0075
2016-09-12,3.155
2016-09-13,2.9975
2016-09-14,3.1225
2016-09-15,3.11
2016-09-16,3.1725
2016-09-19,3.14
2016-09-20,3.145
2016-09-21,3.11
2016-09-22,3.1175
2016-09-23,3.005
2016-09-26,3.1425
2016-09-27,3.1125
2016-09-28,3.1025
2016-09-29,3.7425
2016-09-30,3.85
2016-10-03,3.875
2016-10-04,3.945
2016-10-05,3.8275
2016-10-06,3.8525
2016-10-07,3.8475
2016-10-10,3.7525
2016-10-11,3.7425
2016-10-12,3.565
2016-10-13,3.5725
2016-10-14,3.545
2016-10-17,3.575
2016-10-18,3.63
2016-10-19,3.54
2016-10-20,3.54
2016-10-21,3.5325
2016-10-24,3.5
2016-10-25,3.5025
2016-10-26,3.5275
2016-10-27,3.5175
2016-10-28,3.515
2016-10-31,3.545
2016-11-01,3.53
2016-11-02,3.5475
2016-11-03,3.5475
2016-11-04,3.555
2016-11-07,3.525
2016-11-08,3.5
2016-11-09,3.585
2016-11-10,3.545
2016-11-11,3.795
2016-11-14,3.8075
2016-11-15,3.795
2016-11-16,3.74
2016-11-17,3.755
2016-11-18,3.77
2016-11-21,3.775
2016-11-22,3.79
2016-11-23,3.735
2016-11-24,3.815
2016-11-25,3.8475
2016-11-28,3.92
2016-11-29,3.89
2016-11-30,3.885
2016-12-01,3.875
2016-12-02,3.885
2016-12-05,3.855
2016-12-06,3.8275
2016-12-07,3.815
2016-12-08,3.785
2016-12-09,3.8675
2016-12-12,3.695
2016-12-13,3.71
2016-12-14,3.6475
2016-12-15,3.735
2016-12-16,3.795
2016-12-19,3.6925
2016-12-20,3.695
2016-12-21,3.735
2016-12-22,3.815
2016-12-23,3.8325
2016-12-26,3.715
2016-12-27,3.77
2016-12-28,3.785
2016-12-29,3.7475
2016-12-30,3.765
2017-01-02,3.775
2017-01-03,3.835
2017-01-04,3.8525
2017-01-05,3.8875
2017-01-06,3.89
2017-01-09,3.9925
2017-01-10,3.9775
2017-01-11,3.985
2017-01-12,3.985
2017-01-13,3.98
2017-01-16,3.92
2017-01-17,3.92
2017-01-18,3.915
2017-01-19,3.905
2017-01-20,3.925
2017-01-23,3.92
2017-01-24,3.8225
2017-01-25,3.7825
2017-01-26,3.775
2017-01-27,3.81
2017-01-30,3.675
2017-01-31,3.6325
2017-02-01,3.57
2017-02-02,3.43
2017-02-03,3.42
2017-02-06,3.42
2017-02-07,3.3225
2017-02-08,3.27
2017-02-09,3.26
2017-02-10,3.205
2017-02-13,3.16
2017-02-14,3.185
2017-02-15,3.12
2017-02-16,3.085
2017-02-17,3.08
2017-02-20,3.135
2017-02-21,3.15
2017-02-22,3.1425
2017-02-23,3.18
2017-02-24,3.18
2017-02-27,3.1525
2017-02-28,3.125
2017-03-01,3.125
2017-03-02,3.125
2017-03-03,3.115
2017-03-06,3.14
2017-03-07,3.1175
2017-03-08,3.215
2017-03-09,3.1425
2017-03-10,3.01
2017-03-13,3.04
2017-03-14,2.93
2017-03-15,2.655
2017-03-16,2.6525
2017-03-17,2.5425
2017-03-20,2.5225
2017-03-21,2.4975
2017-03-22,2.525
2017-03-23,2.4925
2017-03-24,2.4925
2017-03-27,2.505
2017-03-28,2.49
2017-03-29,2.4375
2017-03-30,2.4825
2017-03-31,2.48
2017-04-03,2.395
2017-04-04,2.405
2017-04-05,2.42
2017-04-06,2.3925
2017-04-07,2.5425
2017-04-10,2.3875
2017-04-11,2.4
2017-04-12,2.405
2017-04-13,2.385
2017-04-14,2.415
2017-04-17,2.3975
2017-04-18,2.4725
2017-04-19,2.4675
2017-04-20,2.4375
2017-04-21,2.4175
2017-04-24,2.4325
2017-04-25,2.385
2017-04-26,2.2675
2017-04-27,2.2725
2017-04-28,2.2675
2017-05-01,2.28
2017-05-02,2.3225
2017-05-03,2.2925
2017-05-04,2.3125
2017-05-05,2.345
2017-05-08,2.3375
2017-05-09,2.41
2017-05-10,2.445
2017-05-11,2.44
2017-05-12,2.425
