Date,Value
2016-01-01,1.3025
2016-01-04,1.28
2016-01-05,1.2875
2016-01-06,1.29
2016-01-07,1.345
2016-01-08,1.4025
2016-01-11,1.3725
2016-01-12,1.3875
2016-01-13,1.4625
2016-01-14,1.685
2016-01-15,1.785
2016-01-18,2.0
2016-01-19,1.99
2016-01-20,2.005
2016-01-21,2.02
2016-01-22,2.03
2016-01-25,1.92
2016-01-26,1.92
2016-01-27,1.915
2016-01-28,2.04
2016-01-29,2.01
2016-02-01,2.0375
2016-02-02,2.04
2016-02-03,2.1
2016-02-04,2.0925
2016-02-05,2.0925
2016-02-08,2.105
2016-02-09,2.1175
2016-02-10,2.0825
2016-02-11,2.1625
2016-02-12,2.32
2016-02-15,2.385
2016-02-16,2.395
2016-02-17,2.395
2016-02-18,2.305
2016-02-19,2.31
2016-02-22,2.3025
2016-02-23,2.235
2016-02-24,2.225
2016-02-25,2.2275
2016-02-26,2.235
2016-02-29,2.215
2016-03-01,1.8875
2016-03-02,1.8
2016-03-03,1.7075
2016-03-04,1.6875
2016-03-07,1.6525
2016-03-08,1.46
2016-03-09,1.455
2016-03-10,1.435
2016-03-11,1.4875
2016-03-14,1.405
2016-03-15,1.38
2016-03-16,1.375
2016-03-17,1.355
2016-03-18,1.315
2016-03-21,1.3125
2016-03-22,1.3225
2016-03-23,1.3875
2016-03-24,1.4225
2016-03-25,1.43
2016-03-28,1.355
2016-03-29,1.4175
2016-03-30,1.4225
2016-03-31,1.3825
2016-04-01,1.3625
2016-04-04,1.3425
2016-04-05,1.3425
2016-04-06,1.3675
2016-04-07,1.3725
2016-04-08,1.35
2016-04-11,1.3375
2016-04-12,1.3675
2016-04-13,1.3575
2016-04-14,1.3475
2016-04-15,1.35
2016-04-18,1.33
2016-04-19,1.32
2016-04-20,1.325
2016-04-21,1.355
2016-04-22,1.3525
2016-04-25,1.3275
2016-04-26,1.3825
2016-04-27,1.3525
2016-04-28,1.375
2016-04-29,1.3725
2016-05-02,1.3
2016-05-03,1.2825
2016-05-04,1.3225
2016-05-05,1.2825
2016-05-06,1.2875
2016-05-09,1.2575
2016-05-10,1.2375
2016-05-11,1.2375
2016-05-12,1.235
2016-05-13,1.195
2016-05-16,1.19
2016-05-17,1.19
2016-05-18,1.23
2016-05-19,1.3225
2016-05-20,1.3375
2016-05-23,1.3275
2016-05-24,1.3325
2016-05-25,1.3325
2016-05-26,1.3375
2016-05-27,1.34
2016-05-30,1.34
2016-05-31,1.345
2016-06-01,1.3725
2016-06-02,1.3725
2016-06-03,1.39
2016-06-06,1.395
2016-06-07,1.39
2016-06-08,1.345
2016-06-09,1.335
2016-06-10,1.3575
2016-06-13,1.335
2016-06-14,1.395
2016-06-15,1.515
2016-06-16,1.545
2016-06-17,1.4775
2016-06-20,1.585
2016-06-21,1.53
2016-06-22,1.53
2016-06-23,1.575
2016-06-24,1.7
2016-06-27,1.62
2016-06-28,1.5825
2016-06-29,1.48
2016-06-30,1.465
2016-07-01,1.4625
2016-07-04,1.4625
2016-07-05,1.3725
2016-07-06,1.3875
2016-07-07,1.38
2016-07-08,1.3775
2016-07-11,1.23
2016-07-12,1.1775
2016-07-13,1.1675
2016-07-14,1.11
2016-07-15,1.04
2016-07-18,0.9475
2016-07-19,0.9425
2016-07-20,1.005
2016-07-21,1.0125
2016-07-22,1.035
2016-07-25,1.025
2016-07-26,1.065
2016-07-27,1.025
2016-07-28,1.025
2016-07-29,1.035
2016-08-01,1.0325
2016-08-02,0.97
2016-08-03,0.975
2016-08-04,0.98
2016-08-05,0.9775
2016-08-08,0.985
2016-08-09,0.9875
2016-08-10,1.0225
2016-08-11,0.9775
2016-08-12,1.0125
2016-08-15,0.9775
2016-08-16,0.975
2016-08-17,0.97
2016-08-18,0.99
2016-08-19,1.035
2016-08-22,0.985
2016-08-23,0.97
2016-08-24,0.9675
2016-08-25,0.9725
2016-08-26,0.955
2016-08-29,1.05
2016-08-30,1.08
2016-08-31,1.035
2016-09-01,1.0325
2016-09-02,1.03
2016-09-05,1.015
2016-09-06,1.01
2016-09-07,0.9975
2016-09-08,0.9925
2016-09-09,0.9725
2016-09-12,0.9825
2016-09-13,1.01
2016-09-14,1.02
2016-09-15,1.0425
2016-09-16,1.06
2016-09-19,1.06
2016-09-20,1.055
2016-09-21,1.0425
2016-09-22,1.03
2016-09-23,1.025
2016-09-26,1.065
2016-09-27,1.025
2016-09-28,1.04
2016-09-29,1.395
2016-09-30,1.42
2016-10-03,1.425
2016-10-04,1.21
2016-10-05,1.4875
2016-10-06,1.495
2016-10-07,1.4875
2016-10-10,1.425
2016-10-11,1.38
2016-10-12,1.3775
2016-10-13,1.38
2016-10-14,1.3625
2016-10-17,1.38
2016-10-18,1.41
2016-10-19,1.32
2016-10-20,1.31
2016-10-21,1.2
2016-10-24,1.285
2016-10-25,1.285
2016-10-26,1.2875
2016-10-27,1.3025
2016-10-28,1.3275
2016-10-31,1.315
2016-11-01,1.31
