Date,Value
2016-01-01,6.2725
2016-01-04,6.3025
2016-01-05,6.2775
2016-01-06,6.32
2016-01-07,6.3225
2016-01-08,6.3325
2016-01-11,6.29
2016-01-12,6.2875
2016-01-13,6.24
2016-01-14,6.335
2016-01-15,6.42
2016-01-18,6.4025
2016-01-19,6.3875
2016-01-20,6.4975
2016-01-21,6.465
2016-01-22,6.4025
2016-01-25,6.38
2016-01-26,6.37
2016-01-27,6.395
2016-01-28,6.405
2016-01-29,6.4
2016-02-01,6.3925
2016-02-02,6.415
2016-02-03,6.4975
2016-02-04,6.445
2016-02-05,6.4375
2016-02-08,6.4475
2016-02-09,6.4625
2016-02-10,6.4575
2016-02-11,6.5125
2016-02-12,6.8625
2016-02-15,6.8575
2016-02-16,6.88
2016-02-17,7.015
2016-02-18,6.96
2016-02-19,6.99
2016-02-22,7.0
2016-02-23,6.9975
2016-02-24,7.015
2016-02-25,7.055
2016-02-26,7.2075
2016-02-29,7.165
2016-03-01,7.1
2016-03-02,6.9475
2016-03-03,6.95
2016-03-04,6.8425
2016-03-07,6.83
2016-03-08,6.7825
2016-03-09,6.7975
2016-03-10,6.845
2016-03-11,6.8225
2016-03-14,6.895
2016-03-15,6.925
2016-03-16,6.9725
2016-03-17,6.925
2016-03-18,6.9225
2016-03-21,6.88
2016-03-22,6.905
2016-03-23,6.91
2016-03-24,6.905
2016-03-25,6.915
2016-03-28,6.885
2016-03-29,6.8725
2016-03-30,6.865
2016-03-31,6.8725
2016-04-01,6.885
2016-04-04,6.8625
2016-04-05,6.88
2016-04-06,6.9
2016-04-07,6.98
2016-04-08,6.9775
2016-04-11,6.965
2016-04-12,6.98
2016-04-13,6.9575
2016-04-14,6.95
2016-04-15,6.965
2016-04-18,6.865
2016-04-19,6.855
2016-04-20,6.84
2016-04-21,6.86
2016-04-22,6.8775
2016-04-25,6.89
2016-04-26,6.905
2016-04-27,6.9525
2016-04-28,6.9275
2016-04-29,6.9125
2016-05-02,6.8775
2016-05-03,6.895
2016-05-04,6.915
2016-05-05,6.9025
2016-05-06,6.8925
2016-05-09,6.8825
2016-05-10,6.935
2016-05-11,6.9475
2016-05-12,6.9825
2016-05-13,6.9875
2016-05-16,7.025
2016-05-17,6.99
2016-05-18,6.99
2016-05-19,6.99
2016-05-20,6.9925
2016-05-23,6.9925
2016-05-24,7.03
2016-05-25,7.03
2016-05-26,6.99
2016-05-27,6.72
2016-05-30,6.905
2016-05-31,6.89
2016-06-01,6.92
2016-06-02,6.905
2016-06-03,6.915
2016-06-06,6.875
2016-06-07,6.815
2016-06-08,6.685
2016-06-09,6.62
2016-06-10,6.635
2016-06-13,6.665
2016-06-14,6.79
2016-06-15,6.81
2016-06-16,6.815
2016-06-17,6.955
2016-06-20,6.9775
2016-06-21,6.93
2016-06-22,6.91
2016-06-23,6.885
2016-06-24,7.2325
2016-06-27,7.005
2016-06-28,6.7675
2016-06-29,6.66
2016-06-30,6.6625
2016-07-01,6.62
2016-07-04,6.62
2016-07-05,6.6
2016-07-06,6.595
