Date,Value
2016-01-01,6.7475
2016-01-04,6.7275
2016-01-05,6.685
2016-01-06,6.625
2016-01-07,6.66
2016-01-08,6.785
2016-01-11,6.6975
2016-01-12,6.8575
2016-01-13,6.77
2016-01-14,6.9475
2016-01-15,7.345
2016-01-18,7.5
2016-01-19,7.445
2016-01-20,7.645
2016-01-21,7.745
2016-01-22,7.5675
2016-01-25,7.1725
2016-01-26,7.08
2016-01-27,7.0725
2016-01-28,7.435
2016-01-29,7.43
2016-02-01,7.295
2016-02-02,7.36
2016-02-03,7.5925
2016-02-04,7.705
2016-02-05,7.6875
2016-02-08,7.6775
2016-02-09,7.6925
2016-02-10,7.6575
2016-02-11,7.8325
2016-02-12,8.295
2016-02-15,8.2625
2016-02-16,8.245
2016-02-17,8.235
2016-02-18,8.12
2016-02-19,8.15
2016-02-22,7.87
2016-02-23,7.575
2016-02-24,7.555
2016-02-25,7.5825
2016-02-26,7.53
2016-02-29,7.495
2016-03-01,7.2125
2016-03-02,7.15
2016-03-03,7.1075
2016-03-04,7.155
2016-03-07,7.1425
2016-03-08,7.135
2016-03-09,7.075
2016-03-10,7.0275
2016-03-11,7.0675
2016-03-14,7.015
2016-03-15,6.995
2016-03-16,7.01
2016-03-17,6.9825
2016-03-18,6.93
2016-03-21,6.9325
2016-03-22,6.92
2016-03-23,6.9475
2016-03-24,6.9875
2016-03-25,7.015
2016-03-28,6.965
2016-03-29,7.0175
2016-03-30,6.8875
2016-03-31,6.8725
2016-04-01,6.8675
2016-04-04,6.8525
2016-04-05,6.8275
2016-04-06,6.8275
2016-04-07,6.8325
2016-04-08,6.845
2016-04-11,6.82
2016-04-12,6.7925
2016-04-13,6.7325
2016-04-14,6.7275
2016-04-15,6.7225
2016-04-18,6.6925
2016-04-19,6.6925
2016-04-20,6.7125
2016-04-21,6.6825
2016-04-22,6.7275
2016-04-25,6.7825
2016-04-26,6.82
2016-04-27,6.8075
2016-04-28,6.82
2016-04-29,6.86
2016-05-02,6.8825
2016-05-03,6.8925
2016-05-04,7.0
2016-05-05,6.9825
2016-05-06,6.965
2016-05-09,6.8575
2016-05-10,6.9125
2016-05-11,6.8675
2016-05-12,6.8075
2016-05-13,6.755
2016-05-16,6.8225
2016-05-17,6.5075
2016-05-18,6.49
2016-05-19,6.7825
2016-05-20,6.8725
2016-05-23,6.87
2016-05-24,6.9
2016-05-25,6.93
2016-05-26,6.9175
2016-05-27,6.7525
2016-05-30,6.7175
2016-05-31,6.735
2016-06-01,6.7225
2016-06-02,6.6925
2016-06-03,6.6775
2016-06-06,6.68
2016-06-07,6.66
2016-06-08,6.325
2016-06-09,6.2625
2016-06-10,6.495
2016-06-13,6.435
2016-06-14,6.73
2016-06-15,7.105
2016-06-16,7.0325
2016-06-17,7.0875
2016-06-20,7.16
2016-06-21,7.055
2016-06-22,7.0225
2016-06-23,7.0175
2016-06-24,7.845
2016-06-27,7.335
2016-06-28,7.1025
2016-06-29,7.015
2016-06-30,6.695
2016-07-01,6.6
2016-07-04,6.56
2016-07-05,6.485
2016-07-06,6.485
2016-07-07,6.4875
2016-07-08,6.5
2016-07-11,6.4725
2016-07-12,6.4025
2016-07-13,6.3175
2016-07-14,6.2075
2016-07-15,6.16
2016-07-18,6.125
2016-07-19,6.1675
2016-07-20,6.2925
2016-07-21,6.3475
2016-07-22,6.41
2016-07-25,6.36
2016-07-26,6.3775
2016-07-27,6.355
2016-07-28,6.215
2016-07-29,6.0725
2016-08-01,5.86
2016-08-02,5.8475
2016-08-03,5.835
2016-08-04,5.8875
2016-08-05,5.7825
2016-08-08,5.7225
2016-08-09,5.7775
2016-08-10,6.0125
2016-08-11,6.0525
2016-08-12,6.1075
2016-08-15,6.0625
2016-08-16,6.0125
2016-08-17,6.02
2016-08-18,6.03
2016-08-19,6.0175
2016-08-22,6.05
2016-08-23,6.18
2016-08-24,6.1225
2016-08-25,6.135
2016-08-26,6.1675
2016-08-29,6.18
2016-08-30,6.13
2016-08-31,6.115
2016-09-01,5.9775
2016-09-02,5.975
2016-09-05,6.025
2016-09-06,5.9975
2016-09-07,5.8525
2016-09-08,5.7775
2016-09-09,5.74
2016-09-12,5.8325
2016-09-13,6.115
2016-09-14,6.24
2016-09-15,6.375
2016-09-16,6.3825
2016-09-19,6.465
2016-09-20,6.3875
2016-09-21,6.3825
2016-09-22,6.14
2016-09-23,6.1025
2016-09-26,6.12
2016-09-27,6.0125
2016-09-28,5.97
2016-09-29,6.78
2016-09-30,6.27
2016-10-03,6.15
2016-10-04,5.935
2016-10-05,5.89
2016-10-06,5.925
2016-10-07,5.905
2016-10-10,5.9325
2016-10-11,5.9
2016-10-12,5.91
2016-10-13,5.915
2016-10-14,5.8725
2016-10-17,5.88
2016-10-18,5.735
2016-10-19,5.57
2016-10-20,5.55
2016-10-21,5.48
2016-10-24,5.645
2016-10-25,5.5675
2016-10-26,5.4375
2016-10-27,5.4325
2016-10-28,5.4525
2016-10-31,5.465
2016-11-01,5.3675
2016-11-02,5.37
2016-11-03,5.345
2016-11-04,5.28
2016-11-07,5.215
2016-11-08,5.205
2016-11-09,5.61
2016-11-10,5.4525
2016-11-11,6.37
2016-11-14,7.0375
2016-11-15,6.72
2016-11-16,6.695
2016-11-17,6.73
2016-11-18,6.71
2016-11-21,6.78
2016-11-22,6.6
2016-11-23,6.5775
2016-11-24,6.7575
2016-11-25,6.7575
2016-11-28,6.985
2016-11-29,6.58
2016-11-30,6.5
2016-12-01,6.3375
2016-12-02,6.3
2016-12-05,6.36
2016-12-06,6.27
2016-12-07,6.245
2016-12-08,6.115
2016-12-09,6.18
2016-12-12,6.3
2016-12-13,6.18
2016-12-14,6.065
2016-12-15,6.025
2016-12-16,6.03
2016-12-19,6.035
2016-12-20,6.005
2016-12-21,6.06
2016-12-22,5.99
2016-12-23,6.005
2016-12-26,6.07
2016-12-27,6.1125
2016-12-28,6.13
2016-12-29,6.1075
2016-12-30,6.04
2017-01-02,6.055
2017-01-03,6.08
2017-01-04,6.12
2017-01-05,6.16
2017-01-06,6.18
2017-01-09,6.27
2017-01-10,6.225
2017-01-11,6.215
2017-01-12,6.2
2017-01-13,6.205
2017-01-16,6.185
2017-01-17,6.1
2017-01-18,6.01
2017-01-19,5.98
2017-01-20,5.985
2017-01-23,5.91
2017-01-24,5.805
2017-01-25,5.585
2017-01-26,5.53
2017-01-27,5.665
2017-01-30,5.63
2017-01-31,5.565
2017-02-01,5.52
2017-02-02,5.5
2017-02-03,5.455
2017-02-06,5.445
2017-02-07,5.45
2017-02-08,5.53
2017-02-09,5.53
2017-02-10,5.585
2017-02-13,5.6675
2017-02-14,5.675
2017-02-15,5.625
2017-02-16,5.58
2017-02-17,5.515
2017-02-20,5.49
2017-02-21,5.55
2017-02-22,5.4
2017-02-23,5.33
2017-02-24,5.355
2017-02-27,5.4
2017-02-28,5.39
2017-03-01,5.425
2017-03-02,5.445
2017-03-03,5.45
2017-03-06,5.36
2017-03-07,5.285
2017-03-08,5.29
2017-03-09,5.4275
2017-03-10,5.4
2017-03-13,5.41
2017-03-14,5.495
2017-03-15,5.805
2017-03-16,5.67
2017-03-17,5.445
2017-03-20,5.44
2017-03-21,5.475
2017-03-22,5.68
2017-03-23,5.72
2017-03-24,5.64
2017-03-27,5.67
2017-03-28,5.67
2017-03-29,5.675
2017-03-30,5.635
2017-03-31,5.535
2017-04-03,5.565
2017-04-04,5.64
2017-04-05,5.705
2017-04-06,5.76
2017-04-07,5.98
2017-04-10,6.185
2017-04-11,6.2
2017-04-12,6.195
2017-04-13,6.1825
2017-04-14,6.1725
2017-04-17,6.185
2017-04-18,6.185
2017-04-19,6.21
2017-04-20,6.085
2017-04-21,6.085
2017-04-24,5.74
2017-04-25,5.55
2017-04-26,5.675
2017-04-27,5.67
2017-04-28,5.74
2017-05-01,5.725
2017-05-02,5.76
2017-05-03,5.66
2017-05-04,5.36
2017-05-05,5.43
2017-05-08,5.415
2017-05-09,5.465
2017-05-10,5.535
2017-05-11,5.5475
2017-05-12,5.37
2017-05-15,5.2975
2017-05-16,5.205
2017-05-17,5.1925
2017-05-18,5.5775
2017-05-19,6.25
2017-05-22,6.065
2017-05-23,5.985
2017-05-24,6.1
2017-05-25,6.005
2017-05-26,5.7475
2017-05-29,5.7625
2017-05-30,5.7825
2017-05-31,5.6675
2017-06-01,5.5725
2017-06-02,5.4425
2017-06-05,5.4425
2017-06-06,5.4525
2017-06-07,5.5025
2017-06-08,5.5275
2017-06-09,5.46
2017-06-12,5.4375
2017-06-13,5.435
2017-06-14,5.39
2017-06-15,5.415
2017-06-16,5.65
2017-06-19,5.535
2017-06-20,5.49
2017-06-21,5.56
2017-06-22,5.5175
2017-06-23,5.42
2017-06-26,5.2725
2017-06-27,5.2675
2017-06-28,5.2975
2017-06-29,5.3975
2017-06-30,5.675
2017-07-03,5.635
2017-07-04,5.805
2017-07-05,5.7425
2017-07-06,5.77
2017-07-07,5.59
2017-07-10,5.51
2017-07-11,5.415
2017-07-12,5.34
2017-07-13,5.32
2017-07-14,5.21
2017-07-17,5.195
2017-07-18,5.135
2017-07-19,5.105
2017-07-20,5.11
2017-07-21,5.0
2017-07-24,5.015
2017-07-25,4.955
2017-07-26,4.99
2017-07-27,5.05
2017-07-28,5.08
2017-07-31,5.135
2017-08-01,5.155
2017-08-02,5.29
2017-08-03,5.325
2017-08-04,5.29
2017-08-07,5.175
2017-08-08,5.155
2017-08-09,5.23
2017-08-10,5.5425
2017-08-11,5.7625
2017-08-14,5.67
2017-08-15,5.3675
2017-08-16,5.4225
2017-08-17,5.29
2017-08-18,5.225
2017-08-21,5.12
2017-08-22,5.07
2017-08-23,4.99
2017-08-24,4.96
2017-08-25,4.895
2017-08-28,4.955
2017-08-29,5.005
2017-08-30,5.05
2017-08-31,5.095
2017-09-01,5.15
2017-09-04,5.22
2017-09-05,5.18
2017-09-06,5.235
2017-09-07,5.215
2017-09-08,5.43
2017-09-11,5.3475
2017-09-12,5.2175
2017-09-13,5.17
2017-09-14,5.2425
2017-09-15,5.23
2017-09-18,5.1425
2017-09-19,5.185
2017-09-20,5.2875
2017-09-21,5.7275
2017-09-22,5.865
2017-09-25,5.845
2017-09-26,6.12
2017-09-27,6.4725
2017-09-28,6.5225
2017-09-29,6.2475
2017-10-02,6.0925
2017-10-03,6.0875
2017-10-04,5.8825
2017-10-05,5.65
2017-10-06,5.815
2017-10-09,5.9425
2017-10-10,5.9
2017-10-11,5.8875
2017-10-12,5.8125
2017-10-13,5.67
2017-10-16,5.495
2017-10-17,5.46
2017-10-18,5.4625
2017-10-19,5.4625
2017-10-20,5.445
2017-10-23,5.455
2017-10-24,5.365
2017-10-25,5.45
2017-10-26,5.52
2017-10-27,5.765
2017-10-30,5.625
2017-10-31,5.4875
2017-11-01,5.5575
2017-11-02,5.495
2017-11-03,5.32
2017-11-06,5.295
2017-11-07,5.2725
2017-11-08,5.335
2017-11-09,5.415
2017-11-10,5.485
2017-11-13,5.6325
