Date,Value
2016-01-01,1.055
2016-01-04,1.155
2016-01-05,1.12
2016-01-06,1.135
2016-01-07,1.29
2016-01-08,1.3
2016-01-11,1.375
2016-01-12,1.41
2016-01-13,1.3575
2016-01-14,1.365
2016-01-15,1.39
2016-01-18,1.38
2016-01-19,1.395
2016-01-20,1.5175
2016-01-21,1.45
2016-01-22,1.535
2016-01-25,1.51
2016-01-26,1.505
2016-01-27,1.42
2016-01-28,1.475
2016-01-29,1.2975
2016-02-01,1.18
2016-02-02,1.16
2016-02-03,1.235
2016-02-04,1.3075
2016-02-05,1.335
2016-02-08,1.52
2016-02-09,1.7075
2016-02-10,1.61
2016-02-11,1.74
2016-02-12,1.8
2016-02-15,1.755
2016-02-16,1.8175
2016-02-17,1.805
2016-02-18,1.81
2016-02-19,1.925
2016-02-22,1.87
2016-02-23,1.945
2016-02-24,1.94
2016-02-25,1.885
2016-02-26,1.86
2016-02-29,1.9
2016-03-01,1.9275
2016-03-02,1.775
2016-03-03,1.735
2016-03-04,1.7
2016-03-07,1.695
2016-03-08,1.6775
2016-03-09,1.665
2016-03-10,1.66
2016-03-11,1.615
2016-03-14,1.555
2016-03-15,1.565
2016-03-16,1.57
2016-03-17,1.53
2016-03-18,1.495
2016-03-21,1.285
2016-03-22,1.365
2016-03-23,1.3725
2016-03-24,1.385
2016-03-25,1.39
2016-03-28,1.37
2016-03-29,1.395
2016-03-30,1.385
2016-03-31,1.4
2016-04-01,1.355
2016-04-04,1.415
2016-04-05,1.455
2016-04-06,1.54
2016-04-07,1.7
2016-04-08,1.745
2016-04-11,1.74
2016-04-12,1.7975
2016-04-13,1.725
2016-04-14,1.75
2016-04-15,1.73
2016-04-18,1.7725
2016-04-19,1.76
2016-04-20,1.755
2016-04-21,1.725
2016-04-22,1.745
2016-04-25,1.67
2016-04-26,1.6225
2016-04-27,1.5975
2016-04-28,1.62
2016-04-29,1.675
2016-05-02,1.73
2016-05-03,1.635
2016-05-04,1.76
2016-05-05,1.695
2016-05-06,1.665
2016-05-09,1.585
2016-05-10,1.565
2016-05-11,1.52
2016-05-12,1.5
2016-05-13,1.4825
2016-05-16,1.545
2016-05-17,1.4975
2016-05-18,1.525
2016-05-19,1.5
2016-05-20,1.48
2016-05-23,1.37
2016-05-24,1.34
2016-05-25,1.2325
2016-05-26,1.2225
2016-05-27,1.235
2016-05-30,1.19
2016-05-31,1.1675
2016-06-01,1.185
2016-06-02,1.0825
2016-06-03,1.065
2016-06-06,1.105
2016-06-07,1.1475
2016-06-08,1.095
2016-06-09,1.215
2016-06-10,1.265
2016-06-13,1.265
2016-06-14,1.605
2016-06-15,1.745
2016-06-16,1.8575
2016-06-17,2.005
2016-06-20,1.795
2016-06-21,1.845
2016-06-22,1.85
2016-06-23,1.9025
2016-06-24,1.795
2016-06-27,1.965
2016-06-28,1.865
2016-06-29,1.8175
2016-06-30,1.825
2016-07-01,1.875
2016-07-04,1.83
2016-07-05,1.945
2016-07-06,1.915
2016-07-07,1.895
2016-07-08,1.89
2016-07-11,1.8375
2016-07-12,1.87
2016-07-13,1.8475
2016-07-14,1.765
2016-07-15,1.73
2016-07-18,1.67
2016-07-19,1.74
2016-07-20,1.745
2016-07-21,1.7425
2016-07-22,1.705
2016-07-25,1.675
2016-07-26,1.75
2016-07-27,1.5825
2016-07-28,1.5825
2016-07-29,1.535
2016-08-01,1.47
2016-08-02,1.52
2016-08-03,1.5
2016-08-04,1.455
2016-08-05,1.495
2016-08-08,1.44
2016-08-09,1.43
2016-08-10,1.395
2016-08-11,1.265
2016-08-12,1.49
2016-08-15,1.3
2016-08-16,1.385
2016-08-17,1.405
2016-08-18,1.4075
2016-08-19,1.3825
2016-08-22,1.4275
2016-08-23,1.35
2016-08-24,1.385
2016-08-25,1.225
2016-08-26,1.3075
2016-08-29,1.245
2016-08-30,1.205
2016-08-31,1.2525
2016-09-01,1.21
2016-09-02,1.265
2016-09-05,0.985
2016-09-06,1.0425
2016-09-07,1.14
2016-09-08,1.15
2016-09-09,1.135
2016-09-12,1.1025
2016-09-13,1.08
2016-09-14,1.145
2016-09-15,1.1275
2016-09-16,1.125
2016-09-19,1.1325
2016-09-20,1.0775
2016-09-21,1.075
2016-09-22,1.095
2016-09-23,1.065
2016-09-26,1.115
2016-09-27,1.12
2016-09-28,1.125
2016-09-29,1.1675
2016-09-30,1.17
2016-10-03,1.135
2016-10-04,1.1175
2016-10-05,1.1075
2016-10-06,1.055
2016-10-07,1.04
2016-10-10,1.0875
2016-10-11,1.0
2016-10-12,1.01
2016-10-13,1.0175
2016-10-14,0.99
2016-10-17,0.99
2016-10-18,1.025
2016-10-19,0.9325
2016-10-20,0.98
2016-10-21,0.955
2016-10-24,0.8975
2016-10-25,0.8675
2016-10-26,0.86
2016-10-27,0.855
2016-10-28,0.8525
2016-10-31,0.845
2016-11-01,0.89
2016-11-02,0.9625
2016-11-03,1.035
2016-11-04,0.985
2016-11-07,1.0075
2016-11-08,0.99
2016-11-09,1.015
2016-11-10,0.8875
2016-11-11,0.9275
2016-11-14,0.9475
2016-11-15,0.9475
2016-11-16,0.9475
2016-11-17,0.925
2016-11-18,0.915
2016-11-21,0.95
2016-11-22,0.93
2016-11-23,0.865
2016-11-24,0.82
2016-11-25,0.79
2016-11-28,0.795
2016-11-29,0.775
2016-11-30,0.825
2016-12-01,0.92
2016-12-02,0.7825
2016-12-05,0.8
2016-12-06,0.7525
2016-12-07,0.7925
2016-12-08,0.77
2016-12-09,0.8
2016-12-12,0.815
2016-12-13,0.7825
2016-12-14,0.775
2016-12-15,0.8475
2016-12-16,0.835
2016-12-19,0.84
2016-12-20,0.82
2016-12-21,0.825
2016-12-22,0.82
2016-12-23,0.87
2016-12-26,0.8
2016-12-27,0.83
2016-12-28,0.815
2016-12-29,0.86
2016-12-30,0.875
2017-01-02,0.935
2017-01-03,0.89
2017-01-04,0.81
2017-01-05,0.835
2017-01-06,0.805
2017-01-09,0.845
2017-01-10,0.795
2017-01-11,0.815
2017-01-12,0.89
2017-01-13,0.845
2017-01-16,0.8575
2017-01-17,0.86
2017-01-18,0.8225
2017-01-19,0.83
2017-01-20,0.8175
2017-01-23,0.84
2017-01-24,0.8
2017-01-25,0.79
2017-01-26,0.765
2017-01-27,0.755
2017-01-30,0.775
2017-01-31,0.79
2017-02-01,0.78
2017-02-02,0.76
2017-02-03,0.7525
2017-02-06,0.755
2017-02-07,0.745
2017-02-08,0.76
2017-02-09,0.785
2017-02-10,0.77
2017-02-13,0.77
2017-02-14,0.745
2017-02-15,0.705
