Date,Value
2016-01-01,-0.9675
2016-01-04,-1.3625
2016-01-05,-1.395
2016-01-06,-1.44
2016-01-07,-2.075
2016-01-08,-2.275
2016-01-11,-2.405
2016-01-12,-2.3075
2016-01-13,-2.05
2016-01-14,-2.345
2016-01-15,-2.9775
2016-01-18,-2.86
2016-01-19,-2.55
2016-01-20,-3.225
2016-01-21,-3.045
2016-01-22,-2.8575
2016-01-25,-2.7
2016-01-26,-2.9425
2016-01-27,-2.8725
2016-01-28,-2.9775
2016-01-29,-2.0675
2016-02-01,-2.005
2016-02-02,-2.335
2016-02-03,-3.13
2016-02-04,-2.87
2016-02-05,-2.845
2016-02-08,-3.8875
2016-02-09,-4.4825
2016-02-10,-4.485
2016-02-11,-4.8125
2016-02-12,-4.3175
2016-02-15,-3.755
2016-02-16,-4.14
2016-02-17,-4.39
2016-02-18,-4.325
2016-02-19,-5.13
2016-02-22,-5.12
2016-02-23,-5.12
2016-02-24,-5.285
2016-02-25,-5.11
2016-02-26,-5.07
2016-02-29,-5.465
2016-03-01,-5.195
2016-03-02,-5.0675
2016-03-03,-5.075
2016-03-04,-4.735
2016-03-07,-4.8275
2016-03-08,-4.845
2016-03-09,-4.8175
2016-03-10,-4.79
2016-03-11,-4.7275
2016-03-14,-4.665
2016-03-15,-4.66
2016-03-16,-4.445
2016-03-17,-4.305
2016-03-18,-4.165
2016-03-21,-4.0075
2016-03-22,-3.83
2016-03-23,-3.415
2016-03-24,-3.28
2016-03-25,-3.285
2016-03-28,-3.205
2016-03-29,-3.215
2016-03-30,-3.215
2016-03-31,-3.01
2016-04-01,-2.93
2016-04-04,-2.9975
2016-04-05,-3.825
2016-04-06,-3.7975
2016-04-07,-4.445
2016-04-08,-4.355
2016-04-11,-4.655
2016-04-12,-4.8475
2016-04-13,-4.705
2016-04-14,-4.69
2016-04-15,-4.68
2016-04-18,-4.6625
2016-04-19,-4.48
2016-04-20,-4.05
2016-04-21,-3.77
2016-04-22,-3.535
2016-04-25,-3.525
2016-04-26,-3.57
2016-04-27,-3.5875
2016-04-28,-4.23
2016-04-29,-4.8
2016-05-02,-4.895
2016-05-03,-5.01
2016-05-04,-4.64
2016-05-05,-4.46
2016-05-06,-4.135
2016-05-09,-3.8825
2016-05-10,-3.7
2016-05-11,-3.89
2016-05-12,-3.835
2016-05-13,-3.885
2016-05-16,-3.985
2016-05-17,-3.8
2016-05-18,-3.81
2016-05-19,-3.605
2016-05-20,-3.52
2016-05-23,-3.5425
2016-05-24,-3.485
2016-05-25,-3.26
2016-05-26,-3.22
2016-05-27,-3.2125
2016-05-30,-3.11
2016-05-31,-3.035
2016-06-01,-3.31
2016-06-02,-3.28
2016-06-03,-3.55
2016-06-06,-3.59
2016-06-07,-3.425
2016-06-08,-3.5375
2016-06-09,-3.86
2016-06-10,-4.09
2016-06-13,-4.555
2016-06-14,-4.965
2016-06-15,-5.085
2016-06-16,-5.19
2016-06-17,-4.88
2016-06-20,-4.7375
2016-06-21,-4.725
2016-06-22,-4.785
2016-06-23,-4.255
2016-06-24,-4.865
2016-06-27,-4.875
2016-06-28,-4.285
2016-06-29,-4.1475
2016-06-30,-4.0075
2016-07-01,-4.0275
2016-07-04,-4.0275
2016-07-05,-4.565
2016-07-06,-5.03
2016-07-07,-4.71
2016-07-08,-5.1075
2016-07-11,-4.3775
2016-07-12,-4.01
2016-07-13,-4.105
2016-07-14,-4.03
2016-07-15,-3.945
2016-07-18,-3.85
2016-07-19,-3.7
2016-07-20,-3.525
2016-07-21,-3.4025
2016-07-22,-3.355
2016-07-25,-3.095
2016-07-26,-3.255
2016-07-27,-2.88
2016-07-28,-2.835
2016-07-29,-2.885
2016-08-01,-3.045
2016-08-02,-3.565
2016-08-03,-3.45
2016-08-04,-3.285
2016-08-05,-3.275
2016-08-08,-3.15
2016-08-09,-3.1225
2016-08-10,-3.225
2016-08-11,-3.3275
2016-08-12,-3.505
2016-08-15,-3.46
2016-08-16,-3.905
2016-08-17,-3.765
2016-08-18,-4.005
2016-08-19,-3.935
2016-08-22,-3.895
2016-08-23,-3.845
2016-08-24,-3.6975
2016-08-25,-3.5475
2016-08-26,-3.33
2016-08-29,-3.165
2016-08-30,-2.8575
2016-08-31,-2.5975
2016-09-01,-2.595
2016-09-02,-2.68
2016-09-05,-2.62
2016-09-06,-2.605
2016-09-07,-2.785
2016-09-08,-2.78
2016-09-09,-2.765
2016-09-12,-2.7925
2016-09-13,-3.0725
2016-09-14,-3.025
2016-09-15,-3.0125
2016-09-16,-3.0525
2016-09-19,-3.105
2016-09-20,-3.1025
2016-09-21,-3.13
2016-09-22,-3.055
2016-09-23,-3.05
2016-09-26,-3.055
2016-09-27,-3.26
2016-09-28,-3.175
2016-09-29,-3.065
2016-09-30,-3.2125
2016-10-03,-3.215
2016-10-04,-2.7925
2016-10-05,-2.825
2016-10-06,-2.86
2016-10-07,-3.025
2016-10-10,-3.015
2016-10-11,-2.9525
2016-10-12,-3.0125
2016-10-13,-3.1025
2016-10-14,-3.0725
2016-10-17,-3.06
2016-10-18,-3.1175
2016-10-19,-3.04
2016-10-20,-2.975
2016-10-21,-2.97
2016-10-24,-2.8925
2016-10-25,-2.715
2016-10-26,-2.6325
2016-10-27,-2.655
2016-10-28,-2.61
2016-10-31,-2.7275
2016-11-01,-2.885
2016-11-02,-3.175
2016-11-03,-3.28
2016-11-04,-3.3475
2016-11-07,-3.35
2016-11-08,-3.39
2016-11-09,-3.055
2016-11-10,-2.7225
2016-11-11,-2.81
2016-11-14,-2.535
2016-11-15,-2.525
2016-11-16,-2.7075
2016-11-17,-2.615
2016-11-18,-2.315
2016-11-21,-2.095
2016-11-22,-1.9875
2016-11-23,-1.8
2016-11-24,-1.54
2016-11-25,-1.485
2016-11-28,-1.7325
2016-11-29,-1.6925
