Date,Value
2016-01-01,9.0275
2016-01-04,9.34
2016-01-05,9.2825
2016-01-06,9.345
2016-01-07,9.72
2016-01-08,9.6875
2016-01-11,9.785
2016-01-12,9.67
2016-01-13,9.425
2016-01-14,9.495
2016-01-15,9.975
2016-01-18,9.73
2016-01-19,9.665
2016-01-20,10.075
2016-01-21,10.055
2016-01-22,9.83
2016-01-25,9.605
2016-01-26,9.7725
2016-01-27,9.7075
2016-01-28,9.86
2016-01-29,9.62
2016-02-01,9.3
2016-02-02,9.59
2016-02-03,9.99
2016-02-04,10.1
2016-02-05,10.1475
2016-02-08,11.4
2016-02-09,11.515
2016-02-10,11.615
2016-02-11,12.085
2016-02-12,11.42
2016-02-15,10.66
2016-02-16,11.0125
2016-02-17,11.055
2016-02-18,11.1425
2016-02-19,11.54
2016-02-22,11.425
2016-02-23,11.65
2016-02-24,11.8575
2016-02-25,11.555
2016-02-26,11.275
2016-02-29,11.3575
2016-03-01,10.9625
2016-03-02,10.7275
2016-03-03,10.705
2016-03-04,10.5425
2016-03-07,10.735
2016-03-08,11.12
2016-03-09,11.13
2016-03-10,11.185
2016-03-11,10.77
2016-03-14,10.395
2016-03-15,10.4775
2016-03-16,10.505
2016-03-17,10.465
2016-03-18,10.165
2016-03-21,9.8075
2016-03-22,9.8
2016-03-23,10.0725
2016-03-24,10.325
2016-03-25,10.3
2016-03-28,10.3275
2016-03-29,10.39
2016-03-30,9.9725
2016-03-31,9.8
2016-04-01,9.7925
2016-04-04,9.9775
2016-04-05,10.6925
2016-04-06,10.67
2016-04-07,11.255
2016-04-08,10.84
2016-04-11,10.78
2016-04-12,10.425
2016-04-13,10.39
2016-04-14,10.5025
2016-04-15,10.72
2016-04-18,10.69
2016-04-19,10.525
2016-04-20,10.4925
2016-04-21,10.615
2016-04-22,10.77
2016-04-25,10.715
2016-04-26,10.935
2016-04-27,10.7825
2016-04-28,10.82
2016-04-29,11.1575
2016-05-02,11.2525
2016-05-03,11.1575
2016-05-04,11.12
2016-05-05,11.1475
2016-05-06,10.865
2016-05-09,10.535
2016-05-10,10.645
2016-05-11,10.82
2016-05-12,10.85
2016-05-13,11.02
2016-05-16,10.985
2016-05-17,10.895
2016-05-18,10.825
2016-05-19,10.8
2016-05-20,10.6
2016-05-23,10.55
2016-05-24,10.595
2016-05-25,10.43
2016-05-26,10.385
2016-05-27,10.355
2016-05-30,10.465
2016-05-31,10.565
2016-06-01,10.73
2016-06-02,10.75
2016-06-03,10.83
2016-06-06,10.705
2016-06-07,10.53
2016-06-08,10.61
2016-06-09,10.865
2016-06-10,11.21
2016-06-13,11.3125
2016-06-14,11.56
2016-06-15,11.175
2016-06-16,11.495
2016-06-17,11.2425
2016-06-20,11.24
2016-06-21,11.2625
2016-06-22,11.48
2016-06-23,11.045
2016-06-24,11.74
2016-06-27,12.02
2016-06-28,11.3175
2016-06-29,11.29
2016-06-30,11.29
2016-07-01,11.2175
2016-07-04,11.155
2016-07-05,11.6625
2016-07-06,11.96
2016-07-07,11.755
2016-07-08,11.95
2016-07-11,11.9
2016-07-12,11.93
2016-07-13,11.67
2016-07-14,11.815
2016-07-15,11.915
2016-07-18,11.885
2016-07-19,11.92
2016-07-20,12.125
2016-07-21,11.915
2016-07-22,11.735
2016-07-25,11.52
2016-07-26,11.465
2016-07-27,11.225
2016-07-28,11.2975
2016-07-29,10.93
2016-08-01,10.78
2016-08-02,11.3925
2016-08-03,11.345
2016-08-04,11.32
2016-08-05,10.985
2016-08-08,10.835
2016-08-09,10.82
2016-08-10,10.94
2016-08-11,10.98
2016-08-12,11.1025
2016-08-15,11.2425
2016-08-16,11.4825
2016-08-17,11.565
2016-08-18,11.56
2016-08-19,11.61
2016-08-22,11.7675
2016-08-23,11.8
2016-08-24,11.875
2016-08-25,11.87
2016-08-26,11.83
2016-08-29,11.895
2016-08-30,11.905
2016-08-31,11.495
2016-09-01,11.52
2016-09-02,11.425
2016-09-05,11.06
2016-09-06,11.21
2016-09-07,11.325
2016-09-08,11.255
2016-09-09,11.5375
2016-09-12,11.515
2016-09-13,11.6825
2016-09-14,11.775
2016-09-15,11.395
2016-09-16,11.3425
2016-09-19,11.2475
2016-09-20,11.2325
2016-09-21,10.88
2016-09-22,10.815
2016-09-23,10.795
2016-09-26,11.155
2016-09-27,11.2925
2016-09-28,11.3425
2016-09-29,11.455
2016-09-30,11.3975
2016-10-03,11.29
2016-10-04,11.3975
2016-10-05,11.2875
2016-10-06,11.165
2016-10-07,11.1775
2016-10-10,11.035
2016-10-11,11.1975
2016-10-12,11.31
2016-10-13,11.37
2016-10-14,11.3
2016-10-17,11.31
2016-10-18,11.17
2016-10-19,10.9725
2016-10-20,10.845
2016-10-21,10.685
2016-10-24,10.505
2016-10-25,10.5325
2016-10-26,10.6525
2016-10-27,10.8975
2016-10-28,10.875
2016-10-31,10.8625
2016-11-01,11.0275
2016-11-02,11.365
2016-11-03,11.3675
2016-11-04,11.3275
2016-11-07,10.83
2016-11-08,10.665
2016-11-09,10.75
2016-11-10,11.4925
2016-11-11,11.71
2016-11-14,11.92
2016-11-15,11.66
2016-11-16,11.655
2016-11-17,11.92
2016-11-18,12.06
2016-11-21,12.065
2016-11-22,11.925
2016-11-23,12.05
2016-11-24,12.29
2016-11-25,12.26
2016-11-28,12.1
2016-11-29,12.135
2016-11-30,12.2125
2016-12-01,12.2175
2016-12-02,12.0825
2016-12-05,12.095
2016-12-06,12.0025
2016-12-07,11.8875
2016-12-08,11.765
2016-12-09,11.9125
2016-12-12,11.785
2016-12-13,11.55
2016-12-14,11.5325
2016-12-15,12.1425
2016-12-16,12.1025
2016-12-19,12.1525
2016-12-20,12.1975
2016-12-21,12.115
2016-12-22,12.045
2016-12-23,12.0675
2016-12-26,12.1
2016-12-27,12.1825
2016-12-28,12.2025
2016-12-29,12.215
2016-12-30,12.19
2017-01-02,12.235
2017-01-03,12.18
2017-01-04,11.88
2017-01-05,11.94
2017-01-06,11.865
2017-01-09,12.005
2017-01-10,12.2175
2017-01-11,12.4125
2017-01-12,12.235
2017-01-13,12.13
2017-01-16,12.11
2017-01-17,11.9875
2017-01-18,11.895
2017-01-19,12.05
2017-01-20,11.8675
2017-01-23,11.88
2017-01-24,11.865
2017-01-25,11.775
2017-01-26,11.725
2017-01-27,11.78
2017-01-30,11.795
2017-01-31,11.81
2017-02-01,11.8075
2017-02-02,11.7725
2017-02-03,11.5825
2017-02-06,11.37
2017-02-07,11.485
2017-02-08,11.45
2017-02-09,11.515
2017-02-10,11.48
2017-02-13,11.42
2017-02-14,11.3025
2017-02-15,10.96
2017-02-16,10.865
2017-02-17,10.91
2017-02-20,10.995
2017-02-21,10.98
2017-02-22,11.12
2017-02-23,11.035
2017-02-24,10.86
2017-02-27,10.815
2017-02-28,10.675
2017-03-01,10.79
2017-03-02,10.795
2017-03-03,10.5225
2017-03-06,10.24
2017-03-07,10.2
2017-03-08,10.3175
2017-03-09,10.37
2017-03-10,10.385
2017-03-13,10.19
2017-03-14,10.1925
2017-03-15,10.035
2017-03-16,9.48
2017-03-17,9.455
2017-03-20,9.55
2017-03-21,9.64
2017-03-22,9.86
2017-03-23,9.975
2017-03-24,9.7675
2017-03-27,9.8475
2017-03-28,9.77
2017-03-29,9.6025
2017-03-30,9.5025
2017-03-31,9.5275
2017-04-03,9.3475
2017-04-04,9.4375
2017-04-05,9.345
2017-04-06,9.51
2017-04-07,9.595
2017-04-10,9.5875
2017-04-11,9.7775
2017-04-12,9.88
2017-04-13,9.805
2017-04-14,9.785
2017-04-17,9.8925
2017-04-18,9.7875
2017-04-19,9.625
2017-04-20,9.705
2017-04-21,9.775
2017-04-24,9.31
2017-04-25,9.53
2017-04-26,9.6325
2017-04-27,9.55
2017-04-28,9.495
2017-05-01,9.52
2017-05-02,9.52
2017-05-03,9.425
2017-05-04,9.365
2017-05-05,9.3075
2017-05-08,9.0025
2017-05-09,9.215
2017-05-10,9.29
2017-05-11,9.3325
2017-05-12,9.325
2017-05-15,9.3375
2017-05-16,9.34
2017-05-17,9.71
2017-05-18,9.865
2017-05-19,9.61
2017-05-22,9.4375
2017-05-23,9.4975
2017-05-24,9.4375
2017-05-25,9.3075
2017-05-26,9.44
2017-05-29,9.385
2017-05-30,9.6075
2017-05-31,9.62
2017-06-01,9.605
2017-06-02,9.645
2017-06-05,9.6225
2017-06-06,9.7425
2017-06-07,9.7425
2017-06-08,9.6375
2017-06-09,9.47
2017-06-12,9.425
2017-06-13,9.27
2017-06-14,9.425
2017-06-15,9.18
2017-06-16,9.155
2017-06-19,9.095
2017-06-20,8.9775
2017-06-21,9.22
2017-06-22,9.265
2017-06-23,9.1225
2017-06-26,9.08
2017-06-27,9.205
2017-06-28,9.16
2017-06-29,9.43
2017-06-30,9.285
2017-07-03,9.185
2017-07-04,9.175
2017-07-05,9.42
2017-07-06,9.48
2017-07-07,9.4575
2017-07-10,9.32
2017-07-11,9.335
2017-07-12,9.445
2017-07-13,9.36
2017-07-14,9.28
2017-07-17,9.3
2017-07-18,9.47
2017-07-19,9.495
2017-07-20,9.4675
2017-07-21,9.525
2017-07-24,9.605
2017-07-25,9.445
2017-07-26,9.43
2017-07-27,9.45
2017-07-28,9.595
2017-07-31,9.65
2017-08-01,9.59
2017-08-02,9.6
2017-08-03,9.615
2017-08-04,9.46
2017-08-07,9.36
2017-08-08,9.36
2017-08-09,9.69
2017-08-10,9.84
2017-08-11,9.97
2017-08-14,9.575
2017-08-15,9.535
2017-08-16,9.505
2017-08-17,9.595
2017-08-18,9.68
2017-08-21,9.695
2017-08-22,9.6475
2017-08-23,9.675
2017-08-24,9.575
2017-08-25,9.445
2017-08-28,9.395
2017-08-29,9.685
2017-08-30,9.62
2017-08-31,9.64
2017-09-01,9.58
2017-09-04,9.815
2017-09-05,10.125
2017-09-06,9.945
2017-09-07,10.05
2017-09-08,10.0125
2017-09-11,9.77
2017-09-12,9.685
2017-09-13,9.69
2017-09-14,9.685
2017-09-15,9.7
2017-09-18,9.8175
2017-09-19,9.895
2017-09-20,9.8
2017-09-21,9.855
2017-09-22,9.8275
2017-09-25,9.93
2017-09-26,9.89
2017-09-27,9.96
2017-09-28,10.065
2017-09-29,9.995
2017-10-02,9.86
2017-10-03,9.66
2017-10-04,9.565
2017-10-05,9.475
2017-10-06,9.515
2017-10-09,9.555
2017-10-10,9.57
2017-10-11,9.6
2017-10-12,9.6
2017-10-13,9.535
2017-10-16,9.475
2017-10-17,9.465
2017-10-18,9.54
2017-10-19,9.56
2017-10-20,9.59
2017-10-23,9.565
2017-10-24,9.49
2017-10-25,9.555
2017-10-26,9.5375
2017-10-27,9.52
2017-10-30,9.39
2017-10-31,9.3
2017-11-01,9.23
2017-11-02,9.215
2017-11-03,9.105
2017-11-06,9.1025
2017-11-07,9.05
2017-11-08,9.0975
2017-11-09,9.24
2017-11-10,9.22
2017-11-13,9.26
2017-11-14,9.235
2017-11-15,9.36
2017-11-16,9.265
2017-11-17,9.32
2017-11-20,9.275
2017-11-21,9.235
2017-11-22,9.255
2017-11-23,9.215
2017-11-24,9.105
2017-11-27,9.145
2017-11-28,9.135
2017-11-29,9.13
2017-11-30,9.1375
2017-12-01,9.295
2017-12-04,9.185
2017-12-05,9.13
2017-12-06,9.125
2017-12-07,9.035
2017-12-08,8.935
2017-12-11,8.75
2017-12-12,8.405
2017-12-13,8.415
2017-12-14,8.4625
2017-12-15,8.4925
2017-12-18,8.4675
2017-12-19,8.455
2017-12-20,8.535
2017-12-21,8.5225
2017-12-22,8.4925
2017-12-25,8.5
2017-12-26,8.51
2017-12-27,8.47
2017-12-28,8.46
2017-12-29,8.42
2018-01-01,8.43
2018-01-02,8.44
2018-01-03,8.29
2018-01-04,8.155
2018-01-05,8.1025
2018-01-08,7.895
2018-01-09,7.935
2018-01-10,8.295
2018-01-11,8.15
2018-01-12,8.2825
2018-01-15,8.3475
2018-01-16,8.1975
2018-01-17,8.19
2018-01-18,8.2475
2018-01-19,8.325
2018-01-22,8.2275
2018-01-23,8.3175
2018-01-24,8.4475
2018-01-25,8.5325
2018-01-26,8.575
2018-01-29,8.58
2018-01-30,8.815
2018-01-31,8.595
2018-02-01,8.5575
2018-02-02,8.705
2018-02-05,9.1025
2018-02-06,9.215
2018-02-07,9.05
2018-02-08,9.345
2018-02-09,9.6225
2018-02-12,9.205
2018-02-13,9.3025
2018-02-14,9.385
2018-02-15,9.4775
2018-02-16,9.3475
2018-02-19,9.23
2018-02-20,8.9975
2018-02-21,8.9175
2018-02-22,9.015
2018-02-23,8.8625
2018-02-26,8.6925
2018-02-27,8.5025
2018-02-28,8.6075
2018-03-01,8.895
2018-03-02,9.2
2018-03-05,8.97
2018-03-06,8.915
2018-03-07,9.03
2018-03-08,8.89
2018-03-09,8.6625
2018-03-12,8.6775
2018-03-13,8.67
2018-03-14,8.715
2018-03-15,8.855
2018-03-16,8.8525
2018-03-19,8.975
2018-03-20,8.835
2018-03-21,8.665
2018-03-22,8.865
2018-03-23,8.945
2018-03-26,8.79
2018-03-27,8.7975
2018-03-28,8.8075
2018-03-29,8.7525
2018-03-30,8.6875
2018-04-02,8.615
2018-04-03,8.5275
2018-04-04,8.5
2018-04-05,8.45
2018-04-06,8.39
2018-04-09,8.355
2018-04-10,8.345
2018-04-11,8.325
2018-04-12,8.285
2018-04-13,8.21
2018-04-16,8.18
2018-04-17,8.145
2018-04-18,8.1325
2018-04-19,8.0825
2018-04-20,8.23
2018-04-23,8.4825
2018-04-24,8.4525
2018-04-25,8.5125
2018-04-26,8.33
2018-04-27,8.195
2018-04-30,8.1625
2018-05-01,8.29
2018-05-02,8.29
2018-05-03,8.365
2018-05-04,8.3425
2018-05-07,8.335
2018-05-08,8.3425
2018-05-09,8.335
2018-05-10,8.29
2018-05-11,8.175
2018-05-14,8.0975
2018-05-15,8.2525
2018-05-16,8.3125
2018-05-17,8.315
2018-05-18,8.2325
2018-05-21,8.22
2018-05-22,8.2275
2018-05-23,8.365
2018-05-24,8.4125
2018-05-25,8.295
2018-05-28,8.2675
2018-05-29,8.57
2018-05-30,8.495
2018-05-31,8.34
2018-06-01,8.225
2018-06-04,8.16
2018-06-05,8.16
2018-06-06,8.18
2018-06-07,8.25
2018-06-08,8.425
2018-06-11,8.31
2018-06-12,8.23
2018-06-13,8.185
2018-06-14,8.135
2018-06-15,8.185
2018-06-18,8.245
2018-06-19,8.47
2018-06-20,8.27
2018-06-21,8.37
2018-06-22,8.325
2018-06-25,8.42
2018-06-26,8.355
2018-06-27,8.39
2018-06-28,8.325
2018-06-29,8.255
2018-07-02,8.29
2018-07-03,8.295
2018-07-04,8.29
2018-07-05,8.1775
2018-07-06,8.03
2018-07-09,7.925
2018-07-10,8.02
2018-07-11,8.15
2018-07-12,8.235
2018-07-13,8.16
