Date,Value
2016-01-01,8.44
2016-01-04,8.88
2016-01-05,8.885
2016-01-06,8.995
2016-01-07,9.61
2016-01-08,9.5425
2016-01-11,9.715
2016-01-12,9.49
2016-01-13,9.1875
2016-01-14,9.44
2016-01-15,10.065
2016-01-18,9.6975
2016-01-19,9.67
2016-01-20,10.075
2016-01-21,10.14
2016-01-22,9.86
2016-01-25,9.5325
2016-01-26,9.76
2016-01-27,9.61
2016-01-28,9.8625
2016-01-29,9.5875
2016-02-01,9.1875
2016-02-02,9.5675
2016-02-03,10.065
2016-02-04,10.1975
2016-02-05,10.2175
2016-02-08,11.575
2016-02-09,11.885
2016-02-10,12.225
2016-02-11,12.87
2016-02-12,12.11
2016-02-15,11.1
2016-02-16,11.635
2016-02-17,11.55
2016-02-18,11.6225
2016-02-19,12.12
2016-02-22,11.78
2016-02-23,12.09
2016-02-24,12.435
2016-02-25,11.985
2016-02-26,11.725
2016-02-29,11.795
2016-03-01,11.22
2016-03-02,10.96
2016-03-03,10.8125
2016-03-04,10.6
2016-03-07,10.76
2016-03-08,11.22
2016-03-09,11.2425
2016-03-10,11.3075
2016-03-11,10.8175
2016-03-14,10.4
2016-03-15,10.4625
2016-03-16,10.475
2016-03-17,10.52
2016-03-18,10.16
2016-03-21,9.6925
2016-03-22,9.765
2016-03-23,10.0725
2016-03-24,10.385
2016-03-25,10.37
2016-03-28,10.425
2016-03-29,10.435
2016-03-30,10.035
2016-03-31,9.815
2016-04-01,9.7625
2016-04-04,9.985
2016-04-05,10.9125
2016-04-06,10.8975
2016-04-07,11.675
2016-04-08,11.085
2016-04-11,11.1125
2016-04-12,10.6
2016-04-13,10.48
2016-04-14,10.6425
2016-04-15,10.87
2016-04-18,10.8575
2016-04-19,10.5375
2016-04-20,10.4925
2016-04-21,10.645
2016-04-22,10.865
2016-04-25,10.815
2016-04-26,10.985
2016-04-27,10.865
2016-04-28,10.935
2016-04-29,11.415
2016-05-02,11.52
2016-05-03,11.585
2016-05-04,11.485
2016-05-05,11.54
2016-05-06,11.22
2016-05-09,10.705
2016-05-10,10.85
2016-05-11,11.1
2016-05-12,11.1
2016-05-13,11.325
2016-05-16,11.28
2016-05-17,11.175
