Date,Value
2016-01-01,1.725
2016-01-04,1.7
2016-01-05,1.685
2016-01-06,1.64
2016-01-07,1.655
2016-01-08,1.705
2016-01-11,1.65
2016-01-12,1.665
2016-01-13,1.675
2016-01-14,1.66
2016-01-15,1.7
2016-01-18,1.645
2016-01-19,1.66
2016-01-20,1.67
2016-01-21,1.675
2016-01-22,1.78
2016-01-25,1.8
2016-01-26,1.805
2016-01-27,1.78
2016-01-28,1.83
2016-01-29,1.88
2016-02-01,1.775
2016-02-02,1.745
2016-02-03,1.74
2016-02-04,1.7275
2016-02-05,1.7075
2016-02-08,1.735
2016-02-09,1.745
2016-02-10,1.735
2016-02-11,1.72
2016-02-12,1.92
2016-02-15,2.01
2016-02-16,1.995
2016-02-17,1.94
2016-02-18,1.97
2016-02-19,1.91
2016-02-22,1.9775
2016-02-23,1.975
2016-02-24,1.92
2016-02-25,1.925
2016-02-26,1.895
2016-02-29,1.93
2016-03-01,1.97
2016-03-02,1.955
2016-03-03,2.005
2016-03-04,1.915
2016-03-07,1.95
2016-03-08,1.985
2016-03-09,1.9
2016-03-10,1.96
2016-03-11,1.945
2016-03-14,1.96
2016-03-15,1.905
2016-03-16,1.9025
2016-03-17,1.865
2016-03-18,1.91
2016-03-21,1.98
2016-03-22,1.92
2016-03-23,1.895
2016-03-24,1.77
2016-03-25,1.735
2016-03-28,1.995
2016-03-29,1.9625
2016-03-30,2.115
2016-03-31,1.855
2016-04-01,1.85
2016-04-04,1.785
2016-04-05,1.82
2016-04-06,1.805
2016-04-07,1.785
2016-04-08,1.79
2016-04-11,1.8
2016-04-12,1.825
2016-04-13,1.805
2016-04-14,1.795
2016-04-15,1.81
2016-04-18,1.79
2016-04-19,1.78
2016-04-20,1.79
2016-04-21,1.79
2016-04-22,1.77
2016-04-25,1.8225
2016-04-26,1.8475
2016-04-27,1.85
2016-04-28,1.79
2016-04-29,1.79
2016-05-02,1.85
2016-05-03,1.855
2016-05-04,1.73
2016-05-05,1.575
2016-05-06,1.555
2016-05-09,1.56
2016-05-10,1.555
2016-05-11,1.535
2016-05-12,1.54
2016-05-13,1.225
2016-05-16,1.5025
2016-05-17,1.585
2016-05-18,1.375
2016-05-19,1.565
2016-05-20,1.18
2016-05-23,1.31
2016-05-24,1.28
2016-05-25,1.415
2016-05-26,1.225
2016-05-27,1.48
2016-05-30,1.075
2016-05-31,1.285
2016-06-01,1.125
2016-06-02,1.11
2016-06-03,1.3125
2016-06-06,1.09
2016-06-07,1.01
2016-06-08,1.415
2016-06-09,1.37
2016-06-10,1.405
2016-06-13,1.385
2016-06-14,1.385
2016-06-15,1.39
2016-06-16,1.385
2016-06-17,1.365
2016-06-20,1.37
2016-06-21,1.385
2016-06-22,1.3775
2016-06-23,1.35
2016-06-24,1.51
2016-06-27,1.565
2016-06-28,1.53
2016-06-29,1.515
2016-06-30,1.505
2016-07-01,1.4825
2016-07-04,1.49
2016-07-05,1.5075
2016-07-06,1.525
2016-07-07,1.53
2016-07-08,1.5125
2016-07-11,1.5225
2016-07-12,1.5225
2016-07-13,1.535
2016-07-14,1.5275
2016-07-15,1.4225
2016-07-18,1.4425
2016-07-19,1.4425
2016-07-20,1.44
2016-07-21,1.4325
2016-07-22,1.44
2016-07-25,1.4325
2016-07-26,1.42
2016-07-27,1.4225
2016-07-28,1.435
2016-07-29,1.395
2016-08-01,1.395
2016-08-02,1.4725
2016-08-03,1.5125
2016-08-04,1.51
2016-08-05,1.4425
2016-08-08,1.4675
2016-08-09,1.4825
2016-08-10,1.4975
2016-08-11,1.4425
2016-08-12,1.47
2016-08-15,1.465
2016-08-16,1.465
2016-08-17,1.4025
2016-08-18,1.5
2016-08-19,1.4475
2016-08-22,1.4475
2016-08-23,1.4975
2016-08-24,1.4525
2016-08-25,1.4625
2016-08-26,1.4225
2016-08-29,1.4625
2016-08-30,1.4575
2016-08-31,1.435
2016-09-01,1.455
2016-09-02,1.4025
2016-09-05,1.4
2016-09-06,1.4175
2016-09-07,1.4575
2016-09-08,1.4475
2016-09-09,1.37
2016-09-12,1.4075
2016-09-13,1.4475
2016-09-14,1.4425
2016-09-15,1.4275
2016-09-16,1.355
2016-09-19,1.435
2016-09-20,1.4275
2016-09-21,1.4925
2016-09-22,1.4825
2016-09-23,1.4725
2016-09-26,1.4675
2016-09-27,1.4825
2016-09-28,1.4875
2016-09-29,1.49
2016-09-30,1.5425
2016-10-03,1.48
2016-10-04,1.51
2016-10-05,1.495
2016-10-06,1.545
2016-10-07,1.5375
2016-10-10,1.545
2016-10-11,1.5375
2016-10-12,1.5375
2016-10-13,1.55
2016-10-14,1.515
2016-10-17,1.5275
2016-10-18,1.5475
2016-10-19,1.4725
2016-10-20,1.4875
2016-10-21,1.4775
2016-10-24,1.46
2016-10-25,1.4575
2016-10-26,1.46
2016-10-27,1.4225
2016-10-28,1.445
2016-10-31,1.4075
2016-11-01,1.4075
2016-11-02,1.435
2016-11-03,1.4
2016-11-04,1.37
2016-11-07,1.4475
2016-11-08,1.425
2016-11-09,1.405
2016-11-10,1.435
2016-11-11,1.445
2016-11-14,1.51
2016-11-15,1.4825
2016-11-16,1.465
2016-11-17,1.455
2016-11-18,1.46
2016-11-21,1.485
2016-11-22,1.515
2016-11-23,1.5
2016-11-24,1.455
2016-11-25,1.47
2016-11-28,1.445
2016-11-29,1.465
2016-11-30,1.51
2016-12-01,1.635
2016-12-02,1.485
2016-12-05,1.425
2016-12-06,1.475
2016-12-07,1.47
2016-12-08,1.475
2016-12-09,1.36
2016-12-12,1.46
2016-12-13,1.47
2016-12-14,1.505
2016-12-15,1.47
2016-12-16,1.48
2016-12-19,1.475
2016-12-20,1.415
2016-12-21,1.415
