Date,Value
2016-01-01,5.175
2016-01-04,5.21
2016-01-05,5.135
2016-01-06,5.16
2016-01-07,5.37
2016-01-08,6.28
2016-01-11,6.41
2016-01-12,6.44
2016-01-13,6.16
2016-01-14,6.1425
2016-01-15,6.105
2016-01-18,5.975
2016-01-19,5.955
2016-01-20,6.165
2016-01-21,6.7825
2016-01-22,6.63
2016-01-25,6.54
2016-01-26,6.45
2016-01-27,6.46
2016-01-28,6.645
2016-01-29,6.64
2016-02-01,6.745
2016-02-02,6.83
2016-02-03,7.055
2016-02-04,6.8875
2016-02-05,6.58
2016-02-08,6.5925
2016-02-09,6.665
2016-02-10,6.665
2016-02-11,7.16
2016-02-12,7.565
2016-02-15,7.4775
2016-02-16,7.41
2016-02-17,7.3175
2016-02-18,7.3075
2016-02-19,7.305
2016-02-22,7.0275
2016-02-23,6.99
2016-02-24,6.7975
2016-02-25,6.6175
2016-02-26,6.6075
2016-02-29,6.585
2016-03-01,6.51
2016-03-02,6.23
2016-03-03,6.125
2016-03-04,6.02
2016-03-07,6.055
2016-03-08,6.08
2016-03-09,6.335
2016-03-10,6.23
2016-03-11,6.16
2016-03-14,5.92
2016-03-15,5.91
2016-03-16,5.7925
2016-03-17,5.83
2016-03-18,5.71
2016-03-21,5.7
2016-03-22,5.775
2016-03-23,5.745
2016-03-24,5.74
2016-03-25,5.8
2016-03-28,5.815
2016-03-29,5.8025
2016-03-30,5.6525
2016-03-31,5.635
2016-04-01,5.665
2016-04-04,5.705
2016-04-05,5.765
2016-04-06,5.785
2016-04-07,5.74
2016-04-08,5.7625
2016-04-11,5.7625
2016-04-12,5.765
2016-04-13,5.765
2016-04-14,5.7125
2016-04-15,5.68
2016-04-18,5.66
2016-04-19,5.6025
2016-04-20,5.635
2016-04-21,5.7
2016-04-22,5.745
2016-04-25,5.8675
2016-04-26,5.8975
2016-04-27,5.9325
2016-04-28,5.8
2016-04-29,5.735
2016-05-02,5.7875
2016-05-03,5.8
2016-05-04,5.945
2016-05-05,6.035
2016-05-06,6.3675
2016-05-09,6.345
2016-05-10,6.395
2016-05-11,6.39
2016-05-12,6.4
2016-05-13,6.265
2016-05-16,6.115
2016-05-17,6.29
2016-05-18,6.305
2016-05-19,6.455
2016-05-20,6.43
2016-05-23,6.445
2016-05-24,6.155
2016-05-25,6.31
2016-05-26,6.345
2016-05-27,6.31
2016-05-30,6.125
2016-05-31,5.805
2016-06-01,5.905
2016-06-02,5.905
2016-06-03,5.7825
2016-06-06,5.78
