Date,Value
2016-01-01,0.77
2016-01-04,0.8025
2016-01-05,0.765
2016-01-06,1.0
2016-01-07,1.0625
2016-01-08,1.605
2016-01-11,1.695
2016-01-12,1.7
2016-01-13,1.5675
2016-01-14,1.545
2016-01-15,1.5075
2016-01-18,1.455
2016-01-19,1.425
2016-01-20,1.3675
2016-01-21,1.515
2016-01-22,1.4425
2016-01-25,1.4025
2016-01-26,1.43
2016-01-27,1.3975
2016-01-28,1.475
2016-01-29,1.44
2016-02-01,1.48
2016-02-02,1.5125
2016-02-03,1.755
2016-02-04,1.5325
2016-02-05,1.465
2016-02-08,1.4575
2016-02-09,1.525
2016-02-10,1.4825
2016-02-11,1.5375
2016-02-12,1.765
2016-02-15,1.6125
2016-02-16,1.57
2016-02-17,1.4625
2016-02-18,1.3775
2016-02-19,1.355
2016-02-22,1.2075
2016-02-23,1.215
2016-02-24,1.12
2016-02-25,1.125
2016-02-26,1.1
2016-02-29,1.075
2016-03-01,1.02
2016-03-02,0.755
2016-03-03,0.715
2016-03-04,0.76
2016-03-07,0.755
2016-03-08,0.78
2016-03-09,0.975
2016-03-10,0.955
2016-03-11,0.915
2016-03-14,0.88
2016-03-15,0.855
2016-03-16,0.84
2016-03-17,0.74
2016-03-18,0.67
2016-03-21,0.685
2016-03-22,0.745
2016-03-23,0.79
2016-03-24,0.8925
2016-03-25,0.98
2016-03-28,0.915
2016-03-29,0.89
2016-03-30,0.85
2016-03-31,0.76
2016-04-01,0.855
2016-04-04,0.845
2016-04-05,0.8875
2016-04-06,0.9
2016-04-07,0.86
2016-04-08,0.9075
2016-04-11,0.93
2016-04-12,0.895
2016-04-13,0.91
2016-04-14,0.93
2016-04-15,0.91
2016-04-18,0.9125
2016-04-19,0.83
2016-04-20,0.8525
2016-04-21,0.85
2016-04-22,0.905
2016-04-25,0.98
2016-04-26,0.985
2016-04-27,0.9825
2016-04-28,0.92
2016-04-29,0.89
2016-05-02,0.88
2016-05-03,0.89
2016-05-04,0.97
2016-05-05,1.1375
2016-05-06,1.2625
2016-05-09,1.165
2016-05-10,1.1875
2016-05-11,1.195
2016-05-12,1.15
2016-05-13,1.18
2016-05-16,1.29
2016-05-17,1.1275
2016-05-18,1.215
2016-05-19,1.315
2016-05-20,1.2925
2016-05-23,1.14
2016-05-24,1.12
2016-05-25,1.1075
2016-05-26,0.995
2016-05-27,0.99
2016-05-30,1.005
2016-05-31,0.98
2016-06-01,0.9675
2016-06-02,0.945
2016-06-03,0.8225
2016-06-06,0.8075
2016-06-07,0.7475
2016-06-08,0.74
2016-06-09,1.0625
2016-06-10,1.1025
2016-06-13,1.215
2016-06-14,1.2775
2016-06-15,1.27
2016-06-16,1.345
2016-06-17,1.39
2016-06-20,1.3175
2016-06-21,1.33
2016-06-22,1.4275
2016-06-23,1.445
2016-06-24,1.695
2016-06-27,1.9025
2016-06-28,1.8
2016-06-29,1.455
2016-06-30,1.4675
2016-07-01,1.3075
2016-07-04,1.2175
2016-07-05,1.1525
2016-07-06,1.2425
2016-07-07,1.2575
2016-07-08,1.2325
2016-07-11,1.2275
2016-07-12,1.1775
2016-07-13,1.0925
2016-07-14,1.0625
2016-07-15,0.9875
2016-07-18,1.0375
2016-07-19,1.0725
2016-07-20,1.0675
2016-07-21,1.0425
2016-07-22,1.0225
2016-07-25,1.0275
2016-07-26,1.0575
2016-07-27,1.1925
2016-07-28,1.1475
2016-07-29,1.0825
2016-08-01,1.11
2016-08-02,1.0175
2016-08-03,1.0175
2016-08-04,1.025
2016-08-05,1.0
2016-08-08,1.0125
2016-08-09,0.96
2016-08-10,0.9175
2016-08-11,0.93
2016-08-12,0.91
2016-08-15,0.9275
2016-08-16,0.9225
2016-08-17,0.88
2016-08-18,0.9125
2016-08-19,0.965
2016-08-22,1.0825
2016-08-23,1.0875
2016-08-24,1.08
2016-08-25,1.0325
2016-08-26,1.0175
2016-08-29,1.0725
2016-08-30,1.0925
2016-08-31,1.0825
2016-09-01,0.9725
2016-09-02,0.945
2016-09-05,1.0025
2016-09-06,0.9575
2016-09-07,0.9275
2016-09-08,0.8875
2016-09-09,1.0325
2016-09-12,1.065
2016-09-13,1.1425
2016-09-14,1.3025
2016-09-15,1.4875
2016-09-16,1.3525
2016-09-19,1.295
2016-09-20,1.2175
2016-09-21,1.2225
2016-09-22,1.06
2016-09-23,1.0675
2016-09-26,1.1
2016-09-27,1.1
2016-09-28,1.1425
2016-09-29,1.185
2016-09-30,1.2175
2016-10-03,1.175
2016-10-04,1.195
2016-10-05,1.1675
2016-10-06,1.415
2016-10-07,1.41
2016-10-10,1.4175
2016-10-11,1.41
2016-10-12,1.4475
2016-10-13,1.5025
2016-10-14,1.4725
2016-10-17,1.5625
2016-10-18,1.4325
2016-10-19,1.3375
2016-10-20,1.2825
2016-10-21,1.275
2016-10-24,1.3225
2016-10-25,1.31
2016-10-26,1.2975
2016-10-27,1.33
2016-10-28,1.3475
2016-10-31,1.3525
2016-11-01,1.2825
2016-11-02,1.485
2016-11-03,1.4725
2016-11-04,1.4525
2016-11-07,1.4475
2016-11-08,1.43
2016-11-09,1.425
2016-11-10,1.48
2016-11-11,1.6425
2016-11-14,1.73
2016-11-15,1.7525
2016-11-16,1.68
2016-11-17,1.6625
2016-11-18,1.68
2016-11-21,1.695
2016-11-22,1.6125
2016-11-23,1.5925
2016-11-24,1.6025
2016-11-25,1.5475
2016-11-28,1.4025
2016-11-29,1.3
2016-11-30,1.245
2016-12-01,1.1975
2016-12-02,1.2
2016-12-05,1.2025
2016-12-06,1.105
2016-12-07,1.0375
2016-12-08,1.025
2016-12-09,1.0375
2016-12-12,1.1325
2016-12-13,1.14
2016-12-14,1.115
2016-12-15,1.2975
2016-12-16,1.285
2016-12-19,1.2775
2016-12-20,1.2875
2016-12-21,1.1175
2016-12-22,1.0
2016-12-23,1.03
2016-12-26,0.975
2016-12-27,0.98
2016-12-28,0.99
2016-12-29,0.9825
2016-12-30,0.9675
2017-01-02,0.99
2017-01-03,0.9775
2017-01-04,0.97
2017-01-05,0.935
2017-01-06,0.8875
2017-01-09,0.8825
2017-01-10,0.7875
2017-01-11,0.7925
2017-01-12,0.7
2017-01-13,0.7
2017-01-16,0.735
2017-01-17,0.7375
2017-01-18,0.645
2017-01-19,0.715
2017-01-20,0.71
2017-01-23,0.675
2017-01-24,0.6725
2017-01-25,0.665
2017-01-26,0.645
2017-01-27,0.7275
2017-01-30,0.6675
2017-01-31,0.58
2017-02-01,0.55
2017-02-02,0.5
2017-02-03,0.525
2017-02-06,0.57
2017-02-07,0.6825
2017-02-08,0.7025
2017-02-09,0.69
2017-02-10,0.77
2017-02-13,0.7475
2017-02-14,0.74
2017-02-15,0.6075
2017-02-16,0.585
2017-02-17,0.6025
2017-02-20,0.585
2017-02-21,0.595
2017-02-22,0.62
2017-02-23,0.6375
2017-02-24,0.62
2017-02-27,0.5975
2017-02-28,0.595
2017-03-01,0.715
2017-03-02,0.7175
2017-03-03,0.7475
2017-03-06,0.7425
2017-03-07,0.7175
2017-03-08,0.7825
2017-03-09,0.8775
2017-03-10,0.825
2017-03-13,0.83
2017-03-14,0.835
2017-03-15,0.7975
2017-03-16,0.6425
2017-03-17,0.6425
2017-03-20,0.5475
2017-03-21,0.515
2017-03-22,0.6675
2017-03-23,0.7075
2017-03-24,0.6875
2017-03-27,0.7025
2017-03-28,0.6975
2017-03-29,0.71
2017-03-30,0.815
2017-03-31,0.805
2017-04-03,0.8325
2017-04-04,0.855
2017-04-05,0.97
2017-04-06,1.2125
2017-04-07,1.5775
2017-04-10,1.8775
2017-04-11,1.935
2017-04-12,1.9825
2017-04-13,1.955
2017-04-14,2.0175
2017-04-17,2.6825
2017-04-18,3.18
2017-04-19,3.1275
2017-04-20,2.715
2017-04-21,2.535
2017-04-24,2.265
2017-04-25,2.34
2017-04-26,2.26
2017-04-27,2.3575
2017-04-28,2.3375
2017-05-01,2.3525
2017-05-02,2.3675
2017-05-03,2.34
2017-05-04,2.335
2017-05-05,2.4125
2017-05-08,2.1975
2017-05-09,2.13
2017-05-10,2.0775
2017-05-11,1.9625
2017-05-12,1.7525
2017-05-15,1.5775
2017-05-16,1.5575
2017-05-17,1.56
2017-05-18,1.8175
2017-05-19,1.9725
2017-05-22,2.055
2017-05-23,1.9475
2017-05-24,2.08
2017-05-25,2.055
2017-05-26,1.91
2017-05-29,1.9425
2017-05-30,1.995
2017-05-31,1.99
2017-06-01,1.94
2017-06-02,1.875
2017-06-05,1.7625
2017-06-06,1.5125
2017-06-07,1.49
2017-06-08,1.535
2017-06-09,1.4175
2017-06-12,1.5225
2017-06-13,1.545
2017-06-14,1.53
2017-06-15,1.42
2017-06-16,1.5125
2017-06-19,1.46
2017-06-20,1.3575
2017-06-21,1.3225
2017-06-22,1.29
2017-06-23,1.1725
2017-06-26,1.1075
2017-06-27,1.1025
2017-06-28,1.2025
2017-06-29,1.1225
2017-06-30,1.265
2017-07-03,1.2625
2017-07-04,1.4475
2017-07-05,1.7175
2017-07-06,1.9325
2017-07-07,1.9875
2017-07-10,1.96
2017-07-11,1.69
2017-07-12,1.5825
2017-07-13,1.4975
2017-07-14,1.3425
2017-07-17,1.315
2017-07-18,1.155
2017-07-19,1.1875
