Date,Value
2017-10-30,7.9575
2017-10-31,7.825
2017-11-01,7.7875
2017-11-02,7.8275
2017-11-03,7.68
2017-11-06,7.6275
2017-11-07,7.6475
2017-11-08,7.4625
2017-11-09,7.5575
2017-11-10,7.57
2017-11-13,7.52
2017-11-14,7.365
2017-11-15,7.375
2017-11-16,7.6025
2017-11-17,7.4575
2017-11-20,7.535
2017-11-21,7.315
2017-11-22,7.27
2017-11-23,7.3225
2017-11-24,7.29
2017-11-27,7.3
2017-11-28,7.315
2017-11-29,7.6975
2017-11-30,7.905
2017-12-01,7.83
2017-12-04,7.9475
2017-12-05,7.87
2017-12-06,8.2825
2017-12-07,8.2725
2017-12-08,8.315
2017-12-11,8.19
2017-12-12,7.875
2017-12-13,7.8425
2017-12-14,7.73
2017-12-15,7.725
2017-12-18,7.6525
2017-12-19,7.54
2017-12-20,7.5925
2017-12-21,7.7375
2017-12-22,7.78
2017-12-25,7.86
2017-12-26,7.785
2017-12-27,7.79
2017-12-28,7.765
2017-12-29,7.82
2018-01-01,7.8875
2018-01-02,7.915
2018-01-03,7.81
2018-01-04,7.7175
2018-01-05,7.65
2018-01-08,7.43
2018-01-09,7.3525
2018-01-10,7.3425
2018-01-11,7.2225
2018-01-12,7.12
2018-01-15,7.16
2018-01-16,7.13
2018-01-17,7.2075
2018-01-18,7.0075
2018-01-19,7.0425
2018-01-22,7.315
2018-01-23,7.46
2018-01-24,7.4875
2018-01-25,7.675
2018-01-26,7.735
2018-01-29,7.915
2018-01-30,8.2825
2018-01-31,7.98
2018-02-01,7.925
2018-02-02,8.65
2018-02-05,9.025
2018-02-06,9.4525
2018-02-07,9.3775
2018-02-08,9.7725
2018-02-09,9.8475
2018-02-12,9.835
2018-02-13,9.525
2018-02-14,9.53
2018-02-15,9.4175
2018-02-16,9.4
2018-02-19,9.435
2018-02-20,9.2325
2018-02-21,9.2225
2018-02-22,9.3475
2018-02-23,9.1525
2018-02-26,9.0725
2018-02-27,8.845
2018-02-28,9.195
2018-03-01,9.1575
2018-03-02,9.2525
2018-03-05,9.09
2018-03-06,8.8275
2018-03-07,8.7525
2018-03-08,8.8075
2018-03-09,8.695
2018-03-12,8.545
2018-03-13,8.47
2018-03-14,8.325
2018-03-15,8.46
2018-03-16,8.305
2018-03-19,8.3325
2018-03-20,8.3925
2018-03-21,8.2075
2018-03-22,8.05
2018-03-23,8.33
2018-03-26,8.4
2018-03-27,8.375
2018-03-28,8.375
2018-03-29,8.325
2018-03-30,8.335
2018-04-02,8.33
2018-04-03,8.4375
2018-04-04,8.33
2018-04-05,8.315
2018-04-06,8.385
2018-04-09,8.285
2018-04-10,8.2675
2018-04-11,8.055
2018-04-12,8.175
2018-04-13,7.965
2018-04-16,8.035
2018-04-17,7.9175
2018-04-18,7.6525
2018-04-19,7.62
2018-04-20,7.755
2018-04-23,8.025
2018-04-24,7.9625
2018-04-25,8.0525
2018-04-26,7.975
2018-04-27,7.8575
2018-04-30,7.6875
2018-05-01,7.725
2018-05-02,7.8375
2018-05-03,7.725
2018-05-04,7.6775
2018-05-07,7.685
2018-05-08,7.7725
2018-05-09,7.98
2018-05-10,7.8475
2018-05-11,7.605
2018-05-14,7.5375
2018-05-15,7.7125
2018-05-16,7.9475
2018-05-17,7.9875
2018-05-18,7.9625
2018-05-21,8.0725
2018-05-22,8.0825
2018-05-23,7.8625
2018-05-24,8.06
2018-05-25,7.905
2018-05-28,7.8175
2018-05-29,7.865
2018-05-30,8.0275
2018-05-31,8.0675
2018-06-01,7.9475
2018-06-04,7.905
2018-06-05,7.81
2018-06-06,7.725
2018-06-07,7.745
2018-06-08,7.97
2018-06-11,8.025
2018-06-12,7.5775
2018-06-13,7.705
2018-06-14,7.495
2018-06-15,7.975
2018-06-18,8.3275
2018-06-19,8.9925
2018-06-20,8.6275
2018-06-21,8.6975
2018-06-22,8.4975
2018-06-25,8.685
2018-06-26,8.6675
2018-06-27,8.7025
2018-06-28,8.985
2018-06-29,8.8125
2018-07-02,8.6575
2018-07-03,8.6875
2018-07-04,8.5525
2018-07-05,8.6625
2018-07-06,8.5875
2018-07-09,8.475
2018-07-10,8.21
2018-07-11,8.47
2018-07-12,8.54
2018-07-13,8.5375
2018-07-16,8.4525
2018-07-17,8.1875
2018-07-18,8.39
2018-07-19,8.4275
2018-07-20,8.525
2018-07-23,8.4075
2018-07-24,8.3175
2018-07-25,8.085
2018-07-26,8.015
2018-07-27,8.045
2018-07-30,8.1175
2018-07-31,8.0575
2018-08-01,7.96
2018-08-02,8.04
2018-08-03,8.0875
2018-08-06,8.0
2018-08-07,7.8175
2018-08-08,7.7475
2018-08-09,7.6725
2018-08-10,7.8275
2018-08-13,8.2
2018-08-14,8.045
2018-08-15,8.32
2018-08-16,8.405
2018-08-17,8.275
2018-08-20,8.1775
2018-08-21,8.1725
2018-08-22,7.96
2018-08-23,7.9975
2018-08-24,7.96
2018-08-27,7.88
2018-08-28,7.7875
2018-08-29,7.7075
2018-08-30,7.6875
2018-08-31,7.81
2018-09-03,7.9775
2018-09-04,8.1575
2018-09-05,8.29
2018-09-06,8.6125
2018-09-07,8.54
2018-09-10,8.7175
2018-09-11,8.6175
2018-09-12,8.3675
2018-09-13,8.28
2018-09-14,8.15
2018-09-17,8.425
2018-09-18,8.34
2018-09-19,7.895
2018-09-20,7.805
2018-09-21,7.76
2018-09-24,7.7725
2018-09-25,7.825
2018-09-26,7.6775
2018-09-27,7.5825
2018-09-28,7.425
2018-10-01,7.3975
2018-10-02,7.36
2018-10-03,7.4175
2018-10-04,7.6425
2018-10-05,7.8125
2018-10-08,8.0225
2018-10-09,7.98
2018-10-10,7.8575
2018-10-11,8.3875
2018-10-12,8.17
2018-10-15,8.14
2018-10-16,7.9875
2018-10-17,7.76
2018-10-18,8.06
2018-10-19,8.0575
2018-10-22,8.005
2018-10-23,8.1175
2018-10-24,8.13
2018-10-25,8.27
2018-10-26,8.59
2018-10-29,8.6375
2018-10-30,8.6525
2018-10-31,8.615
2018-11-01,8.51
2018-11-02,8.3175
2018-11-05,8.2875
2018-11-06,8.2925
2018-11-07,7.965
2018-11-08,7.955
2018-11-09,8.06
2018-11-12,8.3025
2018-11-13,8.35
2018-11-14,8.25
2018-11-15,8.48
2018-11-16,8.57
2018-11-19,8.7225
2018-11-20,8.66
2018-11-21,8.705
2018-11-22,8.65
2018-11-23,8.39
2018-11-26,8.4025
2018-11-27,8.405
2018-11-28,8.285
2018-11-29,8.38
2018-11-30,8.37
2018-12-03,8.1375
2018-12-04,7.9
2018-12-05,8.1125
2018-12-06,8.2025
2018-12-07,8.225
