Date,Value
2016-01-01,8.99
2016-01-04,10.3325
2016-01-05,10.115
2016-01-06,11.145
2016-01-07,11.215
2016-01-08,11.34
2016-01-11,10.5975
2016-01-12,11.0625
2016-01-13,10.2675
2016-01-14,10.4125
2016-01-15,11.0325
2016-01-18,10.275
2016-01-19,9.97
2016-01-20,9.7675
2016-01-21,10.0025
2016-01-22,10.7275
2016-01-25,10.555
2016-01-26,10.7925
2016-01-27,10.4775
2016-01-28,10.2525
2016-01-29,9.9575
2016-02-01,10.1375
2016-02-02,10.27
2016-02-03,10.4525
2016-02-04,10.88
2016-02-05,10.9575
2016-02-08,10.88
2016-02-09,11.1
2016-02-10,11.345
2016-02-11,12.2525
2016-02-12,12.91
2016-02-15,11.5575
2016-02-16,11.715
2016-02-17,11.205
2016-02-18,10.75
2016-02-19,11.2675
2016-02-22,10.3
2016-02-23,10.2725
2016-02-24,10.2825
2016-02-25,10.69
2016-02-26,10.75
2016-02-29,10.485
2016-03-01,10.5275
2016-03-02,10.925
2016-03-03,11.7875
2016-03-04,11.9025
2016-03-07,10.7125
2016-03-08,10.865
2016-03-09,11.615
2016-03-10,13.0725
2016-03-11,12.64
2016-03-14,11.54
2016-03-15,10.9475
2016-03-16,10.7725
2016-03-17,10.365
2016-03-18,10.83
2016-03-21,9.835
2016-03-22,10.07
2016-03-23,10.165
2016-03-24,10.895
2016-03-25,11.435
2016-03-28,10.87
2016-03-29,10.91
2016-03-30,11.12
2016-03-31,11.505
2016-04-01,11.775
2016-04-04,10.795
2016-04-05,10.96
2016-04-06,10.675
2016-04-07,10.44
2016-04-08,10.475
2016-04-11,10.115
2016-04-12,10.225
2016-04-13,10.025
2016-04-14,10.46
2016-04-15,9.965
2016-04-18,9.545
2016-04-19,9.515
2016-04-20,9.6625
2016-04-21,10.47
2016-04-22,11.175
2016-04-25,11.725
2016-04-26,11.555
2016-04-27,10.31
2016-04-28,9.7125
2016-04-29,9.875
2016-05-02,9.73
2016-05-03,9.6725
2016-05-04,11.005
2016-05-05,12.175
2016-05-06,11.615
2016-05-09,10.9075
2016-05-10,11.0375
2016-05-11,10.955
2016-05-12,10.795
2016-05-13,9.8825
2016-05-16,10.69
2016-05-17,10.045
2016-05-18,10.6425
2016-05-19,10.6175
2016-05-20,10.05
2016-05-23,9.225
2016-05-24,9.4975
2016-05-25,9.12
2016-05-26,8.79
2016-05-27,9.345
2016-05-30,9.77
2016-05-31,9.655
2016-06-01,9.65
2016-06-02,9.3625
2016-06-03,9.045
2016-06-06,9.21
2016-06-07,8.82
2016-06-08,8.275
2016-06-09,10.245
2016-06-10,10.955
2016-06-13,11.54
2016-06-14,12.215
2016-06-15,11.345
2016-06-16,10.655
2016-06-17,13.97
2016-06-20,13.27
2016-06-21,13.61
2016-06-22,13.85
2016-06-23,13.84
2016-06-24,13.79
2016-06-27,13.835
2016-06-28,11.66
2016-06-29,10.2
2016-06-30,10.595
2016-07-01,9.905
2016-07-04,9.3925
2016-07-05,9.855
2016-07-06,10.635
2016-07-07,10.425
2016-07-08,10.835
2016-07-11,9.84
2016-07-12,9.635
2016-07-13,9.45
2016-07-14,9.13
2016-07-15,9.215
2016-07-18,9.235
2016-07-19,9.165
2016-07-20,9.25
2016-07-21,10.08
2016-07-22,10.52
2016-07-25,10.595
2016-07-26,10.3525
2016-07-27,10.045
2016-07-28,9.85
2016-07-29,9.87
2016-08-01,10.2875
2016-08-02,10.1675
2016-08-03,10.445
2016-08-04,10.3025
2016-08-05,9.695
2016-08-08,9.1125
2016-08-09,9.0375
2016-08-10,9.2175
2016-08-11,9.08
2016-08-12,8.895
2016-08-15,8.915
2016-08-16,8.8475
2016-08-17,9.5875
2016-08-18,9.595
2016-08-19,10.4525
2016-08-22,10.9375
2016-08-23,11.295
2016-08-24,11.65
2016-08-25,11.68
2016-08-26,11.56
2016-08-29,11.83
2016-08-30,11.88
2016-08-31,12.0175
2016-09-01,12.025
2016-09-02,11.63
2016-09-05,10.115
2016-09-06,9.335
2016-09-07,9.72
2016-09-08,9.79
2016-09-09,10.72
2016-09-12,11.29
2016-09-13,11.695
2016-09-14,11.99
2016-09-15,13.625
2016-09-16,14.055
2016-09-19,12.7
2016-09-20,12.17
2016-09-21,11.15
2016-09-22,9.7725
2016-09-23,10.04
2016-09-26,10.0575
2016-09-27,10.0575
2016-09-28,9.9475
2016-09-29,10.1175
2016-09-30,10.4225
2016-10-03,11.13
2016-10-04,10.98
2016-10-05,11.02
2016-10-06,11.0825
2016-10-07,11.4075
2016-10-10,10.195
2016-10-11,10.86
2016-10-12,11.29
2016-10-13,11.72
2016-10-14,11.485
2016-10-17,11.3575
2016-10-18,10.7325
2016-10-19,10.1325
2016-10-20,10.1325
2016-10-21,9.8225
2016-10-24,9.9775
2016-10-25,9.7975
2016-10-26,9.5725
