Date,Value
2016-01-01,11.18
2016-01-04,11.315
2016-01-05,11.1
2016-01-06,11.055
2016-01-07,11.63
2016-01-08,12.545
2016-01-11,12.695
2016-01-12,13.085
2016-01-13,12.59
2016-01-14,12.6725
2016-01-15,12.9275
2016-01-18,12.805
2016-01-19,12.5425
2016-01-20,13.095
2016-01-21,13.145
2016-01-22,12.76
2016-01-25,12.455
2016-01-26,12.465
2016-01-27,12.355
2016-01-28,12.48
2016-01-29,12.3675
2016-02-01,12.325
2016-02-02,12.345
2016-02-03,12.715
2016-02-04,12.1275
2016-02-05,12.3275
2016-02-08,12.39
2016-02-09,12.52
2016-02-10,12.46
2016-02-11,12.9
2016-02-12,13.8125
2016-02-15,13.24
2016-02-16,13.275
2016-02-17,13.5025
2016-02-18,13.2025
2016-02-19,13.29
2016-02-22,12.86
2016-02-23,12.85
2016-02-24,12.875
2016-02-25,12.89
2016-02-26,12.785
2016-02-29,12.805
2016-03-01,12.525
2016-03-02,12.405
2016-03-03,12.31
2016-03-04,12.34
2016-03-07,12.24
2016-03-08,12.275
2016-03-09,12.54
2016-03-10,12.355
2016-03-11,12.335
2016-03-14,12.1375
2016-03-15,11.94
2016-03-16,11.87
2016-03-17,11.515
2016-03-18,11.52
2016-03-21,11.485
2016-03-22,11.53
2016-03-23,11.625
2016-03-24,11.74
2016-03-25,11.9
2016-03-28,11.805
2016-03-29,11.7975
2016-03-30,11.8225
2016-03-31,11.73
2016-04-01,11.825
2016-04-04,11.7025
2016-04-05,11.8
2016-04-06,12.03
2016-04-07,11.945
2016-04-08,12.115
2016-04-11,12.0275
2016-04-12,11.895
2016-04-13,11.76
2016-04-14,11.8125
2016-04-15,11.535
2016-04-18,11.435
2016-04-19,11.345
2016-04-20,11.425
2016-04-21,11.415
2016-04-22,11.505
2016-04-25,11.9375
2016-04-26,11.8675
2016-04-27,11.75
2016-04-28,11.565
2016-04-29,11.5275
2016-05-02,11.6475
2016-05-03,11.3775
2016-05-04,11.675
2016-05-05,11.86
2016-05-06,12.105
2016-05-09,12.135
2016-05-10,12.21
2016-05-11,12.085
2016-05-12,12.03
2016-05-13,12.03
2016-05-16,12.165
2016-05-17,12.165
2016-05-18,12.36
2016-05-19,12.4075
2016-05-20,12.3475
2016-05-23,12.195
2016-05-24,12.185
2016-05-25,11.9375
2016-05-26,11.8425
2016-05-27,11.8
2016-05-30,11.8875
2016-05-31,11.725
2016-06-01,11.705
2016-06-02,11.67
2016-06-03,11.5525
2016-06-06,11.375
2016-06-07,11.1425
2016-06-08,10.9825
2016-06-09,11.1625
2016-06-10,11.5325
2016-06-13,11.8025
2016-06-14,12.045
2016-06-15,11.9925
2016-06-16,11.935
2016-06-17,11.8625
2016-06-20,11.615
2016-06-21,11.44
2016-06-22,11.44
2016-06-23,11.375
2016-06-24,12.295
2016-06-27,12.4475
2016-06-28,12.0225
2016-06-29,11.72
2016-06-30,11.75
2016-07-01,11.385
2016-07-04,11.185
2016-07-05,11.16
2016-07-06,11.42
2016-07-07,11.3925
2016-07-08,11.3875
2016-07-11,11.41
2016-07-12,11.395
2016-07-13,11.4075
2016-07-14,11.2475
2016-07-15,11.2325
2016-07-18,11.2425
2016-07-19,11.2875
2016-07-20,11.3675
2016-07-21,11.39
2016-07-22,11.4075
2016-07-25,11.435
2016-07-26,11.37
2016-07-27,11.335
2016-07-28,11.245
2016-07-29,10.9575
2016-08-01,10.9475
2016-08-02,11.0325
2016-08-03,11.2
2016-08-04,11.21
2016-08-05,11.0475
2016-08-08,10.915
2016-08-09,10.91
2016-08-10,10.895
2016-08-11,10.9725
2016-08-12,10.9325
2016-08-15,10.9375
2016-08-16,10.7975
2016-08-17,10.865
2016-08-18,10.9675
2016-08-19,11.125
2016-08-22,11.2025
2016-08-23,11.2225
2016-08-24,11.3825
2016-08-25,11.4475
2016-08-26,11.4725
2016-08-29,11.54
2016-08-30,11.545
2016-08-31,11.49
2016-09-01,11.4275
2016-09-02,11.38
2016-09-05,11.3475
2016-09-06,11.2075
2016-09-07,11.1725
2016-09-08,11.1375
2016-09-09,11.4
2016-09-12,11.6775
2016-09-13,11.8875
2016-09-14,12.0475
2016-09-15,12.1975
2016-09-16,12.02
2016-09-19,11.865
2016-09-20,11.795
2016-09-21,11.7425
2016-09-22,11.4725
2016-09-23,11.4875
2016-09-26,11.485
2016-09-27,11.455
2016-09-28,11.4
2016-09-29,11.4575
2016-09-30,11.54
2016-10-03,11.5875
2016-10-04,11.5925
2016-10-05,11.7175
2016-10-06,11.72
2016-10-07,11.71
2016-10-10,11.5975
2016-10-11,11.77
2016-10-12,11.7975
2016-10-13,12.01
2016-10-14,11.935
2016-10-17,11.96
2016-10-18,11.625
2016-10-19,11.3425
2016-10-20,11.3675
2016-10-21,11.405
2016-10-24,11.285
2016-10-25,11.2925
2016-10-26,11.27
2016-10-27,11.41
2016-10-28,11.4575
2016-10-31,11.565
2016-11-01,11.515
2016-11-02,11.67
2016-11-03,11.67
2016-11-04,11.6425
2016-11-07,11.48
2016-11-08,11.39
